shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIZSBi0lVEI,mitsubishimotors,2020-12-04 23:55:10.000000,no,False,b'outlanderphev',b'',b'All systems are Go Go Go. #OutlanderPHEV',0,0,1908,18,,,
CIWuXpXFRbs,mitsubishimotors,2020-12-04 00:05:07.000000,no,False,b'tbt',b'',b'The Montero-sized mountains are the ones worth climbing. #TBT',0,0,1504,19,,,
CIVvOPDD9EL,mitsubishimotors,2020-12-03 15:00:03.000000,yes,False,"b'smallbatchbigimpact,driveyourambition,outlanderphev'",b'record_the_journey',"b'Join Mitsubishi Motors North America, Inc. and military veterans charity Team  @record_the_journey as they recount their triumphs and successes during the 2020 Rebelle Rally, the world\xe2\x80\x99s first all-women\xe2\x80\x99s off-road navigational event. \n\n#SmallBatchBigImpact\n#DriveyourAmbition\n#OutlanderPHEV'",3184,90.083,533,7,,,
CITKD42Du6E,mitsubishimotors,2020-12-02 14:50:08.000000,no,False,b'outlanderphev',b'',"b""Snow days aren't just for the kids anymore. :snowflake_selector: #OutlanderPHEV""",0,0,1576,9,,,
CIRntGFDnOB,mitsubishimotors,2020-12-02 00:30:39.000000,no,False,b'mitsubishimirage',b'',"b'414,000 miles in a #MitsubishiMirage and ready for more! Meet the Minnesota couple who recently traded in their beloved \xe2\x80\x9cPurple Won,\xe2\x80\x9d with 414k miles on it, for a brand new 2020 Mirage.'",0,0,2961,68,,,
CIRLtt1lRJA,mitsubishimotors,2020-12-01 20:26:06.000000,no,False,b'eclipsecross',b'',b'Take the #EclipseCross for a spin. We promise your adventures will never be the same.',0,0,1697,14,,,
CIRLtt1lRJA,mitsubishimotors,2020-12-01 20:26:06.000000,no,False,b'eclipsecross',b'',b'Take the #EclipseCross for a spin. We promise your adventures will never be the same.',0,0,1697,14,,,
CIOA0hWHMPx,mitsubishimotors,2020-11-30 14:53:20.000000,yes,False,b'mitsubishioutlander',b'',b'Keeping you and yours safe at every turn. #MitsubishiOutlander',3797,9.0,770,15,,,
CILeFKRlkFB,mitsubishimotors,2020-11-29 15:11:08.000000,no,False,b'',b'',"b'Shop Mitsubishi MiGEAR straight from your IG. Click to see our wide range of merch \xe2\x80\x94 from The North Face windbreakers to YETI tumblers, right here in the app.'",0,0,3695,38,,,
CIJLIwbFMjK,mitsubishimotors,2020-11-28 17:47:11.000000,yes,False,b'eclipsecross',b'',b'Connection without compromise. #EclipseCross',6682,8.933,900,24,,,
