shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIZIYpGAmxd,morgan.stanley,2020-12-04 22:30:54.000000,no,False,b'',b'',"b'With healthy precautions against COVID and a series of forward-looking media startups in place, Sanjay Sharma is doing a lot of things right. ""What I\'ve always thought is so powerful and disruptive about the Internet is the ability to over serve underserved audiences,"" he says. Having led companies in gaming and hip-hop media, he\'s moving ahead with a company allowing multicultural creators to tell their own stories. Hear the full conversation on the Access and Opportunity podcast with Carla Harris on all major podcast platforms or the link in our bio.'",0,0,414,6,,,
CIYRKmnAA1i,morgan.stanley,2020-12-04 14:28:32.000000,no,False,b'',b'kelloggschool',"b""It's already time for applications for the 2021 Sustainable Investing Challenge. Since 2014, we've collaborated with the @KelloggSchool of Management to bring teams of graduate students together from across the globe to present their financial solutions to the world's biggest sustainability challenges. Learn how to enter this year's remote competition at the link in our bio.""",0,0,876,7,,,
CIVxc1VMgWD,morgan.stanley,2020-12-03 15:12:55.000000,no,False,b'idpd',b'',"b'\xe2\x80\x9cNone of us know how strong we are until we are truly tested, but I believe that we all have the power to overcome whatever life throws at us,\xe2\x80\x9d shared Victoria Milligan who had to adapt to new perspectives after a life-changing speed boat accident. On the International Day of People with Disabilities, our employee disability network \xe2\x80\x98Enable\xe2\x80\x99 hosted her for an insightful session about disability, mental well-being, grief and resilience, and what we all can do to redefine ability and break perceptions. #IDPD'",0,0,1004,6,,,
CIVxc1VMgWD,morgan.stanley,2020-12-03 15:12:55.000000,no,False,b'idpd',b'',"b'\xe2\x80\x9cNone of us know how strong we are until we are truly tested, but I believe that we all have the power to overcome whatever life throws at us,\xe2\x80\x9d shared Victoria Milligan who had to adapt to new perspectives after a life-changing speed boat accident. On the International Day of People with Disabilities, our employee disability network \xe2\x80\x98Enable\xe2\x80\x99 hosted her for an insightful session about disability, mental well-being, grief and resilience, and what we all can do to redefine ability and break perceptions. #IDPD'",0,0,1004,6,,,
CIRWPAmHlck,morgan.stanley,2020-12-01 21:58:07.000000,no,False,"b'givingtuesday,msgivesback'",b'',"b'There are lots of ways to give back during #GivingTuesday, and now during the pandemic, nonprofits need help more than ever. Learn more about how #MSGivesBack at the link in our bio.'",0,0,601,3,,,
CIO2lOWgat0,morgan.stanley,2020-11-30 22:43:16.000000,yes,False,b'',b'',"b'Making the leap from engineer to CEO takes talent, and it takes ambition. Anthony Hill has both. We\xe2\x80\x99re proud to support him and his company Adapdix as part of our Multicultural Innovation Lab. This is your last chance before applications for next year\xe2\x80\x99s cohort close! Learn more at the link in our bio.'",2490,56.033,141,2,,,
CIJaXytj3Ou,morgan.stanley,2020-11-28 20:00:22.000000,no,False,b'brazil',b'',"b'This week, we\xe2\x80\x99re welcoming our newest interns to Morgan Stanley! 30 interns will remotely join our offices in #Brazil for the next few weeks of the southern hemisphere spring and summer. Click the link in our bio to learn more about our global internship opportunities.'",0,0,1535,16,,,
CII_qPkLiZc,morgan.stanley,2020-11-28 16:06:58.000000,no,False,b'',b'',"b""This year, for the first time, we\xe2\x80\x99re opening up our annual holiday concert to members of the public, though of course it will look a little different from last year's, pictured here.. In a year when we\xe2\x80\x99re all considering new ways to spend the season, why not watch Morgan Stanley employees sing Christmas carols for charity? Click the link in our bio to learn how to join the live stream.""",0,0,795,5,,,
CIDrZ2uA96U,morgan.stanley,2020-11-26 14:33:48.000000,no,False,b'thanksgiving',b'',"b'This #Thanksgiving, we\xe2\x80\x99re giving thanks for our dedicated employees who have given their all in a very challenging year.'",0,0,1281,10,,,
CH_UBG7AulA,morgan.stanley,2020-11-24 21:52:18.000000,no,False,b'',b'',"b'In 2013, a Morgan Stanley Financial Advisor named Greg Donnelly received a cancer diagnosis. He had a tradition of wearing a blue shirt to the office every Thursday for good luck, and to support him during his treatment, his colleagues joined in. When two women in his branch were diagnosed with breast cancer, it quickly transitioned into Blue Shirt, Pink Scarf Thursday as an expression of group support. While Greg lost his battle with cancer, Blue Shirt, Pink Scarf Thursday has become an annual tradition at Morgan Stanley to show our support for colleagues facing what is often an invisible disease. Check out some of the thousands of employees from New Jersey to New Mexico who joined in this year.'",0,0,1234,5,,,
CH3LDpVlMY7,morgan.stanley,2020-11-21 18:00:23.000000,yes,False,b'',b'',"b""90% of the world's data is dark. Here\xe2\x80\x99s how next-generation neuromorphic and quantum computers could bring it to light. Check out the link in our bio for more insights. https://mgstn.ly/3365Xmn""",2940,57.766,198,7,,,
CH2QsO4FMaz,morgan.stanley,2020-11-21 09:30:12.000000,no,False,b'',b'',"b'\xe2\x80\x9cDuring COVID, collaboration and remote connectivity software has been instrumental in driving the shift to remote,\xe2\x80\x9d says Executive Director Athena Theodorou, who specializes in software and healthcare technology banking. \xe2\x80\x9cSoftware is facing important tailwinds, including digitalization, cloud adoption, big data/analytics and IoT, supporting sustainability of future growth.\xe2\x80\x9d Find more insights from our Tech, Media, and Telecom conference at the link in our bio.'",0,0,981,5,,,
CH1EvcmgKIA,morgan.stanley,2020-11-20 22:26:32.000000,no,False,b'',b'',"b'The key for a successful career in tech is \xe2\x80\x98knowing how to translate tech terms into business terms,\xe2\x80\x9d according to Sigal Zarmi, International CIO & Head of Transformation at Morgan Stanley. She was the keynote speaker at Morgan Stanley; Technically Speaking, a one-day virtual event which gave aspiring and experienced technologists the opportunity to join an array of sessions including Artificial Intelligence/Machine Learning and Data Analytics, all hosted by female technologists from Morgan Stanley. Sigal provided candid insights into her professional journey as a technologist and shared what she loves most about working at Morgan Stanley: \xe2\x80\x9cI\xe2\x80\x99m passionate about the firm\xe2\x80\x99s core values, and enjoy seeing how our teams bring exceptional ideas to life, every day.\xe2\x80\x9d To learn more about careers at Morgan Stanley, check the link in our bio.  https://mgstn.ly/33683mp\xe2\x80\x9d'",0,0,650,6,,,
CHzvS6onxG9,morgan.stanley,2020-11-20 09:59:55.000000,no,False,b'tmteu2020',b'',"b'\xe2\x80\x9cOver the past few years, the focus in cybersecurity has shifted from protection to advanced detection and response,\xe2\x80\x9d says Executive Director Xavier Nieto Gandia, who specializes in cybersecurity banking. \xe2\x80\x9cThe main question is how quickly an enterprise can detect and respond to cyberattacks. Rather than relying solely on human intervention, AI-based algorithms are being used to provide advanced detection and machine-speed autonomous response to the most sophisticated cyberattacks.\xe2\x80\x9d For more insights from our virtual Tech, Media, and Telecom conference this week, visit the link in our bio. #TMTEU2020'",0,0,729,4,,,
CHxoLRJr5LP,morgan.stanley,2020-11-19 14:19:13.000000,no,False,b'',b'',"b""For the second year in a row, we asked venture capitalists how conversations about diversity and social justice impact their investing decisions. This year, it's clear that intensified dialogue around racial inequality has captured investor attention and shaped their attitudes and actions towards disparities in funding for multicultural- and women-founded companies, though there is still significant progress to be made. Learn more at the link in our bio.""",0,0,481,1,,,
CHxKiqsgecr,morgan.stanley,2020-11-19 10:00:16.000000,no,False,b'',b'',"b'\xe2\x80\x9cMusic companies are benefitting from emerging use cases\xe2\x80\x94home fitness, social media, original content, interactive gaming\xe2\x80\x94and seeing how their catalogs can be used to further generate return,\xe2\x80\x9d says Executive Director and audiophile Daniel Vyravipillai, who specializes in music and gaming banking. For more insights from our virtual Tech, Media and Telecom conference this week, visit the link in our bio.'",0,0,588,3,,,
CHwF4YYovpW,morgan.stanley,2020-11-19 00:00:21.000000,no,False,b'morganstanleyat85',b'',"b'Today we celebrate 50 years of our operations in Japan. We began with just one banker and one assistant in 1970, and the relationships we\xe2\x80\x99ve built there have allowed us to become one of the most powerful foreign-owned firms in Japanese finance. This year also marks the 10th anniversary of our securities joint venture with MUFG in Japan, underscoring the two firms\xe2\x80\x99 strategic global alliance started in 2008. Together, we\xe2\x80\x99ve been able to provide clients with world-class service and solutions, lead landmark transactions, and accept a series of \xe2\x80\x9cBest Bank\xe2\x80\x9d awards in Japan over the past decade. Learn more at the link in our bio. #MorganStanleyat85'",0,0,917,2,,,
