shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIWM2zXA9ak,nasdaq,2020-12-03 19:12:15.000000,no,False,b'',b'',"b'First Utah, then Romania ... now Times Square? \n\nThe mysterious monolith has been spotted at the crossroads of the world. $MYTH'",0,0,3021,68,,"b'Times Square, New York City'",40.7579445893 -73.9855277538
CIQ5IwtAm_f,nasdaq,2020-12-01 17:43:44.000000,no,False,"b'nasdaqlisted,linkinbio'","b'nasdaq,nasdaq'","b'Today, @Nasdaq filed a proposal with the SEC that would require the boards of directors of #NasdaqListed companies to have, or explain why they do not have, at least two diverse directors and regularly disclose diversity statistics.\n \nVia this proposal, @Nasdaq will:\n:check_mark: Build a framework for companies to recruit diverse candidates for board positions and provide investors with greater transparency on corporate governance.\n:check_mark: Require companies to have, or explain why they do not have, at least two diverse board directors: one who self-identifies as female and one who self-identifies as either an underrepresented minority or LGBTQ+.\n:check_mark: Equip companies with the resources necessary to successfully address board composition planning challenges, with new partner and provider of corporate leadership data solutions, Equilar Inc.\n \nLearn how we are working to drive greater transparency on corporate governance via the #LinkInBio \xe2\x80\x94and scroll through for some thoughts from Nasdaq\xe2\x80\x99s leadership.'",0,0,1135,116,,,
CIDkBaPl7LZ,nasdaq,2020-11-26 13:29:17.000000,yes,False,b'thanksgiving',b'',"b'While different from years past, this #Thanksgiving we are more grateful than ever. \n\nThank you to our healthcare employees, essential workers and people in our community on the frontline who make us stronger, together.'",6957,7.566,1058,27,,,
CHdlFogAHab,nasdaq,2020-11-11 19:34:24.000000,yes,False,"b'veteransday,remembranceday'",b'',"b'On #VeteransDay and #RemembranceDay abroad, we honor all those have have served and are serving. Thank you for your work.'",4242,15.033,588,95,,"b'Times Square, New York City'",40.7579445893 -73.9855277538
CHatwKbAHJ9,nasdaq,2020-11-10 16:56:17.000000,yes,False,b'',"b'nasdaq,missiondriven,eatjust'","b'Which came first, the :rooster: or the :egg:? Trick question! \n\nThe answer is the Earth. :globe_showing_Americas: \n\nAs part of @Nasdaq\xe2\x80\x99s new series @MissionDriven, we check out how @EatJust CEO Josh Tetrick and his company are revolutionizing the food system starting with JUST Eggs, a product made from plant-based proteins, which uses 95% less land, 95% less water, and emits 97% fewer carbon emissions than traditional farming.'",1863,476.248,203,11,,,
CHTWKVbAOaH,nasdaq,2020-11-07 20:04:27.000000,no,False,b'',b'',b'Congratulations to President-elect Joe Biden and Vice President-elect Kamala Harris. :United_States:',0,0,6627,311,,,
CHA6zZYAshz,nasdaq,2020-10-31 16:19:03.000000,no,False,b'linkinbio',"b'nasdaq,brunswickgroup'","b'@Nasdaq Global Head of Sustainability Evan Harvey speaks with @BrunswickGroup\xe2\x80\x99s Amelia Pan for this week\xe2\x80\x99s episode of The ESG Agenda. They discuss the race toward universal reporting standards, evolving definitions of materiality and how market forces influence corporate sustainability in the U.S. Head to the #LinkInBio to listen.'",0,0,465,16,,,
CG-XKO6AMF-,nasdaq,2020-10-30 16:29:07.000000,no,False,"b'covid19,linkinbio'","b'nasdaq,adenatfriedman'","b'Within the capital markets industry, #COVID19 is accelerating adoption of SaaS solutions, cloud computing and advanced data management capabilities.\n\xc2\xa0\nRead @Nasdaq CEO @adenatfriedman\xe2\x80\x99s latest thoughts on how we expect this trend to remain as these technologies continue to mature in the years ahead at our #LinkInBio.'",0,0,649,6,,,
CG8Uag5AT1J,nasdaq,2020-10-29 21:26:39.000000,no,False,b'rewritetomorrow',b'nasdaq',"b""How it started :right_arrow_selector: How it's going\n\nAt @Nasdaq, we constantly evolve, but our commitment to #RewriteTomorrow remains a constant.""",0,0,1488,31,,b'Nasdaq',40.7564183062 -73.9860751263
CG7zR3BANmI,nasdaq,2020-10-29 16:37:07.000000,no,False,b'allegroipo',b'nasdaq',"b'Another day, another fantastic bell ceremony at @Nasdaq MarketSite! :bell: \n\nToday, we welcomed the Allegro MicroSystems to our Times Square location in honor of #AllegroIPO.\n\n:globe_showing_Americas: Trading under $ALGM, the company is a global leader in power and sensing solutions, working to move the world toward a safer and more sustainable future!'",0,0,750,16,,b'NASDAQ MarketSite',40.7563 -73.986
CG53ujogOVk,nasdaq,2020-10-28 22:44:24.000000,yes,False,"b'rootipo,nasdaqlisted'","b'rootinsurance,nasdaq'",b'@RootInsurance is on a mission to repair the insurance industry\xe2\x80\x94and the #ROOTIPO today is only the beginning! :collision:\n\n\xc2\xa0Welcome to the @Nasdaq family. #NasdaqListed',2702,30.033,304,3,,b'NASDAQ MarketSite',40.7563 -73.986
CG5QrSCAO6V,nasdaq,2020-10-28 16:56:16.000000,no,False,b'rootipo',"b'nasdaq,rootinsurance,nasdaq'","b'How it feels to ring the @Nasdaq opening bell, as told by @RootInsurance! :right_arrow_selector::party_popper:\n\nCongratulations to the team on today\xe2\x80\x99s #ROOTIPO, now trading on @Nasdaq under $ROOT.'",0,0,666,12,,b'NASDAQ MarketSite',40.7563 -73.986
CG5O-JNgX39,nasdaq,2020-10-28 16:44:51.000000,yes,False,b'rootipo',"b'rootinsurance,nasdaq'","b"":light_bulb: This morning, @RootInsurance CEO and Co-Founder Alex Timm rang @Nasdaq\xe2\x80\x99s opening bell in celebration of #ROOTIPO! \n\n:laptop_computer: As a technology company dedicated to revolutionizing personal insurance, $ROOT's pricing model is based upon fairness and a modern customer experience.\n\nCongratulations to all involved! :party_popper:""",3471,119.838,283,2,,,
CG5IkxzAJzo,nasdaq,2020-10-28 15:52:41.000000,yes,False,b'rootipo',"b'rootinsurance,nasdaq,rootinsurance'","b':seedling: It\xe2\x80\x99s a great day to celebrate @RootInsurance! \n\nToday, we\xe2\x80\x99re at our @Nasdaq MarketSite location in Times Square to host an opening bell ceremony with the @RootInsurance team\xe2\x80\x94and celebrate #ROOTIPO! :party_popper:\n\n:eyes: Head to our Instagram Stories for a look behind-the-scenes.'",1975,29.358,277,2,,b'NASDAQ MarketSite',40.7563 -73.986
CGpyisXgMLY,nasdaq,2020-10-22 16:47:07.000000,yes,False,"b'nasdaqlisted,mcafeeipo'","b'mcafee,nasdaq,mcafee'","b':check_mark:680 Million+ Total Devices\n:check_mark: 2,000+ Security Patents Worldwide \n:check_mark: #NasdaqListed \n\nToday, we\xe2\x80\x99re thrilled to welcome @McAfee to the @Nasdaq family! :party_popper:\n\nNow trading under $MCFE, @McAfee is a device-to-cloud cybersecurity company helping users protect what matters in the workplace, at home, and beyond! :magnifying_glass_tilted_left::laptop_computer: #McAfeeIPO'",7778,7.569,974,32,,,
