shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYAOs8jaTx,natwest,2020-12-04 12:00:24.000000,no,False,"b'natwest,takefive,scamming,scams,scammers,scamalert,fraud,beware,friendsagainstscams,actionfraud,stayalert,fraudalert,protectyourself'",b'',"b""Have you noticed how much more email you get around this time of year? Scammers love to catch people out with fake offers. So don't open anything you didn't sign up for and watch out for emails or texts offering free gifts. Click on the link and you could end up with a computer virus. Delete anything that looks suspicious. And don't forget, if an offer looks too good to be true, it's probably a scam.\n\nSee link in bio to read up on how to protect yourself from the latest scams.\n.\n.\n.\n.\n.\n#NatWest #TakeFive #Scamming #Scams #Scammers #ScamAlert #Fraud #Beware #FriendsAgainstScams #ActionFraud #StayAlert #FraudAlert #ProtectYourself\n.\n.\nhttps://personal.natwest.com/personal/fraud-and-security/fraud-guide.html?extcam=SCM_INST_ORG""",0,0,33,3,,,
CIXrm3ZnUdx,natwest,2020-12-04 09:00:12.000000,no,False,"b'natwest,takefive,scamming,scams,scammers,scamalert,fraud,beware,friendsagainstscams,actionfraud,stayalert,fraudalert,protectyourself'",b'',"b'Send delivery scams packing! If you\xe2\x80\x99ve done your Christmas shopping online, you\xe2\x80\x99ll now be swamped with text and email delivery updates. But keep a close eye on them. Fake delivery notices are being reported by customers right now and we don\xe2\x80\x99t want anyone to be caught out. Please share this with loved ones who may not be on social media.\n\n*What to look out for*\nAny message stating a driver has tried to deliver your parcel and asking you to click a link to reschedule. Then, being asked to enter sensitive info like your date of birth, mobile number and card details. If you submit personal data, scammers could use it to call you up or access your bank account. \n\n*How to stay safe*\n- Double and triple check delivery messages. \n- Make sure they link up to genuine orders. Does the message mention the goods you ordered or the company you ordered from?\n- Check the message addresses you by name rather than just your email address or a basic \xe2\x80\x98Dear customer\xe2\x80\x99. \n- Look for tell-tale signs such as spelling and grammar mistakes.\n- Don\xe2\x80\x99t submit any personal info like date of birth, card details or mobile number. Genuine delivery messages don\xe2\x80\x99t ask for this and don\xe2\x80\x99t ask for payment to re-deliver parcels.\n- Delete anything dodgy, especially if you\xe2\x80\x99re not expecting a delivery, and if you\xe2\x80\x99re not sure, don\xe2\x80\x99t click the link. Delete the message and get in touch with the retailer you purchased from.\n\nTo stay up to date on the latest scams, see link in bio to check out our fraud guide.\n.\n.\n.\n.\n.\n#NatWest #TakeFive #Scamming #Scams #Scammers #ScamAlert #Fraud #Beware #FriendsAgainstScams #ActionFraud #StayAlert #FraudAlert #ProtectYourself\n.\n.\nhttps://personal.natwest.com/personal/fraud-and-security/fraud-guide.html?extcam=SCM_INST_ORG'",0,0,49,6,,,
CIXkwx7j9s1,natwest,2020-12-04 08:00:23.000000,no,False,"b'natwest,takefive,scamming,scams,scammers,scamalert,fraud,beware,friendsagainstscams,actionfraud,stayalert,fraudalert,protectyourself'",b'',"b""Are you still rushing to tick everything off the Christmas online shopping list?  Make sure you take time to think about the websites you're using to keep your personal data safe.\n\nDon't give away any personal or secure information on sites you're not sure about. And if anyone ever asks you for info such as bank login details, passcodes, card reader codes, remote access to your device or asks you to move money from your account, don't do it. It's a scam.\n\nFor all the latest updates on protecting yourself from fraud and scams, see link in bio to visit our fraud guide.\n.\n.\n.\n.\n.\n#NatWest #TakeFive #Scamming #Scams #Scammers #ScamAlert #Fraud #Beware #FriendsAgainstScams #ActionFraud #StayAlert #FraudAlert #ProtectYourself\n.\n.\nhttps://personal.natwest.com/personal/fraud-and-security/fraud-guide.html?extcam=SCM_INST_ORG""",0,0,28,0,,,
CIS2r_yo-gK,natwest,2020-12-02 12:01:07.000000,yes,False,"b'natwest,moneydiaries,cosmopolitanuk,natwestmobileapp,mobilebanking,moneymakeover,moneysavingtips,moneytips,savingsgoals,moneysaver,financialplanning,budgeting'",b'cosmopolitanuk',"b'In your pocket 24/7. From keeping tabs on what you\xe2\x80\x99re spending and saving to withdrawing cash without your card, the NatWest app helps you manage your money better. It\xe2\x80\x99s easy to use, simple to navigate and could help you get into better money habits. It\xe2\x80\x99s also getting a thumbs up from the women in @CosmopolitanUK \xe2\x80\x99s Home Made House. For more info see link in bio. \n\nApp available to customers aged 11+ with compatible iOS and Android devices and a UK or international mobile number in specific countries. Withdraw up to \xc2\xa3130 every 24 hours at our branded ATMs. You must have at least \xc2\xa310 available in your account and an active debit card (locked or unlocked).\n.\n.\n.\n.\n.\n#NatWest #MoneyDiaries #CosmopolitanUK #NatWestMobileApp #MobileBanking #MoneyMakeOver #MoneySavingTips #MoneyTips #SavingsGoals #MoneySaver #FinancialPlanning #Budgeting\n.\n.\nhttps://personal.natwest.com/personal/banking-with-natwest/natwest-app/features.html?extcam=SCM_INST_ORG'",278,50.666,16,0,,,
CISo9AEo7_9,natwest,2020-12-02 10:01:06.000000,yes,False,"b'natwest,cosmopolitanuk,moneydiaries,moneymakeover,financialhealthcheck,moneysavingtips,moneytips,savingsgoals,moneysaver,financialplanning,budgeting,futureplanning,frugalliving,frugallife,debtfreejourney'",b'',b'Get help turning your goals into reality. Book in for your own Financial Health Check and find out how we could help you hit your money goals. One of our Senior Personal Bankers will listen to your money situation and talk you through what you could do to make things better.  Speak to us either via video or over the phone and we can help you put a plan together. \n\nAnyone can book a Financial Health Check. You don\xe2\x80\x99t have to be a NatWest customer. For more info see link in bio. \n\nFinancial Health Checks via Video Banking available between 8am \xe2\x80\x93 8pm Monday to Friday and 9am \xe2\x80\x93 3pm Saturdays. Video Banking may be recorded.\n.\n.\n.\n.\n.\n#NatWest #CosmopolitanUK #MoneyDiaries #MoneyMakeOver #FinancialHealthCheck #MoneySavingTips #MoneyTips #SavingsGoals #MoneySaver #FinancialPlanning #Budgeting #FuturePlanning #FrugalLiving #FrugalLife #DebtFreeJourney\n.\n.\nhttps://personal.natwest.com/personal/financial-health-check.html?extcam=SCM_INST_ORG',224,59.966,11,0,,,
CISbO8voPBT,natwest,2020-12-02 08:01:10.000000,yes,False,"b'natwest,cosmopolitanuk,moneydiaries,moneymakeover,natwestaccount,bankaccount,bestbankaccounts,currentaccounts,savingsgoals,studentbankaccounts,mobilebanking'",b'',b'Tick it off your to do list. It\xe2\x80\x99s super easy to set up a NatWest account via our website. Once your account\xe2\x80\x99s set up you can download the app and use it to manage your money. Why not use it to help you save more in 2021? For more info see link in bio.\xef\xbf\xbd\xef\xbf\xbdApp available to customers aged 11+ with compatible iOS and Android devices and a UK or international mobile number in specific countries.\n.\n.\n.\n.\n.\n#NatWest #CosmopolitanUK #MoneyDiaries #MoneyMakeOver #NatWestAccount #BankAccount #BestBankAccounts #CurrentAccounts #SavingsGoals #StudentBankAccounts #MobileBanking \n.\n.\nhttps://personal.natwest.com/personal/current_accounts.html?extcam=SCM_INST_ORG',237,48.933,14,0,,,
CIQR3wAod4-,natwest,2020-12-01 12:00:38.000000,no,False,"b'natwest,savingsgoals,moneysavingtips,moneytips,savingsgoals,moneysaver,financialplanning,budgeting,futureplanning,frugalliving,frugallife'",b'',"b'Finding small ways to save daily all adds ups. Like swapping brand names for supermarket own or learning how to meal plan. It\xe2\x80\x99s all about getting into the habit till it becomes routine. Open a Digital Regular Saver account and get into the habit of saving up to \xc2\xa350 monthly and we\xe2\x80\x99ll reward you with 3% Gross/3.04% AER p.a. (variable) interest on your first \xc2\xa31,000 of savings. \n\nTo find out about all the savings accounts we offer, including Digital Regular Saver, see link in bio. \n\nPay in \xc2\xa31- \xc2\xa350 a month, 18+, UK resident with existing current account. Balances over \xc2\xa31,000, 0.01% AER/Gross p.a. (variable).\n.\n.\n.\n.\n.\n#NatWest #SavingsGoals #MoneySavingTips #MoneyTips #SavingsGoals #MoneySaver #FinancialPlanning #Budgeting #FuturePlanning #FrugalLiving #FrugalLife \n.\n.\nhttps://personal.natwest.com/personal/savings.html?extcam=SCM_INST_ORG'",0,0,35,1,,,
CIP9RFyDOCY,natwest,2020-12-01 09:00:35.000000,no,False,"b'givingtuesday,natwest,natwestrewards,myrewards,community,socialgood,instagood,donation,doubledonation,donate'",b'',"b'#GivingTuesday is a time people across the globe come together to give something back to the causes that mean the most to them. It doesn\xe2\x80\x99t have to be money. There are many other ways to give back. Your time, your skills, even a small donation to a food bank.\n\nYou can also donate your Rewards to one of our 11 nominated charities. When you do, we\xe2\x80\x99ll match what you give up to the value of \xc2\xa350, from 19th November to 31st December, until we reach a total of \xc2\xa3100,000.\n\xc2\xa0\nTo find out how to check your Rewards balance and make a donation, see link in bio.\n\nTo apply for any Reward account, you must be 18+ and a UK resident. Specific Reward eligibility criteria apply. Account fees apply. To donate Rewards you need to have a balance equivalent of \xc2\xa35 or more.\n.\n.\n.\n.\n.\n#NatWest #NatWestRewards #MyRewards #Community #SocialGood #InstaGood #Donation #DoubleDonation #Donate\n.\n.\nhttps://personal.natwest.com/personal/myrewards.html?extcam=SCM_INST_ORG'",0,0,24,0,,,
CIP2XQrD9Ot,natwest,2020-12-01 08:00:16.000000,no,False,"b'natwest,savingsgoals,moneysavingtips,moneytips,savingsgoals,moneysaver,financialplanning,budgeting,futureplanning,frugalliving,frugallife'",b'',"b'We all have projects, plans and dreams that we want to save for. To help get you started, why not think about opening a Digital Regular Saver account. If you save between \xc2\xa31 to \xc2\xa350 monthly, we\xe2\x80\x99ll reward you with 3% Gross / 3.04% AER p.a. (variable) interest on your first \xc2\xa31,000 of savings. \xef\xbf\xbd\xef\xbf\xbdTo find out about all the savings accounts we offer, including Digital Regular Saver, see link in bio. \n\n18+, UK resident with existing current account. Balances over \xc2\xa31,000, 0.01% AER/Gross p.a. (variable).\n.\n.\n.\n.\n.\n#NatWest #SavingsGoals #MoneySavingTips #MoneyTips #SavingsGoals #MoneySaver #FinancialPlanning #Budgeting #FuturePlanning #FrugalLiving #FrugalLife \n.\n.\nhttps://personal.natwest.com/personal/savings.html?extcam=SCM_INST_ORG'",0,0,28,1,,,
CINtCF3oBvj,natwest,2020-11-30 12:00:15.000000,no,False,"b'natwest,savingsgoals,natwestsavingsgoals,moneysavingtips,frugal,moneytips,moneysaver,financialplanning,budgeting,savingmoney,saving,moneysaver,personalfinance,frugalliving'",b'',"b'We can often feel the pressure to keep up with a partner or friends in terms of spending, even if we can\xe2\x80\x99t really afford it. Having an honest conversation with them about your money situation and your goals can make it a lot easier. You can then try and find less expensive activities to do together in future, which could help you stick to your savings goal.\n.\n.\n.\n.\n.\n#NatWest #SavingsGoals #NatWestSavingsGoals #MoneySavingTips #Frugal #MoneyTips #MoneySaver #FinancialPlanning #Budgeting #SavingMoney #Saving #MoneySaver #PersonalFinance #FrugalLiving'",0,0,24,1,,,
