shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIZL0CRhRHE,nbc,2020-12-04 23:01:27.000000,yes,False,b'',b'matthewmorrison',b':Christmas_tree: Catch @matthewmorrison as The Grinch Wednesday 8/7c on NBC! :Christmas_tree:',41686,157.408,2462,46,,,
CIYilRVDlVk,nbc,2020-12-04 17:01:33.000000,yes,False,b'nurses',b'',"b""Welcome to the frontline. Don't miss the season premiere of #Nurses \xe2\x80\x94 Monday at 10/9c on NBC.""",26758,105.066,1533,92,,,
CIWAHfkBU_F,nbc,2020-12-03 17:20:56.000000,no,False,b'rockcenterxmas',b'',"b""How it started vs. How it's going #RockCenterXMAS""",0,0,4136,65,,,
CIUhT6Zsq6y,nbc,2020-12-03 03:32:31.000000,no,False,b'rockcenterxmas',b'',"b""It's the most wonderful time of the year. :smiling_face_with_heart-eyes::Christmas_tree: #RockCenterXMAS""",0,0,6871,82,,,
CIUcln6sBms,nbc,2020-12-03 02:51:14.000000,no,False,"b'rockcenterxmas,rockettesonnbc'",b'',b'The stars of #RockCenterXMAS and #RockettesOnNBC are definitely bringing the sparkle this holiday season. :glowing_star::Christmas_tree:',0,0,5372,45,,,
CITSGvADvc8,nbc,2020-12-02 16:00:24.000000,no,False,"b'rockcenterxmas,rockettesonnbc'",b'',"b'Our favorite holiday tradition is nearly here. :Christmas_tree: TONIGHT :Christmas_tree: join us for #RockCenterXMAS at 8/7c on NBC, followed by #RockettesOnNBC!'",0,0,4088,116,,,
CIRkokmj2eP,nbc,2020-12-02 00:03:57.000000,yes,False,b'willandgrace',b'',b'Nothing brings people together quite like shared hatred. :face_with_tears_of_joy: #WillAndGrace',7724,13.1,850,12,,,
CIRJTGoBfKD,nbc,2020-12-01 20:04:58.000000,no,False,b'rockcenterxmas',b'',"b':evergreen_tree:+:glowing_star:=:Christmas_tree: ! Tomorrow, join us for the annual tree lighting at #RockCenterXMAS \xe2\x80\x94 8 PM ET on NBC.'",0,0,2719,34,,,
CIO4vDlMNNu,nbc,2020-11-30 23:01:45.000000,no,False,b'thevoice',b'',"b""You already know we're arriving in style for #TheVoice live shows tonight. :star-struck:""",0,0,2042,32,,,
CIOWUCcAjzG,nbc,2020-11-30 18:00:58.000000,no,False,b'svu',b'',"b""When Captain Benson is on set, you know who's in charge. #SVU""",0,0,2786,25,,,
CIJhOEdBP7_,nbc,2020-11-28 21:00:17.000000,yes,False,b'nurses',b'',"b'Their work has only just begun. #Nurses premieres Monday, December 7 at 10/9c on NBC.'",11371,30.066,1307,77,,,
CIJFy6iDq0C,nbc,2020-11-28 17:00:26.000000,no,False,b'superstore',b'',"b""It's Friendship 101. #Superstore""",0,0,3528,76,,,
CIG1nwSBpc-,nbc,2020-11-27 20:00:37.000000,no,False,b'minions',"b'illuminationent,minions'","b""@illuminationent's first @minions Holiday Special is HERE! :Christmas_tree: Jump into the holiday spirit and catch a sneak peek at #Minions: Rise of Gru \xe2\x80\x94 TONIGHT at 8:30 PM EST on NBC.""",0,0,2131,60,,,
CIGn6gEFORN,nbc,2020-11-27 18:01:05.000000,yes,False,b'youngrock',b'nbc',"b'We only know how to do it big. #YoungRock is coming to @NBC, February 2021.'",8110,30.066,947,29,,,
