shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYdy9EAHGw,nestle,2020-12-04 16:18:45.000000,no,False,"b'climateaction,netzero,nestl\xc3\xa9'",b'',"b'Beyond reducing our greenhouse gas emissions, there is enormous potential to remove gases from the atmosphere by harnessing nature\xe2\x80\x99s own solutions. Visit the link in our bio to learn more\xe2\x80\xa6 :up_arrow_selector: \xe2\xa0\x80\n \xe2\xa0\x80\n#ClimateAction #NetZero #Nestl\xc3\xa9'",0,0,713,30,,,
CIV8PLSAAqB,nestle,2020-12-03 16:47:20.000000,yes,False,"b'climateaction,netzero,nestl\xc3\xa9'",b'',b'The time to act is now! :alarm_clock::globe_showing_Americas:\xe2\xa0\x80\nWe\xe2\x80\x99ve published our detailed and time-bound plan on how we\xe2\x80\x99ll halve our emissions by 2030 and achieve net zero by 2050. Visit the link in our bio to learn more\xe2\x80\xa6 :up_arrow_selector:\xe2\xa0\x80\n \xe2\xa0\x80\n#ClimateAction #NetZero #Nestl\xc3\xa9',2514,59.733,306,67,,,
CIU4aeGgzNp,nestle,2020-12-03 06:54:38.000000,yes,False,"b'climateaction,netzero,nestl\xc3\xa9'",b'',b'We\xe2\x80\x99re redoubling efforts to combat climate change! :globe_showing_Americas:\xe2\xa0\x80\nWe\xe2\x80\x99ll halve our greenhouse gas emissions by 2030 and achieve net zero by 2050 \xe2\x80\x93 even as we continue to grow. Visit the link in our bio to learn more\xe2\x80\xa6 :up_arrow_selector: \xe2\xa0\x80\n\xe2\xa0\x80\n#ClimateAction #NetZero #Nestl\xc3\xa9',4046,26.1,683,47,,,
CIOepWBg0Ee,nestle,2020-11-30 19:13:57.000000,yes,False,"b'climateaction,netzero,renewableelectricity,nestl\xc3\xa9'",b'',"b'We want to use 100% renewable electricity in our factories, warehouses, logistics and offices :light_bulb::high_voltage: \xe2\xa0\x80\n \xe2\xa0\x80\nDid you know a third of our factories are already using 100% renewable electricity? Visit the link in our bio to learn more\xe2\x80\xa6 :up_arrow_selector:\xe2\xa0\x80\n \xe2\xa0\x80\n#ClimateAction #NetZero #RenewableElectricity #Nestl\xc3\xa9'",2072,30.033,277,49,,,
CIGDDITgc9G,nestle,2020-11-27 12:39:02.000000,yes,False,"b'climateaction,netzero,plantbased,nestl\xc3\xa9'",b'',"b""We're introducing nutritious and great-tasting plant-based meat and dairy alternatives with a favorable environmental footprint.\xe2\xa0\x80\n:seedling: :globe_showing_Americas:\xe2\xa0\x80\nIt's all part of our strategy to tackle climate change and reach net zero emissions by 2050. Visit the link in our bio to learn more\xe2\x80\xa6 :up_arrow_selector:\xe2\xa0\x80\n\xe2\xa0\x80\n#ClimateAction #NetZero #PlantBased #Nestl\xc3\xa9""",7494,3.5,821,22,,,
CIEKZi3AOu5,nestle,2020-11-26 19:04:27.000000,no,False,"b'climateaction,netzero,renewableelectricity,nestl\xc3\xa9'",b'',"b""Climate change is one of the most important global issues of our time. That's why we're:\xe2\xa0\x80\n:down_arrow_selector: Reducing our greenhouse gas emissions\xe2\xa0\x80\n:sun_selector: Switching to renewable electricity\xe2\xa0\x80\n:recycling_symbol_selector: Tackling plastic waste\xe2\xa0\x80\nVisit the link in our bio to learn more\xe2\x80\xa6 :up_arrow_selector:\xe2\xa0\x80\n \xe2\xa0\x80\n#ClimateAction #NetZero #RenewableElectricity #Nestl\xc3\xa9""",0,0,408,23,,,
CH95VRxgegp,nestle,2020-11-24 08:40:02.000000,yes,False,"b'healthierkids,nestl\xc3\xa9,goodlife'",b'',"b'Getting kids involved in the kitchen can teach them life-long lessons! :fork_and_knife_with_plate_selector:\xe2\xa0\x80\nB\xc3\xa1rbara, from Nestl\xc3\xa9 Chile, gets her kids involved by preparing weekly meal plans - highlighting the importance of using the right amount of fruits, vegetables, good quality proteins, and wholegrain cereals rich in fiber. Check out our advice for getting kids involved in the kitchen (link in bio :up_arrow_selector:)\xe2\xa0\x80\n \xe2\xa0\x80\n#HealthierKids #Nestl\xc3\xa9 #GoodLife'",1826,25.993,221,14,,,
CHznFjxAc0a,nestle,2020-11-20 08:48:10.000000,yes,False,"b'worldchildrensday,healthierkids,nestl\xc3\xa9,goodlife'",b'',"b""Today is #WorldChildrensDay! Did you know that we're helping 50 million children lead healthier lives by 2030? Nestl\xc3\xa9 for Healthier Kids brings together all our efforts to support parents and caregivers to raise healthier kids. Want to know more? Visit the link in our bio :up_arrow_selector:\xe2\xa0\x80\n \xe2\xa0\x80\n \xe2\xa0\x80\n#HealthierKids #Nestl\xc3\xa9 #GoodLife""",2209,12.2,292,34,,,
CHve1FAgrD3,nestle,2020-11-18 18:20:21.000000,yes,False,"b'healthierkids,nestl\xc3\xa9,goodlife'",b'',"b'How do you encourage kids to eat more fruits and vegetables? Shiren, from Nestl\xc3\xa9 Australia, shares her experience using colors to encourage her daughter to embrace healthier ingredients in her favorite dishes. We\xe2\x80\x99ve put together a list of ideas (link in bio :up_arrow_selector:)\xe2\xa0\x80\n \xe2\xa0\x80\n#HealthierKids #Nestl\xc3\xa9 #GoodLife'",1896,26.086,227,13,,,
CHpi080gqG4,nestle,2020-11-16 10:58:36.000000,yes,False,"b'healthierkids,nestl\xc3\xa9,goodlife'",b'',"b""Want to know more about involving kids in meal preparation? :fork_and_knife_with_plate_selector:\xe2\xa0\x80\nAs Maria from Nestl\xc3\xa9 Russia highlights, it's about two things; spending quality time together and having fun in the kitchen. Discover our tips and tricks (link in bio) :up_arrow_selector:\xe2\xa0\x80\n \xe2\xa0\x80\n#HealthierKids #Nestl\xc3\xa9 #GoodLife""",2324,26.7,256,40,,,
