shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIZLwnmlGv1,netflix,2020-12-04 23:00:24.000000,no,False,b'',b'',"b""emotionally, spiritually, mentally I'm here...""",0,0,614669,1175,,,
CIY3QpyF5lE,netflix,2020-12-04 20:01:16.000000,no,False,b'',b'',"b'Gary, Amanda, Lily in Mank. Mesmerizing in :black_large_square: and :white_large_square:\n\n:camera_with_flash: by Giselle Schmid,\xc2\xa0Miles Crist and by Nikolai Loveikis'",0,0,282394,1067,,,
CIYgcWZnOa9,netflix,2020-12-04 16:42:03.000000,yes,False,b'',b'selenanetflix',b'this is my friday mood @selenanetflix is now streaming!',1053498,15.466,222088,2335,,,
CIWt1A2ARRB,netflix,2020-12-04 00:00:22.000000,no,False,b'',b'',b'i think we can all agree that :pizza: > everything',0,0,349825,2690,,,
CIWZO4Knicx,netflix,2020-12-03 21:01:34.000000,yes,False,b'',b'',b'who wants to play this royal game with me? :princess: :crown:',641070,92.433,117026,443,,,
CIVwDlNnQRQ,netflix,2020-12-03 15:01:12.000000,yes,False,b'',b'sabrinanetflix',b'this is the only way to end a year from hell. @sabrinanetflix',1011591,121.41,249136,2950,,,
CIULFlDM0wP,netflix,2020-12-03 00:18:19.000000,no,False,b'',b'julieandthephantoms',b':musical_notes: yes I\xe2\x80\x99m still crying to unsaid emily :musical_note:  @julieandthephantoms',0,0,312233,2938,,,
CIT7XmUDnAN,netflix,2020-12-02 22:00:58.000000,no,False,b'',b'',b'games night with beth harmon',0,0,356175,1054,,,
CITt3sIJhZa,netflix,2020-12-02 20:03:10.000000,yes,False,b'theprincessswitch',b'',"b'for legal reasons this is a joke, probably #theprincessswitch'",619494,19.5,162069,677,,,
CITf4Ecjyqh,netflix,2020-12-02 18:00:44.000000,no,False,b'',b'',"b'Swipe through the carousel to help Viscount Tewkesbury, Marquess of Basilwether escape his bag.'",0,0,603654,1518,,,
CIRd2lsAA6b,netflix,2020-12-01 23:04:47.000000,yes,False,b'',b'',b'is it just me or does The Grinch feel especially relevant this December?',892141,28.8,223822,1253,,,
CIRIyWhsofN,netflix,2020-12-01 20:00:58.000000,yes,False,b'',"b'dualipa,thekillers,nineinchnails,natalialafourcade'","b'@dualipa , @thekillers , @nineinchnails  and @natalialafourcade  talk about how they created their hit songs... incredibly inspiring'",370486,108.364,79952,346,,,
