shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIZLz40hkgn,nintendo,2020-12-04 23:01:42.000000,yes,False,b'nintendominute',b'',b'Can you name every K.K. Slider song? Play along with Kit & Krysta on the latest episode of #NintendoMinute!',195916,590.9,29823,472,,,
CIWAVOpLcs7,nintendo,2020-12-03 17:22:57.000000,no,False,"b'mariotennis,fitnessboxing2,justdance2021,nintendoswitch'",b'serenawilliams',"b""Whether she's commanding the courts in the #MarioTennis Aces game, throwing hooks in #FitnessBoxing2, or showing off her dance moves in #JustDance2021, @serenawilliams always strives to win. #NintendoSwitch helps her stay on top of her game.""",0,0,82401,878,,,
CITSEZPjQWD,nintendo,2020-12-02 16:00:14.000000,no,False,b'',b'',"b""BRRRRRR\xe2\x80\xa6 Don't forget to bundle up and stay warm this upcoming winter!""",0,0,319064,2442,,,
CIOIeXaHxmz,nintendo,2020-11-30 16:00:02.000000,no,False,b'supernintendoworld',b'universal_studios_japan',b'The world of Nintendo games comes to life when #SUPERNINTENDOWORLD opens @universal_studios_japan on 2-4-21!',0,0,354198,7792,,,
CIHKLNCFXAD,nintendo,2020-11-27 23:01:22.000000,yes,False,b'nintendominute',b'',b'Kit & Krysta go on an epic shopping spree and buy items to donate to Starlight Foundation on the latest #NintendoMinute episode!',154868,712.7,18710,254,,,
CID1TOtDuK3,nintendo,2020-11-26 16:00:14.000000,no,False,"b'thanksgiving,nintendoswitch'",b'',b'Happy #Thanksgiving! What #NintendoSwitch games are you playing today?',0,0,67798,2199,,,
CIBzR8VHrTb,nintendo,2020-11-25 21:03:57.000000,no,False,"b'animalcrossing,acnh'",b'',b'Swipe right to get cooking! We hope you enjoy Turkey Day tomorrow in #AnimalCrossing: New Horizons! #ACNH',0,0,62381,576,,,
CH-yqwwgc6Z,nintendo,2020-11-24 17:01:31.000000,yes,False,b'mariokart',b'',"b'The holidays are right around the corner, and a few Red Shells too! Check out this fall-themed #MarioKart Live: Home Circuit course to get you racing into the autumn mood!'",142530,98.257,26135,464,,,
CH8iYKmFd6r,nintendo,2020-11-23 20:00:11.000000,no,False,"b'justdance2021,nintendoswitch'",b'',b'40 of the hottest tracks means 40 reasons to get up and DANCE! :woman_dancing: #JustDance2021 is available now on #NintendoSwitch.',0,0,26971,303,,,
CH8TolenBmX,nintendo,2020-11-23 17:59:15.000000,yes,False,"b'fitnessboxing2,nintendoswitch'",b'',"b'Get warmed up with the free demo for #FitnessBoxing2: Rhythm & Exercise, available now on your #NintendoSwitch :woman_running_selector:'",110173,33.633,18113,241,,,
CH3I2QbM_Ly,nintendo,2020-11-21 17:40:59.000000,yes,False,b'hyrulewarriors',b'',"b'Zelda unites a group of warriors to stand against Calamity Ganon. Meanwhile, with the fate of Hyrule at stake, she struggles to awaken her powers. \n\nJoin in their fight against overwhelming odds in #HyruleWarriors: Age of Calamity, available now!\n \nhttp://ninten.do/6016pGJRp'",180066,102.966,39575,754,,,
CH1JCS6DYEn,nintendo,2020-11-20 23:13:47.000000,yes,False,b'nintendominute',b'',b'Take a first look at the super cool Puma x Super Mario collection with Kit & Krysta on this week\xe2\x80\x99s episode of #NintendoMInute!',251347,666.3,32881,796,,,
CHs34OiBud1,nintendo,2020-11-17 18:00:15.000000,no,False,b'nintendoswitch',b'brielarson',"b'Squeezing some stress relief in between her busy schedule, getting up and active, and connecting with the people closest to her. #NintendoSwitch helps @brielarson make time for life\xe2\x80\x99s simple, yet sometimes forgotten moments.'",0,0,44313,1004,,,
CHsqPZIDmQL,nintendo,2020-11-17 16:01:31.000000,yes,False,b'animalcrossing',b'',"b'New seasonal events, Reactions, hairstyles, save data transfer, and more! Get ready to celebrate the heartwarming holiday festivities with the free Winter update, coming to #AnimalCrossing: New Horizons on 11/19!'",347190,120.342,67516,1634,,,
CHsVoNonuOC,nintendo,2020-11-17 13:02:28.000000,yes,False,b'legosupermario',b'lego',"b'You\xe2\x80\x99ve explored your own Super Mario levels with pixels, now make them with @LEGO bricks! The all-new #LEGOSuperMario Master Your Adventure Maker Set arrives 1/1/2021!'",275994,96.0,31492,341,,,
CHjITx7sSIs,nintendo,2020-11-13 23:12:28.000000,yes,False,"b'hyrulewarriors,nintendominute'",b'',b'How many enemies can Kit & Krysta K.O. in #HyruleWarriors: Age of Calamity? Find out on this week\xe2\x80\x99s episode of #NintendoMinute!',112719,878.166,17941,182,,,
CHioL6hHdxF,nintendo,2020-11-13 18:31:25.000000,yes,False,b'supermario',b'',"b'Check out this unboxing of the Game & Watch: Super Mario Bros.! Experience a new piece of #SuperMario history with the original Super Mario Bros. game, a digital clock, and more!'",149983,178.466,27966,293,,,
CHiXhj3nVGf,nintendo,2020-11-13 16:05:07.000000,yes,False,b'',b'',b'A new piece of Super Mario history is here! The Game & Watch: Super Mario Bros. system is available now at your local retailers!',129136,21.233,29562,404,,,
CHf8vFUnv5y,nintendo,2020-11-12 17:32:24.000000,no,False,"b'animalcrossing,nintendoswitch'",b'',"b'From sneaking in some quality time on her #AnimalCrossing: New Horizons island, to putting her \xe2\x80\x9cMario Kart Queen from Queens\xe2\x80\x9d title on the line against friends and family, #NintendoSwitch brings some fun into awkwafina\xe2\x80\x99s on-the-move lifestyle.'",0,0,56543,366,,,
CHYXSi7n5Qr,nintendo,2020-11-09 19:31:19.000000,yes,False,b'fitnessboxing2',b'',"b'Get fired up with Janice in #FitnessBoxing2: Rhythm & Exercise! Get your workout going with new trainers and songs from Marshmello, Katy Perry, and more :speaker_high_volume:'",142923,30.45,19756,278,,,
CHX2FyhgPmi,nintendo,2020-11-09 14:00:59.000000,yes,False,b'',b'',"b'November has arrived in Animal Crossing: New Horizons, and that means more Fall changes and discoveries! Find mushrooms around certain trees and stumps, and later this month, scoop up maple leaves floating around your island!'",330208,75.783,64219,689,,,
CHGQJUiHAZt,nintendo,2020-11-02 18:01:45.000000,no,False,b'supermario',b'',"b'The Game & Watch: Super Mario Bros. system allows you to tap into a new piece of #SuperMario history with the original Super Mario Bros. game, digital clock, and more! Available 11/13.'",0,0,97609,898,,,
CHDkS12s3Pq,nintendo,2020-11-01 17:00:14.000000,no,False,"b'parttimeufo,nintendoswitch'",b'',"b'From HAL Laboratory, the developers of the Kirby series, comes #PartTimeUFO! Take on odd jobs and help the people of this world solve their wacky conundrums\xe2\x80\xa6as a UFO?! Available now on #NintendoSwitch!'",0,0,52116,267,,,
CHBa9yJgJh2,nintendo,2020-10-31 21:00:14.000000,no,False,"b'animalcrossing,halloween,acnhhalloween,acnh,happyhalloween'",b'',"b'Get your candy and costumes ready, because Halloween in #AnimalCrossing: New Horizons runs from 5 PM to midnight! Share your #Halloween memories with #ACNHHalloween! #ACNH #HappyHalloween'",0,0,63542,280,,,
CHAxxgKjRDm,nintendo,2020-10-31 15:00:18.000000,no,False,b'halloween',b'missgandakris',b'Happy #Halloween! Wishing you a frightfully fun day! :camera_with_flash: @MissGandaKris',0,0,52433,177,,,
CG-9FWaBMpi,nintendo,2020-10-30 22:01:18.000000,yes,False,"b'nintendominute,hadesgame,nintendominute'",b'',b'This is it! The exciting conclusion to our #NintendoMinute #HadesGame character bracket. Watch to see who made it to the top! #NintendoMinute',76779,584.166,15268,78,,,
CG-3Is_DTUP,nintendo,2020-10-30 21:16:31.000000,yes,False,b'pikmin',b'',"b""Happy #Pikmin 3 Deluxe launch day! Check out this quick unboxing of the game, and let us know if you'll be picking up your copy!""",86647,133.0,16654,98,,,
CG-oSx9nSIz,nintendo,2020-10-30 18:58:50.000000,no,False,"b'splatoon2,teamtrick,teamtreat'",b'',b'The #Splatoon2 Splatoween event starts today at 3pm PT! Are you #TeamTrick or #TeamTreat?',0,0,66660,488,,,
CG-goTujW9G,nintendo,2020-10-30 17:51:52.000000,no,False,b'pikmin',b'',b'These Pikmin are ready to play! Did you get your copy of #Pikmin 3 Deluxe?:seedling:',0,0,59298,615,,,
CG8YPTzh98c,nintendo,2020-10-29 22:01:12.000000,yes,False,b'nintendominute',b'',b'Round 3 of the Hades Character Bracket is live! Who do you think will make it to the top of the \xe2\x80\x9cbest story category\xe2\x80\x9d? Tune-in tomorrow to find out the exciting conclusion of who will make it to the top! #NintendoMinute',79371,796.033,13620,47,,,
CG8LstNjND6,nintendo,2020-10-29 20:10:29.000000,no,False,b'pikmin',b'',b'These cute #Pikmin 3 Deluxe themed My Nintendo drinkware rewards are now available!:blossom:',0,0,52214,326,,,
CG6DCrroms9,nintendo,2020-10-29 00:17:56.000000,yes,False,"b'nintendodirectmini,nomoreheroes,bravelydefault,hyrulewarriors'",b'',"b'The final #NintendoDirectMini: Partner Showcase of 2020 is here! Check out new announcements & updates on titles from our publishing & development partners including #NoMoreHeroes 3, plus a look at #BravelyDefault II and #HyruleWarriors: Age of Calamity!'",158445,1138.591,31529,423,,,
CG2leW2oqdz,nintendo,2020-10-27 16:01:26.000000,yes,False,b'nintendominute',b'',b'Round 2 of the Hades Character rankings is live with Greg Kasavin from Supergiant Games. Watch and see if Zagreus makes it to the next round! #NintendoMinute',98232,802.666,15064,86,,,
CGx0WUoH9Wm,nintendo,2020-10-25 19:34:03.000000,no,False,"b'hyrulewarriors,zelda'",b'',b'Swipe right for a surprise. \n.\n.\n#HyruleWarriors\n#Zelda',0,0,147046,1457,,,
CGuieHDADLp,nintendo,2020-10-24 13:00:15.000000,no,False,b'',b'',"b'Only one week left until Jack, the czar of Halloween arrives in Animal Crossing: New Horizons! He\xe2\x80\x99ll be handing out tricks and treats on 10/31 from 5pm to midnight, so come prepared with a cool costume and lots of candy!'",0,0,54898,434,,,
CGs-PlOHbHN,nintendo,2020-10-23 22:25:27.000000,yes,False,"b'nintendominute,hadesgame'",b'',b'Greg Kasavin from Supergiant Games joins Kit & Krysta and rank Hades characters! Stay tuned for more episodes coming next week to see which characters make it to the top! #NintendoMinute #HadesGame',105761,780.2,14501,88,,,
CGse3aonc6-,nintendo,2020-10-23 17:50:08.000000,no,False,b'pokemonswordshieldex',b'',"b'The vast landscape of The Crown Tundra is ready for you to explore, Trainers! Now that the second wave of #PokemonSwordShieldEX is available, what are you most excited about seeing first? Lots of snowy challenges await!'",0,0,85286,704,,,
CGpfzlSgrDk,nintendo,2020-10-22 14:01:02.000000,yes,False,"b'fireemblem,nintendoswitch'",b'',"b'30 years ago, the first #FireEmblem introduced beloved characters like Marth, and the series\xe2\x80\x99 signature strategic gameplay. Fire Emblem: Shadow Dragon & the Blade of Light comes to #NintendoSwitch, fully localized for the first time! Available 12/4.'",470869,154.233,90508,1691,,,
CGnCkd5H2r5,nintendo,2020-10-21 15:06:51.000000,yes,False,b'ringfitadventure',b'',"b'Take a look at #RingFitAdventure\'s Rhythm Mode in action featuring ""Jump Up, Super Star!"" from Super Mario Odyssey!'",127308,41.201,20691,165,,,
CGhxXsrgT3d,nintendo,2020-10-19 14:00:48.000000,yes,False,b'hyrulewarriors',b'',"b'The Hyrule you know, a story you don\xe2\x80\x99t \xe2\x80\x93 meet familiar faces, discover hidden surprises and use Sheikah powers in ways you\xe2\x80\x99ve never seen before!\n\n#HyruleWarriors: Age of Calamity arrives on 11/20.'",244323,52.466,52921,759,,,
CGab6mynR9h,nintendo,2020-10-16 17:40:34.000000,yes,False,"b'mariokart,nintendoswitch'",b'',"b'To celebrate the launch of #MarioKart Live: Home Circuit, we\xe2\x80\x99ve recreated Mario Circuit 1 from the original Super Mario Kart on Super NES!\n\nMario Kart Live: Home Circuit is available now on #NintendoSwitch!'",205639,59.388,34410,426,,,
CGYA2wkJZ7O,nintendo,2020-10-15 19:03:40.000000,yes,False,b'mariokart',b'',b'Check out this unboxing of #MarioKart Live: Home Circuit! The world of Mario Kart races into your home this Friday!',167820,174.633,30028,213,,,
