shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CH8Rf2KlTFv,northropgrumman,2020-11-23 17:32:40.000000,yes,False,b'definingpossible',b'',b'Radar superiority across all domains. Learn about how our AESA radars are #DefiningPossible. Link in bio.',15461,3.9,3137,39,,,
CHxgFRclq4n,northropgrumman,2020-11-19 13:08:45.000000,yes,False,b'',b'',b'Sometimes a swarm is better than one. OFFSET program seeks to link hundreds of unmanned platforms simultaneously. Link in bio.',16477,6.966,1806,10,,,
CHvV_julUZc,northropgrumman,2020-11-18 17:01:43.000000,no,False,b'definingpossible',b'',"b""Commanding the unmanned skies. Just another way we're #DefiningPossible in autonomy. Link in bio.""",0,0,6175,63,,,
CHtHKW9FhLP,northropgrumman,2020-11-17 20:13:38.000000,no,False,b'definingpossible',b'nasa',"b""Preparing the SLS boosters to help take @NASA's heavy-lift rocket out of this world.  Link in bio. #DefiningPossible""",0,0,3645,8,,,
CHqVvp9lbSO,northropgrumman,2020-11-16 18:23:20.000000,no,False,b'definingpossible',b'',b'A giant step forward in the human quest to understand our place in the universe starts here. #DefiningPossible',0,0,5334,40,,,
CHgHEWhFT0L,northropgrumman,2020-11-12 19:02:58.000000,yes,False,b'',b'',b'A machine as complex as E-2D demands an impossibly coordinated team \xe2\x80\x93 we\xe2\x80\x99ve got one.',15007,14.993,2790,17,,,
CHQHwh4lTbJ,northropgrumman,2020-11-06 14:00:52.000000,no,False,b'',b'',"b""It's impossible for the biggest team to nail the smallest details. Until it's not. Link in bio.""",0,0,4775,30,,,
CHInVv4FAvA,northropgrumman,2020-11-03 16:03:10.000000,yes,False,b'definingpossible',b'',"b'Critical today, indispensable tomorrow. #DefiningPossible'",9788,14.61,1979,13,,,
CGzxa_YFaeY,northropgrumman,2020-10-26 13:47:44.000000,yes,False,b'',b'',"b""Connecting the joint force as one is impossible. Until it's not. Link in bio.""",11384,6.0,2240,15,,,
CGkUpWPlEOP,northropgrumman,2020-10-20 13:46:54.000000,no,False,b'',b'',"b""Firebird's open architecture allows for hours of multi-sensor data collection in manned or autonomous configuration. Link in bio.""",0,0,10839,85,,,
CGSix-wlJ5p,northropgrumman,2020-10-13 16:04:11.000000,yes,False,b'definingpossible',b'',b'E-2D\xe2\x80\x99s impossibly powerful radar gives the Navy total situational awareness at sea. #DefiningPossible',11923,6.0,2422,17,,,
CGIdTrVFwBf,northropgrumman,2020-10-09 18:03:51.000000,no,False,b'definingpossible',b'',"b'It\xe2\x80\x99s impossible to count people on a ship deck from 50,000 feet. Until it\xe2\x80\x99s not. Link in bio. #DefiningPossible'",0,0,8538,78,,,
CGFX2KOl9vt,northropgrumman,2020-10-08 13:19:29.000000,yes,False,b'definingpossible',b'',"b""Predicting cyber attacks before they happen \xe2\x80\x93 that's #DefiningPossible. Link in bio.""",8118,6.0,1174,6,,,
CF-dK5gFe4e,northropgrumman,2020-10-05 20:50:15.000000,no,False,"b'cygnus,antares'",b'',"b'Our #Cygnus spacecraft, carrying nearly 8,000 pounds of cargo, docked to NASA\xe2\x80\x99s ISS after a successful launch aboard our #Antares rocket. Here\xe2\x80\x99s a look back at some of our favorite photos from the launch. Swipe left.'",0,0,5495,29,,,
CF2Bvd9F7gm,northropgrumman,2020-10-02 14:16:39.000000,no,False,"b'manufacturing,mfgday20'",b'',b'Our #manufacturing teams leverage the latest technology to turn brilliant ideas into reality. Be on the frontline of innovation. Link in bio. #MFGDay20',0,0,2367,32,,,
CFzUh_2FdkY,northropgrumman,2020-10-01 13:03:28.000000,yes,False,b'definingpossible',b'',"b""It's impossible to defend against millions of cyber attacks daily.  Until it's not.  Learn more about how we're #DefiningPossible in cyber. Link in bio.""",8649,16.96,1380,13,,,
CFsBjFXlJtm,northropgrumman,2020-09-28 17:02:33.000000,no,False,b'definingpossible',b'',"b""True mission flexibility is all about the open architecture. That's Firebird. Link in bio. #DefiningPossible""",0,0,5671,23,,,
CFZ2J5oFnEd,northropgrumman,2020-09-21 15:36:40.000000,no,False,b'',b'',"b""An open sea is full of unknowns. Until it's not. Link in bio.""",0,0,7620,47,,,
CFKYbPAlkLv,northropgrumman,2020-09-15 15:28:17.000000,no,False,b'aeroweek',b'',b'It\xe2\x80\x99s detectable. Until it\xe2\x80\x99s not. See how the B-21 is Defining Possible in stealth. Link in bio. #AeroWeek',0,0,11427,120,,,
CFIBcailRWM,northropgrumman,2020-09-14 17:28:59.000000,no,False,"b'definingpossible,vasc2020'",b'',b'Defining the future of next-gen survivable ISR/Strike unmanned aircraft systems for the United States Air Force. #DefiningPossible #vASC2020',0,0,8953,95,,,
CE7DLeEFMWG,northropgrumman,2020-09-09 16:34:01.000000,no,False,b'definingpossible',b'',"b""Sometimes the most important part is also the smallest. We're #DefiningPossible in microelectronics. Link in bio.""",0,0,2092,5,,,
CEmjPJ6l6oC,northropgrumman,2020-09-01 17:30:05.000000,no,False,b'',b'',"b""Testing the world's largest rocket booster built for flight is impossible. Until it's not. Link in bio.""",0,0,5810,42,,,
CEjzBGcFl3X,northropgrumman,2020-08-31 15:50:16.000000,no,False,"b'definingpossible,triton'",b'',"b'Delivering high-altitude, long-endurance capabilities even in the eye of the storm. #DefiningPossible #Triton'",0,0,5457,75,,,
CERsUYYlO6j,northropgrumman,2020-08-24 15:05:24.000000,no,False,"b'b2spirit,definingpossible'",b'',"b'With range, stealth, payload and precision, the #B2Spirit is #DefiningPossible.'",0,0,6949,46,,,
CD_cg8RFh5G,northropgrumman,2020-08-17 13:00:58.000000,no,False,b'definingpossible',b'',b'Our Mission Extension Vehicle has turned science fiction into fact. Link in bio. #DefiningPossible',0,0,3486,20,,,
CDzO7DLlLxA,northropgrumman,2020-08-12 19:11:19.000000,no,False,"b'ada,definingpossible'",b'',"b'William, a system safety engineer, shares the importance of #ADA workplace accessibility and how how he\xe2\x80\x99s #DefiningPossible. Link in bio.'",0,0,1745,34,,,
CDwZvXUlXE9,northropgrumman,2020-08-11 16:48:07.000000,no,False,b'',b'',"b'Ready to protect, defend and deter, NATO Alliance Ground Surveillance aircraft delivers indispensable ISR capabilities.'",0,0,8442,75,,,
