shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIVj0sIoo6n,novartis,2020-12-03 13:14:02.000000,yes,False,"b'environmental,livemagazine'",b'',b'Take a deep dive into the environmental efforts of Novartis and learn what it took to lift the stories during the pandemic. #environmental #LiveMagazine',2143,87.566,142,14,,,
CIN61yTlVfd,novartis,2020-11-30 14:01:31.000000,yes,False,"b'genetherapy,cellandgenetherapy,dna,genes,genetics,healthcare,science,research,health,reimaginingmedicine,podcast,audiogram'",b'byvoxcreative',b'Often times there\xe2\x80\x99s more than one side to a story. Take viruses for example - could they be helpful?\xe2\x80\xafHear how in this podcast story.\n\n#genetherapy #cellandgenetherapy #DNA #genes #genetics #healthcare #science #research #health #reimaginingmedicine #podcast #audiogram @byvoxcreative',4290,259.0,245,28,,,
CH0QFb-D1ZK,novartis,2020-11-20 14:52:49.000000,yes,False,"b'genetherapy,cellandgenetherapy,reimaginingmedicine'",b'',b'Watch to see how cell and gene therapy treats disease at its source and differs from conventional medicine.\xe2\x81\xa0\n\xe2\x81\xa0\n#genetherapy #cellandgenetherapy #reimaginingmedicine',3520,55.4,375,21,,,
CHvESb7pqbZ,novartis,2020-11-18 14:28:44.000000,yes,False,"b'cellandgenetherapy,reimaginingmedicine'",b'',b'Paula\xe2\x80\x99s story is part of the \xe2\x80\x9cMaking Possible\xe2\x80\x9d series \xe2\x80\x93 a glimpse into lives touched by a new era of medicine called cell and gene therapy. \n#cellandgenetherapy #reimaginingmedicine',3136,152.386,283,7,,,
CHsfjR5JX0G,novartis,2020-11-17 14:29:31.000000,yes,False,"b'cellandgenetherapy,reimaginingmedicine'",b'',b'Natalie\xe2\x80\x99s story is part of the \xe2\x80\x9cMaking Possible\xe2\x80\x9d series \xe2\x80\x93 a glimpse into lives touched by a new era of medicine called cell and gene therapy. Researchers are moving an experimental treatment for the disease that Natalie has toward clinical testing.\n \n#cellandgenetherapy #reimaginingmedicine',3208,188.166,240,10,,,
CHp8bvDpE18,novartis,2020-11-16 14:44:04.000000,yes,False,b'',b'',b'Leila\xe2\x80\x99s story is part of the \xe2\x80\x9cMaking Possible\xe2\x80\x9d series \xe2\x80\x93 a glimpse into lives touched by a new era of medicine called cell and gene therapy.',2499,168.733,213,2,,,
CHNviJUpdGQ,novartis,2020-11-05 15:55:48.000000,yes,False,b'',b'',"b'Our scientific sleuths are taking on the world\xe2\x80\x99s number one killer, heart disease.\n\nCardiovascular disease is the cause of 18 million deaths each year and is predicted to rise to nearly 24 million by 2030. \n\nIn the next 60 seconds, more than 30 people worldwide will die from a heart attack or stroke due to atherosclerosis, an invisible condition caused by high cholesterol.\n\nDrugs that lower cholesterol are available, yet approximately 75% of people who have already developed atherosclerosis have difficulty reaching acceptable cholesterol levels. This invisible disease is complicated as it is slow to develop and quick to become dangerous. \n\nOver the past 20 years, science has learned how the body regulates cholesterol levels, which led to the discovery of more proteins that can contribute to intractably high levels of unhealthy cholesterol.\n\nIn parallel, scientists have harnessed the potential of RNA-targeting therapies, a form of medicine that makes it possible to block the production of such disease-related proteins. \n\nThis wave of experimental therapies is also a wave of hope. It has the potential to provide physicians with more ways to help patients lower cholesterol and ultimately reduce their risk of heart disease. :red_heart_selector:'",22787,10.006,525,28,,,
CHNa_Xqpb_2,novartis,2020-11-05 12:55:35.000000,yes,False,b'',b'',"b'A buildup of cholesterol that forms plaques in our arteries can lead to a condition called atherosclerosis. This disease not only increases our risk of cardiovascular disease, such as heart attacks and stroke, but it is also invisible.\n \nDespite the availability of approved medicines, heart disease remains the number one cause of death by chronic disease worldwide. Lowering LDL cholesterol (or bad cholesterol) levels is challenging--statins are an option, as are healthy lifestyle changes like diet and exercise. Yet, for many, these interventions aren\xe2\x80\x99t enough.\n \nFor those with gene mutations that cause extremely high cholesterol, diet and exercise have almost no influence on cholesterol levels. And even for patients without these inherited risks, genetics plays a large role. Doctors may be able to get their patients\xe2\x80\x99 levels lowered, but not always low enough.\n \nOur scientists are working on ways to lower cholesterol by targeting RNA\xe2\x80\x94an approach to medicine that has the potential to stop disease-causing biology at its roots. \n\nInvestigational RNA therapies could potentially provide doctors with more options to help people lower their cholesterol and ultimately reduce their risk of heart disease.'",347944,38.8,3837,72,,,
CGhuraAJ6Ka,novartis,2020-10-19 13:37:50.000000,yes,False,"b'crispr,genetherapy,cellandgenetherapy,breakfast,yogurt,yoghurt,dna,genes,genetics,healthcare,science,research,health,reimaginingmedicine,podcast,audiogram'",b'byvoxcreative',"b""From its humble beginnings in yogurt (yes, yogurt), #CRISPR technology is evolving into a disease-fighting tool that's part of a new era of cell and gene therapy.\n \n#genetherapy #cellandgenetherapy #breakfast #yogurt #yoghurt #DNA #genes #genetics #healthcare #science #research #health #reimaginingmedicine #podcast #audiogram. In partnership with @byvoxcreative""",3386,287.003,221,17,,,
CFHHF8GFLBK,novartis,2020-09-14 09:00:04.000000,yes,False,b'',b'novartislife',"b'Our 100,000+ global associates are the backbone of our mission to reimagine medicine. Their talents, diversity, interests and experiences deserve its own platform. Which is why we\xe2\x80\x99re launching @NovartisLife - a channel that will showcase stories that matter to them and give an insiders look on our Inspired, Curious and Unbossed culture. Please follow today!'",7623,90.466,481,364,,,
