shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIQQKsyBUzC,novonordisk,2020-12-01 11:45:55.000000,yes,False,b'holidayseason',b'',"b'No matter where you\xe2\x80\x99re working from, we\xe2\x80\x99re sending warm thoughts and December spirit from our Headquarters in Denmark :Christmas_tree:#holidayseason'",5688,15.033,1255,18,,,
CINiPxyhBj-,novonordisk,2020-11-30 10:26:00.000000,no,False,"b'diabetesawarenessmonth,diabetes,changingdiabetes'",b'',"b""Amazing to see all the #DiabetesAwarenessMonth activities all around the world\xc2\xa0:blue_heart: Thanks to everyone who has helped raise awareness for people living with #diabetes and their families\xc2\xa0- especially in these challenging times. Let's keep #changingdiabetes all year round! :flexed_biceps:""",0,0,1157,4,,,
CHzfA1hhLIL,novonordisk,2020-11-20 07:39:25.000000,yes,False,"b'worldchildrensday,covid19'",b'unicef_dk',"b'Today kids from @UNICEF_DK are taking over our account to raise their voices on #WorldChildrensDay :speaking_head:With #COVID19 and lockdowns across the globe, it is as important as ever to be reminded that every child has a right to thrive and succeed. Check out our stories to hear what the kids have to say and let\xe2\x80\x99s reimagine the world through their eyes :eye:'",3280,16.0,301,5,,,
CHpT88ahYH0,novonordisk,2020-11-16 08:48:26.000000,no,False,"b'innovation,diabetes,changingdiabetes,science,research,anniversary'",b'',"b'Congratulations, Mads! :party_popper: Thank you for your passion and for being our enthusiastic Chief Scientific Officer for the last 20 years :microscope: Here\xe2\x80\x99s to many more years of #innovation for people with #diabetes and other serious chronic diseases :flexed_biceps: #ChangingDiabetes #Science #Research #Anniversary'",0,0,1381,12,,,
CHkQ-P1Bpui,novonordisk,2020-11-14 09:46:12.000000,no,False,"b'worlddiabetesday,diabetesawarenessmonth,diabetesawareness,changingdiabetes'",b'',"b'From across the world, we wish all of you a great #WorldDiabetesDay! Take care and stay safe everyone :blue_heart: #diabetesawarenessmonth #diabetesawareness #changingdiabetes'",0,0,1666,14,,,
CHQXc_HhH4n,novonordisk,2020-11-06 16:18:01.000000,no,False,"b'diabetes,diabetes,diabetesawarenessmonth,diabetesresearch,science'","b'hannadiabetesexpert,whatthebetes,lifesportdiabetes,blackdiabeticinfo'","b'A huge thank you to @hannadiabetesexpert, @whatthebetes, @lifesportdiabetes and @blackdiabeticinfo for an exciting and lively virtual discussion on the latest thinking around the science of #diabetes - including time in range, telemedicine and beta cell replacement :microscope: We enjoyed getting a fresh perspective on the science from true experts managing their #diabetes daily :blue_heart: #diabetesawarenessmonth #diabetesresearch #science'",0,0,561,11,,,
CHF8E4AhEwg,novonordisk,2020-11-02 15:10:23.000000,yes,False,"b'diabetes,changingdiabetes'",b'teamnovonordisk',"b'Here it is :backhand_index_pointing_right: the brand :NEW_button: @teamnovonordisk kit! In 2021, the world\xe2\x80\x99s first all diabetes professional cycling team will be racing in a jersey that is fit for a community of champions. The look might be different, but the mission stays the same \xe2\x80\x93 to inspire, educate and empower people affected by #diabetes :flexed_biceps: You can pre-order your very own kit here teamnovonordisk.sportyfied.com  #ChangingDiabetes'",2592,40.753,343,20,,,
CG45ibeBE4n,novonordisk,2020-10-28 13:34:05.000000,no,False,"b'nobelprize,science,research,history,physiology,medicine,changingdiabetes'",b'',"b'Exactly :hundred_points: years ago, our co-founder August Krogh was awarded the #NobelPrize in Physiology and Medicine for the discovery of the mechanism of regulation of the capillaries in skeletal muscle. \n\nThe Nobel Prize brought his work international acclaim, and it was out of respect for his scientific achievements that he was given the permission to bring insulin treatment from Canada to Scandinavia.\n\nIn 1923, August went on to found the Nordisk Insulin Lab, and so began the story of our company - a story that continues to this day :blue_heart: #science #research #history #physiology #medicine #changingdiabetes'",0,0,1635,28,,,
CGpYY5ehTbZ,novonordisk,2020-10-22 12:55:49.000000,no,False,"b'throwbackthursday,danishdesign,arnejacobsen,architecture'",b'',"b'Do this architect and this chair look familiar to you? The iconic Danish architect and interior designer Arne Jacobsen designed the famous \xe2\x80\x9cAnt\xe2\x80\x9d chair :ant: that is now a bestselling product sold in millions of copies worldwide. But did you know that the chair was first produced for our canteen back in 1952? The Novo canteen was entirely his work with everything from curtains, tables, chairs and lamps being his design. We\xe2\x80\x99re truly grateful for the collaboration we had with Arne Jacobsen and still love to have the chair in our canteens today :folded_hands: #ThrowbackThursday #danishdesign #arnejacobsen #architecture'",0,0,1099,17,,b'Copenhagen',55.6761111111 12.5688888889
CFzBQ2PhYBx,novonordisk,2020-10-01 10:14:45.000000,no,False,"b'asd,autismawareness,diversityandinclusion,lifechangingcareers'",b'',"b'Say hello :waving_hand: to Joachim, Anders, Karen and Camilla - our four new colleagues joining us as part of Project Opportunity! We\xe2\x80\x99re very excited to welcome them to our employment programme that seeks to match existing job vacancies with the unique skills and competencies of people living with autism spectrum disorder (#ASD) :handshake: #autismawareness #diversityandinclusion #lifechangingcareers'",0,0,705,12,,b'Novo Nordisk',None None
