shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIUyRcDDBa7,oldmutualsa,2020-12-03 06:00:43.000000,no,False,b'',b'',"b""Are you worried about your budget over the holidays? If so, join us for an insightful chat between parenting influencer, Reevana Govender and Old Mutual Strategic Marketing Manager, Karabo Ramookho tonight at 7pm on Instagram live. They will delve into the topic of 'Finding extra money in your budget this holiday\xe2\x80\x99.""",0,0,28,2,,,
CITqoKTD00R,oldmutualsa,2020-12-02 19:57:29.000000,yes,False,b'greenchairseries',b'',b'We have reached the final episodes of the Green Chair Series. In this episode the ladies continue the conversation about how banking on your health now can help you in the future! Watch the full episode.\n#GreenChairSeries',325,702.9,15,1,,,
CIQ8FvUDdeB,oldmutualsa,2020-12-01 18:12:41.000000,yes,False,b'greenchairseries',b'',"b""You may have heard of Future Insurance but do you know what it is? On today\xe2\x80\x99s Green Chair episode, the ladies discuss Old Mutual's Future Insurance that lets you bank your current good health, so you can use it in the future. #GreenChairSeries""",302,754.473,10,1,,,
CIG_QyNp2dL,oldmutualsa,2020-11-27 21:30:13.000000,yes,False,b'greenchairseries',b'',"b'We are back with episode 2 part 2 of the Green Chair Series. On this episode, the ladies continue the conversation about the financial implications around fertility and how we can financially offer you peace of mind. \n\n#GreenChairSeries'",225,582.766,18,0,,,
CIDyROzDO1U,oldmutualsa,2020-11-26 15:45:59.000000,yes,False,b'greenchairseries',b'',"b'Did you know that with Old Mutual\xe2\x80\x99s illness insurance, women can add the \xe2\x80\x98for women benefit\xe2\x80\x99 that pays up to 50% of the cover amount for fertility-related conditions and complications during pregnancy such as endometriosis, eclampsia or stillbirth? Watch episode 2 part 1 with the ladies as they discuss this in detail. \n\n#GreenChairSeries'",207,618.2,15,0,,,
CH_DWwtJy7g,oldmutualsa,2020-11-24 19:30:03.000000,yes,False,b'greenchairseries',b'',"b'Meet the ladies Karabo, Strategic Marketing Manager & Host of the Green Chair Series. Tebello, Admitted Attorney of the High Court of SA & entrepreneur; and Neo, a retired makeup artist, and founder of DWN Spices. We look at how to prepare sufficiently for life\xe2\x80\x99s little detours with the new Old Mutual Personal Cover.\n\n#GreenChairSeries'",382,360.073,30,6,,,
CHvK-8uDT1H,oldmutualsa,2020-11-18 15:31:06.000000,yes,False,b'greenchairseries',b'',"b'Want to know more about Personal Cover and its benefits?\n\nStay tuned for the 3-part Green Chair Series, where we will sit down and dive into authentic conversations around life, love and everything else with three lovely ladies! You don\xe2\x80\x99t want to miss out.\n#GreenChairSeries'",694,29.033,59,0,,,
CHscMJuDm0U,oldmutualsa,2020-11-17 13:58:08.000000,no,False,b'doingitforme',b'',b'Are you ready to smash your fitness goals and embark on a journey to achieving them at our FREE virtual event in partnership with Media24?\n\nClick the link in our bio to register! \n#DoingItForMe',0,0,65,4,,,
CG7R-iDDCgy,oldmutualsa,2020-10-29 11:46:07.000000,no,False,b'',"b'karaboramookho,mamamagicsa'","b""Join us tonight in conversation with @karaboramookho, Strategic Marketing Manager at Old Mutual and Warren Murray, Brand Director of @mamamagicsa as they discuss safeguarding your family's income. Tune into this relevant and insightful live at 7 pm TODAY, right in the comfort of your home.""",0,0,50,2,,,
CGUAKjdAkFc,oldmutualsa,2020-10-14 05:40:08.000000,no,False,"b'idolssa,thetimeisnow,dogreatthings'",b'idolssa',"b'Our Head of Brand, Thobile Tshabalala presented the @IdolsSA Top 10 contestants with R5 000 each to their Old Mutual Money Account, a portable turntable, and recording time at the Old Mutual AMPD Studios to record a single. Congratulations to the Top 10 for making it this far! #IdolsSA #TheTimeIsNow #DoGreatThings'",0,0,313,13,,,
CGSFCE2jIt5,oldmutualsa,2020-10-13 11:44:08.000000,no,False,b'parenting',b'hayleymalan',"b""Join our Financial Expert, Priya Naicker, and Parenting Influencer and Blogger, @hayleymalan, as they discuss saving for your child's education. You don't want to miss out on this one! Join the live discussion today on our Instagram page at 7pm. #Parenting""",0,0,69,5,,,
CF2G8ouDf43,oldmutualsa,2020-10-02 15:02:08.000000,no,False,b'',b'',b'Want to hear from industry experts on how to future fit your Agribusiness? Join us on 6 October at 08h00 for the AGRI2B seminar and learn what it takes to make sure your business is ready for the challenges of the future. \n\nClick the link in our bio to register for the seminar.',0,0,28,16,,,
