shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CITh-kHKMet,omv,2020-12-02 18:19:10.000000,no,False,"b'dotofyellow,omv,omvpetrom,toteadeep,romania,energy,oilandgas,oilandgaslife,upstream,gasfield,gaspipeline,winter,snow,ice,oilfieldphotography,energy4betterlife'",b'omvpetrom',"b'A dot of yellow \xe2\x80\x93 Episode 1\n\nAt this grey time of the year, we might all be longing for a gleam of light, a ray of sun, a dot of yellow. We found some in our assets. Like the gas pipes in @OMVPetrom\xe2\x80\x99s onshore gas field \xe2\x80\x9cTotea Deep\xe2\x80\x9d in southwest Romania. \n\n#dotofyellow #OMV #OMVPetrom #ToteaDeep #Romania #energy #oilandgas #oilandgaslife #upstream #gasfield #gaspipeline #winter #snow #ice #oilfieldphotography #energy4betterlife'",0,0,158,1,,"b'Totea, Gorj'",44.852576 23.609979
CIGoSeaKfkn,omv,2020-11-27 18:04:12.000000,no,False,"b'omv,borealisgroup,downstream,petrochemicals,polyoleofins,plasticpellets,energy4betterlife,strongertogether,keepdiscovering,oilismorethanfuel,burnlessrefinemore'",b'',"b'Oil is more than fuel \xe2\x80\x93 Episode 5\n\nCrude oil is too valuable to be burned. That\xe2\x80\x99s why we refine it as material for high-end plastics. In the picture you see plastic pellets, produced by our subsidiary Borealis and then further processed into \ninto different applications of our daily lives - from lightweight parts for the automotive industry to medical products. \n\n#OMV #BorealisGroup #downstream #petrochemicals #polyoleofins #plasticpellets #energy4betterlife #strongertogether #keepdiscovering #oilismorethanfuel #burnlessrefinemore'",0,0,143,1,,,
CH8VG29qAoY,omv,2020-11-23 18:04:10.000000,no,False,"b'omv,borealisgroup,downstream,petrochemicals,polyoleofins,automotive,energy4betterlife,strongertogether,keepdiscovering,oilismorethanfuel,oilismorethanfuel,burnlessrefinemore'",b'',b'Oil is more than fuel \xe2\x80\x93 Episode 4\n\nIn the picture to see an automotive wire. Such under-the-bonnet materials have a tough life. Parts located close to engines must withstand high temperatures. Our subsidiary Borealis is world-leader in manufacturing the high-tech plastics needed for flame retardant compounds developed as wiring solutions in automobiles. \n\n#OMV #BorealisGroup #downstream #petrochemicals #polyoleofins #automotive #energy4betterlife #strongertogether #keepdiscovering #oilismorethanfuel #oilismorethanfuel #burnlessrefinemore',0,0,127,3,,,
CHvdI5fqq5z,omv,2020-11-18 18:04:13.000000,no,False,"b'omv,borealisgroup,downstream,petrochemicals,polyoleofins,automotive,energy4betterlife,strongertogether,keepdiscovering,oilismorethanfuel,oilismorethanfuel'",b'',"b'Oil is more than fuel \xe2\x80\x93 Episode 3\n\nHave you ever wondered, how crude oil would facilitate electro mobility? To optimize the range of electric vehicles, it is crucial they are as light as possible. High-tech plastics from our subsidiary Borealis support lightweight construction and thus play an important role in enhancing energy efficiency. \n\n#OMV #BorealisGroup #downstream #petrochemicals #polyoleofins #automotive #energy4betterlife #strongertogether #keepdiscovering #oilismorethanfuel #oilismorethanfuel'",0,0,143,1,,,
CHikvm9Khag,omv,2020-11-13 18:00:35.000000,no,False,"b'omv,borealisgroup,downstream,petrochemicals,polyoleofins,automotive,verhicle,energy4betterlife,strongertogether,keepdiscovering,oilismorethanfuel,burnlessrefinemore'",b'',"b'Oil is more than fuel \xe2\x80\x93 Episode 2\n\nDid you know crude oil not only fuels your car, but is also found in a wide range of applications like bumpers, body panels, trims or door claddings as high-tech plastics? Our subsidiary Borealis is leading in the production of the needed raw materials and offers ideal replacements for conventional materials like metal, for example. \n\n#OMV #BorealisGroup #downstream #petrochemicals #polyoleofins #automotive #verhicle #energy4betterlife #strongertogether #keepdiscovering #oilismorethanfuel #burnlessrefinemore'",0,0,162,1,,,
CHZsX5bq-Ds,omv,2020-11-10 07:14:04.000000,no,False,"b'omv,borealisgroup,downstream,petrochemicals,polyoleofins,automotive,plasticpellets,energy4betterlife,strongertogether,keepdiscovering,oilismorethanfuel,burnlessrefinemore'",b'',"b'Oil is more than fuel \xe2\x80\x93 Episode 1\n\nCrude oil comes in different forms. As plastics, it is a loyal companion in our daily lives. In the picture you see plastic pellets, produced by our subsidiary Borealis and then further processed into different applications \xe2\x80\x93 like parts for your car, for example. \n\n#OMV #BorealisGroup #downstream #petrochemicals #polyoleofins #automotive #plasticpellets #energy4betterlife #strongertogether #keepdiscovering #oilismorethanfuel #burnlessrefinemore'",0,0,665,10,,,
CG-a0o2qI-Y,omv,2020-10-30 17:01:12.000000,no,False,"b'omv,omvpetrom,urziceni,romania,energy,oilandgas,oilandgaslife,upstream,onshore,3dseismic,seismicsurvey,seismicreflection,geology,geoscience,huntoil,oilfieldphotography,energy4betterlife'",b'',"b'Although most of Romanian oil fields are mature, we believe that there is still a lot untapped potential in deeper and more complex structures. The discovery of new fields and the development of these resources require the use of cutting edge technology, innovative teams and state of the art software solutions, such as deployed in the 3D Urziceni seismic survey, completed by OMV Petrom and Hunt Oil. \n\n#OMV #OMVPetrom #Urziceni #Romania #energy #oilandgas #oilandgaslife #upstream #onshore #3DSeismic #seismicsurvey #seismicreflection #geology #geoscience #HuntOil #oilfieldphotography #energy4betterlife'",0,0,212,0,,b'Urziceni',44.71281 26.63838
CGz56Brqfxy,omv,2020-10-26 15:01:11.000000,no,False,"b'omv,omvpetrom,urziceni,romania,energy,oilandgas,oilandgaslife,upstream,onshore,3dseismic,seismicsurvey,seismicreflection,geology,geoscience,huntoil,oilfieldphotography,energy4betterlife'",b'omvpetrom',b'A seismic survey is comparable to  sonography in medicine. The largest onshore 3D seismic survey in Europe ever was done by @OMVPetrom and Hunt Oil in Romania earlier this year. Over 400 people and this fleet of vibrator vehicles were involved. \n\n#OMV #OMVPetrom #Urziceni #Romania #energy #oilandgas #oilandgaslife #upstream #onshore #3DSeismic #seismicsurvey #seismicreflection #geology #geoscience #HuntOil #oilfieldphotography #energy4betterlife',0,0,199,1,,b'Urziceni',44.71281 26.63838
CGnPq1Zq-F8,omv,2020-10-21 17:01:13.000000,no,False,"b'omv,omvpetrom,urziceni,romania,energy,oilandgas,oilandgaslife,upstream,onshore,3dseismic,seismicsurvey,seismicreflection,geology,geoscience,huntoil,oilfieldphotography,energy4betterlife'",b'',"b'OMV Petrom and Hunt Oil have completed, in Romania, the largest onshore 3D seismic survey in Europe. These impulse generator vibrator vehicles generate deep sound pulses enabling carried out geophysical field measurements to identify potential hydrocarbon reservoirs in the area of Urziceni, Romania, earlier this year. \n\n#OMV #OMVPetrom #Urziceni #Romania #energy #oilandgas #oilandgaslife #upstream #onshore #3DSeismic #seismicsurvey #seismicreflection #geology #geoscience #HuntOil #oilfieldphotography #energy4betterlife'",0,0,966,17,,b'Urziceni',44.71281 26.63838
CGacnP7K_OD,omv,2020-10-16 17:44:11.000000,no,False,"b'omv,schwechatrefinery,schwechat,mannsw\xc3\xb6rth,austria,energy,oilandgas,oilandgaslife,refinery,downstream,co2saving,energyefficiency,netzerooperations,siemens,omvandtheclimate,energy4betterlife'",b'',b'Steam Turbine at its best \xe2\x80\x93 Episode 6\n\nWe have a strong tradition of energy efficiency at OMV. Upgrading the steam turbines at our Schwechat Refinery is just one example of how we are making our operations more efficient and more environmentally friendly at the same time.\n\n#OMV #SchwechatRefinery #Schwechat #Mannsw\xc3\xb6rth #Austria #energy #oilandgas #oilandgaslife #refinery #downstream #CO2saving #energyefficiency #netzerooperations #Siemens #OMVandTheClimate #energy4betterlife',0,0,147,2,,b'OMV Schwechat Refinery',48.1481085 16.4899533
CGacnP7K_OD,omv,2020-10-16 17:44:11.000000,no,False,"b'omv,schwechatrefinery,schwechat,mannsw\xc3\xb6rth,austria,energy,oilandgas,oilandgaslife,refinery,downstream,co2saving,energyefficiency,netzerooperations,siemens,omvandtheclimate,energy4betterlife'",b'',b'Steam Turbine at its best \xe2\x80\x93 Episode 6\n\nWe have a strong tradition of energy efficiency at OMV. Upgrading the steam turbines at our Schwechat Refinery is just one example of how we are making our operations more efficient and more environmentally friendly at the same time.\n\n#OMV #SchwechatRefinery #Schwechat #Mannsw\xc3\xb6rth #Austria #energy #oilandgas #oilandgaslife #refinery #downstream #CO2saving #energyefficiency #netzerooperations #Siemens #OMVandTheClimate #energy4betterlife',0,0,147,2,,b'OMV Schwechat Refinery',48.1481085 16.4899533
CGQJbujKRR6,omv,2020-10-12 17:44:11.000000,no,False,"b'omv,schwechatrefinery,schwechat,mannswo,austria,energy,oilandgas,oilandgaslife,refinery,downstream,co2saving,energyefficiency,netzerooperations,siemens,omvandtheclimate,energy4betterlife'",b'',"b'Steam Turbine at its best \xe2\x80\x93 Episode 5\n\nJust like your regular service obligation for your car, we perform standard audits for the steam turbines at our Schwechat Refinery. Turbines are taken down, dismantled into their individual components, sent to the workshop, checked, brought back to the refinery, and then reassembled. This brings to light areas that would otherwise remain unseen. \n\n#OMV #SchwechatRefinery #Schwechat #Mannswo\xcc\x88rth #Austria #energy #oilandgas #oilandgaslife #refinery #downstream #CO2saving #energyefficiency #netzerooperations #Siemens #OMVandTheClimate #energy4betterlife'",0,0,146,0,,b'OMV Schwechat Refinery',48.1481085 16.4899533
