shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIGyR2mnsCt,oracle,2020-11-27 19:31,yes,False,"blackfriday,holidayshopping",,b'Are you shopping differently this #BlackFriday? Check out some of our #HolidayShopping survey findings to learn how consumers are changing their buying habits. Link in bio.',1203,10.006,101,0,101,,
CICVMZ4HzBW,oracle,2020-11-26 02:07,yes,False,hpc,gridmarkets,"b'Wow, #HPC can do THAT? With help from high-performance computing, @gridmarkets is building complex biological simulations to speed drug discovery.'",1331,332.681,114,1,115,,
CH8fQPcHJRm,oracle,2020-11-23 19:33,yes,False,"healthcare,cloud,health",institutegc,"b'We\xe2\x80\x99re partnering with @institutegc to digitize #healthcare data in Africa. Learn how our #cloud is helping strengthen public #health programs in Ghana, Rwanda, and Sierra Leone. Visit the link in our bio for more information.'",2969,82.875,193,2,195,,
CH3C5TTHYFa,oracle,2020-11-21 16:50,yes,False,"oraclecertified,cloud",,"b'We love seeing our partners at Capgemini getting #OracleCertified! Congratulations on your #cloud infrastructure certifications, Amogh Kadam!'",4548,69.91,259,9,268,,
CH1mjzGnHWD,oracle,2020-11-21 03:27,yes,False,grocery,,"b'Are you adding a turkey to your online cart this year? :poultry_leg::shopping_cart: According to our survey, 21% of shoppers will be! Check out more insights from our #grocery shopping survey. \n\nLink in bio to learn more.'",3230,24.633,214,3,217,,
CHlDcD2HBxF,oracle,2020-11-14 17:45,yes,False,worlddiabetesday,jdrfhq,"b'Thank you @JDRFhq and Team Oracle! Together we logged 12,000 miles and raised a quarter of a million dollars for Type 1 Diabetes research. #WorldDiabetesDay'",2642,66.852,212,5,217,,
CHjJZ-iHgvE,oracle,2020-11-13 23:23,yes,False,oraclecertified,,"b'Build a technical skillset, establish credibility, and apply learnings in the real world. Those are just a few of the benefits Accenture\xe2\x80\x99s Jemmarie Silva has seen since getting #OracleCertified.'",2458,87.839,203,1,204,,
CHQ7KV9nzF4,oracle,2020-11-06 21:53,yes,False,"oracleroadtrip,giveaway,oracleroadtripcontest",oracle,"b'Surprise,\xc2\xa0#OracleRoadTrip\xc2\xa0followers\xe2\x80\x94Duke was driving the entire time!\xc2\xa0\n\nNow it\xe2\x80\x99s your turn to be a part of the road trip. Use our \xe2\x80\x9cWhich Duke are you?\xe2\x80\x9d Instagram filter for a chance to win a t-shirt.\xc2\xa0\n\nHow to enter the #giveaway:\n1. Use our Oracle & Duke Instagram Story filter\n2. Tag @Oracle and add the hashtag #OracleRoadTripContest\n3. Share to your Story!\n\nGood luck! Link in bio for rules.'",3444,34.366,249,6,255,USA,37.7793 -122.419
CHGsBQaHR4T,oracle,2020-11-02 22:12,yes,False,,vice,b'Words matter. And @Vice takes its journalism role very seriously. Hear why VICE brings tough topics and conversations to the forefront.',1940,171.755,149,3,152,,
CGvKnWFHjOR,oracle,2020-10-24 19:01,yes,False,"recycled,losangeles",oceanworks,"b'Imagine a world without plastic waste! @Oceanworks is helping us get there, by inventing a marketplace for #recycled ocean plastic. Let\xe2\x80\x99s head to #LosAngeles to learn more.'",2798,73.9,188,7,195,,
CGpp06lnmpH,oracle,2020-10-22 15:32,yes,False,,uofwyoming,"b'2020 has been a crazy year for universities. Luckily, @uofwyoming has the cowboy grit to move forward and pioneer new experiences for students. Come check it out!'",1788,70.652,132,5,137,,
