shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYpil0jtFZ,oshkoshkids,2020-12-04 18:01:23.000000,no,False,"b'bettertogether,oshkoshkids,everydaystyle'",b'',"b'Built to pair & ready to play! Pull-on denim plus thermal tees\xe2\x80\xa6 Yes, please! #bettertogether #oshkoshkids #everydaystyle'",0,0,2070,9,,,
CIW3L8vjkSL,oshkoshkids,2020-12-04 01:22:09.000000,no,False,b'oshkoshkids',"b'oshkoshkids,the.rivers.triplets'","b'Triple the cheer! :smiling_face_with_heart-eyes::Christmas_tree::wrapped_gift: We want to see your holiday style, family pics, and christmas cards. Tag us @oshkoshkids for a chance to be featured. :sparkles: #oshkoshkids :camera:: @the.rivers.triplets'",0,0,1567,18,,,
CIT5YTGj8lx,oshkoshkids,2020-12-02 21:43:35.000000,no,False,"b'oshkoshkids,newarrivals,ohwhatfun'",b'',b'For the girl who\xe2\x80\x99s dreaming of walkin\xe2\x80\x99 in a *PINK* winter wonderland. :two_hearts: #oshkoshkids #newarrivals #ohwhatfun',0,0,1794,7,,,
CIQzcXAjRF-,oshkoshkids,2020-12-01 16:53:59.000000,no,False,"b'firstchristmas,babybgosh,ohmybgosh,babypics,bejolly'",b'',b'Raise your hand if it\xe2\x80\x99s your Baby B\xe2\x80\x99gosh\xe2\x80\x99s #firstchristmas! Psst... Pint-sized suspender pants are a must. :smiling_face_with_heart-eyes: #babybgosh #ohmybgosh #babypics #bejolly',0,0,1832,6,,,
CIPMP7nDfcA,oshkoshkids,2020-12-01 01:52:16.000000,no,False,"b'oshkoshkids,festive,cozy,tistheseason'",b'',b'Q: Our designers wanna know... :T-Rex: vs :oncoming_automobile:? #oshkoshkids #festive #cozy #tistheseason',0,0,1672,42,,,
CIONclgD7bx,oshkoshkids,2020-11-30 16:43:29.000000,no,False,"b'worldsbestoveralls,buffalocheck,yesplease'",b'',b'We\xe2\x80\x99re head over heels for this lovable combo! #worldsbestoveralls #buffalocheck #yesplease',0,0,1670,10,,,
CILzsKQDB4F,oshkoshkids,2020-11-29 18:19:57.000000,no,False,"b'babybgosh,sweetascanbe,headtotoecozy'",b'',b'Perfect(ly cozy!) gifts for the littlest ones on your list. Made with love from Team OshKosh. #babybgosh #sweetascanbe #headtotoecozy',0,0,2040,8,,,
CIJXMZkDIT3,oshkoshkids,2020-11-28 19:32:27.000000,no,False,"b'babybgosh,grandmillenial,babystyle,minime'",b'',"b'Little things we\xe2\x80\x99re loving this season: Quilted jackets, eyelet lace, tulle rosettes... oh my b\xe2\x80\x99gosh! #babybgosh #grandmillenial #babystyle #minime'",0,0,3682,32,,,
CIGSGTmDzqF,oshkoshkids,2020-11-27 14:50:13.000000,no,False,"b'oshkoshkids,christmasiscoming,blackfriday,holidaytraditions'",b'thebeautydeputy',"b""Get in #oshkoshkids, it's time to put up the tree! :Christmas_tree::smiling_face_with_3_hearts: Comment below if you're decorating your tree this weekend (or if you already did!) :Santa_Claus::wrapped_gift::Christmas_tree::glowing_star: #christmasiscoming #blackfriday #holidaytraditions :camera:: @thebeautydeputy""",0,0,1556,20,,,
CIEP5EYDPtc,oshkoshkids,2020-11-26 19:52:27.000000,no,False,"b'thanksgiving,turkeyday,oshkoshkids'",b'savannaburgos',b'Post-turkey nap...:check_mark::winking_face: Happy Thanksgiving from our family to yours! :turkey::pie::fork_and_knife_with_plate_selector::smiling_face_with_3_hearts: #thanksgiving #turkeyday #oshkoshkids :camera:: @savannaburgos',0,0,1095,5,,,
