shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYqATVFrYE,panasonic,2020-12-04 18:05:39.000000,yes,False,b'whatmovesus',b'',"b'When passion is pursued, that\xe2\x80\x99s when we all move forward. Discover more about #whatmovesus. http://ow.ly/h6as50CCdqw'",620,15.166,114,0,,,
CIYU5zcgPLX,panasonic,2020-12-04 15:01:06.000000,no,False,"b'lifeatpanasonic,gtatopemployers'",b'',"b'Congratulations to Panasonic Canada on, once again, being named a Greater Toronto Area Top Employer for 2021! We are so proud of our employees and look forward to being able to host events like this in the future - putting our commitment to one another, our culture, and the community in action. #LifeAtPanasonic #GTATopEmployers'",0,0,116,0,,,
CIV-UlqLgBX,panasonic,2020-12-03 17:05:18.000000,no,False,b'',b'panaauto',b'Have you heard? @PanaAuto has recently announced a collaboration with Phiar to Bring Real-World AI-Driven Navigation to Its Automotive Solutions.',0,0,120,0,,,
CIQ0xd8hQtq,panasonic,2020-12-01 17:05:46.000000,yes,False,b'whatmovesus',b'',"b'Creating technologies that make a better world is #whatmovesus. We\xe2\x80\x99re building smarter, safer & more efficient roadways so that everyone can safely get to their destinations, faster. Discover how we\xe2\x80\x99re using tech to advance roads & move everyone forward.'",490,29.966,75,3,,,
CIN0dfcgctx,panasonic,2020-11-30 13:05:11.000000,no,False,b'cybermonday',b'',b'The sale of the year is coming to an end! Head to the Panasonic Products North America Facebook page for the latest #CyberMonday deals and to find something for everyone on your list.',0,0,109,2,,,
CIGGEluLKPb,panasonic,2020-11-27 13:05:09.000000,no,False,"b'blackfriday,cybermonday'",b'',b'The sale of the year is starting now! Head to our Panasonic Products North America Facebook page to see all of the #BlackFriday & #CyberMonday deals!',0,0,107,3,,,
CIDvFyMrnKi,panasonic,2020-11-26 15:05:51.000000,no,False,"b'lifeatpanasonic,whatmovesus'",b'',"b'Today and every day, we are thankful for all of our Panasonic innovators, problem solvers, and helping hands. Being thankful is part of #LifeAtPanasonic! Happy Thanksgiving from us to you. #WhatMovesUs'",0,0,161,1,,,
CIBYAclFKEq,panasonic,2020-11-25 17:05:54.000000,yes,False,"b'teampanasonic,whatmovesus'",b'lexgillette',"b'#TeamPanasonic\xe2\x80\x99s @LexGillette reminds us to find gratitude in everything, because ultimately it can be #whatmovesus forward.'",343,59.733,56,4,,,
CH-zKworhTK,panasonic,2020-11-24 17:05:18.000000,no,False,b'whatmovesus',b'',"b""\xe2\x80\x9cThis is our generation\xe2\x80\x99s opportunity to truly have an impact on the world. I think anyone who touches this technology knows how transformational it can be. It is our responsibility to put this into cars so people can be safer and roadways can become more efficient. Anything short of that is a failure in my mind.\xe2\x80\x9d Panasonic North America's Chris Armstrong,  Vice President of Smart Mobility CIRRUS/V2X, recently sat down with ITS America on the transformational nature of connected vehicle technology. #WhatMovesUs""",0,0,97,1,,,
CHdVZWjL6xt,panasonic,2020-11-11 17:10:12.000000,no,False,"b'veteransday,remembranceday'",b'',"b'In addition to #VeteransDay, today marks #RemembranceDay in Canada. We salute and honor those in service and all those we lost.'",0,0,107,2,,,
CHdG0NTLrPa,panasonic,2020-11-11 15:02:48.000000,no,False,"b'lifeatpanasonic,veteransday'",b'',"b'Meet Joe. After graduating from West Point, Joe served in the Air Force as a flight test engineer for over 10 years. Today, he leads the Panasonic team responsible for the physical movement of the company\xe2\x80\x99s products and goods around the world. To Joe, our Panasonic Veterans, and all our service men and women, thank you! #LifeAtPanasonic #VeteransDay'",0,0,159,5,,,
CHdG0NTLrPa,panasonic,2020-11-11 15:02:48.000000,no,False,"b'lifeatpanasonic,veteransday'",b'',"b'Meet Joe. After graduating from West Point, Joe served in the Air Force as a flight test engineer for over 10 years. Today, he leads the Panasonic team responsible for the physical movement of the company\xe2\x80\x99s products and goods around the world. To Joe, our Panasonic Veterans, and all our service men and women, thank you! #LifeAtPanasonic #VeteransDay'",0,0,159,5,,,
CHYrzv-FBxp,panasonic,2020-11-09 21:50:01.000000,yes,False,"b'teampanasonic,whatmovesus'","b'lexgillette,classroomchampions'","b'Making positive contributions to society is what makes our world a better place. Support from his mentors and teachers helped #TeamPanasonic\xe2\x80\x99s @LexGillette achieve more. Now, he\xe2\x80\x99s focused on giving back to the next generation with @ClassroomChampions. #WhatMovesUs'",484,58.366,52,1,,,
CHQh4QcLcw0,panasonic,2020-11-06 17:49:07.000000,no,False,b'lifeatpanasonic',b'',"b'Meet Mary, our emerging talent programs manager. As she reviews applications, here are her top tips for building your resume when applying to Panasonic! #LifeAtPanasonic na.panasonic.com/careers'",0,0,99,1,,,
CHNuoPoLHa2,panasonic,2020-11-05 15:42:48.000000,no,False,b'',b'panaauto',b'Congratulations to the team at @panaauto on earning the 2020 Georgia Emerging Automotive Recognition (GEAR) Award.',0,0,119,1,,,
CHLS5m4lBmz,panasonic,2020-11-04 17:02:03.000000,no,False,"b'nextlevellumix,lumix,lumixsseries'",b'lumixusa',"b'Remarkably Compact and Lightweight. @LumixUSA introduces a new large-aperture medium-telephoto fixed focal length lens, the LUMIX S 85mm F1.8 (S-S85) that enhances portrait photography with its beautiful bokeh effects. #NextLevelLumix #LUMIX #LUMIXSseries'",0,0,194,5,,,
CHGJcWIL61P,panasonic,2020-11-02 17:03:14.000000,no,False,b'',b'',"b'Van Gogh at the drive in? The immersive experience must go on! Learn more about how Panasonic partnered to provide solutions, helping experiential events move forward in uncertain times.'",0,0,172,3,,,
CG9_gAsLiHt,panasonic,2020-10-30 13:02:26.000000,no,False,"b'worldcitiesday,whatmovesus,followthesun'",b'',"b'Panasonic aims to create a better life and a better world. This #WorldCitiesDay, learn more about how we\xe2\x80\x99re making roadways across cities in North America better by the mile. #WhatMovesUs #FollowTheSun'",0,0,166,1,,,
CG29lPuH-LK,panasonic,2020-10-27 19:30:57.000000,no,False,b'',b'panaauto',b'Congratulations to @panaauto on receiving the 2020 Innovation Supplier of the Year award! :clapping_hands::clapping_hands:',0,0,146,2,,,
CGz6YPwLYYu,panasonic,2020-10-26 15:05:16.000000,no,False,b'',b'agotoronto',"b""Another great collaboration between @agotoronto and Panasonic, demonstrating their mutual dedication to bringing Canadian art to the forefront, showcased artist Brian Jungen's remarkable artwork in a powerful and compelling solo exhibition.""",0,0,119,1,,,
CGsSfNqL9T5,panasonic,2020-10-23 16:02:02.000000,no,False,b'lifeatpanasonic',b'',"b'Meet Eric, a Director of Sales & Service for Panasonic Systems Solutions Company. His favorite part of #LifeAtPanasonic? No two days or solutions his team creates for customers are the same. \n\nJoin our Panasonic team. Head to our careers site to view current openings & apply today!'",0,0,103,2,,,
CGhrF72rO8l,panasonic,2020-10-19 13:05:22.000000,no,False,b'teampanasonic',b'lexgillette',b'Shoutout to #TeamPanasonic\xe2\x80\x99s @LexGillette on this very special day!',0,0,99,4,,,
CGXep4ZFW4G,panasonic,2020-10-15 14:04:16.000000,no,False,b'whatmovesus',b'',b'Congratulations to our Panasonic Marketing Digital & Communications team in North America on earning the ITSMA Diamond Award for Repositioning the Brand. #WhatMovesUs',0,0,170,3,,,
