shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIZGYcEFb3U,pantene,2020-12-04 22:13:24.000000,no,False,"b'castoroil,castoroilshampoo,shampoo,sulfatefree,sulfatefreeshampoo'",b'',"b'You might not be going to the gym rn, but Castor Oil is here to keep your hair strong :flexed_biceps: \xc2\xa0Safe on ALL hair types\n.\n.\n.\n.\n.\n#castoroil #castoroilshampoo #shampoo #sulfatefree #sulfatefreeshampoo'",0,0,426,11,,,
CIWmpythn0G,pantene,2020-12-03 22:57:40.000000,no,False,"b'castoroil,castoroilshampoo,shampoo,sulfatefree,sulfatefreeshampoo'",b'',"b""Put a photo of yourself on top of the tree because we've got the collection to turn YOU into the star :glowing_star: Safe on ALL hair types.\n.\n.\n.\n.\n.\n#castoroil #castoroilshampoo #shampoo #sulfatefree #sulfatefreeshampoo""",0,0,270,13,,,
CIUC5o6BRSl,pantene,2020-12-02 23:06:54.000000,yes,False,b'showertalk',b'celestebarber',b'CALLING ALL MOMS! :speaking_head_selector: Our fave mom comedian @celestebarber is headed to the bathroom to get real about motherhood & how Pantene helps keep her hair looking fresh through a long day of mom duties. Click the link in our bio to take a break with Celeste. :shower::duck: #ShowerTalk',6089,6.066,401,12,,,
CIRm09Fh9_E,pantene,2020-12-02 00:22:59.000000,no,False,b'',b'jazvaughn',b'Pretty sure we turned into the :star-struck: emoji IRL when we saw this. :yellow_heart: Repost @jazvaughn',0,0,398,10,,,
CIO0p1ABEy9,pantene,2020-11-30 22:26:05.000000,no,False,"b'naturalhair,naturalhairstyles,naturalhairproducts,goldseries,naturalcurls'",b'',"b'If me and my squad pull up... :two_hearts: Safe for natural, thick, and coarse hair types :white_heavy_check_mark:\n.\n.\n.\n.\n.\n#naturalhair #naturalhairstyles #naturalhairproducts #goldseries #naturalcurls'",0,0,535,6,,,
CILs705h3Zj,pantene,2020-11-29 17:20:55.000000,no,False,"b'haircare,hairmask,deepcondition,sagittarius'",b'',b'Channeling Sagittarius energy & giving our hair some intense love :white_heavy_check_mark: Safe on ALL hair types\n.\n.\n.\n.\n.\n#haircare #hairmask #deepcondition #sagittarius',0,0,688,5,,,
CIJGM5dhLAR,pantene,2020-11-28 17:03:59.000000,no,False,"b'naturalhair,naturalhairstyles,naturalhairproducts,goldseries,braidcream'",b'',"b'Being single, seeing double, caring triple :white_heavy_check_mark: Safe for natural, thick, and coarse hair types\n.\n.\n.\n.\n.\n#naturalhair #naturalhairstyles #naturalhairproducts #goldseries #braidcream'",0,0,572,2,,,
CIGiufHhFbs,pantene,2020-11-27 17:17:21.000000,yes,False,"b'curls,curlygirls,curlproducts,seconddaycurls'",b'',b'The:writing_hand_selector: product:writing_hand_selector: we:writing_hand_selector: need:writing_hand_selector: now \nSafe on ALL hair types :white_heavy_check_mark:\n.\n.\n.\n.\n#curls #curlygirls #curlproducts #seconddaycurls',2020,9.905,207,1,,,
CID_YtRhDp2,pantene,2020-11-26 17:28:13.000000,no,False,b'',b'mossonyi',b'Brb d\xcc\xb6e\xcc\xb6e\xcc\xb6p\xcc\xb6-\xcc\xb6c\xcc\xb6o\xcc\xb6n\xcc\xb6d\xcc\xb6i\xcc\xb6t\xcc\xb6i\xcc\xb6o\xcc\xb6n\xcc\xb6i\xcc\xb6n\xcc\xb6g\xcc\xb6 marinating our hair before dinner:hourglass_not_done: Repost @mossonyi',0,0,285,3,,,
CICCFrWh6gX,pantene,2020-11-25 23:13:21.000000,no,False,"b'naturalhair,naturalhairstyles,naturalhairproducts,goldseries,naturalcurls'",b'',"b'Not us giving you two ways to nourish your hair with argan oil \xc2\xa0:eyes: Safe for natural, thick, and coarse hair types :white_heavy_check_mark:\n.\n.\n.\n.\n.\n#naturalhair #naturalhairstyles #naturalhairproducts #goldseries #naturalcurls'",0,0,514,6,,,
CH_XuoJB0iR,pantene,2020-11-24 22:24:54.000000,yes,False,b'',b'',"b""You're a spray away from instant holiday hair :dizzy:""",3171,13.676,276,4,,,
CH8zI2ZBzzD,pantene,2020-11-23 22:26:31.000000,no,False,"b'rootedinscience,watchmework'","b'cvs_beauty,uncf'","b""Have you heard the awesome news? We'll be awarding $200,000 in scholarships to Black womxn pursuing a STEM degree at historically Black colleges and universities (HBCUs) in partnership with @cvs_beauty and @UNCF! Everything our Gold Series Team creates is #RootedInScience and we can't wait to see what the next generation has in store:blue_heart:  Applications will be open from November 15, 2020\xe2\x80\x93January 4, 2021, and there will be 16 scholarship recipients who receive $5,000 a year for up to two years. Visit https://uncf.org/scholarships to learn more and stop by your local CVS for more information. #WatchMeWork""",0,0,209,4,,,
CH5l2wOB15z,pantene,2020-11-22 16:32:44.000000,no,False,"b'naturalhair,naturalhairstyles,naturalhairproducts,goldseries,naturalcurls'",b'',"b'Defining & softening your hair, one product at a time :hugging_face: Safe for natural, thick, and coarse hair types :white_heavy_check_mark:\n.\n.\n.\n.\n.\n#naturalhair #naturalhairstyles #naturalhairproducts #goldseries #naturalcurls'",0,0,945,9,,,
CH2987Ohl9u,pantene,2020-11-21 16:05:34.000000,no,False,"b'curls,curlygirls,curlygirlproducts,jojobaoil,plopping'",b'',"b""Here to condition & keep your curls :hundred_points: Drop your curly girl struggle in the comments and we'll help you out\n.\n.\n.\n.\n.\n#curls #curlygirls #curlygirlproducts #jojobaoil #plopping""",0,0,643,3,,,
CH1AHaYBUen,pantene,2020-11-20 21:45:59.000000,no,False,b'',b'tierechristyan',b':sparkles: main character energy :sparkles: Repost @tierechristyan',0,0,408,3,,,
CHydMmPBzpB,pantene,2020-11-19 22:02:23.000000,no,False,"b'curls,curlygirls,curlproducts,seconddaycurls,dryshampoo'",b'',b'A curl affair to remember :yellow_heart: Safe on ALL hair types :white_heavy_check_mark:\n.\n.\n.\n.\n.\n#curls #curlygirls #curlproducts #seconddaycurls #dryshampoo',0,0,634,5,,,
CHvDJxTlW-l,pantene,2020-11-18 14:20:05.000000,yes,False,"b'beautifulgbtq,beautifulgbtq'",b'familyequality',"b""Hair is just one :index_pointing_up_selector: way we express ourselves. And Ashley & Ellie can see how each of their children uses their hair as a way to showcase their identity and use the confidence to be who they are every day and feel good about it. :white_medium_star:\n\nJoin us in supporting family equality for #BeautifuLGBTQ families like Ashley & Ellie by sharing your own family photo using #BeautifuLGBTQ. :rainbow::camera_with_flash: For each photo shared, we'll donate $1 to @FamilyEquality (up to $100,000)""",2451,114.53,191,5,,,
CHsd9GGBvKT,pantene,2020-11-17 14:15:40.000000,yes,False,"b'greathairday,beautifulgbtq,beautifulgbtq'",b'familyequality',"b""Joyia & Mariana see the time spent caring for their daughter Eliza's hair as a time to develop trust, slow down, and just be together. Their goal is to build up Eliza's strength on the inside, and seeing her walk a little taller on a #GreatHairDay is just an added bonus. :sparkling_heart:\n\nJoin us in supporting family equality for #BeautifuLGBTQ families like Joyia & Mariana by sharing your own family photo using #BeautifuLGBTQ. :rainbow::camera_with_flash: For each photo shared, we'll donate $1 to @FamilyEquality (up to $100,000)""",2229,123.763,219,7,,,
CHp6G1dh4_2,pantene,2020-11-16 14:27:33.000000,yes,False,"b'beautifulgbtq,beautifulgbtq'",b'familyequality',"b""For LGBTQ+ adoptive parents, every opportunity to connect, matters\xe2\x80\x94and caring for hair is one of them. :revolving_hearts: Meet Raymond & Robbi who keep their daughter Ella connected to the heritage & culture of her birth parents through her hair and use nighttime rituals like bath time as a chance to connect.\n\nJoin us in supporting family equality for #BeautifuLGBTQ families like Raymond & Robbi by sharing your own family photo using #BeautifuLGBTQ. :rainbow::camera_with_flash: For each photo shared, we'll donate $1 to @FamilyEquality (up to $100,000)""",14513,132.053,710,73,,,
CHnjRACBWIi,pantene,2020-11-15 16:23:46.000000,no,False,"b'brunette,bronde,brondehair,hairgoals,hairtips'",b'',b'Your color is unique :sparkles: every strand deserves to stand out :white_heavy_check_mark: Safe on ALL hair types \n.\n.\n.\n.\n#brunette #bronde #brondehair #hairgoals #hairtips',0,0,191,0,,,
CHlAtnABsob,pantene,2020-11-14 16:43:21.000000,no,False,"b'naturalhair,naturalhairstyles,naturalhairproducts,goldseries,naturalcurls'",b'',"b""The gold standard for moisture (we're talking up to 72 hours of hydration) :blue_heart: Safe for natural, thick, and coarse hair types :white_heavy_check_mark:\n.\n.\n.\n.\n\n#naturalhair #naturalhairstyles #naturalhairproducts #goldseries #naturalcurls""",0,0,609,4,,,
CHjCr0dhSYs,pantene,2020-11-13 22:22:06.000000,no,False,b'hairatwork',b'cyoung.artistry',"b'While Black women might be most confident with their hair, our #HairAtWork Study found they\xe2\x80\x99re still 93% more likely to be judged by it in the workplace than others. Black women don\xe2\x80\x99t let that stop them. Period.\n\nGold Series was created by Black scientists & PhDs to work hard while you\xe2\x80\x99re working harder to show the world that no matter what hairstyle Black women rock, at work or otherwise, healthy works in any setting. :flexed_biceps: Stay tuned for more artwork from @cyoung.artistry highlighting the power of natural hair.'",0,0,361,5,,,
CHgee7hh1Tw,pantene,2020-11-12 22:27:18.000000,no,False,"b'naturalhair,naturalhairstyles,naturalhairproducts,goldseries,naturalcurls'",b'',"b'Did someone say triple threat? :dizzy: \xc2\xa0Safe for natural, thick, and coarse hair types :white_heavy_check_mark:\n.\n.\n.\n.\n.\n#naturalhair #naturalhairstyles #naturalhairproducts #goldseries #naturalcurls'",0,0,815,4,,,
CHd4w4BhGj5,pantene,2020-11-11 22:19:19.000000,yes,False,b'',b'',"b'Today, in hair styles inspired by 2010: the bump. :woman_tipping_hand_selector:'",4399,8.405,378,4,,,
CHbRxjMhqdE,pantene,2020-11-10 22:00:02.000000,no,False,"b'naturalhair,naturalhairstyles,naturalhairproducts,goldseries,naturalcurls'",b'',"b'Made a wish for healthier hair? Granted :white_heavy_check_mark: Safe for natural, thick, and coarse hair types.\n.\n.\n.\n.\n.\n#naturalhair #naturalhairstyles #naturalhairproducts #goldseries #naturalcurls'",0,0,619,8,,,
CHY3bNehXu6,pantene,2020-11-09 23:31:19.000000,no,False,b'',b'syeda_bombom',"b'You dropped this, queen :crown:  Repost @syeda_bombom'",0,0,559,10,,,
CHBIAiLhs8D,pantene,2020-10-31 18:14:36.000000,yes,False,"b'waterless,seconddaycurls,dryshampoo'",b'',"b""So good at refreshing your 2nd day hair, it's almost scary :ghost: Safe on ALL hair types :white_heavy_check_mark:\n.\n.\n.\n.\n.\n#waterless #seconddaycurls #dryshampoo""",2365,6.266,277,8,,,
CG8S_7XhJxY,pantene,2020-10-29 21:14:17.000000,no,False,"b'conditioner,hairconditioner,hairmask,deepcondition,heatprotection'",b'',b'Damaged hair has met its match :dizzy: Safe on ALL hair types :white_heavy_check_mark:\n.\n.\n.\n.\n.\n#conditioner #hairconditioner #hairmask #deepcondition #heatprotection',0,0,765,7,,,
CG5urMxhphd,pantene,2020-10-28 21:18:24.000000,no,False,"b'jojobaoil,curlygirls,curls,curlcare'",b'',b'Afraid of drying out your curls? We got you :yellow_heart: Safe on ALL hair types :white_heavy_check_mark:\n.\n.\n.\n.\n.\n#jojobaoil #curlygirls #curls #curlcare',0,0,492,4,,,
CG3J204hoOS,pantene,2020-10-27 21:18:12.000000,no,False,b'',b'curlbellaa',b'These curls are carrying us through the work week :cyclone: Repost @curlbellaa',0,0,372,4,,,
CG0rdPRBE5h,pantene,2020-10-26 22:14:04.000000,no,False,"b'naturalhair,naturalhairstyles,naturalhairproducts,goldseries,naturalcurls'",b'',"b""Pretty sure this is what they mean when they say 'go for the gold' :1st_place_medal: Safe for natural, thick, and coarse hair types :white_heavy_check_mark:\n.\n.\n.\n\n#naturalhair #naturalhairstyles #naturalhairproducts #goldseries #naturalcurls""",0,0,1325,26,,,
CGxXgiEBaGr,pantene,2020-10-25 15:22:02.000000,no,False,b'',b'idaravn',b'But try to play it cool :person_tipping_hand: Repost @idaravn',0,0,473,5,,,
CGuy3gnB0EL,pantene,2020-10-24 15:23:23.000000,no,False,"b'conditioner,damagedhair,hairdamage,hairrepair'",b'',b'Repair. Protect. Repeat. :repeat_button: Safe on ALL hair types :white_heavy_check_mark:\n.\n.\n.\n\n#conditioner #damagedhair #hairdamage #hairrepair',0,0,599,6,,,
CGs3xLjBCd7,pantene,2020-10-23 21:27:44.000000,no,False,b'',b'frankiegascoine',b'Give us a second to pick our jaws up off the floor :sparkles: Repost @frankiegascoine',0,0,577,6,,,
CGqS9ilBgkz,pantene,2020-10-22 21:30:01.000000,yes,False,"b'conditioner,hairconditioner,hairmask,deepcondition'",b'',b'What 3-minute song will you be jamming to while this works its magic? :backhand_index_pointing_down::microphone: Safe on ALL hair types :white_heavy_check_mark:\n.\n.\n.\n#conditioner #hairconditioner #hairmask #deepcondition',3182,10.005,349,6,,,
CGnt3eBhOkc,pantene,2020-10-21 21:25:00.000000,no,False,b'',"b'obe_fitness,sarahgrooms,florido'","b""Our LIVE class series with @obe_fitness starts TOMORROW! Get ready to Dance & Sculpt :woman_dancing::flexed_biceps: with @sarahgrooms :right_arrow_selector: and be sure to join us after class on Friday for a special IG Live with celeb stylist @florido (that's 10AM ET on 10/23!). Check out today's Story for more info & get ready to go from workout :backhand_index_pointing_right: work.""",0,0,414,5,,,
CGlJLvMhGOd,pantene,2020-10-20 21:25:59.000000,no,False,"b'naturalhair,naturalhairstyles,naturalhairproducts,goldseries,naturalcurls'",b'',"b'Paraben-free, sulfate-free, and keeping you frizz-free :sparkles: Safe for natural, thick, and coarse hair types :white_heavy_check_mark:\n.\n.\n.\n.\n.\n#naturalhair #naturalhairstyles #naturalhairproducts #goldseries #naturalcurls'",0,0,762,14,,,
