shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIDkfB2gJG1,paychex_inc,2020-11-26 13:33:11.000000,no,False,b'happythanksgiving',b'',"b'May the good things of life be yours in abundance, not only at Thanksgiving but throughout the coming year. #HappyThanksgiving'",0,0,123,8,,,
CG3BKlUFMQt,paychex_inc,2020-10-27 20:02:17.000000,no,False,b'latinotaxfest',b'',"b'We understand the importance of retirement planning. Register for \xe2\x80\x9cHow Recent Legislation Impacts Your Clients\xe2\x80\x99 Retirement Plans\xe2\x80\x9d, 9 a.m. (PT) Oct. 28 during Latino Tax Fest to learn about contributions, distributions and more. https://bit.ly/2TsFWZ9 #latinotaxfest'",0,0,22,6,,,
CG2RGn3gcVe,paychex_inc,2020-10-27 13:02:19.000000,no,False,b'latinotaxfest',b'',"b'If clients have HR questions, you want to provide helpful answers. At the Latino Tax Fest, we are hosting a Q&A BizTech session \xe2\x80\x93 \xe2\x80\x9cAsk the HR Expert\xe2\x80\x9d \xe2\x80\x93 Oct. 28 at 11 a.m. Give 20 minutes, gain so much more. #latinotaxfest'",0,0,27,1,,,
CG0isP5lob0,paychex_inc,2020-10-26 20:57:31.000000,no,False,b'hrtechconf',b'',"b""We're excited to be bringing the future of work to the 2020 HR Tech Conference! Check out what we have in store at our virtual booth this year: https://bit.ly/3kxije2 #HRTechConf""",0,0,31,0,,,
CGvLrMiFXvy,paychex_inc,2020-10-24 19:00:12.000000,no,False,b'latinotaxfest',b'',"b'Como patrocinador platino del #LatinoTaxFest, del 27 al 29 de octubre, Paychex quiere que su visita a nuestro puesto de informaci\xc3\xb3n virtual sea una oportunidad de oro. Hable con nuestros representantes y vea nuestras demostraciones para conocer las soluciones de n\xc3\xb3mina y recursos humanos que ofrecemos para facilitar el trabajo de los profesionales de la contabilidad con sus clientes.'",0,0,23,0,,,
CGsLWMOnTCd,paychex_inc,2020-10-23 14:59:36.000000,no,False,"b'paychex,latinotaxfest,ltpa'",b'',b'Get to the #Paychex virtual booth during Latino Tax Fest \xe2\x80\x93 Oct. 27-29 \xe2\x80\x93 to be entered to win $100 Amazon gift card. Take 40 minutes to attend our BizTech sessions to earn two chances to win $100 Amazon gift cards. Do all three and you\xe2\x80\x99re entered to win a grand prize worth $200. #latinotaxfest #ltpa',0,0,37,0,,,
CGFPPSNAPUr,paychex_inc,2020-10-08 12:03:14.000000,no,False,"b'customerserviceweek,pxcx'",b'',"b""Happy Customer Service Week! We'd like to thank our clients for trusting us with their business. #CustomerServiceWeek #PXCX""",0,0,57,1,,,
CGDmXz6AOYC,paychex_inc,2020-10-07 20:46:55.000000,no,False,"b'customerserviceweek,pxcx,cxday'",b'',"b""What we've seen time and time again this year is what we've always known: whether it's the best of times or a global pandemic, the power of Paychex is YOU, our employees. Thank you for everything you do to give our customers the experience they deserve. #CustomerServiceWeek #PXCX #CXDay""",0,0,78,0,,,
CFu_iTAhRok,paychex_inc,2020-09-29 20:42:41.000000,no,False,"b'paychexsalesconference2020,paychexproud'",b'',"b""We're looking forward to tomorrow. #PaychexSalesConference2020 #PaychexProud""",0,0,108,1,,,
CE6_Ts1nyXn,paychex_inc,2020-09-09 16:00:14.000000,no,False,"b'payroll,payrollweek'",b'',"b'There\xe2\x80\x99s no easy button for #payroll. It takes hard work, dedication, and constant learning. We are proud to recognize and support the amazing members of Team Payroll during National #PayrollWeek for the essential role they fill.'",0,0,51,0,,,
CE6_Ts1nyXn,paychex_inc,2020-09-09 16:00:14.000000,no,False,"b'payroll,payrollweek'",b'',"b'There\xe2\x80\x99s no easy button for #payroll. It takes hard work, dedication, and constant learning. We are proud to recognize and support the amazing members of Team Payroll during National #PayrollWeek for the essential role they fill.'",0,0,51,0,,,
CE5ARcyH0Rt,paychex_inc,2020-09-08 21:30:11.000000,no,False,"b'roc,techconference,tech,conference,virtual'",b'',b'We are proud to be a Virtual RTC20 Sponsor!\n\n#ROC #TechConference #Tech #Conference #Virtual Conference',0,0,47,0,,,
CE4SIaQnXIc,paychex_inc,2020-09-08 14:47:02.000000,yes,False,"b'covid19,paychex,coronavirus'",b'',"b'For more than four decades, Paychex has helped businesses make sense of change. For all the ways we can help during COVID-19 and beyond, visit our COVID-19 Help Center (link in bio). \n\n#COVID19 #Paychex #Coronavirus'",444,30.033,64,0,,,
CE1drOeDpLF,paychex_inc,2020-09-07 12:30:09.000000,no,False,"b'payrollweek,payroll'",b'',b'We are proud to be an exclusive sponsor of National Payroll Week 2020! Take time this week to thank a member of Team Payroll for all they do. #PayrollWeek #payroll',0,0,70,0,,,
CDL-JAxHtKG,paychex_inc,2020-07-28 13:14:19.000000,no,False,"b'paychex,podcast,markcuban,genemarks,sharktank'",b'',"b'Coming July 29 \xe2\x80\x93 Gene talks with Mark Cuban, celebrity entrepreneur, owner of the NBA\xe2\x80\x99s Dallas Mavericks, and \xe2\x80\x9cshark\xe2\x80\x9d on ABC\xe2\x80\x99s popular TV show, Shark Tank. Don\xe2\x80\x99t miss out on his episode. Subscribe to our channel and listen to the latest pandemic news for your small business.\n\nLink in bio.\n\n#Paychex #Podcast #MarkCuban #GeneMarks #SharkTank'",0,0,98,5,,,
CCOQUc_DCgw,paychex_inc,2020-07-04 14:00:16.000000,no,False,"b'independenceday,4thofjuly'",b'',"b'From our Paychex family to yours, Happy 4th Of July. #IndependenceDay #4thofJuly'",0,0,104,1,,,
CBvjaeWjAwl,paychex_inc,2020-06-22 15:50:37.000000,no,False,"b'paychexproud,rocheartwalk,rocheartrun'",b'',"b""#PaychexProud to support this year's #ROCHeartWalk & #ROCHeartRun. The way we ran was different but the why remained the same.""",0,0,73,0,,,
CBvUv5hlXVz,paychex_inc,2020-06-22 13:42:30.000000,no,False,"b'paychexproud,rocheartwalk,paychexcares'",b'',b'The Mucci family was #PaychexProud to participate in the #ROCHeartWalk. #PaychexCares',0,0,151,2,,,
