shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYg7KClI7U,paycomsoftware,2020-12-04 16:46:07.000000,no,False,"b'hrtechnology,humanresources'",b'',"b'HR software with customizable training features can provide 24/7 access, so new hires can receive essential info without needing experienced staff to conduct in-person training. #HRTechnology #humanresources'",0,0,953,1,,,
CIToCoDFleo,paycomsoftware,2020-12-02 19:12:12.000000,yes,False,"b'hrtechnology,paycomxbarbara,humanresources'",b'barbaracorcoran',"b'Why is it so important to have an excellent employee experience in your company? For @barbaracorcoran, the experience starts with appreciating your people and acknowledging their work. To learn more, check out the link in our bio. #HRTechnology #PaycomXBarbara #humanresources'",11432,25.966,353,0,,,
CIRdG8BFuPc,paycomsoftware,2020-12-01 22:58:06.000000,no,False,"b'hrtechnology,humanresources'",b'',b'Applicant tracking software can streamline your hiring processes instead of sifting through stacks of paper resumes. See how HR tech can save your HR department time and resources by visiting the link in our bio. \n\n#HRTechnology #humanresources',0,0,637,1,,,
CIGf2i3li0D,paycomsoftware,2020-11-27 16:50:28.000000,yes,False,"b'hrtechnology,humanresources,newenglandpatriots'",b'patriots',"b'With comprehensive HR technology, employees are empowered to manage their own information, while HR is freed to focus on company initiatives that drive the business forward. Take it from the New England @patriots. \n\n#HRTechnology #humanresources #NewEnglandPatriots'",7157,16.0,395,0,,,
CH-39ERFfJD,paycomsoftware,2020-11-24 17:47:06.000000,no,False,"b'hrtechnology,hr,humanresources'",b'',"b'Small businesses have a lot to juggle, but HR technology is here to help! Track everything for your company within one single software to scale your business to success. \n\n#HRTechnology #HR #humanresources'",0,0,2743,4,,,
CH8PJ4wlzTb,paycomsoftware,2020-11-23 17:12:09.000000,yes,False,"b'hrtechnology,humanresources,digitaltransformation'",b'',b'Manual processes cutting into your productivity? Streamline processes with our comprehensive HR tech. \n\n#HRtechnology #humanresources #DigitalTransformation',3163,6.0,49,0,,,
CH0gbLHF0Ma,paycomsoftware,2020-11-20 17:09:06.000000,no,False,"b'hrtechnology,humanresources,hr'",b'',"b'Manual tasks can drag HR down, which can drag the whole business down with it. Streamline your HR tasks with comprehensive HR technology. \n\n#HRTechnology #humanresources #HR'",0,0,1125,2,,,
CHyVgavFx5A,paycomsoftware,2020-11-19 20:55:20.000000,yes,False,"b'hrtechnology,humanresources,changemanagement'",b'',"b'Change can be daunting, but sometimes it can help you elevate your processes and open the gates to something new. \n\n#HRTechnology #humanresources #ChangeManagement'",8071,23.066,251,1,,,
CHwFTEFjvOK,paycomsoftware,2020-11-18 23:55:06.000000,no,False,"b'hrtechnology,paycomlearning,humanresources'",b'',b'Take your business to the next level by building a solid learning structure that drives productivity and trust within your workforce.\n\n#HRTechnology #PaycomLearning #humanresources',0,0,1062,2,,,
CHwFTEFjvOK,paycomsoftware,2020-11-18 23:55:06.000000,no,False,"b'hrtechnology,paycomlearning,humanresources'",b'',b'Take your business to the next level by building a solid learning structure that drives productivity and trust within your workforce.\n\n#HRTechnology #PaycomLearning #humanresources',0,0,1062,2,,,
CHieaNwFBe9,paycomsoftware,2020-11-13 17:05:13.000000,yes,False,"b'hrtechnology,humanresources,newenglandpatriots'",b'patriots',"b'Staying up to date and compliant with legislative updates can be a whirlwind, but with Paycom, the New England @Patriots learned how simple it could actually be. \n\n#HRTechnology #humanresources #NewEnglandPatriots'",5716,12.966,128,0,,,
CHgTliplF1T,paycomsoftware,2020-11-12 20:52:06.000000,no,False,"b'hrtechnology,humanresources,hr'",b'',"b'Having processes and robust technology in place will give your organization the agility it needs to scale to success, even during times of transition. See how #HRtechnology can benefit your company by visiting our website in the link in our bio. #humanresources #HR'",0,0,1010,2,,,
CHa08CnFt0u,paycomsoftware,2020-11-10 17:48:06.000000,no,False,"b'hr,hrtechnology,paycomxguyraz'",b'guy.raz',"b'Resiliency and innovation are key to taking your next great idea and mission to the next level. On Nov. 17, award-winning reporter and podcast host @guy.raz discusses seven lessons he\xe2\x80\x99s learned from the world\xe2\x80\x99s greatest entrepreneurs.\n\nRegister in the link in our bio. #HR #HRTechnology #PaycomXGuyRaz'",0,0,1616,2,,,
CHQayCkloXb,paycomsoftware,2020-11-06 16:47:07.000000,no,False,"b'humanresources,hr,hrtechnology,employeeengagement'",b'',"b""Times of change require bold and pioneering leadership. It's time to innovate and engage your employees, primarily through blended learning programs to develop and drive continuous growth of your entire organization. \n\n#humanresources #HR #HRtechnology #employeeengagement""",0,0,2653,5,,,
CHLoqwTFZ1A,paycomsoftware,2020-11-04 20:12:26.000000,yes,False,"b'hrtechnology,hr,humanresources,backgroundchecks'",b'',"b""Noticing background checks taking longer than expected? Get results faster with Paycom's Enhanced Background Checks so your new hires can onboard faster. \n\nLearn more in the link in our bio! \n\n#HRTechnology #HR #humanresources #backgroundchecks""",25519,7.0,196,0,,,
CHGKHY6luq6,paycomsoftware,2020-11-02 17:09:06.000000,no,False,"b'humanresources,hrtechnology,hr'",b'',"b'The reality of keeping clients satisfied is simple: The better your tech, the greater your organizational efficiency. And the greater your organizational efficiency, the better your ability to provide the services your clients need.\n\nSee how by checking out the link in our bio. #humanresources #HRTechnology #HR'",0,0,664,0,,,
CG5QT0Yla5b,paycomsoftware,2020-10-28 16:53:05.000000,no,False,"b'hrtechconf,hrtechnology,humanresources'",b'',b'Enjoy the first day of the 2020 HR Tech Conference? Be sure to stop by our virtual booth before the end of the week. #HRTechConf #HRTechnology #humanresources',0,0,27,0,,,
CG2v3ahFd1x,paycomsoftware,2020-10-27 17:31:07.000000,no,False,"b'hrtechnology,humanresources,hr,backgroundchecks'",b'',"b""Don't let top talent slip away. With Paycom's Enhanced Background Checks, get results faster to onboard new employees quickly and efficiently. \n#HRtechnology #humanresources #HR #backgroundchecks""",0,0,1606,3,,,
CGz8M48jBxW,paycomsoftware,2020-10-26 15:21:15.000000,yes,False,"b'onboarding,hrtechnology,halloween,humanresources'",b'',"b'Want to level up your onboarding processes? On Oct. 28, join us at 2 p.m. CT learn how to catch the tasks that spook new-hire productivity and efficiency. Register at the link in our bio! \n#onboarding #HRtechnology #Halloween #humanresources'",22241,17.066,795,1,,,
CGtQpG5Fnj7,paycomsoftware,2020-10-24 01:05:06.000000,no,False,"b'hrtechnology,hr,humanresources,backgroundchecks'",b'',"b""Don't let the cost of unqualified talent add up. See how #HRtechnology can streamline your screening processes by clicking the link in our bio. \n\n#HR #humanresources #backgroundchecks""",0,0,799,0,,,
CGkiMjSh74I,paycomsoftware,2020-10-20 16:54:14.000000,yes,False,"b'hrtechnology,hr,humanresources,backgroundchecks'",b'',"b'Ready for faster, more informed employee screenings? With Paycom\xe2\x80\x99s Enhanced Background Checks, you can effortlessly run automated screenings within our single software. Learn more at the link in our bio. \n\n#HRTechnology #HR #humanresources #backgroundchecks'",216,68.393,39,0,,,
CGij_PgBlJV,paycomsoftware,2020-10-19 21:22:29.000000,no,False,"b'hrtechnology,humanresources,backgroundchecks'",b'',b'Are your background checks taking too long? Don\xe2\x80\x99t let top talent slip through the cracks! \n\nSee how Paycom\xe2\x80\x99s Enhanced Background Checks can streamline screenings and get employees onboarded faster by visiting the link in our bio. \n\n#hrtechnology #humanresources #backgroundchecks',0,0,930,2,,,
CGaWxjnlXBA,paycomsoftware,2020-10-16 16:53:10.000000,yes,False,"b'hrtechnology,humanresources,hr,newenglandpatriots'",b'patriots',"b'Empower your employees to manage their own HR information, and boost employee experience and success across the entire company. Take it from the New England @patriots HR pros. \n\n#HRTechnology #humanresources #HR #NewEnglandPatriots'",456,16.0,70,4,,,
CGXeNf5DnJP,paycomsoftware,2020-10-15 14:00:24.000000,no,False,"b'humanresources,hr,businessdevelopment'",b'',"b'Why adopt self-service HR technology? Simple! Software that gives employees access to their own HR-related information also gives them the ability to make their own changes to that information, not to mention getting answers to their questions.\n\nFind out more by visiting our website linked in our bio!\n\n#humanresources #HR #businessdevelopment'",0,0,1510,1,,,
CGQnNeNBui1,paycomsoftware,2020-10-12 22:10:49.000000,yes,False,"b'hrbreakroom,hrtechnology,humanresources,businessdevelopment'",b'barbaracorcoran',"b'Employees today expect a seamless experience with workplace technology, and all too often, HR is caught in the middle between employees and their data. Take it from @barbaracorcoran, that\xe2\x80\x99s \xe2\x80\x9cso ridiculous!\xe2\x80\x9d \n\nTo learn how the right HR strategy is vital in today\xe2\x80\x99s environment, check out this episode of the #HRBreakRoom by clicking the link in our bio. #hrtechnology #humanresources #businessdevelopment'",12230,23.053,372,0,,,
