shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYVAH3LyJA,penskecars,2020-12-04 15:01:57.000000,no,False,"b'penskeautomotive,penskecars,penske,penskesocial,carstagram,instacar,carsofig,travel,driveon,carlove,instagood,instapic,picoftheday,landrover,landroverusa'",b'landroverusa',b'Heading towards the weekend.\n:camera:: @landroverusa\n.\n.\n.\n#penskeautomotive #penskecars #penske #penskesocial #carstagram #instacar #carsofig #travel #driveon #carlove #instagood #instapic #picoftheday #landrover #landroverusa',0,0,17,0,,,
CIWSgQ3pSyA,penskecars,2020-12-03 20:01:39.000000,no,False,"b'nissanmaxima,penskeautomotive,penskecars,penske,penskesocial,carstagram,instacar,carsofig,travel,driveon,carlove,instagood,instapic,picoftheday,nissanusa'",b'nissan',b'Maximize your driving potential. #NissanMaxima\n:camera:: @nissan\n.\n.\n.\n#penskeautomotive #penskecars #penske #penskesocial #carstagram #instacar #carsofig #travel #driveon #carlove #instagood #instapic #picoftheday #nissanusa',0,0,12,0,,,
CITLpOWLeKS,penskecars,2020-12-02 15:04:00.000000,no,False,"b'toyota,penskeautomotive,penskecars,penske,penskesocial,carstagram,instacar,carsofig,travel,driveon,carlove,instagood,instapic,picoftheday,toyotausa'",b'toyotausa',"b""Livin' the good life with a #Toyota.\n:camera:: @toyotausa\n.\n.\n.\n#penskeautomotive #penskecars #penske #penskesocial #carstagram #instacar #carsofig #travel #driveon #carlove #instagood #instapic #picoftheday #toyotausa""",0,0,18,0,,,
CIRCPsmnUmu,penskecars,2020-12-01 19:03:23.000000,no,False,"b'penskeautomotive,penskecars,penske,penskesocial,carstagram,instacar,carsofig,travel,driveon,carlove,instagood,instapic,picoftheday,bmw,bmwusa'",b'bmw',b'Aiming for speed.\n:camera:: @bmw\n.\n.\n.\n#penskeautomotive #penskecars #penske #penskesocial #carstagram #instacar #carsofig #travel #driveon #carlove #instagood #instapic #picoftheday #bmw #bmwusa',0,0,17,2,,,
CIOB8WxrAjE,penskecars,2020-11-30 15:03:00.000000,no,False,"b'penskeautomotivesalutes,penskeautomotive,penskecars,penske,penskesocial,carstagram,veterans'",b'bmwsandiego',"b'#PenskeAutomotiveSalutes Dave Armas, a tenured PAG employee of one year at @bmwsandiego. He works as a technician and is a U.S. Marine veteran! Thank you for your service, Dave.\n.\n.\n.\n#penskeautomotive #penskecars #penske #penskesocial #carstagram #veterans'",0,0,21,2,,,
CIGoLY8L5cm,penskecars,2020-11-27 18:03:11.000000,no,False,"b'penskeautomotivesalutes,penskeautomotive,penskecars,penske,penskesocial,carstagram,veterans'",b'',"b'#PenskeAutomotiveSalutes this Army veteran, Jerry Frishkorn! He is a tenured PAG employee of 14 years and works at Penske Collision Center San Diego as a Parts Counter Representative.\n.\n.\n.\n#penskeautomotive #penskecars #penske #penskesocial #carstagram #veterans'",0,0,26,2,,,
CIERDwSFs8f,penskecars,2020-11-26 20:02:41.000000,no,False,"b'penskeautomotive,penskecars,penske,penskesocial,carstagram'",b'',"b'From all of us here at Penske Automotive Group, Happy Thanksgiving!\n.\n.\n.\n#penskeautomotive #penskecars #penske #penskesocial #carstagram'",0,0,20,0,,,
CIERDwSFs8f,penskecars,2020-11-26 20:02:41.000000,no,False,"b'penskeautomotive,penskecars,penske,penskesocial,carstagram'",b'',"b'From all of us here at Penske Automotive Group, Happy Thanksgiving!\n.\n.\n.\n#penskeautomotive #penskecars #penske #penskesocial #carstagram'",0,0,20,0,,,
CIBergBpQUb,penskecars,2020-11-25 18:03:59.000000,no,False,"b'penskeautomotivesalutes,penskeautomotive,penskecars,penske,penskesocial,carstagram,veterans'",b'hondaofescondido',"b'This month, #PenskeAutomotiveSalutes every veteran including Trevor Gethers, a tenured, 7-year PAG employee. Trevor is a technician @hondaofescondido and a Marine veteran. Thank you for your service, Trevor!\n.\n.\n.\n#penskeautomotive #penskecars #penske #penskesocial #carstagram #veterans'",0,0,22,2,,,
CH_cIzpl431,penskecars,2020-11-24 23:03:17.000000,no,False,"b'penskeautomotive,penskecars,penske,penskesocial,carstagram,instacar,carsofig,travel,driveon,carlove,instagood,instapic,picoftheday,lincoln,lincolnusa'",b'lincoln',b'Driving paradise.\n:camera:: @lincoln\n.\n.\n.\n#penskeautomotive #penskecars #penske #penskesocial #carstagram #instacar #carsofig #travel #driveon #carlove #instagood #instapic #picoftheday #lincoln #lincolnusa',0,0,15,0,,,
