shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CITf0K1pr_H,pepsi,2020-12-02 18:00:14.000000,no,False,b'',b'',"b'The Pepsi is cold and frosty, but this recipe is oh so warm and cozy. Recipe below.\n\nINGREDIENTS\n64 oz beef chuck pot roast\n12 oz can of Pepsi\n1 package dry onion soup mix\nPepper to taste\n\nINSTRUCTIONS\nSpray interior of crock pot with cooking spray and add beef chuck. Sprinkle onion soup mix on top of the meat, and then pour Pepsi along the sides careful to not wash off the soup mix. Cover and cook for 8 hours on low or until internal temperature reaches 165 F. Pair with mashed potatoes, vegetables, and Pepsi (of course). Bon appetit!'",0,0,7913,293,,,
CIOj8_KMy5Y,pepsi,2020-11-30 20:00:15.000000,yes,False,b'',b'',"b'All this blue, just for you. Drop your fave blue emoji below :down_arrow_selector:.'",13488,12.766,4999,247,,,
CIGg-UnnYO8,pepsi,2020-11-27 17:00:13.000000,no,False,b'reusablestraw',b'',"b""Embracing the chill of the holiday season the only way we know how (and don\xe2\x80\x99t forget your #reusablestraw). Recipe below.\n\nINGREDIENTS\n\xc2\xbc tbs cinnamon\n1 tsp nutmeg\n1 tsp allspice\n12 oz can of Pepsi Zero Sugar\nVanilla ice cream\nWhipped cream (optional)\n\nINSTRUCTIONS\nIn a microwave safe bowl, mix cinnamon, nutmeg, allspice, and \xc2\xbc cup of Pepsi and microwave for 15-30 seconds. In case of clumping, pour spice mixture through a fine colander (or cheese cloth) into a glass then add remaining Pepsi. Stir until mixed thoroughly. Add 2-3 scoops of ice cream, top with whipped cream and a sprinkle of cinnamon for the ultimate holiday treat (And don't\xe2\x80\x99 forget your reusable straw)!""",0,0,8435,100,,,
CH-vJZphd9W,pepsi,2020-11-24 16:30:09.000000,no,False,b'',b'',b'Raise your hand if you\xe2\x80\x99ve got a bestie like Sara\xe2\x80\x99s bestie :raised_back_of_hand:.',0,0,4199,113,,,
CH0tIUunxdU,pepsi,2020-11-20 19:00:07.000000,no,False,b'',b'',b'It\xe2\x80\x99s always soup season when sancocho is on the menu. :face_savoring_food:',0,0,11128,148,,,
CHxs30Tr7bf,pepsi,2020-11-19 15:00:09.000000,no,False,b'',b'snack_trooper',b'Pepsi is out of this world :rocket:. @ a friend you\xe2\x80\x99d want to explore the :full_moon: with. \n:camera_with_flash:: @snack_trooper',0,0,17926,339,,,
CHf3ae3Aha1,pepsi,2020-11-12 16:45:54.000000,no,False,"b'pepsihalftime,sblv'","b'theweeknd,rocnation'","b'When your talent is limitless, you belong on the world\xe2\x80\x99s largest stage. @theweeknd #PepsiHalftime #SBLV @rocnation'",0,0,23881,761,,,
CHbDlRNnOYt,pepsi,2020-11-10 20:11:48.000000,yes,False,b'',b'',b'Homegate eats\xc2\xa0taste great with\xc2\xa0Pepsi.\xc2\xa0Spice up game day with this :hundred_points: Chili Cornbread Skillet -- it was made for football watching\xc2\xa0:american_football:!',14007,47.503,2682,50,,,
CG2iBRLArQ3,pepsi,2020-10-27 15:30:09.000000,yes,False,b'',b'',"b'If you\xe2\x80\x99re not here for delicious Pepsi content, keep scrolling.'",15447,9.233,4380,141,,,
CGxOIRHHOsN,pepsi,2020-10-25 14:00:07.000000,no,False,b'',b'',"b'Grab your Pepsi, we\xe2\x80\x99re doing Mexican family style chilaquiles.'",0,0,7098,119,,,
