shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYhh2eHI2j,pepsico,2020-12-04 16:53:10.000000,yes,False,b'nationalcookieday',b'',"b'Happy #NationalCookieDay! Did you know that we make a variety of cookies, including the Grandma\xe2\x80\x99s and Gamesa brands? Which one is your favorite?'",2499,10.0,345,13,,,
CIBct7MFUDV,pepsico,2020-11-25 17:46:48.000000,no,False,b'',b'fritolay',"b'With 17 @fritolay dips and even more varieties of chips, your chip and dip combo might just be unique. What\xe2\x80\x99s your favorite duo?'",0,0,983,23,,,
CH_J3obl4Hn,pepsico,2020-11-24 20:23:37.000000,no,False,b'',b'',b'Holiday movies just aren\xe2\x80\x99t the same without your favorite snacks! What are you watching?',0,0,523,6,,,
CH8P7nwlyAd,pepsico,2020-11-23 17:18:52.000000,no,False,b'',b'tostitos',"b'There\xe2\x80\x99s a @tostitos chip for almost every taste, from baked scoops to hint of guacamole: which one is your go to?'",0,0,480,16,,,
CH3ES1lnoEr,pepsico,2020-11-21 17:01:31.000000,yes,False,b'',b'',"b'We love innovating unique flavors, but we also don\xe2\x80\x99t shy away from creating new classics, like Life Chocolate cereal, on shelves now! Who\xe2\x80\x99s tried it?'",1772,12.61,231,11,,,
CH0h4qBnDES,pepsico,2020-11-20 17:22:44.000000,yes,False,b'',b'tostitos',b'Our flavor innovators figured out how to get all of the guacamole taste into @tostitos with none of the guacamole work. Will you eat them straight or dip them in salsa?',2162,12.61,288,9,,,
CHyMl0rnBPN,pepsico,2020-11-19 19:38:24.000000,yes,False,b'',b'propelwater',b'We\xe2\x80\x99ve come up with a new way to water: @propelwater Immune Support with vitamin c + zinc\xe2\x80\x94and delicious orange raspberry flavor!',3571,12.61,519,22,,,
CHsrsHqHx2J,pepsico,2020-11-17 16:14:34.000000,yes,False,b'',b'tropicana_juices',b'We\xe2\x80\x99re committed to creating snacks and drinks that are delicious + fit in with changing lifestyles. We created @tropicana_juices Essentials Fiber for people looking to add a little more fiber to their morning routine!',2069,5.5,268,7,,,
CHqE8J3H9RN,pepsico,2020-11-16 15:57:47.000000,yes,False,b'',"b'quaker,quaker'","b'Many consumers are looking for ways to boost their protein intake, so we created @quaker protein: all the classic whole-grain @quaker taste, with 10 grams of protein.'",3113,5.5,445,8,,,
CHi32kcHXST,pepsico,2020-11-13 20:47:47.000000,yes,False,b'',b'nakedjuice',"b'Did you know we make varieties of Plant Protein @NakedJuice? All the delicious fruit flavors you love, with the added boost of protein you want!'",2330,5.5,290,8,,,
CGseiyVnayS,pepsico,2020-10-23 17:48:22.000000,yes,False,b'',b'mountaindew',"b'In the mood for just a sip? Or more to share? We make many of our popular beverages, including Diet @mountaindew in mini and tall sizes so you have choices!'",2687,8.133,365,14,,,
CGpu5sHnRtZ,pepsico,2020-10-22 16:13:06.000000,yes,False,b'',b'pepsi',"b'We believe in bringing consumers choices when it comes to their favorite beverages. Which @pepsi can size is your go-to? Mini, regular, or tall?'",4704,8.133,763,51,,,
CGiKlqRF5-n,pepsico,2020-10-19 17:40:32.000000,no,False,"b'halloween,capncrunch'","b'mountaindew,quaker,cheetos,smartfoodpopcorn'","b'Everyone loves a limited edition treat, and we\xe2\x80\x99ve brewed up some special ones this #Halloween:\n:crystal_ball: @mountaindew VooDew\n:jack-o-lantern: @quaker minis \n:comet_selector: @cheetos Asteroids\n:red_apple: @smartfoodpopcorn Caramel + Cinnamon Apple\n:ghost: #CapnCrunch Halloween Crunch'",0,0,1069,12,,,
CGFrC16n-Tx,pepsico,2020-10-08 16:07:06.000000,yes,False,b'',b'cheetos',"b'Flavor trends change fast, and we\xe2\x80\x99re on a mission to innovate even faster! Check out one of our latest launches, Flamin\xe2\x80\x99 Hot Pepper Puffs from @cheetos! :fire:Who\xe2\x80\x99s tried them?'",2725,12.61,335,29,,,
CGAsBs5H-0o,pepsico,2020-10-06 17:39:13.000000,yes,False,b'',"b'gatorade,gatorade'","b'The latest member of the @gatorade family is out now: New @gatorade Juiced. It\xe2\x80\x99s a juice-based sports drink, with the electrolytes of Gatorade plus no added sugar.'",1980,12.61,288,6,,,
CF-F0byHDWZ,pepsico,2020-10-05 17:26:49.000000,yes,False,b'',b'tostitos',"b'We\xe2\x80\x99re working hard to imagine the flavor trends of tomorrow, and bring them to shelves faster than ever before. Check out one of our latest flavor innovations: @tostitos Hint of Spicy Queso! :hot_pepper_selector:'",1840,12.61,265,2,,,
CFxNlm9nHjb,pepsico,2020-09-30 17:25:33.000000,yes,False,b'',b'lipton',"b'We\xe2\x80\x99ve been partnering with @lipton to bring you delicious bottled teas since 1991. Today we make lots of delicious flavors and varieties to fit any lifestyle, including Zero Sugar.'",2375,12.0,329,13,,,
CFr0dBAHRoY,pepsico,2020-09-28 15:09:02.000000,yes,False,b'',b'',"b'Our juiceologists are always dreaming up new smoothie delights, filled with good stuff like protein, probiotics, and lots of fruits + veggies! Which one is your go-to?'",2021,12.0,305,6,,,
CFpHUUNHkXC,pepsico,2020-09-27 13:56:05.000000,yes,False,b'',b'ruffles',"b'We made @ruffles with ridges so they could stand up to hearty dips, way back in 1961. Today we haven\xe2\x80\x99t stopped innovating, with Baked + Simply varieties. Which one do you want to crunch into right now?'",3419,12.0,525,22,,,
CFUfXhwn9jl,pepsico,2020-09-19 13:42:34.000000,yes,False,b'',b'',b'Just released: our newest take on salty-sweet: Smartfood Crunch Berries Popcorn mix! Who\xe2\x80\x99s grabbed a bag?',3072,12.006,387,19,,,
CFCif-Fn5NA,pepsico,2020-09-12 14:24:35.000000,yes,False,b'',"b'mountaindew,speedwaystores'",b'Our teams dreamed up a brand new flavor of Dew for you \xe2\x80\x94 @mountaindew Spark! It\xe2\x80\x99s available at @speedwaystores for a limited time. Who\xe2\x80\x99s tried it?',3130,12.0,402,15,,,
CE4r4JLHhbs,pepsico,2020-09-08 18:33:44.000000,yes,False,b'',b'cheetos',"b'Our culinary creators are in tune with what people want. Their latest innovation: @cheetos Mac \xe2\x80\x98N\xe2\x80\x99 Cheese! Available soon in: :cheese_wedge:Original Bold & Cheesy, :fire:Flamin\xe2\x80\x99 Hot, and :hot_pepper_selector:Cheesy Jalape\xc3\xb1o. Which one do you want to dig into?'",5618,12.0,869,43,,,
CEmXCqCHFwz,pepsico,2020-09-01 15:44:19.000000,yes,False,b'',b'quaker',b'Convenient + delicious @quaker instant oatmeal has been giving people great starts to their day since the 1960s. Today you have more choices than ever--from protein to lower sugar varieties and more. Which one do you start your day with?',2751,8.0,446,8,,,
