shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIXkunGsytj,peugeot,2020-12-04 08:00:14.000000,no,False,b'peugeot3008',b'',b'Personality. #Peugeot3008',0,0,6766,64,,,
CIVGzIZMqAH,peugeot,2020-12-03 09:00:13.000000,no,False,b'peugeot3008',b'',b'Highlighted lines. #Peugeot3008',0,0,8101,62,,,
CISbI0oMoP_,peugeot,2020-12-02 08:00:13.000000,no,False,b'peugeot3008',b'',b'Line up for  the #Peugeot3008.',0,0,7014,51,,,
CIIO0k3szuH,peugeot,2020-11-28 09:00:11.000000,no,False,"b'peugeot508sw,peugeotsportengineered,unboringthefuture'",b'',b'The lion\xe2\x80\x99s rest. New #Peugeot508SW #PeugeotSportEngineered #UnboringTheFuture',0,0,14190,88,,,
CIFqBtjsWjK,peugeot,2020-11-27 09:00:12.000000,no,False,"b'peugeot508,peugeotsportengineered,unboringthefuture'",b'',b'Dream up. New #Peugeot508 #PeugeotSportEngineered #UnboringTheFuture',0,0,13503,49,,,
CIDgdDmMHP2,peugeot,2020-11-26 12:58:05.000000,no,False,"b'peugeot508,peugeotsportengineered,unboringthefuture'",b'',b'Not-to-be-missed. New #Peugeot508 #PeugeotSportEngineered #UnboringTheFuture',0,0,9718,53,,,
CH4yDUTFdaD,peugeot,2020-11-22 09:00:11.000000,no,False,b'peugeot5008.9',b'',b'The official 2021 trend. New #Peugeot5008.9',0,0,10151,71,,,
CH2NQgRMhsx,peugeot,2020-11-21 09:00:14.000000,no,False,b'peugeot5008',b'',b'The journey starts now. New #Peugeot5008',0,0,7066,41,,,
CHzodqSjLFM,peugeot,2020-11-20 09:00:12.000000,no,False,b'peugeot5008',b'',b'Sharp and fierce. New #Peugeot5008',0,0,7864,51,,,
CHzodqSjLFM,peugeot,2020-11-20 09:00:12.000000,no,False,b'peugeot5008',b'',b'Sharp and fierce. New #Peugeot5008',0,0,7864,51,,,
CHhm5lKsSpx,peugeot,2020-11-13 09:00:14.000000,no,False,b'peugeot5008',b'',b'Endless graphic line. New #Peugeot5008',0,0,6847,47,,,
CHfCGiYMMiH,peugeot,2020-11-12 09:00:11.000000,no,False,b'peugeot5008',b'',b'No blushing here. New #Peugeot5008',0,0,11076,82,,,
CHcdTtvMQMb,peugeot,2020-11-11 09:00:11.000000,no,False,b'peugeot5008',b'',"b'Space, here we are. New #Peugeot5008'",0,0,8805,52,,,
CHKbvxVMpGx,peugeot,2020-11-04 09:00:13.000000,no,False,b'peugeot2008',b'',b'No need to come closer to see the fangs. New #Peugeot2008.',0,0,9478,111,,,
CHH28xPsNrs,peugeot,2020-11-03 09:00:12.000000,no,False,b'peugeot2008',b'',b'High-end escapade. New #Peugeot2008',0,0,9664,66,,,
CHENfS4HwGD,peugeot,2020-11-01 23:00:12.000000,no,False,b'peugeot2008',b'',"b'Don\xe2\x80\x99t plan, drive. New #Peugeot2008.'",0,0,10198,66,,,
CGsDgbMlqGa,peugeot,2020-10-23 13:51:04.000000,no,False,"b'peugeot3008,unboringthefuture'",b'',b'Magnetic. New #Peugeot3008 #UnboringTheFuture',0,0,16904,348,,,
