shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYwQlvnEzy,phillips66co,2020-12-04 19:00:09.000000,yes,False,b'',b'',"b'Meet Mansi Sanghvi, an engineer at our Bayway Refinery, who dedicates herself to providing energy and improving lives \xe2\x80\x94 on the job and in her community. She leads fundraising efforts while at work and represents Phillips 66 on the board of local organizations. Read more about Mansi\xe2\x80\x99s incredible work through the link in our bio.'",487,10.0,70,4,,,
CIWLuPwH_YU,phillips66co,2020-12-03 19:02:21.000000,no,False,b'',b'',"b'Affordable, reliable energy has a lot of moving parts. But it\xe2\x80\x99s also got a lot of storage, terminaling, fractionators and facilities in its infrastructure. Good thing our Midstream segment can handle it all.'",0,0,107,1,,,
CIRB3k6n0xu,phillips66co,2020-12-01 19:00:06.000000,yes,False,b'artofenergy',b'',b'Another day in Big Sky Country. We keep energy moving in the Northwestern United States with transportation fuels and fuel-grade petroleum coke produced at our Billings Refinery. #ArtofEnergy',478,15.0,92,1,,,
CIOdrEuF8GI,phillips66co,2020-11-30 19:05:26.000000,yes,False,b'',b'',b'With a new state-of-the-art training facility \xe2\x80\x93 complete with virtual reality room \xe2\x80\x93 safety training is getting a modern boost at Phillips 66 Humber Refinery in the U.K. Learn more by visiting the link in our bio.',420,18.066,68,2,,,
CH_ATjznixp,phillips66co,2020-11-24 19:00:08.000000,yes,False,b'',b'',"b'Being a good neighbor means giving thanks and giving back. That\xe2\x80\x99s why we support education programs, sustainability efforts and more, in the places where we live and work. By partnering with local organizations, we strengthen our communities and power a brighter tomorrow.'",174,20.133,33,1,,,
CH8cV8PHGaB,phillips66co,2020-11-23 19:07:19.000000,no,False,b'',b'',"b'Supporting the business, maintaining operational excellence and environmental stewardship are on our minds 24/7 at the Phillips 66 Research Center in Bartlesville, OK. Here, we conduct research to enhance the safety and reliability of our operations and evaluate technologies that will power the next generation of energy solutions \xe2\x80\x94 like flexible solar films made from high-performance specialty organic materials and more.'",0,0,127,1,,,
CHyOEg9ASg1,phillips66co,2020-11-19 19:50:24.000000,yes,False,b'',b'',b'Wondering who can use renewable fuels? Chances are you can. Watch the video here to learn more about how drop-in renewable fuels can be used in everyday transportation and read more about our efforts to fuel a lower carbon future at RodeoRenewed.com. Link in bio.',361,44.466,62,1,,,
CHvjjNVnDiJ,phillips66co,2020-11-18 19:00:48.000000,yes,False,b'',b'',"b'Phillips 66 Humber Refinery is the first refinery in the U.K. to convert cooking oil into fuel \xe2\x80\x94 and it just got a boost from a 50-foot tall, 80-ton new module to process used cooking oil. The new module, delivered atop a self-propelled transporter, is set to triple Humber\xe2\x80\x99s renewable diesel capacity by January 2021 to 3,000 barrels per day. Congratulations to the hard-working teams who are helping us work toward a lower-carbon future in the U.K. and beyond. Visit the link in our bio to learn more.'",611,30.066,124,2,,,
CHs-vw3HhGU,phillips66co,2020-11-17 19:00:17.000000,yes,False,b'',b'',"b'We are quadrupling capacity to process natural gas liquids at our Sweeny Hub in Texas with the startup of two new, state-of-the-art fractionators. Learn more about this world-class project by visiting the link in our bio.'",471,27.566,97,2,,,
CHqaxXfHMhT,phillips66co,2020-11-16 19:07:16.000000,no,False,b'',b'',"b'Public access to natural ecosystems goes hand-in-hand with conservation efforts, which is why we\xe2\x80\x99re strong supporters of the Texas Parks and Wildlife Foundation. Through donations, we\xe2\x80\x99re helping to protect critical wildlife habitats and provide access for visitors to learn about Texas\xe2\x80\x99 many unique ecosystems all year.'",0,0,98,2,,,
CHirj-MHe-S,phillips66co,2020-11-13 19:00:08.000000,yes,False,b'artofenergy',b'',"b'At Phillips 66 we have a nationwide network of terminals that help us ensure crude and refined products can be delivered and stored in safe and effective ways. Take a look at the Wink Facility in West Texas, one of our safe, secure storage sites along the Gray Oak Pipeline. #ArtofEnergy'",818,6.066,153,3,,,
CHVe_pwHaU3,phillips66co,2020-11-08 16:00:16.000000,yes,False,b'nationalstemday',b'',"b'Today is National STEM Day! And here at Phillips 66, we proudly support STEM-powered organizations every day. Encouraging young learners to explore their world through the principles of STEM promotes critical thinking, boosts confidence and helps prepare today\xe2\x80\x99s students to be the innovative leaders of tomorrow. :woman_scientist_medium_skin_tone::woman_technologist: :man_astronaut_medium_skin_tone: :man_teacher: #NationalSTEMDay'",246,30.033,41,2,,,
