shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYfWTYD1dc,pirelli,2020-12-04 16:32:19.000000,no,False,"b'theperfectfit,pirelli,pzero,astonmartin,dbx'","b'astonmartinlagonda,corey_wilson'",b'DBX is more than an SUV.\nDBX drives like a sportscar \xe2\x80\x93 it\xe2\x80\x99s unmistakably Aston Martin. \n#ThePerfectFit #Pirelli #PZero #AstonMartin #DBX @astonmartinlagonda\n:camera_with_flash:@corey_wilson',0,0,1873,5,,,
CIQbwCSK_2h,pirelli,2020-12-01 13:27:46.000000,yes,False,"b'pirelli,lunarossa,lunarossachallenge'","b'lunarossachallenge,prada'",b'Apparent calm doesn\xe2\x80\x99t mean a rest for the team.\nDetails make the difference. \nDive into another episode of the @lunarossachallenge webseries @prada\n\n \n\n#Pirelli #LunaRossa #lunarossachallenge',1252,264.966,262,2,,,
CIOKEV9D3Np,pirelli,2020-11-30 16:13:58.000000,no,False,"b'pirelli,montblanc,montblancxpirelli,montblanctravel,montbanctrolley,pirellidesign'","b'montblanc,stephan_bauer'",b'Every journey starts with P Zero.\nTravel in style. \n \n#Pirelli #Montblanc @montblanc #Montblancxpirelli #Montblanctravel #Montbanctrolley #PirelliDesign\n \n:camera_with_flash:by: @stephan_bauer',0,0,2823,12,,,
CIGG1VcKT_S,pirelli,2020-11-27 13:11:47.000000,no,False,"b'porsche,theperfectfit,pirelli'",b'',b'Would you want to be stuck in a garage all winter?\nThen why would your Porsche?\nFit her right and enjoy the winter.\n#Porsche #ThePerfectFit #Pirelli',0,0,6018,9,,,
CID-0sij5Nj,pirelli,2020-11-26 17:23:18.000000,no,False,"b'pirelli,pirellicalendar'",b'',"b'A white beach of the Caribbean hides a secret. Is whispered in the ear, hidden from the wind, expressed by a golden body. Jamaica is the setting for the 1971 Pirelli Calendar, the cradle for the ideas of an inveterate esthete such as Francis Giacobetti, who reinvents the nude with his mastery in the composition of light. #Pirelli #pirellicalendar'",0,0,537,6,,,
CH-JZ78jXJh,pirelli,2020-11-24 11:00:20.000000,no,False,"b'pirelli,fondazionepirelli'",b'fondazione_pirelli',"b'In 1958, the ""New Winter"" was born which introduced a change in tread design for a better directional tyre on ice and snow. \n\n(Antonio Boggeri, Inverno Pirelli tyre advert, 1958, courtesy of @fondazione_pirelli )\n\n#Pirelli #fondazionepirelli'",0,0,608,1,,,
CH70aO1qcpT,pirelli,2020-11-23 13:19:25.000000,yes,False,"b'pirelli,lunarossa,lunarossachallenge'","b'lunarossachallenge,prada'",b'To be prepared for anything Coordination is fundamental.\n\nDive into another chapter of the @lunarossachallenge webseries.\n@prada\n\n#Pirelli #LunaRossa #LunaRossaChallenge',1725,260.006,366,4,,,
CHsAJZGgAzn,pirelli,2020-11-17 09:53:06.000000,no,False,"b'pirelli,theperfectfit,astonmartin'","b'astonmartinlagonda,hartnettmedia'",b'The unspoken advantages of winter: your evening drive takes you even farther\n#Pirelli #ThePerfectFit @astonmartinlagonda #astonmartin :camera_with_flash: @hartnettmedia',0,0,8567,15,,,
CHhytNkDgYr,pirelli,2020-11-13 10:43:15.000000,no,False,b'pirelli',b'iamsofiagoggia',"b'True adventurers don\xe2\x80\x99t let the cold keep them down.\nThe key is having the right tools to keep you going, even when the cold sets in.\n\nDiscover our new CYCL-e Winter tyres designed to handle the cold\nand fit for both traditional and electic bikes.\n@iamsofiagoggia \n#Pirelli'",0,0,1670,12,,,
CHfLam8ggOJ,pirelli,2020-11-12 10:21:26.000000,no,False,"b'theperfectfit,rollsroyceghost,pzero,pirelli,rollsroycecars'",b'rollsroycecars',b'As the sun sets the Ghost comes out. \nPerception shifts and the world takes new feel with a silkened driving experience that will leave you in awe.\n\n#ThePerfectFit gives substance to the phantoms of the road.\n\n #RollsRoyceGhost @rollsroycecars\n\n#PZero #Pirelli  #RollsRoyceCars',0,0,1921,3,,,
