shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CITJ02KDpS9,publicstorage,2020-12-02 14:48:05.000000,no,False,b'',b'',b'Santa deserves a day at the beach after visiting the hundreds of locations we have in and around this city. Check the link in our bio to see what we have to offer.',0,0,23,7,,,
CIO-1eklZZS,publicstorage,2020-11-30 23:55:06.000000,no,False,b'',b'',b'A classic storage idea reimagined. Pegboard storage is great for more than just crafts. Click the link in bio to read why we love this trend so much!',0,0,18,1,,,
CILeE6RlXVB,publicstorage,2020-11-29 15:11:07.000000,no,False,b'',b'',"b'If there was a Derby for storage facilities, we\xe2\x80\x99d be the winner in this city with 16 storage locations in town and nearby! Where is it?'",0,0,17,5,,,
CIJ0VCAFYm3,publicstorage,2020-11-28 23:47:04.000000,no,False,b'',b'',b'What delicacies do you have stashed behind those doors?',0,0,8,1,,,
CIHSgslFiCX,publicstorage,2020-11-28 00:13:05.000000,no,False,b'',b'',b'No contact needed! Our eRental option lets you skip the counter and start storing right away.',0,0,11,1,,,
CIHSgslFiCX,publicstorage,2020-11-28 00:13:05.000000,no,False,b'',b'',b'No contact needed! Our eRental option lets you skip the counter and start storing right away.',0,0,11,1,,,
CIEqoKdFS2g,publicstorage,2020-11-26 23:46:05.000000,no,False,b'',b'',"b'There\xe2\x80\x99s always a reason to be thankful. This year, we have two pretty big ones.'",0,0,26,1,,,
CH_iEIFloAl,publicstorage,2020-11-24 23:55:04.000000,no,False,b'',b'',b'Make your life a bit easier when it comes to changing seasons. Organize by season so you can quickly find just what you\xe2\x80\x99re looking for. Check out our other time-saving tips!',0,0,18,1,,,
CH8_NyiFiJa,publicstorage,2020-11-24 00:12:04.000000,no,False,b'',b'',"b'When it comes to pantry storage, which do you choose: a lazy Susan or a cabinet?'",0,0,13,9,,,
CH5c-RQFlrH,publicstorage,2020-11-22 15:15:08.000000,no,False,b'',b'',b'Start your journey or improve your skills with our tips and transform your space into a plant paradise.',0,0,16,3,,,
CH3y4OIF5HL,publicstorage,2020-11-21 23:48:04.000000,no,False,b'',b'mallowfrenchie',"b'How cute is our friend @mallowfrenchie? When you\xe2\x80\x99re decluttering, how do you pack your pet\xe2\x80\x99s toys and belongings?'",0,0,21,5,,,
CH1QfQmlakl,publicstorage,2020-11-21 00:09:05.000000,no,False,b'',b'',"b""Do you spice up your decor with a pretty rack or stash your cinnamon and curry behind closed doors in a cupboard. What's better?""",0,0,13,3,,,
CHyrPEUlB7q,publicstorage,2020-11-20 00:05:05.000000,no,False,b'',b'',b'Functional and fashionable \xe2\x80\x94 a blanket ladder is a great solution for your living space. How do you store your blankets?',0,0,11,1,,,
CHwFTBJjMXq,publicstorage,2020-11-18 23:55:06.000000,no,False,b'',b'',b'Multiple holiday gatherings means taking your fine china out of storage for a bit. Learn how to store your prized plates between meals from our experts before returning to long-term storage. Link in bio to read more!',0,0,14,1,,,
CHtiVSAjyD0,publicstorage,2020-11-18 00:11:05.000000,no,False,b'',b'',b'Protecting your car looks different for everyone. Garage or carport \xe2\x80\x94 where are you parking?',0,0,19,3,,,
CHq9bCejvXE,publicstorage,2020-11-17 00:10:04.000000,no,False,b'',b'',"b'Home to more than 50 area Public Storage locations, plus the NFL\xe2\x80\x99s Panthers. What city is it?'",0,0,15,3,,,
CHnYbYiAf6c,publicstorage,2020-11-15 14:49:06.000000,no,False,b'',b'',b'Are you looking forward to growing your household around the holidays. Get our expert tips for making room. Link in bio.',0,0,9,1,,,
CHjPfq2Di-p,publicstorage,2020-11-14 00:14:04.000000,no,False,b'',b'',"b""We've been going green for a long time now. It may not show on the outside, but we have found so many ways to be friendlier to our environment.""",0,0,32,3,,,
CHgn9QAlQ7l,publicstorage,2020-11-12 23:50:06.000000,no,False,b'',b'',"b'In homes large and small, there\xe2\x80\x99s always space for friends and family. Where do you and your guests congregate?'",0,0,12,1,,,
CHdQk3PFNlf,publicstorage,2020-11-11 16:28:06.000000,no,False,b'',b'',"b'A thank you to all who serve, including Public Storage vice presidents and Navy veterans Paul and Cassandra and many more on our team. We appreciate all you do!'",0,0,28,1,,,
CHbeXd3ljID,publicstorage,2020-11-10 23:50:06.000000,no,False,b'',b'',"b'First, tell us. Fill in the blank. Second, show us. Tag us in photos of your newly organized home.'",0,0,11,1,,,
CHY8FhAFM39,publicstorage,2020-11-10 00:12:05.000000,no,False,b'',b'',b'You\xe2\x80\x99ll give thanks for these budget-friendly ideas. Link in bio.',0,0,16,1,,,
CHVXNKAlRwM,publicstorage,2020-11-08 14:52:05.000000,no,False,b'',b'',b'This idea for athletic gear is a real winner. Coach us through your own storage game plan.',0,0,16,1,,,
CHTyYkXF9ML,publicstorage,2020-11-08 00:11:06.000000,no,False,b'',b'oatiemeal',b'Frenchies like @oatiemeal prefer the finer things: bark roast coffee with friends and the best storage in the biz.',0,0,25,8,,,
CHRNlv3FsbY,publicstorage,2020-11-07 00:11:06.000000,no,False,b'',b'',b'Built-in or by your own design? How\xe2\x80\x99s the storage setup in your living space?',0,0,15,1,,,
CHNol_orqAZ,publicstorage,2020-11-05 14:50:06.000000,no,False,b'',b'',b'How would you organize your home with an extra $250? Tell us below and follow to enter! Link in bio for the official rules.',0,0,4246,18,,,
CHMBmOGFAb4,publicstorage,2020-11-04 23:50:06.000000,no,False,b'',b'',b'Time to tuck away the tanks and swap them out for sweaters. Read our top tips for dressing for work in autumn (link in bio). What\xe2\x80\x99s your fave fall fashion?',0,0,11,1,,,
CHJcr-plQcP,publicstorage,2020-11-03 23:49:05.000000,no,False,b'',b'',"b'From fall flowers to pumpkins and crunchy leaves, there\xe2\x80\x99s plenty of ways you can boost your curb appeal for the season. What is your favorite fall-themed decoration?'",0,0,15,1,,,
CHG3qYolIlw,publicstorage,2020-11-02 23:47:05.000000,no,False,b'',b'',b'We have 9 locations where locals store their belongings in and around this city \xe2\x80\x94 maybe even one of these items! Any guesses?',0,0,19,7,,,
