shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CITt14hArQi,publix,2020-12-02 20:02:49.000000,no,False,b'25daysofcheer',b'',"b""Give an easy gift that's DIY\xe2\x80\x94for someone who could use a little TLC. Share your creations with us using #25daysofcheer for a chance to be featured on our social media pages.""",0,0,864,54,,,
CIOh_H4AmcO,publix,2020-11-30 19:42:58.000000,no,False,b'',b'',b'Cozy as a blanket. Merry as a Publix trip. Get festive in our Fresh Goods holiday sweater \xe2\x80\x94 available now!',0,0,1147,59,,,
CIDufR1gM1F,publix,2020-11-26 15:00:34.000000,no,False,b'',b'',"b'From our family to yours, happy Thanksgiving!'",0,0,756,38,,,
CH-yUQRgZrK,publix,2020-11-24 16:57:49.000000,no,False,b'',b'',"b""Continuing our tradition, Publix stores are closed on Thanksgiving Day, Thursday, November 26. We're open normal hours on Wednesday, November 25 and Friday, November 27.""",0,0,825,66,,,
CHqacS2AdNs,publix,2020-11-16 19:04:23.000000,no,False,b'',b'',b'After-dinner cocktail? Garnish this beautiful Publix Aprons:registered: recipe with whipped cream. Isn\xe2\x80\x99t fall sweet? :cocktail_glass: Drink responsibly. Be 21.',0,0,873,70,,,
CHiTs7cgy2B,publix,2020-11-13 15:31:34.000000,no,False,b'',b'',"b""Gobble, gobble!\xc2\xa0Get the family together to make these adorable coffee filter turkeys. They'll make beautiful table settings for your Thanksgiving spread. :turkey:""",0,0,855,34,,,
CHYZROPA-2x,publix,2020-11-09 19:07:48.000000,no,False,b'',b'',"b'Thanks to this simple DIY potpourri, it\xe2\x80\x99s easy to freshen up your home with the scents of fall. Which aromas make you think of fall? :fallen_leaf:'",0,0,717,33,,,
CHBJjhTnHPY,publix,2020-10-31 18:27:58.000000,no,False,b'',b'',b'Thanks for sharing your holiday spirit with us! Check out our story for some scary good pumpkins. :jack-o-lantern: Have a safe and happy Halloween!',0,0,1166,46,,,
CGU6iKygZkT,publix,2020-10-14 14:10:07.000000,no,False,b'',b'',"b""Teatime is your time. Sip easy with seasonal twists on three classic brews. What's your favorite fall flavor? :jack-o-lantern:""",0,0,902,68,,,
CGFsLyJAPLO,publix,2020-10-08 16:16:07.000000,no,False,b'',b'',"b'Kids will love these spider hot dogs! Of course, it\xe2\x80\x99s a fun choice for adults, too\xe2\x80\x94we\xe2\x80\x99re all kids at heart on Halloween!'",0,0,801,43,,,
CFz5P6hAnsa,publix,2020-10-01 18:23:57.000000,no,False,b'publix',b'',"b'Spend a night in with the family making these sweet potato jack-o\xe2\x80\x99-lanterns. Peel, slice, and carve using a small knife and your imagination to bring your creations to life. Share yours using #Publix. :roasted_sweet_potato:\xe2\x80\x8b'",0,0,1164,46,,,
CFurgLog9lF,publix,2020-09-29 17:47:38.000000,no,False,b'',b'',"b'Happy birthday, Mr. George! Today, we celebrate the man who started it all.'",0,0,6316,457,,,
CFSdfHtA8OS,publix,2020-09-18 18:46:25.000000,no,False,b'',b'',"b'Relax on the porch and cool down with our sweet, citrusy 90th anniversary iced tea. Available for a limited time. Rocking chair not included.'",0,0,1100,119,,,
