shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIWQK5xg3-S,qualcomm,2020-12-03 19:41:47.000000,yes,False,b'snapdragonsummit',b'',"b'And just like that, the #SnapdragonSummit has come to an end. Thank you to everyone for attending virtually and following along on social media. What was your favorite part of the event?'",5906,3.666,690,9,,,
CID7KQlg14m,qualcomm,2020-11-26 16:51:18.000000,no,False,"b'thanksgiving2020,teamqualcomm'",b'',b'#Thanksgiving2020 will probably look a little different this year. We\xe2\x80\x99re proud to build the technology that keeps you connected to your loved ones today and every day. Happy Thanksgiving from #TeamQualcomm.',0,0,702,5,,,
CIB7x38g1xE,qualcomm,2020-11-25 22:18:13.000000,no,False,b'snapdragonsummit',b'',b'How it started vs. how it\xe2\x80\x99s going. #SnapdragonSummit',0,0,2161,18,,,
CH_HZtkAXHH,qualcomm,2020-11-24 20:02:04.000000,no,False,b'snapdragonsummit',b'',b'Demos by day and dreamy sunsets by night. Throwback to #SnapdragonSummit 2019.',0,0,2287,13,,,
CH8aSyFAGxq,qualcomm,2020-11-23 18:49:25.000000,no,False,b'snapdragonsummit',b'',b'Mark your :spiral_calendar:. We\xe2\x80\x99re livestreaming the keynotes from our 5th annual #SnapdragonSummit on December 1st and 2nd at 7:00am PT. Follow updates on our website at www.qualcomm.com/snapdragonsummit',0,0,1956,19,,,
CH0zW8WggmC,qualcomm,2020-11-20 19:54:31.000000,no,False,b'5g',b'',b'\xe2\x80\x9cThe 5G Economy in a Post-COVID-19 Era\xe2\x80\x9d is IHS Markit\xe2\x80\x99s latest economic report on #5G. Here are some key highlights about the economic benefits 5G will yield in a post-pandemic world.',0,0,622,1,,,
CHx9wJqgG5K,qualcomm,2020-11-19 17:27:37.000000,no,False,"b'snapdragon,5g,shotonsnapdragon'",b'samsungmobile',b'Here\xe2\x80\x99s some cuteness for your Thursday. This leisurely :panda_face:\xc2\xa0was photographed on a #Snapdragon 865-powered @samsungmobile Galaxy S20 Ultra #5G. #ShotOnSnapdragon',0,0,1357,3,,,
CHvgXJzglVX,qualcomm,2020-11-18 18:32:34.000000,yes,False,"b'podcast,5g'",b'guykawasaki',"b'President Cristiano Amon and guest host @guykawasaki joined the Qualcomm #Podcast to discuss how #5G is changing the world in so many ways. Listen on Soundcloud, Apple Podcasts, or Spotify.'",2410,14.833,286,3,,,
CHtLr8tA_89,qualcomm,2020-11-17 20:53:10.000000,no,False,b'',"b'square,verizon,samsungbusinessusa,mostracoffee'","b'Another day, another Qualcomm Small Business Accelerator Program tech drop off. This time, we brought @square contactless chip readers, @verizon hotspots, and a suite of @samsungbusinessusa Galaxy products to @mostracoffee, one of the participants of the program.'",0,0,2390,24,,,
CHi3l-Qg_nD,qualcomm,2020-11-13 20:45:11.000000,no,False,"b'snapdragon,shotonsnapdragon'",b'xiaomi.usa',b'Nature always finds a way. :bouquet: This image was captured on a #Snapdragon 865-powered @xiaomi.usa Mi 10 Pro. #ShotOnSnapdragon',0,0,1069,5,,,
