shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIXuPfmjrAn,redbull,2020-12-04 09:23:19.000000,yes,False,"b'redbull,givesyouwiiings,motorsports,motogp,stoppie'",b'jackmilleraus',b'you can always count on @jackmilleraus to take things up a notch :face_with_tears_of_joy: :clapping_hands: \n\n#redbull #givesyouwiiings #motorsports #motogp #stoppie',1387783,10.433,142609,348,,,
CIWZUdoAXdy,redbull,2020-12-03 21:01:21.000000,yes,False,"b'redbull,givesyouwiiings,cliffdiving,diving,dive'",b'',"b'and that ladies and gentlemen, is called control :clapping_hands: :sweat_droplets:\n\n#redbull #givesyouwiiings #cliffdiving #diving #dive'",871069,22.833,111460,340,,,
CIVMq-vniUp,redbull,2020-12-03 09:51:24.000000,no,False,"b'redbull,givesyouwiiings,snowsports,skiing,freestyleskiing,winter,gameshow'",b'jespertjader',"b""when you combine one of the world\xe2\x80\x99s most creative freestyle skiers with an obstacle course inspired by a Japanese game show, you know it\xe2\x80\x99s going to be wonderful... and wacky... but mostly wonderful :grinning_face_with_sweat:\n\nhit the ~ link in bio ~ to catch @jespertjader's latest mind-blowing project, Jesper Tj\xc3\xa4der's Game Show :television: :skier_selector: you really won't want to miss this :eyes:\n\n#redbull #givesyouwiiings #snowsports #skiing #freestyleskiing #winter #gameshow""",0,0,38355,70,,,
CIT0cpKAy1A,redbull,2020-12-02 21:00:40.000000,yes,False,"b'redbull,givesyouwiiings,icehockey,miiinga,hockey,ehcmunchen,drone,dronecamera,pov'",b'redbullmuenchen',b'you said you want to be right in the action... our camera crews listened :smirking_face: :smiling_face_with_heart-eyes:\n\n:ice_hockey: : @redbullmuenchen \n#redbull #givesyouwiiings #icehockey #miiinga #hockey #ehcmunchen #drone #dronecamera #POV',413947,16.8,49108,176,,,
CISic9bjEDV,redbull,2020-12-02 09:04:08.000000,yes,False,"b'theoldworldmovie,redbull,givesyouwiiings,mtb,mountainbike,bikelife,fromwhereiride'","b'martinsoederstroem,tillmannbrothers,anditillmann'","b""when two views are better than one :raising_hands: \n\ndon't miss the premiere of #TheOldWorldMovie dropping Dec 4th at 6PM CET / 10AM PST exclusively on Red Bull TV :television: for a limited *48-hour period* ONLY :eyes:\n\n:bicycle: : @martinsoederstroem \n:movie_camera: : @tillmannbrothers @anditillmann \n\n#redbull #givesyouwiiings #mtb #mountainbike #bikelife #fromwhereiride""",1091208,12.433,138959,1166,,,
CIRPtv3ANh5,redbull,2020-12-01 21:01:30.000000,yes,False,"b'redbull,givesyouwiiings,watersports,flugtag'",b'',"b'invent a new sport instead of doing work, go:\n \n#redbull #givesyouwiiings #watersports #flugtag'",1267338,19.466,134564,464,,,
CIQGBpDDkZn,redbull,2020-12-01 10:17:13.000000,yes,False,"b'redbull,givesyouwiiings,ski,skiing,freeskiing,gameshow,bts'",b'jespertjader',"b""a game show like you've never quite seen before :eyes: with no other than the incredible @jespertjader as a contestant :clapping_hands::clapping_hands::clapping_hands:\n\nyou can catch this brand new edit over on Red Bull TV today, so prepare to be amazed and hit the ~link in bio~ to watch now :television:\n\n#redbull #givesyouwiiings #ski #skiing #freeskiing #gameshow #bts""",3207067,8.866,325963,865,,,
CIOq_W8AgI5,redbull,2020-11-30 21:01:55.000000,yes,False,"b'redbull,givesyouwiiings,reactiontraining,reactions,training'",b'jessfox94',b'us tryna like all your comments :eyes: w/ @jessfox94 #redbull #givesyouwiiings #reactiontraining #reactions #training',1025674,18.0,69709,507,,,
CINettHowhV,redbull,2020-11-30 09:55:23.000000,yes,False,"b'redbull,givesyouwiiings,redbullbcone,breaking,dance'","b'redbullbcone,bboyshigekix'","b""is it any wonder B-Boy Shigekix is your new @redbullbcone champion after that round :exploding_head:\n\nthe competition was sky high at Saturday's World Final but @bboyshigekix was in his element, becoming the youngest EVER dancer to win the competition :fire: catch the replay of the Red Bull BC One World Final 2020 on Red Bull TV via the ~link in bio~ #redbull #givesyouwiiings #redbullbcone #breaking #dance""",720094,31.766,87117,314,,"b'Salzburg, Austria'",47.799644 13.041122
CIMFuyrnK9a,redbull,2020-11-29 20:57:41.000000,yes,False,"b'redbull,givesyouwiiings,bike,fromwhereiride,skiing'",b'szymongodziek',b'ye so @szymongodziek really just switched sport in mid air then :exploding_head: #redbull #givesyouwiiings #bike #fromwhereiride #skiing',652975,6.366,76674,191,,,
