shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIY3PdgA8gZ,rei,2020-12-04 20:01:09.000000,no,False,b'',b'ourlifewithporter',"b""Here's to our buddies who are always up for adventure! :paw_prints:\n\nPhoto: @ourlifewithporter""",0,0,20516,125,,,
CITLTZ2MBpK,rei,2020-12-02 15:00:59.000000,no,False,b'',b'tread_lightly_designs',b'Have you had a chance to play in the snow yet? :snowflake_selector:\n\nPhoto: @tread_lightly_designs',0,0,14109,94,,,
CIQmgT9jRoK,rei,2020-12-01 15:00:58.000000,no,False,b'givingtuesday',b'',"b""#GivingTuesday is a day to encourage the act of giving. To celebrate, consider investing in the wild places that have supported you this year. We've rounded up 9 fun ways to do this at the link in our bio.""",0,0,6281,30,,,
CIOLltPBtQj,rei,2020-11-30 16:27:15.000000,no,False,b'',b'',b'Today only (Nov 30)! Grab these deals and save up to 50%. Discount based on original prices. (Link in bio).',0,0,11049,27,,,
CILr9whBkSf,rei,2020-11-29 17:12:26.000000,no,False,b'',b'onkodasway',"b'Who wouldn\xe2\x80\x99t want to get a gift card with this face on it? Shop our new e-gift cards, including one featuring this photo of @onkodasway at the link in our bio.'",0,0,12779,63,,,
CIJuEdbhSo2,rei,2020-11-28 22:52:21.000000,no,False,b'optoutside',"b'hikingsoul,adventurous_ale0615,_e.r.thomas_,tweetykl,aebrundrett,h0ll3ratchu,heyhellobirdie,maxg_713,lizchavezmusic'","b'Thank you for joining us yesterday to #OptOutside! If you didn\xe2\x80\x99t make it out, you still have 364 more chances to get outside and give yourself some space.\n\nPhotos: @hikingsoul, @adventurous_ale0615, @_e.r.thomas_, @tweetykl, @aebrundrett, @h0ll3ratchu, @heyhellobirdie, @maxg_713 and @lizchavezmusic.'",0,0,18395,83,,,
CIGTUO0DX8v,rei,2020-11-27 15:05:55.000000,yes,False,b'optoutside',b'',"b'It\xe2\x80\x99s Black Friday and we\xe2\x80\x99re closed to spend time outside. Because we need to. And because that\xe2\x80\x99s where we feel good, and awesome, and human. Join us and #OptOutside.'",31314,30.033,3837,29,,,
CIDufn-shRI,rei,2020-11-26 15:00:39.000000,no,False,b'',b'',"b'Let\xe2\x80\x99s all take a moment outside to pause, reflect and think about what we\xe2\x80\x99re thankful for this season.'",0,0,15370,58,,,
CH_AmZtBDKu,rei,2020-11-24 19:02:38.000000,no,False,b'recreateresponsibly',b'wildwingedeyes',"b'Winter is an exciting time to get outdoors, yet comes with unique challenges and safety considerations. Swipe for tips to gauge your winter safety awareness, and do your research to #RecreateResponsibly. Visit our link in bio to learn more.\n\nPhoto: @wildwingedeyes'",0,0,6374,25,,,
CH8-QuvhOp8,rei,2020-11-24 00:03:43.000000,no,False,b'',b'',"b'Few outdoor activities are as beginner friendly as snowshoeing. From how to dress to where to go, swipe for great tips to get started. Visit the link in bio for the full list. :snowflake_selector:'",0,0,7923,53,,,
CH6ZF8VAMGV,rei,2020-11-23 00:00:29.000000,no,False,b'',b'',b'Don\xe2\x80\x99t forget about the pups! Shop gifts for pets at the link in our bio. :paw_prints:',0,0,7187,26,,,
CH00ayzBtQh,rei,2020-11-20 20:03:47.000000,no,False,"b'optoutside,reipartner,recreateresponsibly'",b'mikahmey',"b""Not sure where\xe2\x80\x94or how\xe2\x80\x94to #OptOutside close to home this year? #REIpartner Mikah Meyer is here to help you #RecreateResponsibly. \n \nHead to our Story to share where you live and what outdoor activity you're interested in and @mikahmey will provide his recommendations next week. P.S. Mikah has been to all 419 U.S. National Park Service sites so will have a great idea no matter where you're located!""",0,0,6835,62,,,
CH0c4mQhoup,rei,2020-11-20 16:38:21.000000,yes,False,"b'reipartner,optoutside'",b'deanietheyogini',"b""#REIpartner @deanietheyogini leads us in a moment of meditation to decompress and remember why it's important to #OptOutside.""",37413,1062.533,1713,23,,,
CHynQUPg_5O,rei,2020-11-19 23:30:19.000000,no,False,b'nationalcampday',b'belovedbeing',b'Did someone say #NationalCampDay? :tent:\n\nPhoto: @belovedbeing',0,0,43839,694,,,
CHx7lAWh3ek,rei,2020-11-19 17:08:37.000000,no,False,"b'reipartner,optoutside'",b'deanietheyogini',b'Take a break and meditate. Join us on Instagram tomorrow (11/20) at 8:15am PT for a virtual moment of mindfulness led by certified yoga instructor and #REIpartner @deanietheyogini. Head to our Story now to set a reminder. See you there! #OptOutside',0,0,3560,43,,,
