shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIXvVfRDYQe,rhbgroup,2020-12-04 09:32:52.000000,yes,False,"b'2020wrapped,togetherweprogress'",b'',b'This is our #2020Wrapped: 2020 may be the year of staying at home but we are grateful that we can share real stories of progress with all of you! Let us know about the highlights of your 2020 in the comments.\n\n#TogetherWeProgress',12409,18.0,318,1,,,
CIXQRcEjyA3,rhbgroup,2020-12-04 05:01:26.000000,yes,False,b'\xe6\x90\xba\xe6\x89\x8b\xe5\x90\x8c\xe8\xa1\x8c\xe7\xb2\xbe\xe7\x9b\x8a\xe6\xb1\x82\xe7\xb2\xbe',b'',b'\xe9\x81\xbf\xe5\x85\x8d\xe6\xb2\xa6\xe4\xb8\xba\xe7\xbd\x91\xe7\xbb\x9c\xe6\xac\xba\xe8\xaf\x88\xe7\x9a\x84\xe5\x8f\x97\xe5\xae\xb3\xe8\x80\x85\xe3\x80\x82 \xe5\xbd\x93\xe6\x82\xa8\xe6\x94\xb6\xe5\x88\xb0\xe6\x9d\xa5\xe5\x8e\x86\xe4\xb8\x8d\xe6\x98\x8e\xe7\x9a\x84\xe7\x94\xb5\xe5\xad\x90\xe9\x82\xae\xe4\xbb\xb6\xe8\xa6\x81\xe6\xb1\x82\xe6\x82\xa8\xe6\x8f\x90\xe4\xbe\x9b\xe4\xb8\xaa\xe4\xba\xba\xe6\x88\x96\xe8\xb4\xa2\xe5\x8a\xa1\xe4\xbf\xa1\xe6\x81\xaf\xe7\x9a\x84\xe6\x97\xb6\xef\xbc\x8c\xe8\xaf\xb7\xe6\xa0\xbc\xe5\xa4\x96\xe5\xb0\x8f\xe5\xbf\x83\xe3\x80\x82 \xe7\x82\xb9\xe5\x87\xbb\xe4\xb9\x8b\xe5\x89\x8d\xe8\xaf\xb7\xe4\xb8\x89\xe6\x80\x9d\xef\xbc\x81\n\n#\xe6\x90\xba\xe6\x89\x8b\xe5\x90\x8c\xe8\xa1\x8c\xe7\xb2\xbe\xe7\x9b\x8a\xe6\xb1\x82\xe7\xb2\xbe',11155,15.7,148,0,,,
CIR6E5uh6bz,rhbgroup,2020-12-02 03:11:12.000000,no,False,b'togetherweprogress',b'',"b'Focus on spending quality time with your loved ones knowing you have secured yourself with a life protection plan! \n\nRHB Essential PrimeGuard offers savings, death and total permanent disability (TPD) protection at RM500,000 for 10 to 15 years, with a premium payment term of only 5 short years! \n\nFind out more! bit.ly/RHBLifeProtectionPlanDec\n\n#TogetherWeProgress'",0,0,2395,0,,,
CIP7JiMHjtj,rhbgroup,2020-12-01 08:42:05.000000,no,False,b'togetherweprogress',b'work',b'Switch to RHB Joy@Work as your salary crediting account and grow your savings with higher returns of up to 2.85% p.a! T&C apply.\n\nFind out more! bit.ly/RHBJoyAtWorkNov\n\n #TogetherWeProgress',0,0,2666,2,,,
CH9_TlNDAf-,rhbgroup,2020-11-24 09:32:05.000000,no,False,b'togetherweprogress',b'',"b'Doing your part to save the ocean can be as easy as incorporating eco-friendly items in your daily life. It can be as simple as using a paper bag to carry your breakfast sandwich or using products made from recyclable materials! \n\nApply for RHB VISA WWF Card-i today, a one-of-a kind recycled plastic card. \n\nFind out more bit.ly/RHBOceanHarmonyNov\n\nTerms and conditions apply.\n\n#TogetherWeProgress'",0,0,2231,4,,,
CH92BkqHjgi,rhbgroup,2020-11-24 08:11:02.000000,yes,False,"b'togetherweprogress,rhbcards'",b'',"b""At RHB, we want to reward you for the life that you deserve! \n\nEnjoy life to the fullest with RHB Credit and Debit cards/-i that complete your lifestyle. Find unrivalled cashbacks, rewards and a wide variety of other privileges at your beck and call. There's something for everyone! \n\nFind out more how you can own one today at bit.ly/RHBCardsNov\n\n#TogetherWeProgress #RHBCards""",502,8.0,38,2,,,
CHjbrTisaXc,rhbgroup,2020-11-14 02:00:29.000000,no,False,"b'togetherweprogress,deepavalivalthukkal'",b'',"b""No matter where you are or what situation you're in, remember to feed that light in your heart so that it becomes stronger and shines brighter. From all of us at RHB, we wish you a very Happy Deepavali. \n\nWatch the full video here: bit.ly/RHBDeepavaliNov\n\n#TogetherWeProgress #DeepavaliValthukkal""",0,0,3004,3,,,
CHhdKwVJnH1,rhbgroup,2020-11-13 07:35:15.000000,yes,False,b'togetherweprogress',b'',"b'Did you know that you can get these benefits from our auto assist programme? Renew your motor insurance online, via our RHB Insurance App or with our agents now to enjoy these benefits.\n\nBuy now at bit.ly/RHBOnlineInsurance or download our mobile app today! T&C Apply. \n\n#TogetherWeProgress'",9013,34.0,161,1,,,
CHXhY1qnVLJ,rhbgroup,2020-11-09 10:59:31.000000,no,False,"b'togetherweprogress,rhbcards'",b'',b'Missing those sweet moments? It doesn\xe2\x80\x99t take much to put a smile on the faces of your loved ones! \n\nSplurge a little on yourself and your loved ones today with your RHB Credit Card/-i. RM50 Cash Back exclusively for our new to bank customers. \n\nApply now at bit.ly/RHBAcquisitionCardNov. Valid till 31 December 2020. T&C apply.\n\n#TogetherWeProgress #RHBCards',0,0,1877,3,,,
CHXOptejNAc,rhbgroup,2020-11-09 08:15:47.000000,no,False,"b'togetherweprogress,jomsapot'","b'anzalnanasir88,burgeron16'","b'Bite into this juicy interview by @anzalnanasir88 with founders of @burgeron16 , Mohanad and Yuza and learn how they handle the heat of their business behind the grill. Watch the video here: bit.ly/RHBJomSapotEpisode3. \n\nDon\xe2\x80\x99t forget that you stand a chance to get up to RM650 cash back when you spend with RHB Cards or DuitNow QR! T&C apply. Watch to find out more!\n\n#TogetherWeProgress #JomSapot'",0,0,1883,2,,,
