shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIRjLDElIK3,ringcentral,2020-12-01 23:51:04.000000,no,False,"b'workfromhome,hybridwork'",b'',b'2020 has been the year of #workfromhome. Will 2021 will be the year of #hybridwork?',0,0,538,2,,,
CIGu2D1FD3B,ringcentral,2020-11-27 19:01:41.000000,yes,False,"b'covid19,customerservice,rcrealtalk,cx'",b'shephyken',"b'#COVID19 has forced many businesses to reevaluate how to run their operations, specifically those that heavily rely on #customerservice. In this #RCRealTalk, we sit down with @shephyken to discuss the future of #CX.\n\nWatch the full video here: ringcentr.al/RealTalkEp7FB (or click the link in our bio)'",6001,59.066,42,3,,,
CICWiWlDhyq,ringcentral,2020-11-26 02:12:03.000000,no,False,"b'happythanksgiving,thankyou'",b'',"b'2020 has been a challenging year to say the least. We are very thankful to our customers, partners, and employees for their incredible strength, support, and loyalty. We wish you a safe and wonderful holiday season. #HappyThanksgiving #ThankYou'",0,0,422,3,,,
CH80r_FFo6w,ringcentral,2020-11-23 22:40:05.000000,no,False,"b'webcam,videocall'",b'',b'Do you agree? Do you like to have your #webcam on or off during a #videocall?',0,0,1803,14,,,
CH1CaQZFxV1,ringcentral,2020-11-20 22:06:03.000000,no,False,"b'communication,businesssuccess'",b'',"b""Continue building and nurturing your relationships with your customers, clients, and coworkers every day. It's the key to effective #communication, which leads to #businesssuccess.""",0,0,443,1,,,
CHtfaMYjBZX,ringcentral,2020-11-17 23:45:48.000000,yes,False,b'rcrealtalk',b'sendosohq',"b""In this #RCRealTalk, we sit down with @Sendosohq's CEO to learn how businesses can connect with customers, prospects, and employees in exciting new ways, now that big events and in-person meetings are no longer happening.\n\nWatch the full video here: https://ringcentr.al/RealTalkEp6FB""",8091,59.066,75,2,,,
CHjIDhLFxbZ,ringcentral,2020-11-13 23:09:03.000000,no,False,b'worldkindnessday',b'',"b'Kindness is the most powerful, least costly, and most underrated agent of human change. Use it often and use it well. :grinning_face:  #WorldKindnessDay'",0,0,1114,9,,,
CHdfRBglB8D,ringcentral,2020-11-11 18:36:25.000000,no,False,b'veteransday',b'',"b""Today, we recognize and celebrate all the brave men and women who have served. Veterans are a valuable part of our company and we're honored to work with these heroes every day. #VeteransDay""",0,0,94,1,,,
CHG1yMojGc7,ringcentral,2020-11-02 23:31:07.000000,yes,False,b'rcrealtalk',b'',"b'In this #RCRealTalk, learn how award-winning restauranteur, Ryan Cole led his team through a 10-day journey that resulted in one of SF\xe2\x80\x99s first socially-distanced, outdoor restaurants, and his thoughts on the future of dining.\n\nWatch the full video here: https://ringcentr.al/RealTalkEp4FB'",8290,54.466,54,3,,,
CG73DXAlsfw,ringcentral,2020-10-29 17:10:07.000000,no,False,b'nationalcatday',b'',"b""Happy #NationalCatDay. Here's to our little feline friends who make working from home just a little bit more enjoyable. Double tap if you agree. :grinning_cat_face:""",0,0,536,3,,,
CG73DXAlsfw,ringcentral,2020-10-29 17:10:07.000000,no,False,b'nationalcatday',b'',"b""Happy #NationalCatDay. Here's to our little feline friends who make working from home just a little bit more enjoyable. Double tap if you agree. :grinning_cat_face:""",0,0,536,3,,,
CG0At2vgEt4,ringcentral,2020-10-26 16:00:38.000000,no,False,"b'employeeburnout,videofatigue,tips'",b'',b'69% of remote employees have experienced burnout symptoms. One way to reduce #employeeburnout is to decrease #videofatigue. Here are some helpful #tips that can help with that.',0,0,490,4,,,
CGnDY7BLQZS,ringcentral,2020-10-21 15:14:08.000000,yes,False,"b'diverse,inclusive,rcrealtalk,workculture'",b'daisyaugerdominguez',"b""Our friend, @daisyaugerdominguez has made it her mission to make workplaces more compassionate, #diverse, and #inclusive. Watch this #RCRealTalk to learn how to build a #workculture of belonging in today's remote world. \n\nWatch the full episode here: https://ringcentr.al/RealTalkEp1FB""",7734,59.933,60,1,,,
CGaXqQblTbf,ringcentral,2020-10-16 17:00:52.000000,no,False,b'businesscommunications',b'',b'Do you agree? Which #businesscommunications feature can you not live without?\n\nFun fact: Our product offers all three features in one unified platform.',0,0,813,2,,,
CGVzwdaldha,ringcentral,2020-10-14 22:30:11.000000,no,False,"b'everyonetogether,employeesuccess,businesssuccess'",b'',"b'Like Grace, we believe the ideal company culture takes the whole person into account, so we can all shine together. :sparkles: #everyonetogether #employeesuccess #businesssuccess'",0,0,666,2,,,
CGQWdaAFMvR,ringcentral,2020-10-12 19:38:10.000000,yes,False,"b'rcrealtalk,foodindustry'","b'ciaosamin,yewande_komolafe,osayiendolyn'","b""In this #RCRealTalk, @ciaosamin sits down with @yewande_komolafe and @osayiendolyn to talk about their personal journeys as women of color in the #foodindustry, and how they're creating opportunities for other marginalized voices.\n\nWatch the full video here: https://ringcentr.al/RealTalkEp5FB""",7463,59.433,72,3,,,
CGK6r4AFjdQ,ringcentral,2020-10-10 16:59:04.000000,no,False,b'worldmentalhealthday',b'',"b'Today is #WorldMentalHealthDay. Carve out some time for yourself, give yourself permission to pause, and do what makes your soul happy.'",0,0,1231,4,,,
CGD7WMZF8g2,ringcentral,2020-10-07 23:50:10.000000,no,False,"b'motivation,keepgoing,hardworkpaysoff'",b'',"b'Success is the sum of small efforts, repeated day in and day out. #motivation #keepgoing #hardworkpaysoff'",0,0,475,2,,,
CF-0nKMlTn3,ringcentral,2020-10-06 00:15:07.000000,no,False,"b'employeesuccess,customersuccess,customerserviceweek,csweek'",b'',"b""Make every action and interaction count, even the small ones. They're all relevant. #employeesuccess #customersuccess #customerserviceweek #csweek""",0,0,889,1,,,
