shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYvSPVDK_B,riteaid,2020-12-04 18:59:36.000000,yes,False,"b'nationalcookieday,chickpea,peanutbutter,cookie,glutenfree,vegan'",b'theendlessmeal',"b'#NationalCookieDay just got a little bit healthier! This adventurous flourless #chickpea #peanutbutter #cookie recipe from @theendlessmeal is delicious, #glutenfree and #vegan. Get the recipe at https://ritea.id/nationalcookieday and tap or click the link in our bio to shop ingredients. :link::cookie:'",469,59.1,32,0,,,
CIYdiM6jqef,riteaid,2020-12-04 16:16:28.000000,no,False,"b'lavender,epsom'",b'',"b'This holiday season, give the gift of sleep with a dreamy basket filled with #lavender essential oils, body wash, soothing #Epsom salts and a bath bomb.:sleeping_face: Tap to shop or click the link in our bio to get basket supplies.'",0,0,83,3,,,
CIWKlM2jdRZ,riteaid,2020-12-03 18:52:22.000000,no,False,b'',b'fortyyoung',"b'If there was ever a year that moms deserved some self care, it would be 2020, especially during this chaotic season. We could use a little time to refresh before the holiday rush sets in. @Fortyyoung partnered with us to recommend her favorite products for some self TLC, or, to gift a friend. Tap to shop and click the link in our bio to read her tips.'",0,0,69,2,,,
CITevhjjv64,riteaid,2020-12-02 17:50:50.000000,no,False,b'',b'ghost_the_heart_nose_dalmatian',"b'Get your furry friends into the howl-iday spirit with this easy-to-make Frosty Paws dog treat recipe from our friend @ghost_the_heart_nose_dalmatian. Stop into Rite Aid for ingredients and other festive holiday items for you and your pet like home decor, sweaters, lights, trees, toys and gifts! :snowflake_selector::paw_prints: Click the link in our bio to find a store.\n\nFrosty Paws Recipe: \n:paw_prints: 32 ounces of Greek yogurt \n:paw_prints: 3 tablespoons of peanut butter (make sure it doesn\xe2\x80\x99t contain Xylitol, which is toxic to dogs)\n:paw_prints: 1 large banana (sliced) (optional)\n:paw_prints: 1 tablespoonful of honey (optional)\n\xe2\x80\xa2\xe2\x80\xa2\xe2\x80\xa2\xe2\x80\xa2\xe2\x80\xa2\xe2\x80\xa2\xe2\x80\xa2\xe2\x80\xa2\xe2\x80\xa2\xe2\x80\xa2\xe2\x80\xa2\xe2\x80\xa2\xe2\x80\xa2\xe2\x80\xa2\xe2\x80\xa2\xe2\x80\xa2\xe2\x80\xa2\xe2\x80\xa2\xe2\x80\xa2\xe2\x80\xa2\xe2\x80\xa2\xe2\x80\xa2\xe2\x80\xa2\xe2\x80\xa2\xe2\x80\xa2\xe2\x80\xa2\xe2\x80\xa2\xe2\x80\xa2\xe2\x80\xa2\xe2\x80\xa2\xe2\x80\xa2\xe2\x80\xa2\xe2\x80\xa2\xe2\x80\xa2\xe2\x80\xa2\xe2\x80\xa2\xe2\x80\xa2\xe2\x80\xa2\xe2\x80\xa2\xe2\x80\xa2\xe2\x80\xa2\xe2\x80\xa2\xe2\x80\xa2\xe2\x80\xa2\xe2\x80\xa2\xe2\x80\xa2\xe2\x80\xa2\xe2\x80\xa2\nPut all ingredients in blender until creamy\nFill an ice cube tray or silicone mold\nFreeze for at least 2 hours\n\nShare with your pup and store the rest in an air tight container in the freezer.\nEnjoy. :snowflake_selector::paw_prints:'",0,0,79,3,,,
CITbwWcDieT,riteaid,2020-12-02 17:25:50.000000,yes,False,b'',"b'girlsontheruninternational,seriousfun_camps'","b'Now more than ever, the health and wellness of our communities stands at the forefront. That\xe2\x80\x99s why The Rite Aid Foundation is investing $2 million in two leading organizations and missions: @girlsontheruninternational and @SeriousFun_Camps. Click the link in our bio to learn more.'",262,10.0,29,2,,,
CIQrICojytI,riteaid,2020-12-01 15:41:19.000000,no,False,"b'holiday,stockingstuffers'","b'humphreyswitchhazel,elfcosmetics,dollfacebeauty,fortyyoung'","b""We've got just what you need for some skin care TLC and #holiday sparkle, from start to finish.:sparkles:Grab these beauty #stockingstuffers for you and a friend from @Humphreyswitchhazel, @elfcosmetics, and @dollfacebeauty for a makeup refresh. Tap to shop and click the link in our bio to learn more about these top beauty picks from @fortyyoung!""",0,0,65,4,,,
CIOIDLYDshA,riteaid,2020-11-30 15:56:20.000000,no,False,"b'bonuscash,vegan,crueltyfree'",b'cakebeauty',"b'Earn $6 #BonusCash on @cakebeauty products this week, in-store and online, when you buy $25! Tap or click the link in our bio to shop online.\n\nFeatured: Gelato Cleansing Balm\n:two_hearts: Gentle on your skin\n:two_hearts: Powerful against impurities and makeup \n:two_hearts: Leaves skin brighter, softer and hydrated\n:two_hearts: No Fragrance, #Vegan and #crueltyfree'",0,0,36,2,,,
CILaYrpjYTM,riteaid,2020-11-29 14:39:31.000000,yes,False,"b'holiday,bonuscash'",b'',"b'Our hottest online deals of the season are here! Find #holiday gifts for everyone, and earn $15 #BonusCash when you spend $50 online. Sign up or login to your wellness+ rewards to shop and earn automatically. Click the link in our bio to shop.'",377,14.01,31,2,,,
CIJjlvQjYoa,riteaid,2020-11-28 21:21:10.000000,yes,False,b'givingtuesday',b'',"b""#GivingTuesday is December 1:reminder_ribbon_selector:. Login to or sign up with KidCents at the link in our bio to round up your change, and help kids lead healthier lives. Together, we can make a difference in kids' lives every day.""",433,10.005,40,3,,,
CIIm0WRg9pL,riteaid,2020-11-28 12:29:54.000000,yes,False,b'bonuscash',b'',"b""It's the LAST DAY to earn $15 #BonusCash when you spend $50 in-store with your wellness+ rewards! Get the in-store coupon at the link in our bio. Or shop online and earn $15 BonusCash automatically thru 12/5!""",387,14.0,30,1,,,
CIGUE7KDcCi,riteaid,2020-11-27 15:09:45.000000,yes,False,b'bonuscash',b'missfoodaddict',"b'Sock monkey toys, sweaters & treats, oh my! @missfoodaddict\xe2\x80\x99s holiday pet haul has us planning our own stop for fun & festive pet gifts. Find a store & hurry in! Use the coupon at the link in our bio to earn $15 #BonusCash when you spend $50 in-store thru 11/28! Or, earn $15 BonusCash automatically online when you spend $50 thru 12/5!'",1586,10.0,88,3,,,
CIDgs0_g1mS,riteaid,2020-11-26 13:00:14.000000,yes,False,b'thanksgiving',b'',"b'Though this season may find us far apart, we\xe2\x80\x99re thankful you\xe2\x80\x99ve touched our hearts! Happy #Thanksgiving to all of our treasured customers, associates and your families.:turkey::maple_leaf:'",440,8.033,62,8,,,
