shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CHykZ6dJLmc,rokautomation,2020-11-19 23:05:22.000000,no,False,"b'automationfair,virtualevent,workfromhome,roklive'",b'',"b'This week at Automation Fair At Home has brought us the top innovations in industry and insights from forward-thinking thought leaders - all from the comfort and safety of our home offices. Now, get a look behind the scenes of our Virtual Tours, produced at our headquarters. Swipe through to see the ""before""!\n.\n.\n.\n#automationfair #virtualevent #workfromhome #roklive'",0,0,484,3,,,
CHk4WE0pVXt,rokautomation,2020-11-14 15:30:14.000000,no,False,"b'it,ot,virtualevent,automationfair'",b'',"b'Join us Monday through Wednesday during Automation Fair At Home for exclusive talks at Perspectives. The Perspectives keynote presentations will feature executive leadership, Partners and industry experts sharing their thoughts, visions, strategies and real-life business experiences that are driving information technology/operational technology convergence to deliver The Connected Enterprise.\n.\nLearn more and register: rok.auto/AutomationFair20\n.\n.\n.\n#IT #OT #virtualevent #automationfair'",0,0,208,5,,,
CHi7qqupxqR,rokautomation,2020-11-13 21:20:47.000000,no,False,"b'diversityandinclusion,culture,diversitymatters'",b'',"b'It\xe2\x80\x99s no secret that inclusion and diversity are good for business. Join our Automation Fair Bold Conversations to hear from thought-leaders discussing how culture, community outreach, supplier diversity and a focus on talent can impact your bottom line. Learn more: rok.auto/3ktoT52 \n.\n.\n.\n#diversityandinclusion #culture #diversitymatters'",0,0,214,5,,,
CHf35FVBGz8,rokautomation,2020-11-12 16:50:07.000000,no,False,"b'roklive,water,wastewater,automationfair'",b'',"b'Automation plays an important role in the water industry\xe2\x80\x99s transformation to achieve a Connected Water Plant. In the Water Wastewater forum, the audience will hear from panelists about the impact of digital transformation on plant infrastructure, operations and their workforce. Learn more: rok.auto/AFwater\n.\n.\n.\n.\n#ROKLive #water #wastewater #automationfair'",0,0,64,0,,,
CHdTGNxgZ6R,rokautomation,2020-11-11 16:50:07.000000,no,False,"b'roklive,power,energy,automationfair'",b'',"b'The power and energy industry continues to be dynamic with increasing production demands, the greening of fuel sources and the complex compliance requirements. Hear leading companies and industry specialists demonstrate how they are leveraging our technology and solutions to manage new challenges to achieve a competitive advantage. Learn more: rok.auto/AFpower\n.\n.\n.\n.\n#ROKLive #power #energy #automationfair'",0,0,86,2,,,
CHauTUFAfLW,rokautomation,2020-11-10 16:50:07.000000,no,False,"b'roklive,lifesciences,automationfair'",b'',"b'The current pace of change in the life sciences industry is both exciting and extraordinary, opening opportunities for life sciences companies to better serve more people around the world with increasingly innovative and affordable diagnostics, treatments, combination devices and cures. Join industry leaders at the Life Sciences forum who are implementing digital transformation strategies to help improve patient lives. Learn more: rok.auto/AFlifescience\n.\n.\n.\n.\n#ROKLive #lifesciences #automationfair'",0,0,73,3,,,
CHYQZflAVeV,rokautomation,2020-11-09 17:50:20.000000,no,False,"b'roklive,mining,automationfair'",b'',"b""What's next for the mining industry? Join the moderated panel discussion that brings together industry experts to their real life experiences on how innovation has impacted their operations, the challenges they\xe2\x80\x99re facing and the benefits they\xe2\x80\x99ve seen - all in the Mining Forum. Learn more: rok.auto/AFmining\n.\n.\n.\n.\n#ROKLive #mining #automationfair""",0,0,72,1,,,
CHVktluALBl,rokautomation,2020-11-08 16:50:07.000000,no,False,"b'roklive,oem,automationfair'",b'',"b'As machine and equipment builders around the world are challenged to sell, design, commission and service from afar, your \xe2\x80\x9cnext\xe2\x80\x9d is closer than ever. Join us at the OEM Forum for a panel discussion featuring OEMs who have embraced the new way of doing business and spurred reinvention in response to this challenge. Learn more: rok.auto/AFoem\n.\n.\n.\n.\n#ROKLive #OEM #automationfair'",0,0,82,0,,,
CHS_6vBAQu6,rokautomation,2020-11-07 16:50:07.000000,no,False,"b'roklive,chemical,automationfair'",b'',"b'The accelerating adoption of digital technologies to safely and efficiently run operations in the new normal has become a requirement to maintain a competitive advantage. Join the panel at the Chemical Forum, bringing together a variety of industry experts to discuss how digitalization can be rapidly achieved with the right technology, smart assets and planning to provide lasting business value. Learn more: rok.auto/AFchemicals\n.\n.\n.\n.\n#ROKLive #chemical #automationfair'",0,0,106,1,,,
CHQbHugg47T,rokautomation,2020-11-06 16:50:06.000000,no,False,"b'roklive,metals,automationfair'",b'',"b'The metals industry has long faced an uphill battle when it comes to modernization. The moderated panel discussion at the Metals Forum brings together industry experts to engage in conversation and bring real life examples on how innovation has impacted their operations, the challenges they\xe2\x80\x99re facing and the benefits they\xe2\x80\x99ve seen. Learn more: rok.auto/AFmetals\n.\n.\n.\n.\n#ROKLive #metals #automationfair'",0,0,124,2,,,
CHN2U22lsbL,rokautomation,2020-11-05 16:50:06.000000,no,False,"b'roklive,automationfair,autoandtire,ev'",b'',"b'Learn how leading companies in the automotive and tire sectors are launching new vehicles, production plants and equipment lines using digital solutions during one of the most challenging times in years. Learn more: rok.auto/AFautotire\n.\n.\n.\n.\n#ROKLive #automationfair #autoandtire #EV'",0,0,96,1,,,
CHN2U22lsbL,rokautomation,2020-11-05 16:50:06.000000,no,False,"b'roklive,automationfair,autoandtire,ev'",b'',"b'Learn how leading companies in the automotive and tire sectors are launching new vehicles, production plants and equipment lines using digital solutions during one of the most challenging times in years. Learn more: rok.auto/AFautotire\n.\n.\n.\n.\n#ROKLive #automationfair #autoandtire #EV'",0,0,96,1,,,
