shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIZGSMghyAT,salesforce,2020-12-04 22:12:33.000000,no,False,"b'idpd2020,purplelightup'","b'chattycattyn,salesforcea11y,jakubmosur'","b""We were honored to celebrate #IDPD2020 and the #PurpleLightUp Campaign with our partner My Purple Space and all those around the world. To show our commitment, Salesforce Tower went purple last night. :purple_heart: That's not it though! Our own @chattycattyn, Senior Director of Accessibility Programs, worked with San Francisco City Hall to join the Purple Revolution.\nFollow the Salesforce Office of Accessibility on Twitter at @SalesforceA11y.\n:camera_with_flash:: @jakubmosur""",0,0,2405,9,,b'Salesforce Tower',37.7899 -122.397
CIYtiiSBQ_N,salesforce,2020-12-04 18:36:20.000000,no,False,b'cyberweek2020',b'',b'Congrats! You just survived a Cyber Week unlike any other. :grinning_face_with_sweat: Check the :link: in bio to see what these insights mean for the rest of holiday 2020 and how you can keep conquering the season. :flexed_biceps: #CyberWeek2020',0,0,330,1,,b'Black Friday 2020',None None
CIWV__qhG80,salesforce,2020-12-03 20:35:31.000000,yes,False,"b'trailblazer,saleschampion,customer360'",b'mitsubishi.elevators.us',"b'\xe2\x80\x9cWith Salesforce we replicate deep & complicated relationships in one discernible place. We\xe2\x80\x99re not only serving our customers but our employees, too.\xe2\x80\x9d :raising_hands:\n#Trailblazer & #SalesChampion George Carrera III of @mitsubishi.elevators.us shares the power of #Customer360. Learn more at sforce.co/c360.'",3345,66.333,169,5,,,
CITSH7xhvTU,salesforce,2020-12-02 16:00:41.000000,yes,False,b'df2u',b'',"b'The world\xe2\x80\x99s #\xe2\x80\x8b1 CRM, available on major public clouds. Introducing\xe2\x80\xa6 Salesforce Hyperforce.\nLearn more at the link in bio. :link: #DF2U'",5099,15.01,403,2,,b'Salesforce Tower',37.7899 -122.397
CISYpilhjlH,salesforce,2020-12-02 07:38:20.000000,no,False,b'df2u',b'dreamforce',"b'Dreamforce may look different this year, but things start to look a bit more familiar when you set Dreamforest as your Zoom background. :blue_heart:\nGrab yours at the link in bio :link: and tag @Dreamforce in your virtual selfies. The #DF2U Keynote is just hours away. We\xe2\x80\x99ll see you there.'",0,0,1527,3,,b'Dreamforce',37.7842385233 -122.4015123515
CIRSkkCBWlo,salesforce,2020-12-01 21:25:59.000000,no,False,b'customer360',b'slackhq',"b'We are thrilled to be acquiring @SlackHQ!\nCombining Slack with #Customer360 will be transformative for our customers and the industry, creating the operating system for the new way to work. Together, we\xe2\x80\x99ll enable companies to grow and succeed in the all-digital, work-from-anywhere world.\nLearn more at the link in bio.\nImportant: investor.salesforce.com/about/SEC-Legend'",0,0,8519,91,,b'Salesforce Tower',37.7899 -122.397
CH8vv1DhdJp,salesforce,2020-11-23 21:56:53.000000,no,False,b'',b'',b'Just in case you needed a conversation starter. :winking_face:',0,0,2537,134,,b'Salesforce Tower',37.7899 -122.397
CHyLXXeh6-2,salesforce,2020-11-19 19:26:34.000000,no,False,b'astroandfriends',b'appexchange',"b""Meet Appy the Bobcat. She's the guide everyone wishes they could have. Since she knows a lot about all things Salesforce, she leads the way to help you navigate the @AppExchange ecosystem to solve your business challenge. :world_map: Appy's also a connector. If she doesn't know the answer, she'll use her extensive network to pull the right people together to solve your problems. No challenge is too great, so just ask Appy! She is ready to help. :blue_heart:\nLearn more about Appy and #AstroAndFriends at the link in bio. :link:""",0,0,1328,35,,b'Dream Forest',37.6479817242 127.0350827125
CHwQq3chZ8I,salesforce,2020-11-19 01:37:25.000000,yes,False,b'',b'',"b""Music = the perfect way to connect while we're apart. :musical_notes: Salesforce's a cappella group, Cloudy With a Chance of Beatbox, is sure to light up your day.""",16736,201.278,1009,119,,,
CHgcZqqBhJb,salesforce,2020-11-12 22:09:06.000000,no,False,"b'helpinghands2020,metallicagivesback'","b'metallica,allwithinmyhandsfoundation'","b""Salesforce is proud to sponsor @Metallica's #HelpingHands2020 Concert & Auction to benefit @allwithinmyhandsfoundation \xe2\x80\x94 streaming :red_circle:LIVE on Saturday, November 14 at 2 p.m. PT.\nJoin us from around the world to support AWMH. :blue_heart: #MetallicaGivesBack\nGet your ticket :ticket: at the link in bio. :link:""",0,0,1287,33,,b'Metallica HQ',37.9736111111 -122.5311111111
