shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYrw3GDcz3,samsclub,2020-12-04 18:20:48.000000,no,False,b'',b'',"b'When the competition\xe2\x80\x99s this tight, it\xe2\x80\x99s hard to pick a favorite. Who will win The Feud \xe2\x80\x94 Hugh Jackman or Ryan Reynolds? Cast your vote at the link in bio.'",0,0,8254,415,,,
CIW2IpVDGq7,samsclub,2020-12-04 01:12:57.000000,no,False,b'',b'',"b'""This has been an extraordinary year, and we\xe2\x80\x99re so proud of how our associates have continued to make a meaningful difference in our communities. Today\xe2\x80\x99s bonus reflects our appreciation for our associates, who show up to work each day to serve and provide relief for millions of members across the country."" Kath McLay, president and CEO \xe2\x80\x93 Sam\xe2\x80\x99s Club\n.\n.\n.\nWe\xe2\x80\x99re proud to announce a cash bonus for all full and part-time hourly associates this holiday season. Part-time and temporary hourly associates will receive $150 and full-time hourly associates will receive $300.'",0,0,475,14,,,
CITdZzVj1rT,samsclub,2020-12-02 17:39:07.000000,no,False,"b'samsclub,meat,grilling'","b'chefcaira,thegreatfoodening'",b'Attention carnivores! You can now get USDA Prime New York Strip AND\xc2\xa0Organic Grass Fed Ground Beef delivered right to your door when you select \xe2\x80\x9cShip to Home.\xe2\x80\x9d Tap above for shoppable link and make your meat-filled dreams come true.\xc2\xa0:camera_with_flash:: @chefcaira & @thegreatfoodening\n.\n.\n.\n#samsclub #meat #grilling',0,0,576,20,,,
CIRWz_Jh2Xq,samsclub,2020-12-01 22:03:11.000000,no,False,"b'samsclub,holidaysavings,decemberinstantsavings,gifts'",b'',"b'You\xe2\x80\x99ll want to open these, like now. More than $3,000 in Instant Savings are here, and they\xe2\x80\x99re sooooo good. We\xe2\x80\x99re talking awesome gifts for literally everyone, tons of exclusives and low members-only prices, too. You\xe2\x80\x99ve got \xe2\x80\x98til Dec. 24 to save. See our story for all the deets!\n.\n.\n.\n#samsclub #holidaysavings #DecemberInstantSavings #gifts'",0,0,866,33,,,
CINrSoMMaJ5,samsclub,2020-11-30 11:45:10.000000,no,False,"b'samsclub,cybermonday,onlineshopping'",b'',"b'Ah, yes. Everything you need to hunker down for 24 hours of Cyber Monday Savings. Not pictured: extra coffee & really strong Wi-Fi. Shop today only at SamsClub.com. \n.\n.\n.\n#samsclub #CyberMonday #onlineshopping'",0,0,337,15,,,
CILfuKjjW10,samsclub,2020-11-29 15:25:27.000000,no,False,"b'samsclub,holidaydecorations,holidayvibes'",b'haverstrawhill',"b'The perfect elegant holiday d\xc3\xa9cor DOES exist with these snowy electric trees. If you\xe2\x80\x99re lucky, someone who may or may not exist might leave you some extra special gifts under them. :camera_with_flash: : @haverstrawhill\n.\n.\n.\nCheck your local club for additional availability.\n#samsclub #holidaydecorations #holidayvibes'",0,0,1411,20,,,
CII7dKGAi6O,samsclub,2020-11-28 15:30:13.000000,no,False,"b'samsclub,christmaslights,holidaydecor'",b'wineatbedtime',"b""It wouldn\xe2\x80\x99t be the  holidays without a few reindeer sightings. These MEMBER'S MARK light-up deer were spotted in @wineatbedtime\xe2\x80\x99s front yard, but you can still score your very own. Tag a friend that would help you wrangle these reindeer and spread holiday cheer. \n.\n.\n.\nCheck your local club for additional availability.\n#samsclub #christmaslights #holidaydecor""",0,0,878,19,,,
CIBUgjkgA9M,samsclub,2020-11-25 16:35:14.000000,no,False,b'',b'',b'Wearing a mask while shopping? Smart. Buying a fresh baked pie from Sam\xe2\x80\x99s Club instead of spending all day in the kitchen? Really smart.',0,0,1263,58,,,
CH8hog_D9YO,samsclub,2020-11-23 19:53:33.000000,no,False,b'',b'',"b'Go for seconds. And thirds. At 12 inches in size, our award-winning MEMBER\xe2\x80\x99S MARK pies are perfect for sharing\xe2\x80\x94or keeping for yourself. Even better? They\xe2\x80\x99re $1 off with Instant Savings* through Nov. 29.'",0,0,481,17,,,
CH5er2lg4BO,samsclub,2020-11-22 15:30:13.000000,no,False,"b'samsclub,curbsidepickup,holidayshopping'",b'',"b'Make holiday shopping even easier this year when you choose curbside Pickup. Our wonderful associates in South Gate, CA are ready when you are. You shop online. We pack it. You pick it up contact free.\n.\n.\n.\n#samsclub #curbsidePickup #holidayshopping'",0,0,1342,39,,,
CH0aZJZjdUD,samsclub,2020-11-20 16:16:22.000000,no,False,b'',b'',b'Hugh vs. Ryan. We can\xe2\x80\x99t pick a side. Can you? Hear their arguments and vote at the link in our bio.',0,0,979,44,,,
CHx18NyFwHC,samsclub,2020-11-19 16:19:29.000000,no,False,"b'samsclub,thanksgiving,holidayshopping'",b'',"b'Got plans this week? You do now. Get ready for 10 whole days to shop, save and gift, from toys and games, to cutting-edge tech. Doesn\xe2\x80\x99t everyone need their very own self-cleaning robot vacuum? Save on it all, Nov. 20 through 29.\n.\n.\n.\n#samsclub #thanksgiving #holidayshopping'",0,0,1574,22,,,
CHvcGZcAxiL,samsclub,2020-11-18 17:55:13.000000,no,False,"b'samssanta,happyholidays,tistheseason'",b'',"b'Santa Claus is coming to\xe2\x80\xa6your house! Score a 1:1 virtual visit with the kiddos and the Jolly One. They get to tell Santa what\xe2\x80\x99s on their wishlist and you get a photo and video of the whole sesh to share. Best of all, it\xe2\x80\x99s free for members. Hurry and book before all the limited spots are filled!\n.\n.\n.\n#SamsSanta #happyholidays #tistheseason'",0,0,936,123,,,
CHtUcfulsZ-,samsclub,2020-11-17 22:09:50.000000,no,False,"b'samsclub,christmasvacation'",b'',"b""If you\xe2\x80\x99re good, Santa knows. That\xe2\x80\x99s why he\xe2\x80\x99s bringing you the NATIONAL LAMPOON'S CHRISTMAS VACATION virtual shopping experience by Sam's Club. Get yourself a honey of a tree and gifts for the whole family before it\xe2\x80\x99s over. Shop Holiday D\xc3\xa9cor at samsclub.com to unlock the experience.\n.\n.\n.\n#samsclub #ChristmasVacation""",0,0,571,14,,,
CHq5wvjArY8,samsclub,2020-11-16 23:38:11.000000,no,False,b'1',b'',"b'This Thanksgiving, you have enough on your plate. And we\xe2\x80\x99re not just talking about food. Save yourself some time with the #1-rated curbside Pickup service (according to a new report from global research firm Ipsos). Order online and let an amazing associate like Glenda from club 6338 do all the Turkey Day shopping for you.'",0,0,2522,73,,,
CHk0xW3jaw7,samsclub,2020-11-14 14:59:10.000000,no,False,"b'samsclub,holidaydecor,decorating'",b'aubreymariea',"b'Ode to the many ways you can deck your door with boughs of holly. Are you a wreath adorner, a tree trimmer or a *bigger-is-better* holiday de\xcc\x81cor lover? Comment your go-to decorations below. :camera_with_flash: : @aubreymariea \n.\n.\n.\nCheck your local club for additional availability.\n#samsclub #holidaydecor #decorating'",0,0,775,12,,,
CHjSUf9jI85,samsclub,2020-11-14 00:45:29.000000,yes,False,b'samsclub',b'',"b""If this doesn't get you in the mood for soup season, we don't know what will. Take it from Stephen, our soup buyer. This MEMBER'S MARK recipe will have you craving lobster bisque (and all our soups) in no time. Better get out your special soup spoon. That's a thing, right? #SamsClub""",112178,29.925,781,34,,,
CHgVNpXjndb,samsclub,2020-11-12 21:06:31.000000,yes,False,b'',b'',b'You heard us right: The Feud is at Sam\xe2\x80\x99s Club. Whose side are you on? Vote at the link in bio.',453107,15.66,2624,80,,,
CHalTvOj1Gm,samsclub,2020-11-10 15:32:02.000000,yes,False,b'',"b'thehughjackman,vancityreynolds'",b'@thehughjackman vs. @vancityreynolds. (Forgive us.) \n\nWhose side are you on? Learn more at the link in bio.',18996,77.226,938,36,,,
CHYa4mQji9Q,samsclub,2020-11-09 19:21:55.000000,no,False,"b'samsclub,scanandgo,holidaydecor,nutcracker'",b'fancyfixdecor',"b""It\xe2\x80\x99s official. You've cracked the code to skipping the crowded holiday shopping lines with the contact-free SCAN & GO feature of the Sam\xe2\x80\x99s Club app. Not sure what this guy\xe2\x80\x99s cracking, but it\xe2\x80\x99s def not time-saving shopping techniques.\xc2\xa0Swipe to see @fancyfixdecor bring her holiday purchase to life.\n.\n.\n.\n\n#samsclub #scanandgo #holidaydecor\xc2\xa0#nutcracker""",0,0,683,25,,,
CHVaLwAgGFH,samsclub,2020-11-08 15:18:13.000000,no,False,"b'novembersavingsweek,samsclubfashion,sweaterweather,szn'",b'katherineannarose',b'Morning walk. Coffee run. November Savings Week. MEMBER\xe2\x80\x99S MARK Plush Hoodie\xe2\x80\x99s here for it all. Get $4 off this perfect layer and tons more until Nov. 15. @katherineannarose approves.\n.\n.\n.\nCheck your local club for additional availability.\n#NovemberSavingsWeek #samsclubfashion #sweaterweather #szn',0,0,1602,29,,,
CHS0Gunjk2B,samsclub,2020-11-07 15:06:52.000000,no,False,"b'samsclub,christmasvacation,giftguide'",b'',"b'This holiday, there\xe2\x80\x99s no such thing as overdoing it, except maybe the turkey. Find gifts, d\xc3\xa9cor and more right inside our virtual \xe2\x80\x9cNational Lampoon\xe2\x80\x99s Christmas Vacation\xe2\x80\x9d GRISWOLD FAMILY home. Click link in bio to virtually tour & shop!\n.\n.\n.\n#samsclub #ChristmasVacation #giftguide'",0,0,949,19,,,
CHQdWQvjUpv,samsclub,2020-11-06 17:10:09.000000,yes,False,b'',b'',"b'Obsessed with\xc2\xa0guac? Same. So obsessed, our Dip Buyer, Dallas, tested over 30 recipes to find the perfect one.\xc2\xa0He also made sure each MEMBER\xe2\x80\x99S MARK\xc2\xa0Guacamole package has 9 handpicked avocados and is specially sealed in three individual portions, so it stays fresher and greener longer. Basically, he\xe2\x80\x99s our hero.'",572105,30.191,3317,42,,,
CHN3XGWApKO,samsclub,2020-11-05 16:59:15.000000,no,False,"b'samsclub,dogtreats,santapaws'",b'',"b'This little lady may have eaten the entire cheese tray off the coffee table last night, but one flash of that smile and all was forgiven. The Advent Calendar for Dogs is back at Sam\xe2\x80\x99s Club to treat your fur baby on days they do something cute (so, basically every day).\n.\n.\n.\nCheck your local club for additional availability.\n#samsclub #dogtreats #santapaws'",0,0,601,22,,,
CHArx2pDT9s,samsclub,2020-10-31 14:07:46.000000,no,False,b'samsstreet',b'samsclub',"b'Who needs to walk around the block when you can virtually knock at spooky cute stoops?! Treat yourself to some door-to-door eye candy all Halloween long on our stories, and tag @samsclub in your front door pic to be featured. #SamsStreet'",0,0,655,35,,,
CG-dAHNjuTu,samsclub,2020-10-30 17:20:10.000000,no,False,"b'samsclub,pizza,halloweenparty'",b'kaycedillas',"b""All hallow's eve is upon us and even our MEMBER'S MARK Take 'N Bake Pizza is getting into the spirit. @kaycedillas went all out and added cheesy ghosts and olive spiders at home to help make this spread spook-tacular. Pre-order yours now and let us know what you\xe2\x80\x99re feasting on this fright night.\n.\n.\n.\nCheck your local club for additional availability.\n#samsclub #pizza #halloweenparty""",0,0,635,10,,,
CG7ulNzA2n7,samsclub,2020-10-29 15:56:12.000000,no,False,"b'samsclub,instantsavings,fallfoods'",b'kalesuckz',"b""Donuts. If you're gonna do it, better make 'em delicious. @kalesuckz has it down with the PowerXL Air Fryer, now $30 off. Find more Instant Savings* now until Nov. 29.\n.\n.\n.\nCheck your local club for additional availability. \n#samsclub #instantsavings #fallfoods""",0,0,407,5,,,
CG5q-TaAB4K,samsclub,2020-10-28 20:46:13.000000,no,False,b'',b'',"b'In 2020, we thought we\xe2\x80\x99d have flying cars\xe2\x80\xa6 instead, we have shopping without ever leaving your car. Just order ahead for curbside Pickup. When your order is ready, pick a spot, and we\xe2\x80\x99ll do the heavy lifting. It might not be the future we wanted, but it\xe2\x80\x99s the future we got.'",0,0,1596,71,,,
CG2inKWl60B,samsclub,2020-10-27 15:35:25.000000,no,False,"b'samsclub,christmasvacation'",b'',"b""Refill your eggnog and head on over to the hap-hap-happiest virtual shopping experience this side of the North Pole. The GRISWOLD FAMILY home from NATIONAL LAMPOON'S CHRISTMAS VACATION is back with Sam's Club and bringing all the holiday inspo and gifts. Click link in bio to virtually tour & shop!\n.\n.\n.\n#samsclub #ChristmasVacation""",0,0,3022,42,,,
CG0gApkFvg0,samsclub,2020-10-26 20:34:10.000000,no,False,"b'samsclub,scanandgo,samsclubapp'",b'',"b'Would you wait in line if you didn\xe2\x80\x99t have to? Neither would we. Simply download the Sam\xe2\x80\x99s Club app, enter your credit card info, scan your items, checkout, and go. With the SCAN & GO feature, you\xe2\x80\x99ll be in and out of the club faster than you can say \xe2\x80\x9csashimi.\xe2\x80\x9d\n.\n.\n.\n#samsclub #scanandgo #samsclubapp'",0,0,1007,60,,,
CGurRIOjsdJ,samsclub,2020-10-24 14:16:59.000000,no,False,"b'samsclubhalloween,samsclub,boobags,halloween,trickortreat'",b'',"b""Nothing spreads the spooky spirit more than a big bag of candy. Boo Bags are 100% fun, 100% contact-free, and 100% better when they're a surprise. Swipe for info and start booing with #SamsClubHalloween.\n.\n.\n.\n#samsclub #boobags #Halloween #trickortreat""",0,0,705,22,,,
CGsaKkdAJHx,samsclub,2020-10-23 17:09:11.000000,no,False,"b'samsclub,fallfeels,mums,falldecor'",b'homebycardinal',"b'Not everyone can pull off orange, but these mums sure can. Spruce up your porch, patio, and anywhere else you can squeeze in more fall de\xcc\x81cor. :camera_with_flash: : @homebycardinal\n.\n.\n.\nCheck your local club for additional availability. \n#samsclub #fallfeels #mums #falldecor'",0,0,680,10,,,
CGqeUQmDPMv,samsclub,2020-10-22 23:09:23.000000,yes,False,b'',b'',"b'*Immediately Googles\xc2\xa0salmon\xc2\xa0recipes.* When your fish is this fresh and flavorful, you\xe2\x80\x99re gonna want to have it every night. Thanks to our Seafood Buyer Dan, you totally can. MEMBER\xe2\x80\x99S MARK Norwegian\xc2\xa0Salmon\xc2\xa0is sustainably grown, antibiotic-free and (the best part) at a way better price. So, yeah. Every night is officially\xc2\xa0salmon\xc2\xa0night.'",579416,60.013,4166,85,,,
CGppWpWAcSG,samsclub,2020-10-22 15:24:11.000000,no,False,"b'samsclubfashion,cozy,sweaterweather'",b'',"b'Snuggle up to nap time with the all-around comfort of the MEMBER\xe2\x80\x99S MARK plush hoodie. Just be sure to set an alarm. Otherwise, you might \xe2\x80\x98snooze\xe2\x80\x99 through the rest of 2020. Wouldn\xe2\x80\x99t blame you \xe2\x80\x93 it\xe2\x80\x99s that cozy.\n.\n.\n.\n#samsclubfashion #cozy #sweaterweather'",0,0,11811,52,,,
CGiAsQmgpqG,samsclub,2020-10-19 16:14:13.000000,no,False,"b'samsclub,halloween,spookyseason'",b'imtallbritt',"b""Unwanted spooky spirits, rowdy neighborhood kids, crows \xe2\x80\x94 this 6 ft. light-up spider has been keeping guard for years @imtallbritt's house. See what spooky decor is available this Halloween online and in club now.\n.\n.\n.\n#samsclub #Halloween #spookyseason""",0,0,669,25,,,
