shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CHGCOS9MqUs,santanderbankus,2020-11-02 16:00:15.000000,no,False,b'',b'',"b'Santander branches will be closing early at 2 p.m. on Tuesday, November 3rd. Santander is empowering our team members to exercise their right to vote and support their communities in an impactful and meaningful way. We believe that every voice matters and every vote counts. Our community and country is stronger when everyone has an opportunity to participate in the democratic process. During this time, you can still use Online Banking, our Mobile Banking App, or visit an ATM.'",0,0,176,106,,,
CCMD8sMgZQC,santanderbankus,2020-07-03 17:33:39.000000,no,False,b'respectaddsup',b'',"b'We stand with our colleagues, customers and communities in the fight for social justice and the eradication of systemic racism in our communities and places of work. This action is led by listening to our Black colleagues, having meaningful conversations with community leaders, and walking the walk by taking critical steps toward social justice and racial equality across our businesses and the communities those businesses serve.\n\nWe are also proud to announce a more than $5 million, multi-year, community-level commitment that includes advancing diverse small businesses and entrepreneurs of color, micro-grants to food industry and small business entrepreneurs, diverse leadership training, racial and social equality initiatives, as well as monetary commitments to non-profits. #RespectAddsUp'",0,0,147,225,,,
CBfzVewHhRG,santanderbankus,2020-06-16 13:02:01.000000,no,False,b'respectaddsup',b'',"b'On Friday, June 19, Santander Bank will be closing its offices, open branches and all operations at noon in observance of Juneteenth, the oldest national commemoration of the end of slavery in the United States. \nSantander employees are encouraged to use this day as a time to listen to and reflect on what Black Americans are saying, to understand and appreciate what it must be like to suffer discrimination or injustice, to give their time and/or financial support to organizations dedicated to bringing about real change, and to engage in meaningful conversations with their family, friends, and colleagues.\n\nAt Santander, we have long been committed to building and fostering a diverse and inclusive workplace and helping the communities where we live and work prosper. The issues we are facing today make that commitment even more important. It is this diversity that makes us better and stronger as a company, and will make us better and stronger as a country. #RespectAddsUp'",0,0,169,58,,,
CBN_Sh5D8Xx,santanderbankus,2020-06-09 15:00:09.000000,no,False,b'respectaddsup',b'',"b""It is more important than ever to recognize the strength of our diversity. We understand that this month's Pride celebrations will look a little different, but the core message of being true to yourself without discrimination holds true. We recognize and honor all of the brave pioneers who have paved the way for others. #RespectAddsUp""",0,0,113,37,,,
CA7-xptAeT_,santanderbankus,2020-06-02 15:09:12.000000,no,False,"b'blackouttuesday,respectaddsup'",b'',b'#blackouttuesday #respectaddsup',0,0,171,27,,,
CA55NZ0ADay,santanderbankus,2020-06-01 19:42:12.000000,no,False,b'',b'',"b'At Santander Bank, it concerns us greatly to see injustice happening across our country. We take pride in having a workplace and employee community that is welcoming and inclusive for all. We stand with our colleagues and communities in this painful time and support the right of freedom of expression and peaceful protest. We commit to continue putting ourselves in each other\xe2\x80\x99s shoes to fully value and appreciate one another. It is our diversity that makes us better and stronger.'",0,0,100,6,,,
CAxxaYDDmU5,santanderbankus,2020-05-29 16:00:09.000000,no,False,b'respectaddsup',b'',"b""Our communities are strongest when we work together. To help address our community's COVID-19 needs, we have committed over $7.5 million in grants to nearly 200 organizations and $25 million in financing to Community Development Financial Institutions (CDFIs) to help provide essential services, small business aid, and relief programs to Santander customers and community members. #RespectAddsUp""",0,0,73,12,,,
CAvMn4VhexA,santanderbankus,2020-05-28 16:00:08.000000,yes,False,b'respectaddsup',b'',"b""We'd like to thank all of our team members, especially our dedicated branch colleagues, for their commitment to helping our customers during this difficult time. We value our customer relationships, and together we will overcome the challenges and come out stronger. #RespectAddsUp""",346,11.0,61,19,,,
CAscwfhA-aq,santanderbankus,2020-05-27 14:25:08.000000,yes,False,b'',b'',b'We\xe2\x80\x99ve been working diligently to help you through this challenging time. And we\xe2\x80\x99re far from finished. Here\xe2\x80\x99s a snapshot of what we\xe2\x80\x99ve done to date to help our businesses and personal banking customers as well as our community.',324,59.939,57,5,,,
CAnCy2wjm2E,santanderbankus,2020-05-25 12:00:43.000000,yes,False,b'respectaddsup',b'',"b'This Memorial Day, we remember those who gave their lives so that we may live ours in a land of peace and freedom. #RespectAddsUp'",344,15.0,49,1,,,
