shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIY9_OiJHGG,scotiabank,2020-12-04 21:00:12.000000,no,False,b'',b'scotiabank',"b'Diversification can help reduce volatility associated with one asset class, which is important for long-term investment success. Visit the @scotiabank link in bio to check out more tips.'",0,0,58,5,,,
CIYvHUrLsYE,scotiabank,2020-12-04 18:50:15.000000,no,False,"b'lifeatscotiabank,gtatopemployers,topemployers2021'",b'scotiabank',b'We\xe2\x80\x99re proud to share that for the 2nd year in a row we\xe2\x80\x99ve been recognized as one of Greater Toronto\xe2\x80\x99s Top Employers for 2021! \n\nClick the link in our @scotiabank bio to find out why we were selected. #LifeatScotiabank #GTATopEmployers #TopEmployers2021',0,0,150,0,,,
CIYvHUrLsYE,scotiabank,2020-12-04 18:50:15.000000,no,False,"b'lifeatscotiabank,gtatopemployers,topemployers2021'",b'scotiabank',b'We\xe2\x80\x99re proud to share that for the 2nd year in a row we\xe2\x80\x99ve been recognized as one of Greater Toronto\xe2\x80\x99s Top Employers for 2021! \n\nClick the link in our @scotiabank bio to find out why we were selected. #LifeatScotiabank #GTATopEmployers #TopEmployers2021',0,0,150,0,,,
CIYizobrqTY,scotiabank,2020-12-04 17:02:42.000000,no,False,"b'fridayfun,scotiascene'",b'scotiabank',b'Calling all film buffs! For some #FridayFun guess this movie in the comments below. #ScotiaSCENE. \n:popcorn::backhand_index_pointing_down: \nDid you know you can watch your favourite movies on the Cineplex Store. See the @Scotiabank link in bio for more.',0,0,109,12,,,
CIVx5SvsLZM,scotiabank,2020-12-03 15:16:48.000000,no,False,"b'idpwd,lifeatscotiabank'",b'scotiabank',"b'\xe2\x80\x9cIt\xe2\x80\x99s not my cerebral palsy that holds me back, it\xe2\x80\x99s the mismatch of my environment to accommodate my cerebral palsy that holds me back. \n\nI feel supported at Scotiabank, and that makes me feel that I can accomplish almost anything.\xe2\x80\x9d \xe2\x80\x93 Dave, VP Global Agile Leader Agile Enterprise. #IDPWD #LifeatScotiabank\n\nVisit the @Scotiabank link in bio to watch Dave and other Scotiabankers talk about our inclusive-by-design products and the diversity of our organization.'",0,0,271,6,,,
CITylKEln2h,scotiabank,2020-12-02 20:44:18.000000,no,False,b'lifeatscotiabank',b'scotiabank',"b""Looking to explore your passion in Accounting, Tax, and Finance? \n\nCPA Associate, Michelle, shares her experience with Scotia's Activate New Graduate Development Program and the countless opportunities it provides!\n\nLink in @Scotiabank bio. #LifeatScotiabank""",0,0,149,4,,,
CITHxOUsKtm,scotiabank,2020-12-02 14:30:14.000000,no,False,"b'dyk,history'",b'',"b'#DYK that the ballpoint pen wasn\xe2\x80\x99t invented until the 1930s? :pen_selector: \n\nBefore then, employees had to mix ink, keep the ink wells full and the pen tips in good condition. This picture is from 1932 and shows a forms desk, complete with pens and ink wells. #history \n\nPhoto by Pringle & Booth Limited, Toronto.'",0,0,152,5,,,
CIQqTcLAyMh,scotiabank,2020-12-01 15:34:08.000000,no,False,b'lifeatscotiabank',b'scotiabank',"b'Learn from Rylan, a Digital Accessibility Lead and Ryan a Manager of Health and Safety to find out how they are driving Scotiabank to be a more inclusive and accessible workplace through their work as the co-chairs of the DiversABILITY Employee Resource group at Scotia! #LifeatScotiabank\n\nVisit the link in @scotiabank bio.'",0,0,165,5,,,
CIHWL4tofTC,scotiabank,2020-11-28 00:45:22.000000,no,False,"b'flm2020,financialliteracy,finlit,money,finance'",b'scotiabank',"b'You\xe2\x80\x99ve probably heard of inflation, but do you know how it affects your purchasing power?\n\nInflation is the rate at which the price of goods and services in an economy increases over a period of time. When prices rise, your money buys less.\n\nThe erosion of purchasing power is the most familiar problem. Commonly-purchased household goods become more expensive, and so a single unit of currency loses value as it buys fewer goods and services.\n\nFor example, $100 in 1968 was only worth $14.02 in purchasing power in 2018. For a forward-looking example, if a cup of coffee costs $2 today, and the annual inflation rate was 5%, in 30 years that same cup of coffee would cost $8.64!\n\nAs an investor, you should be aware of inflation. If you earn less than the rate of inflation on your investments, you would face reduced purchasing power when your investments are converted into cash. The good news is, with a sound investment strategy you can guard against inflation and help maintain your purchasing power and standard of living in retirement. \n\nSee the @scotiabank link in bio to read the full article.\n\n#FLM2020 #FinancialLiteracy #finlit #money #finance'",0,0,116,2,,,
CIGPy5MsjpU,scotiabank,2020-11-27 14:30:13.000000,no,False,"b'fridayfun,scotiascene'",b'scotiabank',b'Calling all film buffs! For some #FridayFun guess this movie in the comments below. :film_projector_selector: :spaghetti: \n\nOrdering takeout for movie night? Check out  the @Scotiabank link in bio for all the restaurants you can pay with your SCENE points. #ScotiaSCENE :backhand_index_pointing_down:',0,0,111,10,,,
CIDsL3ggmxn,scotiabank,2020-11-26 14:40:27.000000,no,False,"b'tbt,history'",b'',"b'Sir George Burn had a distinguished banking career, serving for many years as the General Manager and then Director of The Bank of Ottawa. \xe2\x80\x89\n\xe2\x80\x89\nBurn\xe2\x80\x99s desk set, including this pen and inkwell, is part of the Scotiabank Archives. The Bank of Ottawa and The Bank of Nova Scotia amalgamated in 1919. #tbt #history'",0,0,131,2,,,
