shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIDgtWuHqlE,sears,2020-11-26 13:00,no,False,"sears,gotitatsears,iheartsears,i,kenmore,appliances",,b'More living at :house: means more frozen food at :house:\nFind a chest freezer UNDER $300 to fit in your \nbasement or garage :snowflake_selector: Link in bio.\n.\n.\n.\n#sears #gotitatsears #iheartsears #i:blue_heart:sears #kenmore #appliances',0,0,25,0,25,,
CIDgtC7n8is,sears,2020-11-26 13:00,yes,False,"sears,gotitatsears,iheartsears,i,blackfriday,blackfridaydoorbusters",,"b'Our store associates are enjoying their :turkey: day.\nThey\xe2\x80\x99ll be ready to open up tomorrow! Meanwhile, \nshop DOORBUSTERS ONLINE NOW! Link in bio.\n.\n.\n.\n#sears #gotitatsears #iheartsears #i:blue_heart:sears #blackfriday #blackfridaydoorbusters'",138,4.0,26,0,26,,
CIBGpJTHfds,sears,2020-11-25 14:33,no,False,"sears,gotitatsears,iheartsears,i,craftsmantools,dealsdealsdeals,giftideas",craftsman,b'What\xe2\x80\x99s 8 pieces and the perfect gift for only \n$13.94? This @Craftsman screwdriver set!\nGet it now. :backhand_index_pointing_right: Link in bio.\n.\n.\n.\n#sears #gotitatsears #iheartsears #i:blue_heart:sears #craftsmantools #dealsdealsdeals #giftideas',0,0,142,5,147,,
CH-k58LDHGY,sears,2020-11-24 15:00,no,False,"sears,iheartsears,i,stjude,forstjude,childhoodcancer,thanksandgiving",stjude,b'We are so proud to partner with @StJude in raising funds for ongoing research and care for all kids. See the link in bio to learn more.\n\n \n\n#sears #iheartsears #i:blue_heart:sears #stjude #forstjude #childhoodcancer #thanksandgiving',0,0,190,9,199,,
CH-iU8ipO-w,sears,2020-11-24 14:38,no,False,"sears,gotitatsears,iheartsears,i,goodsleep,mattress",scottlivinghome,b'Incredible comfort of @ScottLivingHome \nby Restonic for ONLY $899! Get it now.\nDon\xe2\x80\x99t :bell_with_slash: on this :backhand_index_pointing_up: Link in bio.\n.\n.\n.\n#sears #gotitatsears #iheartsears #i:blue_heart:sears #goodsleep #mattress',0,0,100,6,106,,
CH7_WoXsHH1,sears,2020-11-23 14:54,no,False,"sears,gotitatsears,iheartsears,i,carbattery,diehard",,b'Before the weather gets :snowflake_selector: \nget your FREE BATTERY CHECK at Sears Auto!\nFind yours :oncoming_automobile: Link in bio.\n.\n.\n.\n#sears #gotitatsears #iheartsears #i:blue_heart:sears #carbattery #diehard',0,0,105,2,107,,
CH7_Hxglq56,sears,2020-11-23 14:51,no,False,"sears,gotitatsears,iheartsears,i,blackfriday,dealsdealsdeals,dewalttough",dewalttough,b'NOW we\xe2\x80\x99re busting out the BIG DEALS:exclamation_mark:\nCheck out this @dewalttough drill \nand so much more! :nut_and_bolt: Link in bio.\n.\n.\n.\n#sears #gotitatsears #iheartsears #i:blue_heart:sears #blackfriday #dealsdealsdeals #dewalttough',0,0,95,2,97,,
CH5VXXRsxY4,sears,2020-11-22 14:08,no,False,"sears,gotitatsears,iheartsears,i,craftsman,dewalt,tools",,b'Know a DIYer? :woman_raising_hand_selector::man_raising_hand_selector:\nTheir perfect :wrapped_gift: is right here. \n:hammer_and_wrench: Link in bio.\n.\n.\n.\n#sears #gotitatsears #iheartsears #i:blue_heart:sears #craftsman #dewalt #tools',0,0,131,4,135,,
CH5VFnOF-t4,sears,2020-11-22 14:06,yes,False,"sears,gotitatsears,iheartsears,i,blackfriday,dealsdealsdeals",,b':megaphone: GO BIG OR GO HOME :megaphone:\nThat\xe2\x80\x99s how we do Black Friday.\nShop the Doorbusters now :collision: Link in bio.\n.\n.\n.\n#sears #gotitatsears #iheartsears #i:blue_heart:sears #blackfriday #dealsdealsdeals',667,4.0,90,3,93,,
CH2ozILpmB4,sears,2020-11-21 13:00,yes,False,"sears,gotitatsears,iheartsears,i,blackfriday,appliances",,b'What deals will you find \nBEHIND THESE DOORS:exclamation_question_mark_selector:\n:white_heavy_check_mark: out Black Friday Doorbusters :door: Link in bio.\n.\n.\n.\n#sears #gotitatsears #iheartsears #i:blue_heart:sears #blackfriday #appliances',1192,8.0,126,7,133,,
