shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYZq5LBERN,shiseido,2020-12-04 15:42:42.000000,no,False,"b'shiseidomakeup,shiseidoxhunter'","b'hunterschafer,sandyganzer'","b'Color outside the lines like actress, artist, and SHISEIDO Makeup Global Brand Ambassador @hunterschafer. Recreate the watercolor-like wash of color seen on Hunter\xe2\x80\x99s lids using Kajal InkArtist in Birodo Green, Kabuki White, Plum Blossom, and Lilac Lotus. Makeup by @sandyganzer. #ShiseidoMakeup #ShiseidoxHunter'",0,0,1660,22,,,
CIXmsRfhn02,shiseido,2020-12-04 08:17:15.000000,no,False,"b'\xe3\x82\xa2\xe3\x83\xab\xe3\x83\x86\xe3\x82\xa3\xe3\x83\x9f\xe3\x83\xa5\xe3\x83\xbc\xe3\x83\xb3\xe3\x83\x8f\xe3\x83\xb3\xe3\x83\x88,shiseidoskincare,ultimune'",b'',b'Dry hands from soap and sanitizer? There\xe2\x80\x99s one step we all tend to forget after washing our hands or applying hand sanitizer- that layer of hand cream. Introducing Ultimune Power Infusing Hand Cream. Helps to moisturize hands and protect skin from external daily damages. Exclusively available only in Japan.\n \n\xe3\x80\x90\xe3\x82\xa2\xe3\x83\xab\xe3\x83\x86\xe3\x82\xa3\xe3\x83\x9f\xe3\x83\xa5\xe3\x83\xbc\xe3\x83\xb3\xe3\x81\x8b\xe3\x82\x89\xe3\x83\x8f\xe3\x83\xb3\xe3\x83\x88\xe3\x82\x99\xe3\x82\xaf\xe3\x83\xaa\xe3\x83\xbc\xe3\x83\xa0\xe7\x99\xbb\xe5\xa0\xb4\xef\xbc\x81\xe3\x80\x91\nSHISEIDO\xe3\x81\xae\xe3\x83\x98\xe3\x82\x99\xe3\x82\xb9\xe3\x83\x88\xe3\x82\xbb\xe3\x83\xa9\xe3\x83\xbc\xe7\xbe\x8e\xe5\xae\xb9\xe6\xb6\xb2 #\xe3\x82\xa2\xe3\x83\xab\xe3\x83\x86\xe3\x82\xa3\xe3\x83\x9f\xe3\x83\xa5\xe3\x83\xbc\xe3\x83\xb3\xe3\x83\x8f\xe3\x83\xb3\xe3\x83\x88\xe3\x82\x99\xe3\x82\xaf\xe3\x83\xaa\xe3\x83\xbc\xe3\x83\xa0 \xe3\x81\x8b\xe3\x82\x9912\xe6\x9c\x881\xe6\x97\xa5\xe3\x81\x8b\xe3\x82\x89\xe7\x99\xba\xe5\xa3\xb2\xef\xbc\x81\xe6\x96\xb0\xe3\x81\x97\xe3\x81\x84\xe7\x94\x9f\xe6\xb4\xbb\xe6\xa7\x98\xe5\xbc\x8f\xe3\x81\xae\xe4\xb8\xad\xe3\x80\x81\xe3\x81\x93\xe3\x81\xbe\xe3\x82\x81\xe3\x81\xaa\xe6\x89\x8b\xe6\xb4\x97\xe3\x81\x84\xe3\x82\x84\xe6\xb6\x88\xe6\xaf\x92\xe3\x82\x92\xe7\xb9\xb0\xe3\x82\x8a\xe8\xbf\x94\xe3\x81\x99\xe6\x97\xa5\xe3\x80\x85\xe3\x81\xae\xe6\x89\x8b\xe3\x82\x82\xe3\x81\xa8\xe3\x81\xab\xe3\x80\x81\xe3\x82\x86\xe3\x82\x8b\xe3\x81\x8d\xe3\x82\x99\xe3\x81\xaa\xe3\x81\x84\xe7\xbe\x8e\xe3\x81\x97\xe3\x81\x95\xe3\x82\x92\xe5\xb0\x8e\xe3\x81\x8f\xe3\x83\x8f\xe3\x83\xb3\xe3\x83\x88\xe3\x82\x99\xe3\x82\xaf\xe3\x83\xaa\xe3\x83\xbc\xe3\x83\xa0\xe3\x81\xa6\xe3\x82\x99\xe3\x81\x99\xe3\x80\x82\xe8\x87\xaa\xe7\x84\xb6\xe7\x95\x8c\xe3\x81\xae\xe7\x94\x9f\xe5\x91\xbd\xe5\x8a\x9b\xe3\x82\x92\xe5\xb0\x81\xe3\x81\x97\xe3\x82\x99\xe8\xbe\xbc\xe3\x82\x81\xe3\x81\x9f\xe7\x8b\xac\xe8\x87\xaa\xe6\x88\x90\xe5\x88\x86\xe3\x82\x92\xe9\x85\x8d\xe5\x90\x88\xe3\x80\x82\xe4\xb9\xbe\xe7\x87\xa5\xe3\x81\xaa\xe3\x81\xa8\xe3\x82\x99\xe3\x81\xae\xe5\xa4\x96\xe7\x9a\x84\xe3\x82\xbf\xe3\x82\x99\xe3\x83\xa1\xe3\x83\xbc\xe3\x82\xb7\xe3\x82\x99\xe3\x81\x8b\xe3\x82\x89\xe5\xae\x88\xe3\x82\x8a\xe3\x81\xaa\xe3\x82\x81\xe3\x82\x89\xe3\x81\x8b\xe3\x81\xaa\xe8\x82\x8c\xe3\x81\xab\xe5\xb0\x8e\xe3\x81\x8f\xe9\xab\x98\xe6\xa9\x9f\xe8\x83\xbd\xe8\xa8\xad\xe8\xa8\x88\xe3\x81\xa6\xe3\x82\x99\xe3\x81\x99\xe3\x80\x82\xe3\x82\xaf\xe3\x82\x99\xe3\x83\xaa\xe3\x83\xbc\xe3\x83\xb3\xe3\x83\x95\xe3\x83\xad\xe3\x83\xbc\xe3\x83\xa9\xe3\x83\xab\xe8\xaa\xbf\xe3\x81\xae\xe9\xa6\x99\xe3\x82\x8a\xe3\x81\xa6\xe3\x82\x99\xe3\x80\x81\xe6\xb0\x97\xe6\x8c\x81\xe3\x81\xa1\xe3\x81\xbe\xe3\x81\xa6\xe3\x82\x99\xe6\x99\xb4\xe3\x82\x8c\xe3\x82\x84\xe3\x81\x8b\xe3\x81\xab\xe3\x80\x82\n \n#ShiseidoSkincare #Ultimune',0,0,2915,58,,b'Japan',35.0 136.0
CIW0qiwj7t1,shiseido,2020-12-04 01:00:13.000000,yes,False,"b'shiseidoholiday,shiseidomakeup'",b'',b'Give eyes the ultimate gilt trip. Recreate this festive look by blending Kajal InkArtist in Golden Gilt across lids with the NANAME FUDE Multi Eye Brush. Define lash lines with MicroLiner Ink in Black and craft a graphic cat-eye using ArchLiner Ink. Finish with ImperialLash MascaraInk and a striking swipe of ModernMatte Powder Lipstick in Exotic Red. #ShiseidoHoliday #ShiseidoMakeup',15478,15.0,1453,11,,,
CIVv_wDLWDt,shiseido,2020-12-03 15:00:08.000000,yes,False,"b'shiseidomakeup,japanesebeauty'",b'sephora',b'Love at first blush. The cloud-like texture of Minimalist WhippedPowder Blush has made it a cult-favorite around the world. Shop @sephora. #ShiseidoMakeup #JapaneseBeauty',12717,5.566,1857,38,,,
CIU5dOPhpwW,shiseido,2020-12-03 07:03:30.000000,no,False,"b'shiseidoskincare,ultimune'","b'berniciaboateng,sephora'","b'How to get @berniciaboateng\xe2\x80\x98s beautiful, radiant skin? \n\n\xe2\x80\x9cFor many years I\xe2\x80\x99ve been a little insecure going out without makeup... investing in my skincare has given me so much confidence in myself and my skin! This product is fabulous! Invest in your skin with Shiseido Ultimune Power Infusing Serum Concentrate.\xe2\x80\x9d\n\nTap to shop @sephora.\n\n#ShiseidoSkincare #Ultimune'",0,0,1786,20,,,
CIUP3cnA5jX,shiseido,2020-12-03 01:00:08.000000,yes,False,"b'shiseidoholiday,shiseidosuncare'",b'sephora',b'UV rays don\xe2\x80\x99t take holidays off. Give the gift of Ultimate Sun Protector Lotion SPF 50+ Sunscreen to protect skin every day. Tap to shop @sephora. \xe2\x81\xa3\n\xe2\x81\xa3\n#ShiseidoHoliday #ShiseidoSuncare',9797,3.033,1635,29,,,
CITtGDkhpdB,shiseido,2020-12-02 20:04:38.000000,yes,False,"b'shiseidomakeup,synchroskin'",b'nikki_makeup',b'File under: flawless canvas for an eye-catching look. Recreate @nikki_makeup\xe2\x80\x99s tutorial using Synchro Skin Self-Refreshing Foundation with the DAIYA Fude Face Duo Brush. Head to our Stories and IGTV to get the full look and how-to. #ShiseidoMakeup #SynchroSkin',52156,11.5,3624,74,,,
CITLNc5Fmb0,shiseido,2020-12-02 15:00:14.000000,no,False,"b'shiseidomakeup,japanesebeauty'",b'sephorabrasil',b'Wrap lips and cheeks in weightless color all winter long. Try Minimalist WhippedPowder Blush in Ayao and ModernMatte Powder Lipstick in Jazz Den for a featherlight finish you have to feel for yourself. Shop @sephorabrasil. #ShiseidoMakeup #JapaneseBeauty',0,0,3172,29,,,
CIS2nWWFojT,shiseido,2020-12-02 12:00:13.000000,no,False,"b'shiseidoholiday,shiseidoskincare,vitalperfection'",b'',"b'Winter weather calls for rich textures that soothe dry skin. Lift and revitalize with Vital Perfection Uplifting And Firming Cream Enriched. Gift our best-selling anti-aging skincare, exclusive sets and more.\xe2\x81\xa3\n#ShiseidoHoliday #ShiseidoSkincare #VitalPerfection'",0,0,2056,22,,,
CIR3-vqBuJb,shiseido,2020-12-02 02:53:52.000000,yes,False,"b'ultimune,shiseidosbas,sustainablebeauty,ultimunerefill,reducereuserecycle'",b'',"b'HARMONY- one of the key pillars of SHISEIDO Sustainable Beauty Actions.\n\nBeautiful Society.\nGood for Skin. \nGood for the Environment. \nGood for People.\n\nTo nurture a beautiful society, we take action in harmony with people and nature. Introducing the Ultimune Fountain: our new refill service for the iconic #Ultimune Power Infusing Concentrate. Inspired by the \xe2\x80\x9cMottainai\xe2\x80\x9d spirit of Japan and the first of many Sustainable Beauty Actions, we are dedicated to reducing the environmental impact of our products and packaging. The Ultimune Fountain is available at our Global Flagship Store in Ginza, Tokyo from Nov 19th, 2020.\xe2\x81\xa3\n\xe2\x81\xa3\n\xe3\x80\x8cULTIMUNE FOUNTAIN\xe3\x80\x8d\xe3\x82\x92\xe3\x81\x94\xe7\xb4\xb9\xe4\xbb\x8b\xe3\x81\x97\xe3\x81\xbe\xe3\x81\x99\xe3\x80\x82\xe3\x83\x96\xe3\x83\xa9\xe3\x83\xb3\xe3\x83\x89\xe3\x82\x92\xe8\xb1\xa1\xe5\xbe\xb4\xe3\x81\x99\xe3\x82\x8b\xe7\xbe\x8e\xe5\xae\xb9\xe6\xb6\xb2\xe3\x80\x8c\xe3\x82\xa2\xe3\x83\xab\xe3\x83\x86\xe3\x82\xa3\xe3\x83\x9f\xe3\x83\xa5\xe3\x83\xbc\xe3\x83\xb3 \xe3\x83\x91\xe3\x83\xaf\xe3\x83\xa9\xe3\x82\xa4\xe3\x82\xb8\xe3\x83\xb3\xe3\x82\xb0 \xe3\x82\xb3\xe3\x83\xb3\xe3\x82\xbb\xe3\x83\xb3\xe3\x83\x88\xe3\x83\xac\xe3\x83\xbc\xe3\x83\x88N\xe3\x80\x8d\xe3\x81\xae\xe3\x81\xbe\xe3\x81\xa3\xe3\x81\x9f\xe3\x81\x8f\xe6\x96\xb0\xe3\x81\x97\xe3\x81\x84\xe3\x83\xac\xe3\x83\x95\xe3\x82\xa3\xe3\x83\xab\xef\xbc\x88\xe8\xa9\xb0\xe3\x82\x81\xe6\x9b\xbf\xe3\x81\x88\xef\xbc\x89\xe3\x82\xb5\xe3\x83\xbc\xe3\x83\x93\xe3\x82\xb9\xe3\x80\x82\xe6\x97\xa5\xe6\x9c\xac\xe3\x81\xae\xe2\x80\x9c\xe3\x82\x82\xe3\x81\xa3\xe3\x81\x9f\xe3\x81\x84\xe3\x81\xaa\xe3\x81\x84\xe7\xb2\xbe\xe7\xa5\x9e\xe2\x80\x9d\xe3\x81\xab\xe3\x82\xa4\xe3\x83\xb3\xe3\x82\xb9\xe3\x83\x91\xe3\x82\xa4\xe3\x82\xa2\xe3\x81\x95\xe3\x82\x8c\xe3\x81\x9f\xe3\x80\x81\xe5\x95\x86\xe5\x93\x81\xe3\x81\xa8\xe3\x83\x91\xe3\x83\x83\xe3\x82\xb1\xe3\x83\xbc\xe3\x82\xb8\xe3\x81\xae\xe7\x92\xb0\xe5\xa2\x83\xe3\x81\xb8\xe3\x81\xae\xe5\xbd\xb1\xe9\x9f\xbf\xe3\x82\x92\xe6\xb8\x9b\xe3\x82\x89\xe3\x81\x99\xe5\x8f\x96\xe3\x82\x8a\xe7\xb5\x84\xe3\x81\xbf\xe3\x81\xa7\xe3\x81\x99\xe3\x80\x8211\xe6\x9c\x8819\xe6\x97\xa5\xef\xbc\x88\xe6\x9c\xa8\xef\xbc\x89\xe3\x82\x88\xe3\x82\x8a\xe9\x8a\x80\xe5\xba\xa7\xe3\x81\xaeGLOBAL FLAGSHIP STORE\xe3\x81\xa7\xe9\x96\x8b\xe5\xa7\x8b\xe3\x81\x97\xe3\x81\xbe\xe3\x81\x99\xe3\x80\x82\xe2\x81\xa3\n\xe2\x81\xa3\n#ShiseidoSBAS #SustainableBeauty #UltimuneRefill #ReduceReuseRecycle \xe2\x81\xa3'",8824,60.036,1067,14,,,
