shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYbaGrJD96,shopify,2020-12-04 15:58:56.000000,yes,False,"b'entrepreneurlife,datingproblems,businessowner,smallbusinessowner,entrepreneur'",b'',b'is this entrepreneurs on dates or what? (p.s. lots more of these on our TikTok) \n.\n.\n.\n#entrepreneurlife #datingproblems #businessowner #smallbusinessowner #entrepreneur',12131,30.0,765,59,,,
CIWBmkilKd_,shopify,2020-12-03 17:33:55.000000,no,False,"b'claytocope,supportsmallbusinesses,supportsmallbusiness,smallbusinessowner'",b'indigo.sands',"b'I started Indigo Sands at the beginning of the worldwide pandemic. My anxiety and depression were at an all time high, and creating was the only thing that deafened the anxious thoughts and feelings. Playing with clay was the only thing that helped my mental health, and it still is.\xc2\xa0Which is why I use the hashtag #ClayToCope. I started with pottery and quickly found my way to the polymer side of clay, where I could both get my hands dirty, be creative, AND finish with a piece of art that you can wear.\n\nPut me in a room with a desk, some clay and I\xe2\x80\x99m the happiest girl in the world. But turning that passion into a business didn\xe2\x80\x99t come without challenges. It took a lot of time, research, and support from my friends and family to figure out how things should run smoothly, and efficiently. That\xe2\x80\x99s one reason why I\xe2\x80\x99m so blessed to be a part of such a loving community of clay artists.\xc2\xa0\n\nGetting to create polymer clay art every single day is an absolute dream come true, it truly means the world to me. I thank my supporters every day, because they allow me to keep creating. There is nothing like having someone adorn themselves with something that you\xe2\x80\x99ve made with your own two hands. The feeling is unreal.\n\nMy aim is to help any artist by uplifting and supporting them, so they can have a successful business. And for me consistency is key. I say this to myself almost every day, or to fellow artists as encouragement. There are times when you feel discouraged, run down, burned out and wanting to quit, but you CANNOT stop. You have to keep pushing. Because every day you work, is one day closer to the goals you\xe2\x80\x99ve set.\xe2\x80\xaa\xc2\xa0\xe2\x80\xac\n\n- Krymsyn, owner @indigo.sands \n\n#supportsmallbusinesses #supportsmallbusiness #smallbusinessowner'",0,0,522,43,,,
CIRF8dOpfLk,shopify,2020-12-01 19:36:02.000000,yes,False,"b'blackfriday,cybermonday,supportsmallbusiness,supportindependentbusiness'",b'',b'well at least 44 million of you didn\xe2\x80\x99t have this mix up shopping at independent business this year :clapping_hands:\n#blackfriday #cybermonday #supportsmallbusiness #supportindependentbusiness',8614,19.6,555,61,,,
CIQdDbHFaIf,shopify,2020-12-01 13:38:21.000000,no,False,"b'blackfriday,cybermonday'",b'',b'Independent businesses and entrepreneurs everywhere just brought the heat :fire:.\n\nSwipe through and check out how they smashed huge records during #BlackFriday #CyberMonday weekend this year :clapping_hands::clapping_hands::clapping_hands:.',0,0,921,33,,,
CIOdkb6lINQ,shopify,2020-11-30 19:04:22.000000,no,False,b'giftbetter',b'',"b""\xe2\x80\x9cWe launched Pipcorn when we were all in our 20s and so most of our time was spent working 7 days a week, 15 hours a day. We sacrificed most of our 20s and all of our money. It\xe2\x80\x99s a family business we started with $3,000, some hand-stamped bags, and heirloom kernels.\nUsing our special heirloom corn we wanted to recreate our favorite childhood snacks with sustainable and clean ingredients. We were on a mission to redefine what better for you meant, to go beyond the ingredients and include better for the whole family, our shared communities and the planet.\n\nWe are a trio who come from very different backgrounds from most people we sit in meetings with, so it means so much to us that we were able to make it this far. We are so proud to be able to also use our platform to lift up other people in our communities and do our part in creating a more equitable future.\n\nYeah, starting our business was hard but we have had the best memories, laughs, wins, and even setbacks and have learned more than we could have ever imagined. And it was 100% worth it. We wouldn't trade it for anything because our business means everything to us.\xe2\x80\x9d \n\nPipcorn is one of many incredible independent businesses featured in our #GiftBetter Guide, link in bio to check it out.""",0,0,487,15,,,
CIIuBS8FBuT,shopify,2020-11-28 13:32:41.000000,no,False,"b'blackfriday,blackfriday2020,bfcm,supportsmallbusiness,smallbusinesslove,independentbusiness'",b'',b'Independent businesses weren\xe2\x80\x99t messing around on #BlackFriday. Swipe through to check out the impact of their record breaking day :clapping_hands::fire:\n.\n.\n.\n#blackfriday2020 #bfcm #supportsmallbusiness #smallbusinesslove #independentbusiness',0,0,2065,85,,,
CIGyX92lFGF,shopify,2020-11-27 19:32:15.000000,no,False,"b'blackfriday,blackfriday2020,supportsmallbusiness,smallbusinesslove,bfcm'",b'',"b'Tag an independent business you\xe2\x80\x99re supporting today, tomorrow, and all weekend long:backhand_index_pointing_down:#BlackFriday\n.\n.\n.\n#blackfriday2020 #supportsmallbusiness #smallbusinesslove #bfcm'",0,0,1261,281,,,
CIEJPqGFuoy,shopify,2020-11-26 18:54:22.000000,no,False,"b'giftbetter,blackfriday,cybermonday,bfcm,supportingsmallbusinesses,smbs,supportlocal,supportingindependents,shopify,entrepreneurs,smallbusiness'",b'bloomandplume',"b'Why is supporting independent business so important to you? \n\n\xe2\x80\x9cIt\xe2\x80\x99s important to me because it helps to counteract the madness of Big Business. Because the more I can see myself reflected in independent brands, the more I know and understand my own potential. Supporting independent businesses is a way to counteract racism and inequality. Supporting small, black queer, mintorty owned businesses helps retstore equity to those communities by putting money back into them.\xe2\x80\x9d \xe2\x80\x93 @bloomandplume \n.\n.\n.\n#giftbetter #blackfriday #cybermonday #bfcm #supportingsmallbusinesses #smbs #supportlocal #supportingindependents #shopify #entrepreneurs #smallbusiness'",0,0,592,27,,,
CIDxuFhJtUV,shopify,2020-11-26 15:29:11.000000,yes,False,"b'smallbusinesslove,giftbetter,blackfriday,bfcm'",b'',"b'Wait, where did you get that from? #smallbusinesslove #giftbetter #blackfriday #bfcm'",31239,20.7,1599,66,,,
CIB7kGFFCDN,shopify,2020-11-25 22:16:20.000000,no,False,"b'supportingsmallbusinesses,smallbusinessowners,shopify,giftbetter,blackfriday,cybermonday,shopsmallbusiness,supportingindependents'",b'',"b'Matty Matheson is an internationally recognized, New York Times-bestselling chef, TV personality, and restauranteur. On the menu for 2021? Big plans for restaurants, clothing, and cookware.This year, we\xe2\x80\x99ve asked this fellow Canadian to step out of the kitchen and share his top product picks with us. Swipe through to meet the founders behind them :right_arrow_selector:\n.\n.\n.\n#supportingsmallbusinesses #smallbusinessowners #shopify #giftbetter #blackfriday #cybermonday #shopsmallbusiness #supportingindependents'",0,0,611,36,,,
CIBa2HBFmE4,shopify,2020-11-25 17:30:27.000000,no,False,"b'bfcm,giftbetter,blackfriday,bfcm,supportingindependents,shopify,businesses,independentbusiness,supportsmallbusiness,smallbusinesses,blackfriday,cybermonday,shopping'",b'',"b'We are just TWO days away from the #BFCM weekend. Before you buy, consider this :up_arrow_selector::sparkles:\n.\n.\n.\n.\n.\n#giftbetter #blackfriday #bfcm #supportingindependents #shopify #businesses #independentbusiness #supportsmallbusiness #smallbusinesses #blackfriday #cybermonday #shopping'",0,0,721,45,,,
CH-zD5PFuMI,shopify,2020-11-24 17:04:19.000000,no,False,"b'giftbetter,blackfriday,holidayshopping,giftbetter'",b'',b'You heard it here first :eyes:. Don\xe2\x80\x99t be an amazon basic this year. #GiftBetter with the link in bio. \n.\n.\n#BlackFriday #holidayshopping #giftbetter',0,0,1831,119,,,
CH8jkC5lMJH,shopify,2020-11-23 20:10:25.000000,no,False,"b'blackfriday,giftbetter,holidayshopping,bfcm,cybermonday,giftideas,holidaygifts,shopsmall,shoplocal,smallbusinesslove'",b'',b'Business owners: comment below with what you\xe2\x80\x99re doing for Black Friday\n\nEverybody else reading: shop the replies and discover new independent businesses :green_heart:\n\n.\n.\n.\n#BlackFriday #GiftBetter #holidayshopping #bfcm #cybermonday #giftideas #holidaygifts #shopsmall #shoplocal #smallbusinesslove',0,0,1155,170,,,
CH5X9f1FYAz,shopify,2020-11-22 14:31:19.000000,no,False,b'giftbetter',b'diasporaco',"b'\xe2\x80\x9cI think I\xe2\x80\x99m a little different from other entrepreneurs because I\xe2\x80\x99ve always known that at some point I\xe2\x80\x99m going to walk away from @diasporaco. I started the business because I wanted to see globally sourced products have the same farm to table ethos and the same quality standards as local produce. I felt that I gained so much from knowing who grew my peaches and who grew my tomatoes and I felt like there was so much power in creating that connection in terms of who grew your spices on the other side of the world. The best part is that we are able to work with ten of the best farms from six different states across India right now and pay them 6X the price they were making before, which means they went from earning $4500 a year to now getting paid $26,000 a year. It\xe2\x80\x99s pretty amazing.\n\nBut I\xe2\x80\x99ve set it up so eventually, we can transfer ownership to our farm partners. I work in service of our farmers, my job is to market what they grow. Otherwise, the power always lies with the trader. I\xe2\x80\x99m the middleman right now between our farmers and our customers so the power lives with us. If we\xe2\x80\x99re actually all about building out a spice trade, the real solution is to give our farmers the power to be their own middlemen and truly be direct to consumer and we\xe2\x80\x99re trying to figure out how to do that. \xc2\xa0\n\nIt\xe2\x80\x99s also really meaningful to me because it allows me to retain a connection to my home, India. I moved eight years ago but my whole family is still in India. This allows me to live in both worlds and do work that matters to me. So in some ways, it\xe2\x80\x99s my whole world but in other ways I know that it won\xe2\x80\x99t be my whole world forever and that\xe2\x80\x99s okay because what\xe2\x80\x99s amazing is that I get to pass this on.\xe2\x80\x9c\n\n\xe2\x80\x93 Sana Javeri Kadri, founder of Diaspora Co.\xc2\xa0\n\nSana is one of many amazing entrepreneurs and small businesses featured in our\xc2\xa0#GiftBetter\xc2\xa0Guide - link in bio to check it out!'",0,0,1001,78,,,
CH1CPcNFeAo,shopify,2020-11-20 22:04:34.000000,no,False,"b'supportingindependents,blackfriday,smallbusinesses,smallbusiness,shopify,blackfridaycybermonday,supportsmall,blackfriday2020'",b'',b'The countdown is on. If your business is participating tag it below. Everyone else get ready to shop the replies :eyes:\n.\n.\n.\n.\n.\n.\n.\n#supportingindependents #blackfriday #smallbusinesses #smallbusiness #shopify #blackfridaycybermonday #supportsmall #blackfriday2020',0,0,1800,317,,b'On the Internet',41.883222 -87.632496
CH0SVNylIAp,shopify,2020-11-20 15:05:55.000000,no,False,"b'giftbetter,blackownedbusiness,blackowned,entrepreneur,smallbusiness,smallbusinessowner,giftguide,holidayshopping,supportingindependents'",b'augustraye',"b""As an entrepreneur herself (@augustraye), Kelly Augustine is all about celebrating other Black-owned businesses and emerging designers when we're all shopping most. We asked Kelly to pick some of her favourite small businesses, swipe through to learn about a few of them and hit the link in bio to explore the rest :yellow_heart:\n.\n.\n.\n.\n #GiftBetter #blackownedbusiness #blackowned #entrepreneur #smallbusiness #smallbusinessowner #giftguide #holidayshopping #supportingindependents""",0,0,675,54,,"b'New York, New York'",40.7142 -74.0064
