shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIY-BRmHCkJ,siriusxm,2020-12-04 21:00:49.000000,yes,False,b'',b'briansetzer59',b'This throwback performance from @briansetzer59 has us rocking our way to the holidays. :guitar::Santa_Claus: Hear more festive music on the SiriusXM app at our link in bio!',282358,59.3,8311,81,,,
CIY3ZE7nnHE,siriusxm,2020-12-04 20:02:45.000000,yes,False,b'shawnmendes',b'siriusxmhits1',"b""There is literally no better way to start the weekend than with #ShawnMendes' stunning performance of \xe2\x80\x9cAlways Been You\xe2\x80\x9d live for @siriusxmhits1. :heart_with_arrow: Hear the full Shawn Mendes Celebrity Session today, 12/4 at 6pm ET.""",173480,59.933,5085,62,,,
CIYpZnAn60n,siriusxm,2020-12-04 18:00:50.000000,yes,False,b'',b'kylieminogue',"b'It\'s pop icon @kylieminogue\'s 15th album, and her lead single ""Say Something"" is as ethereal as ever. :sparkles: Find out how her collaboration with House Choir came about and more on Studio 54 Radio today, 12/4, at 6pm ET. Link in bio!'",6590,52.633,254,9,,,
CIYVYYcAUtS,siriusxm,2020-12-04 15:05:23.000000,no,False,b'pandoralive',b'dollyparton',"b""Enjoy a Holly, \xf0\x9d\x98\x8b\xf0\x9d\x98\xb0\xf0\x9d\x98\xad\xf0\x9d\x98\xad\xf0\x9d\x98\xba holiday when @dollyparton and guests perform during a very special #PandoraLive! :wrapped_gift: Details on how to hear it on SiriusXM's holiday channels at our link in bio. :up_arrow:""",0,0,1021,25,,,
CIWSVAWHCSO,siriusxm,2020-12-03 20:00:08.000000,yes,False,b'',"b'billieeilish,finneas,thebeatles,altnation'","b'@billieeilish and @finneas gave us an update on what to expect from the next album. :eyes: Hear their interview and an exclusive performance featuring a cover of @thebeatles airing today, 12/3 at 5pm ET on @altnation. Link in bio!'",12278,18.2,2577,101,,,
CIWFvM1nHOu,siriusxm,2020-12-03 18:10:06.000000,yes,False,b'',b'88rising',"b'The first 24/7 all-Asian, multi-genre music radio channel in the U.S. is here, exclusively on SiriusXM. :satellite_antenna: Listen to @88rising Radio at our link in bio.'",2916,7.0,246,11,,,
CIV-TPMnUJI,siriusxm,2020-12-03 17:05:11.000000,yes,False,b'',"b'bobmarley,tuffgonginternational'","b""@bobmarley's iconic music is getting its very own SiriusXM channel starting today. :microphone: Hear his classic songs and live performances, plus music from the Marley family and artists on his @tuffgonginternational label at our link in bio.""",4297,14.933,381,29,,,
CIVwAoyBpbx,siriusxm,2020-12-03 15:00:22.000000,yes,False,b'',b'samfischer',"b'@samfischer\'s beautiful rendition of ""This City"" is breaking our hearts in the best possible way. :heart_with_arrow: Check out the rest of his performance throughout the week on Coffee House Live: At Home Edition via our link in bio.'",3298,29.933,187,7,,,
CITt6EzApkM,siriusxm,2020-12-02 20:04:00.000000,yes,False,b'',"b'bobby,queereye,zerlinamaxwell,jess___mc'",b'Throwing it back to some helpful holiday advice from @bobby of @queereye! :wrapped_gift:  Hear more with @zerlinamaxwell and @jess___mc at our link in bio.',2701,53.433,139,13,,,
CITLNxMhT_G,siriusxm,2020-12-02 15:00:22.000000,yes,False,b'',b'',"b'SiriusXM is here to guide you to your favorite holiday songs, classic Christmas carols, festive pop hits, and more! :snowflake_selector: Listen now at our link in bio.'",1612,37.7,144,8,,,
CIRrGsgo36-,siriusxm,2020-12-02 01:00:45.000000,yes,False,b'',b'itsruthb',"b'@itsruthb graced us with ""Lost Boy"" live and gave us a glimpse into what it\'s like performing in quarantine. :musical_keyboard: Hear Coffee House Live: At Home Edition throughout the week at our link in bio.'",2593,57.8,167,8,,,
CIRcpi4lmg9,siriusxm,2020-12-01 22:54:40.000000,yes,False,b'',"b'mandymooremm,mrjesscagle'",b'@mandymooremm is happy to be feeling better after a difficult few months of pregnancy. Hear more with @mrjesscagle at our link in bio!',4287,56.5,173,5,,,
CIQ52f3F95f,siriusxm,2020-12-01 17:50:37.000000,yes,False,b'countdowntochristmas',"b'leannrimes,hallmarkchannel'","b""We\xe2\x80\x99re thinking back to holidays gone by with @leannrimes' classic performance of \xe2\x80\x9cYou and Me and Christmas.\xe2\x80\x9d :Christmas_tree: Hear more on @hallmarkchannel Radio at our link in bio! #CountdownToChristmas""",451875,59.966,12072,276,,,
CIOxr75H5Pg,siriusxm,2020-11-30 22:00:49.000000,yes,False,b'reversetheverse',b'jermainedupri',"b'On this episode of #ReverseTheVerse, @jermainedupri talks his love for Atlanta and guesses his own songs played backwards. :musical_notes: Watch more on the SiriusXM app.'",283162,58.4,4651,68,,,
CIOQvOmg4Rx,siriusxm,2020-11-30 17:12:24.000000,yes,False,b'jerseyshore',"b'snooki,mikethesituation,jennymccarthyshow'",b'Will @snooki ever return to #JerseyShore? @mikethesituation shares his thoughts with @jennymccarthyshow. :eyes:',5495,59.066,229,17,,,
CIG8bgDHs_K,siriusxm,2020-11-27 21:00:18.000000,yes,False,b'',b'jewel',"b'Twenty-five years later and @jewel\'s ""Who Will Save Your Soul"" is still mesmerizing. :raising_hands: Hear more on \'90s on 9 at our link in bio.'",5100,54.266,263,46,,,
CIGTPYLs7co,siriusxm,2020-11-27 15:00:53.000000,yes,False,b'reversetheverse',b'ceelogreen',"b""@ceelogreen didn't have to think twice... he did amazing on #ReverseTheVerse! Watch more at our link in bio.""",3283,52.0,164,23,,,
CID8KZOHEmW,siriusxm,2020-11-26 17:00:07.000000,yes,False,b'',b'',b'Happy Thanksgiving! :turkey:',3376,5.8,306,52,,,
CIDnkqDsTWi,siriusxm,2020-11-26 14:00:16.000000,no,False,b'',b'',b'Which table are you sitting at for Thanksgiving dinner?? :fork_and_knife_with_plate_selector:',0,0,801,315,,,
CIBy1_ineIF,siriusxm,2020-11-25 21:00:21.000000,yes,False,b'',b'willienelsonofficial',"b""Spend Thanksgiving with @willienelsonofficial's friends and family as they dole out life lessons and take questions from listeners. Hear the holiday special this Thursday, 11/26 at noon ET on Willie's Roadhouse.""",7657,59.866,331,42,,,
CIBJpf1Fc6M,siriusxm,2020-11-25 15:00:25.000000,yes,False,b'',"b'realmikejfox,tracy.pollan,hodakotb'","b""@realmikejfox shares how thankful he is for his wife, @tracy.pollan, and how much she's supported him through his Parkinson's diagnosis. Watch @hodakotb's Thanksgiving special at our link in bio.""",18119,60.0,1138,112,,,
CH_ODASnwdt,siriusxm,2020-11-24 21:00:18.000000,yes,False,b'piecesofme',b'jewel',"b'It\'s been 25 years since #PiecesOfMe and @jewel sounds better than ever singing ""You Were Meant for Me."" Check out the full Q&A and performance at our link in bio!'",4289,53.766,241,119,,,
CH-k2cGAk_U,siriusxm,2020-11-24 15:00:15.000000,yes,False,b'countdowntochristmas',"b'thereallacey,hallmarkchannel'","b'Join @thereallacey as she shares her favorite hits, traditions, and more on @hallmarkchannel Radio. Link in bio! #CountdownToChristmas'",5911,9.833,229,70,,,
