shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIRI5wTlLGT,sistemaplastics,2020-12-01 20:01:31.000000,no,False,"b'giveaway,christmasgifts,sistemaplastics'",b'',"b""Christmas is coming... make sure you're following us on Facebook to enter our special Christmas giveaways! :Christmas_tree: Link in bio #giveaway #christmasgifts #SistemaPlastics""",0,0,53,0,,,
CIG1us0F1oD,sistemaplastics,2020-11-27 20:01:36.000000,no,False,"b'sistemaplastics,mealprep,lunchtime,lunchbox,lunch,bentobox,bento,food,lunchboxideas,instafood,healthyfood,lunchideas,mealprep,kidslunchbox,bentolunchbox'",b'',"b'Offering an eco-friendly lunch solution, the compartments on our Renew:trade_mark: Bento Lunch container are perfect for taking your lunch and snacks on the go #SistemaPlastics #mealprep \n#lunchtime #lunchbox #lunch #bentobox #bento #food #lunchboxideas #instafood #healthyfood #lunchideas #mealprep #kidslunchbox #bentolunchbox'",0,0,156,11,,,
CH_HWe0rmVN,sistemaplastics,2020-11-24 20:01:39.000000,no,False,"b'sistemaplastics,recycle'",b'',b'Sistema:registered: Renew:trade_mark: is made from post-industrial material (production off-cuts) that would otherwise go to landfill. All Renew:trade_mark: packaging and labels are recyclable too :recycling_symbol_selector: #SistemaPlastics #recycle',0,0,252,6,,,
CH3Y4X_FtNm,sistemaplastics,2020-11-21 20:00:54.000000,no,False,"b'sistemaplastics,reusable,lunchtime,mealprep,lunchbox,lunch,bentobox,bento,food,lunchboxideas,instafood,healthyfood,lunchideas,mealprep,kidslunchbox,bentolunchbox'",b'',b'Our 1.2L Renew:trade_mark: Lunch Plus container is made using a minimum of 35% recycled plastic. The convenient knife and fork clip into the lid to eliminate the need to carry separate cutlery while on the go :fork_and_knife: #SistemaPlastics #reusable #lunchtime #mealprep #lunchbox #lunch #bentobox #bento #food #lunchboxideas #instafood #healthyfood #lunchideas #mealprep #kidslunchbox #bentolunchbox',0,0,188,6,,,
CHvzGI6hPWk,sistemaplastics,2020-11-18 21:16:01.000000,no,False,"b'sistemaplastics,reusable,recycle'",b'',b'Sistema:registered: Renew:trade_mark: is a range of reusable lunch products that are made using a minimum of 30% recycled plastic :recycling_symbol_selector:\n\n*The recycled percentage varies per product #SistemaPlastics #reusable #recycle',0,0,39,0,,,
CHn8H7gLn78,sistemaplastics,2020-11-15 20:01:02.000000,no,False,"b'sistemaplastics,lunchtime,lunchprep,lunchbox,lunch,bentobox,bento,food,lunchboxideas,instafood,healthyfood,lunchideas,mealprep,kidslunchbox,bentolunchbox'",b'',"b'Made using a minimum of 37% recycled plastic, our Renew:trade_mark: Bento Lunch container is great for taking lunch on the go #SistemaPlastics #lunchtime #lunchprep #lunchbox #lunch #bentobox #bento #food #lunchboxideas  #instafood #healthyfood #lunchideas #mealprep #kidslunchbox #bentolunchbox'",0,0,128,10,,,
CHgN2XqLIkx,sistemaplastics,2020-11-12 20:01:59.000000,no,False,b'madeinnewzealand',b'',b'Our Sistema Renew:trade_mark: range is made right here in new Zealand :New_Zealand: #MadeInNewZealand',0,0,70,2,,,
CHYtMd5r8BB,sistemaplastics,2020-11-09 22:01:58.000000,no,False,"b'sistemaplastics,snacktime,reusable'",b'',"b""Our Renew:trade_mark: Snack Capsule:trade_mark: is perfect for taking your fruit and yogurt on the go, and it's made using a minimum of 36% recycled plastic #SistemaPlastics #snacktime #reusable""",0,0,237,7,,,
CHYtMd5r8BB,sistemaplastics,2020-11-09 22:01:58.000000,no,False,"b'sistemaplastics,snacktime,reusable'",b'',"b""Our Renew:trade_mark: Snack Capsule:trade_mark: is perfect for taking your fruit and yogurt on the go, and it's made using a minimum of 36% recycled plastic #SistemaPlastics #snacktime #reusable""",0,0,237,7,,,
CHOMR03HjdN,sistemaplastics,2020-11-05 20:01:55.000000,no,False,"b'sistemaplastics,reusable,lunchtime'",b'',b'Our 450ml Renew:trade_mark: Sandwich container is made using a minimum of 30% recycled plastic #SistemaPlastics #reusable #lunchtime',0,0,89,0,,,
CHKU7lKglvG,sistemaplastics,2020-11-04 08:00:34.000000,no,False,"b'sistemaplastics,reusable,lunchtime,mealprep'",b'',b'Our 1.1L Renew:trade_mark: Salad container is made using a minimum of 38% recycled plastic :recycling_symbol_selector: #SistemaPlastics #reusable #lunchtime #mealprep',0,0,107,5,,,
CHGrpWMhIQ5,sistemaplastics,2020-11-02 22:02:03.000000,no,False,"b'sistemaplastics,reusable'",b'',b'Sistema:registered: Renew:trade_mark: is a project focusing on offering eco-friendly sustainable lunch solutions. Each product has different overall weight which determines the percentage of recycled content that goes into the product. For more information see link in bio :up_arrow_selector: #SistemaPlastics #reusable',0,0,545,22,,,
CHEBP0bB3KN,sistemaplastics,2020-11-01 21:13:27.000000,yes,False,"b'sistemaplastics,reuse'",b'',"b'Our goal with Renew:trade_mark: is to use a minimum of 30% recycled plastic which is post-industrial material, Sistema\xe2\x80\x99s production off-cuts #SistemaPlastics #reuse'",446,9.5,32,0,,,
CG8LN9rh0Mg,sistemaplastics,2020-10-29 20:06:18.000000,no,False,b'',b'',b'Introducing Sistema:registered: Renew:trade_mark: a range of reusable lunch products that are made using a minimum of 30% recycled plastic.* \n\n*The recycled percentage varies per product.',0,0,67,5,,,
CG3Om0nhyU7,sistemaplastics,2020-10-27 21:59:49.000000,yes,False,"b'stayhydrated,sistemaplastics,stainlesssteel,reusable,comingsoon'",b'',b'Our new Stainless Steel drink bottle has been designed with double walled vacuum insulation to keep your beverage cold for 12 hours #stayhydrated #SistemaPlastics #stainlesssteel #reusable #comingsoon',760,3.0,54,8,,,
CGoSAB1h0B1,sistemaplastics,2020-10-22 02:42:49.000000,yes,False,"b'stayhydrated,reusable,stainlesssteel'",b'',"b'Coming soon, our new Stainless Steel 280ml drink bottle comes in six different colours! Which colour is your favourite? #stayhydrated #reusable #stainlesssteel'",1583,1.4,77,8,,,
CGeoel7BVzN,sistemaplastics,2020-10-18 08:44:58.000000,yes,False,"b'stayhydrated,sistemaplastics,reusable,stainlesssteel'",b'',"b'Introducing the new look Stainless Steel bottle. The chic 280mL bottle is perfect for people on the go, designed with double walled vacuum insulation to keep your beverage hot for six hours #stayhydrated #SistemaPlastics #reusable #stainlesssteel'",1761,5.0,144,12,,,
CGYQNpThSCC,sistemaplastics,2020-10-15 21:18:57.000000,yes,False,b'',b'',b'Congratulations to these 5 lucky winners who will each receive a Klip IT Plus:trade_mark: 10 Pack! Please send us a message with your details to claim your prize.',585,12.3,60,6,,,
CGIqtrLg-OL,sistemaplastics,2020-10-09 20:01:13.000000,yes,False,"b'giveaway,sistemaplastics,klipitplus'",b'',"b""To celebrate the launch of Klip IT Plus:trade_mark:, five lucky winners will each receive a 10 Pack set! Comment below to nominate someone who you think deserves to win. Winners drawn October 15. T's & C's apply: https://ibb.co/jVnxR5d #Giveaway #SistemaPlastics #KlipITPlus""",1241,6.0,132,172,,,
CGGNfNphoHk,sistemaplastics,2020-10-08 21:07:15.000000,yes,False,"b'giveaway,sistemaplastics'",b'',b'Keep your eyes peeled on our page for our special giveaway coming soon\xe2\x80\xa6 #Giveaway #SistemaPlastics',1384,2.5,104,8,,,
CGBQ9X3IKs9,sistemaplastics,2020-10-06 23:01:19.000000,no,False,"b'sistema,klipitplus,foodstorage,storagesolutions,fridgeorganisation'",b'',"b'We spent more than 12 months designing our new and improved Sistema Klip IT Plus:trade_mark: range, we hope you love it as much as we do :red_heart_selector: #Sistema #KlipITPlus #foodstorage #storagesolutions #fridgeorganisation'",0,0,112,2,,,
CF-sGRqoGXV,sistemaplastics,2020-10-05 23:00:45.000000,no,False,"b'sistema,klipitplus,foodstorage,storagesolutions'",b'',b'Make every day food storage easier with Sistema Klip IT Plus:trade_mark: #Sistema #KlipITPlus #foodstorage #storagesolutions',0,0,120,4,,,
CF8gY0PggUu,sistemaplastics,2020-10-05 02:39:55.000000,no,False,"b'sistema,klipitplus,foodstorage,storagesolutions'",b'',b'Have you spotted our new and improved Sistema Klip IT Plus:trade_mark: range in store yet? #Sistema #KlipITPlus #foodstorage #storagesolutions',0,0,99,1,,,
CFkugi2n0RL,sistemaplastics,2020-09-25 21:01:31.000000,no,False,"b'sistema,klipitplus,foodstorage,storagesolutions,fridgeorganisation,mealprep'",b'',"b'The new Sistema Klip IT Plus:trade_mark: range now have built in air tight seals, making them perfect for storing a variety of foods in the fridge #Sistema #KlipITPlus #foodstorage #storagesolutions #fridgeorganisation #mealprep'",0,0,102,1,,,
CFfk67xA0WP,sistemaplastics,2020-09-23 21:01:33.000000,no,False,"b'sistema,klipitplus,foodstorage,storagesolutions,fridgeorganisation'",b'',"b""Keep your fridge clean an organised with the new and improved Sistema Klip IT Plus:trade_mark: - there's a size and shape for every need #Sistema #KlipITPlus #foodstorage #storagesolutions #fridgeorganisation""",0,0,107,1,,,
CFabUIZjnGx,sistemaplastics,2020-09-21 21:01:24.000000,no,False,"b'sistema,klipitplus,foodstorage,storagesolutions,pantryorganisation'",b'',b'Keep your breakfast cereals fresh with the Sistema:registered: KLIP IT PLUS:trade_mark: Cereal containers. Featuring an easy-pour lid and built in airtight seal to ensure food stays fresher for longer. Breakfast time has never been easier! #Sistema #KlipITPlus #foodstorage #storagesolutions #pantryorganisation',0,0,123,3,,,
CFSs7vqlgwq,sistemaplastics,2020-09-18 21:01:26.000000,no,False,"b'sistema,klipitplus,foodstorage,storagesolutions'",b'',b'Our new and improved Sistema Klip IT Plus:trade_mark: containers are proudly 100% New Zealand made :New_Zealand: #Sistema #KlipITPlus #foodstorage #storagesolutions',0,0,87,3,,,
