shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIZQVhvoFFq,snapon_official,2020-12-04 23:40:41.000000,yes,False,b'',b'',b'Torque-y day is over and Snappy Claus is in full holiday prep mode. Who could use new ATECH to make your holiday just right? :Santa_Claus: has one to deliver to a lucky commenter :down_arrow_selector:. :wrapped_gift:',5274,57.733,514,67,,,
CIYmBjmgy1p,snapon_official,2020-12-04 17:30:44.000000,yes,False,b'nationalsockday',b'',"b""We love Snappy :socks:  so much, we've decided to make them stockings too. To celebrate #NationalSockDay, we've got  a few pairs to give away over the weekend. Comment for a chance to win.""",17132,10.033,1225,128,,,
CIWcDuTHPe2,snapon_official,2020-12-03 21:25:07.000000,no,False,"b'throwbackthursday,snaponselects,repost,snapon,snapontools,snapon_toolsforlife,dirtyhandscleanmoney'",b'sbsllc_ct',"b'Now that\'s what we call #ThrowbackThursday :thumbs_up:\n#SnaponSelects\n.\n.\n.\n#REPOST @sbsllc_ct\n""Little piece of history in our customers hand! Passed down from his grandfather! #snapon #snapontools #snapon_toolsforlife #dirtyhandscleanmoney""'",0,0,6675,45,,,
CIT-uPILYoo,snapon_official,2020-12-02 22:30:19.000000,no,False,"b'weldingwednesday,repost'",b'eddie',b'Perfect  for #WeldingWednesday:\n\xe2\x80\x9cDo what you love and you\xe2\x80\x99ll never work a day in your life.\xe2\x80\x9d \n.\n.\n.\n#REPOST @eddie-1202003',0,0,1703,6,,,
CIThjAdnhv4,snapon_official,2020-12-02 18:15:29.000000,yes,False,b'weldingwednesday',b'',b'The muscle you need for almost any welding job. :high_voltage: #WeldingWednesday',7999,24.4,650,1,,,
CIRMMzrH6A5,snapon_official,2020-12-01 20:30:20.000000,no,False,"b'toolstoragetuesday,snaponselects'",b'themechanicalreaper',"b'Extreme green gorgeous.\n#ToolStorageTuesday #SnaponSelects\n.\n.\nREPOST @themechanicalreaper\n""It just keeps growing :man_shrugging_selector:""'",0,0,5383,46,,,
CIQ1UHRlvnZ,snapon_official,2020-12-01 17:10:34.000000,yes,False,b'toolstoragetuesday',b'',"b""With 3 extra-wide drawers to provide uninterrupted end-to-end capacity, the KMP1022A won't fit under the :Christmas_tree:  but It looks great with a bow on top. :wrapped_gift:  #ToolStorageTuesday""",7384,50.966,808,5,,,
CIOyP-4rRtj,snapon_official,2020-11-30 22:05:07.000000,no,False,"b'snaponselects,repost,mechanic,hgvtechnician,truck,tools,toolbox,snapon,snapontools,christmas,orange,grey,work,daftrucks'",b'jacobtrojanscott',"b'Feelin\' festive heading into December! :Christmas_tree:\n#SnaponSelects\n.\n.\n.\n#REPOST @jacobtrojanscott\n""Get the lights up!\n#mechanic #hgvtechnician #truck #tools #toolbox #snapon #snapontools #christmas #orange #grey #work #daftrucks""'",0,0,4510,5,,,
CIJQoGRlamF,snapon_official,2020-11-28 18:35:07.000000,no,False,b'smallbusinesssaturday',b'duckandwrench',b'All paws on deck. :paw_prints:\nEveryone is so busy with the holidays that all family members are helping out! #SmallBusinessSaturday\n\n:camera_with_flash:: @duckandwrench',0,0,5781,21,,,
CII7fPcLIbY,snapon_official,2020-11-28 15:30:24.000000,no,False,"b'snaponselects,repost,5,isaacsonadventures'",b'cinumber5',"b'Snappy tools for the win! #SnaponSelects\n.\n.\n.\n#REPOST  @cinumber5\n""Project #5 - Get the crayon out of the sharpener, only 1 tool came to mind. Snappy pic tool! Yep Tobys on a roll today look out! #isaacsonadventures""'",0,0,2038,3,,,
