shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIZR5u5lgFf,sony,2020-12-04 23:54:06.000000,no,False,b'sonyaudio',b'',b'Comfortable and long-lasting noise canceling. (WH-CH710 wireless noise-canceling headphones. Now on sale in the U.S. 11/16/20 - 12/6/20.) #SonyAudio',0,0,41548,177,,,
CIVvMkQj4rc,sony,2020-12-03 14:53:07.000000,no,False,b'sony4k',b'',b'Unleash the power of IMAX at home with the IMAX Enhanced #Sony4K A8H OLED smart Android TV.',0,0,20434,196,,,
CITjk2rFH_G,sony,2020-12-02 18:33:05.000000,no,False,"b'sonyxperia,sonyaudio'",b'',b'Everything you need to start your morning. (XB23 portable wireless speaker and #SonyXperia.) #SonyAudio',0,0,80182,257,,,
CH_v5iHjK88,sony,2020-11-25 01:55:58.000000,no,False,"b'sonycreativespace,sonyalpha,sweepstakes'",b'',b'Delivering full-frame power in a compact size :camera: (Register for #SonyCreativeSpace for a chance to win a #SonyAlpha a7C kit and read the #Sweepstakes Official Rules in our LINK IN BIO.)',0,0,29543,320,,,
CH9T0NRDZ2W,sony,2020-11-24 03:12:05.000000,no,False,b'sonyaudio',b'',b'Give the gift of Sound. :wrapped_gift: Save up to $300 off the HT-ST5000 7.1.2ch Dolby Atmos Soundbar. (Available in the U.S. 11/16/20-11/30/20.) #SonyAudio',0,0,99283,212,,,
CH3MM_9lvnj,sony,2020-11-21 18:10:07.000000,no,False,b'',b'',"b'""Great for long nights playing Ghost of Tsushima\xe2\x80\xa6 no sweaty ears after a long gaming gig. Love them."" - Customer Manual C. on the WS1 Immersive Wearable Speaker'",0,0,84504,493,,,
CH1OxuRlCU-,sony,2020-11-20 23:54:08.000000,no,False,b'sony4k',b'',b'Get the best seat in the house. (#Sony4K A8H HDR smart OLED TV with X-Motion Clarity for smooth & clear action.)',0,0,24126,102,,,
CHypLbylo-Q,sony,2020-11-19 23:47:06.000000,no,False,b'sonyaudio',b'digitaltrends',b'The \xe2\x80\x9cnew king of personal audio\xe2\x80\x9d - @DigitalTrends on the WH-1000XM4 industry-leading noise-canceling headphones. #SonyAudio :crown:',0,0,71434,280,,,
CHypLbylo-Q,sony,2020-11-19 23:47:06.000000,no,False,b'sonyaudio',b'digitaltrends',b'The \xe2\x80\x9cnew king of personal audio\xe2\x80\x9d - @DigitalTrends on the WH-1000XM4 industry-leading noise-canceling headphones. #SonyAudio :crown:',0,0,71434,280,,,
CHskzpDhqeP,sony,2020-11-17 15:13:26.000000,no,False,"b'sonyfx6,sonyalpha,sonycine'",b'',"b'Powerful, compact, and ready to tell amazing stories. (Introducing the all-new #SonyFX6 full-frame cinema camera) Visit our link in bio to learn more! #SonyAlpha #SonyCine'",0,0,38130,304,,,
CHq9xFoD0wW,sony,2020-11-17 00:13:05.000000,no,False,b'sonyaudio',b'',b'Introducing the new LSPX-S2 Light Glass Sound Speaker: crystal-clear 360-degree sound meets ambient light to blend seamlessly into your life. #SonyAudio',0,0,45316,153,,,
CHnYbieA62t,sony,2020-11-15 14:49:06.000000,no,False,"b'thecrown,sony4k'",b'',"b""Get your popcorn - Don't miss #TheCrown Season 4 now available on Netflix. :crown: Enjoy it on #Sony4K X800H LED smart Android TV with Netflix Calibrated Mode.""",0,0,19886,38,,,
CHl0ECJlwk3,sony,2020-11-15 00:12:05.000000,no,False,b'sonyaudio',b'',"b'Sound worth sharing for the holidays. (XB23 Extra Bass waterproof, compact and lightweight speaker.) #SonyAudio'",0,0,44542,147,,,
CHjMzMkhMG6,sony,2020-11-13 23:50:30.000000,no,False,"b'theblacklist,sonyvenice,sony4k'",b'',b'From our lens to your living room. Check out the latest season of\xc2\xa0#TheBlacklist\xc2\xa0tonight (11/13) 8/7c on NBC. (Shot on\xc2\xa0#SonyVENICE. Watch it on a\xc2\xa0#Sony4K\xc2\xa0A8H HDR smart OLED TV.)',0,0,74648,216,,,
CHg6UUCB9KF,sony,2020-11-13 02:30:31.000000,no,False,b'ps5',b'',b'The next generation of gaming begins now.\xc2\xa0#PS5',0,0,268802,4162,,,
CHY73SmlC1O,sony,2020-11-10 00:10:08.000000,no,False,b'sonyaudio',b'',"b'Quality materials, optimal design, and cinematic sound. (HT-ST5000 7.1.2ch Dolby Atmos Soundbar) #SonyAudio'",0,0,97241,300,,,
