shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CHgezG2BZgH,southerncompany,2020-11-12 22:30:03.000000,no,False,b'',"b'themasters,zjohnsonpga'","b'From the Payne Stewart Award in September, to playing the @themasters in November, @zjohnsonpga is ending 2020 on a high note. Hit \xe2\x80\x98em straight this weekend!'",0,0,45,0,,,
CHgNgnPhtkK,southerncompany,2020-11-12 19:58:58.000000,no,False,b'',"b'bernhard.langer,themasters'","b'Hey @bernhard.langer, have room for another green jacket? We\xe2\x80\x99re looking forward to watching you this weekend @themasters!'",0,0,36,0,,,
CHfaxpJhBpk,southerncompany,2020-11-12 12:35:39.000000,no,False,b'',"b'themasters,mattkuchargolf'",b'Let\xe2\x80\x99s add a green jacket to this gray shirt! We\xe2\x80\x99re rooting for you this weekend at @themasters :flag_in_hole: @mattkuchargolf',0,0,72,0,,,
CHdwa-NhZS4,southerncompany,2020-11-11 21:06:19.000000,no,False,b'',b'',"b'As part of our $50 million HBCU initiative, we are awarding grants to support technology for 21 historically black colleges and universities. We are honored to partner with some of the country\xe2\x80\x99s top institutions of higher learning as we invest in the next generation of technology leaders. Link in bio.'",0,0,62,2,,,
CGzzkh2hpDY,southerncompany,2020-10-26 14:05:44.000000,no,False,"b'batweek,soconservation'","b'nfwf,batconservationinternational'","b'White-nose syndrome has haunted the bat population since 2006. With our partners @nfwf and @batconservationinternational, we are helping slow the spread. Happy #BatWeek! #SOconservation'",0,0,39,0,,,
CF-Oy19Bdbk,southerncompany,2020-10-05 18:44:38.000000,no,False,b'',b'',b'We received the Military Spouse Friendly Employers award by G.I. Jobs magazine for our efforts in creating sustainable and meaningful career paths for military spouses. Link in bio.',0,0,35,0,,,
CFsDW6XhoSG,southerncompany,2020-09-28 17:18:22.000000,no,False,b'driveelectricweek',b'',"b'To kick off National Drive Electric Week, we\xe2\x80\x99re announcing our internal fleet electrification goal. Converting to electric is a win-win for drivers, communities, businesses and the environment. Learn more using link in bio. #DriveElectricWeek'",0,0,76,0,,,
CFe9w9dhP9K,southerncompany,2020-09-23 15:19:53.000000,yes,False,b'ncew20',b'southernpowerco',"b'Powering the future of energy through wind. @southernpowerco currently owns or operates more than 2,115 megawatts of wind generating capacity at 13 facilities operating or under construction. #NCEW20'",301,15.243,69,1,,,
CFaAHQhhx-c,southerncompany,2020-09-21 17:03:41.000000,no,False,b'',b'',"b'Today, we issued a road map on how we will achieve net zero greenhouse gas emissions by 2050. Read more on our plan for a net zero future using the link in bio.'",0,0,90,0,,,
CE4FfYontuh,southerncompany,2020-09-08 12:56:29.000000,no,False,b'',"b'djohnsonpga,playofffinale,fedex'",b'Congratulations to @djohnsonpga\xe2\x80\x94 yesterday\xe2\x80\x99s winner of @playofffinale and the @fedex Cup. We are thankful to be a part of TOUR Championship each year!',0,0,121,2,,,
CErdHwfHkma,southerncompany,2020-09-03 15:12:51.000000,no,False,b'',b'playofffinale',"b'The Payne Stewart Award ceremony is one of our favorite parts of @playofffinale week and last night was no different. \n\nCongratulations, Zach, what a special person and player you are on and off the course.'",0,0,112,2,,,
CEozeLwniyt,southerncompany,2020-09-02 14:30:26.000000,no,False,b'',"b'golfchannel,pgatour'","b'The Payne Stewart Award ceremony will be televised live tonight on @golfchannel at 6:30 p.m. EST. Alongside @pgatour, we are proud to honor Zach Johnson with the Payne Stewart Award presented by Southern Company. Congratulations, Zach! You deserve it.'",0,0,61,1,,,
CEkCINThi4m,southerncompany,2020-08-31 18:02:18.000000,no,False,b'',b'playofffinale',"b'They\xe2\x80\x99re back! As a Proud Partner of @playofffinale, we are excited to welcome the top 30 players back to Atlanta for TOUR Championship 2020. Who\xe2\x80\x99s your pick? :trophy::man_golfing_medium_skin_tone:'",0,0,44,1,,,
CEb4Bntlk0K,southerncompany,2020-08-28 14:00:15.000000,no,False,b'',b'playofffinale',"b'We are ONE week away from @playofffinale! As a Proud Partner, Southern Company is once again excited to welcome TOUR Championship home to Atlanta.'",0,0,54,0,,,
CEXWzT1hZBc,southerncompany,2020-08-26 19:52:49.000000,no,False,b'',b'southernpowerco',"b'Skookumchuck Wind Facility is well on its way to achieving commercial operation. In the meantime, we\xe2\x80\x99re enjoying this amazing shot taken from the T-21 turbine pad looking toward Mount Rainier and the T-25 turbine. @southernpowerco'",0,0,66,1,,,
CD1UPOvhI9m,southerncompany,2020-08-13 14:36:15.000000,no,False,b'',b'',"b'Nearly a thousand Southern Company system resources responded to help restore power in the Northeast after Tropical Storm Isaias battered the region, leaving more than 3.5 million customers without power from South Carolina to New England. Story link in bio.'",0,0,157,2,,,
CDzAA8HhCo5,southerncompany,2020-08-12 17:02:09.000000,yes,False,b'',b'pgatour',"b'Congratulations to Zach Johnson, the 2020 recipient of the Payne Stewart Award. You truly embody Payne\xe2\x80\x99s values of character, charity and sportsmanship on and off the course. We, alongside, @pgatour look forward to presenting you with this award! Link in bio.'",535,30.033,80,0,,,
CDB2yTXB5F-,southerncompany,2020-07-24 14:57:37.000000,no,False,b'',b'',"b'We will always remember what Rep. John Lewis taught us during his lifelong fight for racial equality, human rights and social justice. Our company honors his legacy by applying these lessons through our actions and marching in support of equality and fairness for all.'",0,0,105,2,,,
CCEJmVLhm-M,southerncompany,2020-06-30 15:49:06.000000,no,False,b'',b'',"b'Engaging with the environmental community has fostered a remarkable relationship between our company and Sister Barbara Aires and Sister Pat Daly. Together, we are working to achieving Southern Company\xe2\x80\x99s net-zero carbon goal. Link in bio to read this story.'",0,0,88,0,,,
CB0uFR1l5jI,southerncompany,2020-06-24 16:00:10.000000,no,False,b'',b'',"b'PRIDE Power and Spectrum are two employee resource groups within Southern Company dedicated to promoting equality and encouraging LGBTQ+ employees to be their true, authentic selves at work. Meet the two leaders of these groups and what Pride means to each. Link in bio.'",0,0,61,0,,,
CByHK60hJhf,southerncompany,2020-06-23 15:41:33.000000,no,False,b'bestplacesit',b'',"b'For the 14th consecutive year, we have been named one of the 2020 Best Places to Work in IT. Acquiring and developing top IT talent is more important than ever and key to helping us successfully build the future of energy! #BestPlacesIT Link in bio.'",0,0,37,1,,,
CBlle9qDcLs,southerncompany,2020-06-18 18:56:18.000000,no,False,b'juneteenth',b'',"b'We are remembering, reflecting and continually learning. Read our letter to our colleagues using the link in bio. #Juneteenth'",0,0,85,0,,,
