shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIMTv3VI5Q-,southwestair,2020-11-29 23:00:16.000000,no,False,b'',b'kat1traveler',b'Dreamy sunsets in the Bay. (photo from OAK by @kat1traveler)',0,0,6876,128,,,
CIKGI4wl2J0,southwestair,2020-11-29 02:23:00.000000,yes,False,b'',b'',"b'Oh, you guys still doing confetti cannons and balloons for your gender reveals? Lol, can\xe2\x80\x99t relate.'",130548,30.0,9396,139,,,
CIHKKLco_gF,southwestair,2020-11-27 23:00:17.000000,no,False,b'',b'unnakedeye',"b'This picture was taken at sunset, AKA 4:15 p.m. these days. (@unnakedeye)'",0,0,7036,41,,,
CID9oEuFmBo,southwestair,2020-11-26 17:13:37.000000,yes,False,b'happythanksgiving',b'',"b'It has been a challenging year, to say the least. Today, we give thanks for our resilient Southwest Family and for all our wonderful Customers. #HappyThanksgiving from our family to yours.'",10171,83.566,1073,45,,,
CH_bx0co1ex,southwestair,2020-11-24 23:00:19.000000,no,False,b'',b'kellercam',b'Staring contest on the ramp in DEN. (@kellercam)',0,0,5940,44,,,
CH6SLuAIAXm,southwestair,2020-11-22 23:00:19.000000,no,False,b'',b'',b'Easy does it. Eeeeasssyyy does it... (photo by Mike P.)',0,0,7840,74,,,
CH3tZD6IYI7,southwestair,2020-11-21 23:00:19.000000,no,False,b'',b'motomi_texas',b'That Big D skyline. (@motomi_texas)',0,0,9050,76,,,
CHv_AdZIlq-,southwestair,2020-11-18 23:00:18.000000,no,False,b'wingletwednesday',b'thecatalystmachine',"b""Call us old-fashioned, but we still enjoy a good ol' stunning photo on Instagram. #WingletWednesday (@thecatalystmachine)""",0,0,11419,143,,,
CHq2bx6lhHq,southwestair,2020-11-16 23:08:59.000000,no,False,b'',b'iflymia',b'We\xe2\x80\x99ve officially launched service to @iflymia! :musical_notes:',0,0,9995,241,,,
CHlr0tFo58a,southwestair,2020-11-14 23:00:15.000000,no,False,b'',b'aviationjimli',b'Moody sunset in San Diego. (@aviationjimli)',0,0,6407,48,,,
CHY3SI8Iivi,southwestair,2020-11-09 23:30:16.000000,no,False,b'',b'me_and_hou',"b""Have you heard? Soon, we'll be taking off from two airports in Houston. We intend to serve Bush Intercontinental sometime next year. (@me_and_hou)""",0,0,8770,146,,,
CHWPDqNoblq,southwestair,2020-11-08 23:00:16.000000,no,False,b'wannagetaway',b'mykingdomphotography',"b""We're sensing a much-needed getaway in your future... :crystal_ball:\n\n#WannaGetAway (@mykingdomphotography)""",0,0,6346,73,,,
CHRFdnMHEcX,southwestair,2020-11-06 23:00:11.000000,no,False,b'',b'tylers.avspotter',b':airplane_departure: or :airplane_arrival:? :thinking_face: (@tylers.avspotter)',0,0,8201,192,,,
CHOisZWlhtp,southwestair,2020-11-05 23:17:45.000000,no,False,b'',b'',"b'With inaugural service yesterday between San Diego and Honolulu, we also resumed service to the Hawaiian Islands from both San Jose and Sacramento. Along with Oakland, that\xe2\x80\x99s four California gateways to Aloha! For the latest Hawaii travel guidelines, check out swa.is/hawaii20.'",0,0,8736,114,,,
CHGySM5obsu,southwestair,2020-11-02 23:00:15.000000,no,False,b'',b'aus.planespotter',b'Taking off from the rolling hills of Austin. (@aus.planespotter)',0,0,6394,44,,,
CG8YPtyBpmi,southwestair,2020-10-29 22:00:16.000000,no,False,b'',b'mykingdomphotography',"b""Seriously though, who doesn't? (@mykingdomphotography)""",0,0,9329,151,,,
CG56UBoIu5q,southwestair,2020-10-28 23:00:17.000000,no,False,b'',b'thecatalystmachine',b'This edit is :fire: (@thecatalystmachine)',0,0,7433,73,,,
CG3VhHZI1Er,southwestair,2020-10-27 23:00:17.000000,no,False,b'',b'stephmerillat',"b""Clear skies, blue plane, can't lose. That's how it goes right? (@stephmerillat)""",0,0,6167,91,,,
CG0p2oCnXIy,southwestair,2020-10-26 22:00:12.000000,no,False,b'',b'kslc_nick',"b""It's been nearly twenty years since the desert gold was our primary livery. Tag a friend to make them feel old. (photo: @kslc_nick)""",0,0,10396,300,,,
CGivKLIIH3-,southwestair,2020-10-19 23:00:18.000000,no,False,b'',b'kellercam',b'Name that airport using only emojis. (@kellercam)',0,0,8214,501,,,
CGOIzNpoFZp,southwestair,2020-10-11 23:00:18.000000,no,False,b'',b'kellercam',"b'Last week, we launched international service from PHX, with our return to service in Puerto Vallarta! (@kellercam)'",0,0,8302,1940,,,
CGLdI02Cdnz,southwestair,2020-10-10 22:00:17.000000,no,False,b'',b'me_and_hou',b'Let us take you under our wing. (@me_and_hou)',0,0,7162,381,,,
CGBJ9P3Iers,southwestair,2020-10-06 22:00:16.000000,no,False,b'winglettuesday',b'kiah.papacharlie.aviation',"b'Winglet on a Tuesday. Got a problem with that? Sorry, we literally make the rules. #WingletTuesday (@kiah.papacharlie.aviation)'",0,0,5852,370,,,
CF-lKdKoeeC,southwestair,2020-10-05 22:00:17.000000,no,False,b'',b'mykingdomphotography',b'Literally just vibing in San Diego. (@mykingdomphotography)',0,0,10480,145,,,
CF8AXYPIbxI,southwestair,2020-10-04 22:00:15.000000,no,False,b'',b'just.wolf.353.planes',b'California One departing PHX. :bear_face::sun_selector::cactus: (@just.wolf.353.planes)',0,0,6902,97,,,
CF5bki3jIYq,southwestair,2020-10-03 22:00:13.000000,no,False,b'',b'unnakedeye',"b'The sky getting in on the spooky season spirit, you just love to see it. (@unnakedeye)'",0,0,6236,69,,,
CF2wfRZFqBK,southwestair,2020-10-02 21:05:08.000000,no,False,b'southwestheart',b'',"b'At Southwest, we have a decades-long history of lending a helping hand to communities across the country during times of need. This week, we put our Hearts into action and brought much-needed relief to the first responders battling the California Wildfires. #SouthwestHeart'",0,0,7854,154,,,
