shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CITegTdgWuT,splunk,2020-12-02 17:49:01.000000,yes,False,"b'bestworkplaces,splunklife,greatplacetoparent'",b'gptw_us',"b""A mid-week pick-me-up? This should do the trick. We couldn't be happier to be named one of the #BestWorkplaces for Parents by @gptw_us for the second year in a row. In the midst of this year's challenges, we've found new ways to support Splunkers and their families, and have been impressed by how they've shown up in creative ways at work and at home. So today we say, cheers to all of you - and to our Little Splunkers, too! #splunklife #GreatPlacetoParent""",1474,35.6,167,6,,,
CIO5f8sAG-p,splunk,2020-11-30 23:08:26.000000,no,False,"b'veteransmonth,splunklife'",b'',"b'Like the cherry on top of a sundae \xe2\x80\x93\xc2\xa0or in this case, the candles on a cake \xe2\x80\x93\xc2\xa0we\xe2\x80\x99re bidding adieu to #VeteransMonth with one last celebration. To honor the veterans in our Splunk family, we adopted the U.S. Marine Corps\xe2\x80\x99\xc2\xa0birthday cake tradition and added a Splunky little twist, sending celebratory cakes to the longest-tenured and newest Splunk veterans as a reminder that in the best times and in the worst times, we\xe2\x80\x99re all united by the same core values and mission. Take a look at how Splunkers Tim Foley and Bill Bryant celebrated at home. #splunklife'",0,0,113,0,,,
CIBlGvJlfpH,splunk,2020-11-25 19:00:14.000000,no,False,"b'veteransmonth,splunklife'",b'',"b""Who served in both the British and Australian armed services, is an experienced technology and sales professional, *and* is a guest lecturer at Le Cordon Bleu? Well, that'd be Sydney-based Splunker Neil Gow. Yep, really - he's a man of many talents, and we're thrilled to have the opportunity to celebrate him and all of the Splunkers who have served all #VeteransMonth long. #splunklife""",0,0,106,7,,,
CH1G_mhB2Ce,splunk,2020-11-20 22:46:15.000000,no,False,"b'publicsector,veteransmonth,splunklife'",b'',"b""A native of New York (City, that is) and first-generation American with deep roots in the island of Grenada, Splunker Neal Andrew had a rich 15-year career in the US Marine Corps, during which he served in six worldwide deployments and was honored with a Purple Heart. He went on to serve the #PublicSector in a civilian role for a decade, and now is a Global Account Manager for the US Navy and US Marines accounts here at Splunk. Thank you, Neal - we're proud to have you on our team! #VeteransMonth #splunklife""",0,0,150,0,,,
CHv4kDAAU4t,splunk,2020-11-18 22:03:47.000000,no,False,"b'splunktern,splunklife'",b'yearup',"b'Did you know that we have year-round Splunkterns? That\xe2\x80\x99s right - this fall, we\xe2\x80\x99ve got 45+ interns across all areas of our organization, like Cinthia Salazar, Early Career Talent Operations #Splunktern and @yearup student. Check out what she had to say about her Splunky experience so far above.\n\nInterested in joining our team? Well then, head on over to splk.it/careers to learn all about #splunklife.'",0,0,201,2,,,
CHtOMECls7A,splunk,2020-11-17 21:15:10.000000,no,False,"b'veteransmonth,splunklife'",b'',"b""Before becoming a Splunker, Chris Wilson had an impressive 23-year career in the U.S. Air Force, where he worked his way up to Master Sergeant and served as an Intelligence Analyst and Military Advisor all over the world. He found his way to our team through a Veteran internship program, and here's what he had to say about his 'Vet-tern' experience: \xe2\x80\x9cI feel very fortunate that I was given the opportunity for an internship at Splunk. Having a community of Veterans that understands the struggles you are going through really helped with my transition to the civilian workplace. At times it was very difficult, Splunk only hires the very best people so the standards are high with a steep learning curve. Fortunately, everyone is supportive and generous with their knowledge. It\xe2\x80\x99s a great place to work and I couldn\xe2\x80\x99t be happier.\xe2\x80\x9d #VeteransMonth #splunklife""",0,0,120,4,,,
CHgVvF3nWCJ,splunk,2020-11-12 21:11:00.000000,no,False,b'veteransmonth',b'boozallen',"b'A retired four-star U.S. Army General, Executive Vice President at @BoozAllen, and now the newest member of our Board of Directors. Please join us in extending Dennis Via a very warm welcome as he brings his over 40 years of military, technology and public sector leadership experience to Splunk. The thing he\xe2\x80\x99s most looking forward to? \xe2\x80\x9cSupporting the company\xe2\x80\x99s vision of creating lasting data outcomes for their customers.\xe2\x80\x9d Welcome, Dennis \xe2\x80\x93 we\xe2\x80\x99re lucky to have you! #VeteransMonth'",0,0,151,0,,,
CHdUQZyFyEd,splunk,2020-11-11 17:00:20.000000,no,False,"b'veteransday,veteransmonth,splunklife'",b'',"b'This #VeteransDay, we\'re celebrating the nearly 80 Splunkers who have selflessly served in the armed forces.\n\nAmong them is Splunker Shanikqua Tucker \xe2\x80\x93 while in the U.S. Army Reserves, she served as an Intelligence Analyst and assisted command posts across the east coast, and now at Splunk, she works as a Senior Solutions Engineer for the U.S. Army account. Pretty cool, right? Even cooler is Shanikqua\'s commitment to creating communities within the workplace, and she\'s known to give impromptu motivational speeches to her mentees and teammates about leadership, self-care...you name it. So, with that, we\'ll leave you with her personal motto: ""May your actions speak louder than your words!"" #VeteransMonth #splunklife'",0,0,141,2,,,
CHYrRtfl0yo,splunk,2020-11-09 21:45:17.000000,no,False,"b'veteransmonth,womenintech,splunklife'",b'',"b""We say, why limit honoring our military veterans and reservists to just one day? That's right \xe2\x80\x93 we're embracing the opportunity to acknowledge the role veterans play in our global community and within our Splunk family, all #VeteransMonth long.\n\nThis year, we're kicking things off by spotlighting SLED Sales Engineer and Coast Guardsman, Mandy Pearson. Before joining our team, she worked as a Marine Science Technician in the Coast Guard, investigating oil spills and inspecting oil refineries and foreign freight ships for eight years. Eventually, her passion for tech shifted her course and led her to meet a few Splunkers at a #WomenInTech event in Atlanta. And, as they say, the rest is history! We're proud to have you on our team, Mandy. #splunklife""",0,0,106,3,,,
CHIwKibg6ol,splunk,2020-11-03 17:20:01.000000,no,False,b'vote',b'',"b'It\xe2\x80\x99s about that time \xe2\x80\x93 yep, that\xe2\x80\x99s right, it\xe2\x80\x99s time to #vote. We\xe2\x80\x99re proud to see Splunkers around the world showing up with their family and friends to make sure their voices are heard. Here are just a few reasons why voting matters to our team:\n\n\xe2\x80\x9cI remember going to the polls with my mother as a child, and she instilled the importance of voting in me at a young age. Now I encourage all my peers to vote in every election, not just the big ones. Your vote matters, you matter.\xe2\x80\x9d - Aminah McKinnie\n\n\xe2\x80\x9cIt has never been more important to express your opinion and make your voice heard by voting. President Barack Obama said it best: \xe2\x80\x99There\xe2\x80\x99s no such thing as a vote that doesn\xe2\x80\x99t matter. It all matters.\xe2\x80\x99\xe2\x80\x9d \xe2\x80\x93 Lucas Mast\n\n\xe2\x80\x9cVoting doesn\xe2\x80\x99t cost a thing and I know my vote matters. My husband and I have been voting together for every single election since we first started dating almost 13 years ago.\xe2\x80\x9d \xe2\x80\x93 Candace Raleigh'",0,0,193,1,,,
