shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CHs4DGEA6_d,sprint,2020-11-17 18:02:21.000000,yes,False,b'tvision',b'',b'The Cableopoly has held TV hostage long enough. #TVision Live TV gives you live news and sports without all the fees and annual contracts. Just $40/mo!',1552,48.344,134,222,,,
CGr5B-cBc05,sprint,2020-10-23 12:19:31.000000,no,False,b'',b'',b'It\xe2\x80\x99s finally here! The epic iPhone 12 Pro on the 5G network built for this moment is now available. Experience our upgraded network at no additional cost.',0,0,867,418,,,
CDb0wtOFySL,sprint,2020-08-03 17:00:12.000000,no,False,b'',b'tmobile',"b'You\xe2\x80\x99re gonna love our new look! With Sprint and @TMobile joining forces, you\xe2\x80\x99ll now have more than 7,500 retail locations to better serve you. More information at link in bio.'",0,0,760,1211,,,
CDbuHOlnKXH,sprint,2020-08-03 16:02:07.000000,no,False,b'tmobiletuesdays',"b'mlbnetwork,theathletichq'",b'Get this one before it goes over the fence.\n \nToday is your last chance to get FREE @mlbnetwork and a 1-year subscription to @theathletichq via #TMobileTuesdays. Go here: https://www.t-mobile.com/mlb',0,0,279,107,,,
CDbgKMTFu0V,sprint,2020-08-03 14:00:11.000000,no,False,b'',b'tmobile',"b'@TMobile and Sprint have merged, which means you\xe2\x80\x99re getting expanded network coverage and other free perks with T-Mobile Tuesdays! More information at link in bio.'",0,0,1152,350,,,
CDZP9vZFsHS,sprint,2020-08-02 17:00:12.000000,no,False,b'',b'tmobile',"b'You\xe2\x80\x99re gonna love our new look! Starting 8/2, your Sprint store is changing over to @TMobile. You\xe2\x80\x99ll now have more than 7,500 retail locations to better serve you.'",0,0,1005,196,,,
CDY3AjAjcq9,sprint,2020-08-02 13:22:19.000000,yes,False,b'',b'tmobile',"b'@TMobile and Sprint have merged, which means you\xe2\x80\x99re getting expanded network coverage and other free perks with T-Mobile Tuesdays! More information at link in bio.'",3945,32.8,379,97,,,
CDBwOJMlVaD,sprint,2020-07-24 14:00:17.000000,no,False,b'',b'tmobile',"b'More perks from @TMobile! Now that T-Mobile and Sprint have merged, we\xe2\x80\x99re giving you FREE scam protection including Caller ID! Visit sprint.com/scamprotection to get started.'",0,0,345,294,,,
CC6QHzHlzUS,sprint,2020-07-21 16:05:07.000000,no,False,b'tmobiletuesdays',"b'tmobile,mlbnetwork,theathletichq'","b'We knocked this one out of the park! :anger_symbol::baseball:\n \nNow that we\xe2\x80\x99ve merged with @TMobile, you can score FREE @mlbnetwork + a FREE 1-year subscription to @theathletichq!\n \nGet yours in the #TMobileTuesdays app, now through August 3rd. https://www.t-mobile.com/mlb'",0,0,227,131,,,
CCv3HeTlWre,sprint,2020-07-17 15:14:13.000000,no,False,b'tmobiletuesdays',"b'mlbnetwork,theathletichq'","b'BASEBALL IS BACK! And now that Sprint and T-Mobile have merged, we have your ticket to the game.\nWith #TMobileTuesdays you can score FREE @mlbnetwork AND a 1-year subscription to @theathletichq!\n \nCheck the app on July 21st.'",0,0,260,119,,,
CCYjgDlDqoh,sprint,2020-07-08 14:00:21.000000,yes,False,b'',b'tmobile',"b'Sprint has joined forces with @tmobile, and together that means more towers, more engineers, and more coverage from coast to coast. Learn more at sprint.com/merger'",3788,31.966,245,264,,,
CCO5gbJjQeH,sprint,2020-07-04 20:00:09.000000,no,False,b'',b'',b'Wishing everyone a spectacular 4th of July!',0,0,336,78,,,
CCO5gbJjQeH,sprint,2020-07-04 20:00:09.000000,no,False,b'',b'',b'Wishing everyone a spectacular 4th of July!',0,0,336,78,,,
CCOXOmsjqT_,sprint,2020-07-04 15:00:41.000000,yes,False,b'',b'',b'Wishing everyone a spectacular 4th of July!',3614,10.0,494,54,,,
CByPkdvhIM2,sprint,2020-06-23 16:55:59.000000,yes,False,"b'getthanked,tmobiletuesdays'",b'',"b'It\xe2\x80\x99s here - #GetThanked every week with free stuff and great deals, just for being a Sprint customer. Download the #TMobileTuesdays app to get started today! Link to download the app in bio.'",3473,40.9,217,176,,,
CBx8tLKBQ6V,sprint,2020-06-23 14:10:20.000000,yes,False,"b'getthanked,tmobiletuesdays'",b'',"b'It\xe2\x80\x99s here - #GetThanked every week with free stuff and great deals, just for being a Sprint customer. Download the #TMobileTuesdays app to get started today! Link to download the app in bio.'",3854,6.0,362,100,,,
CBs42l2gcds,sprint,2020-06-21 15:00:18.000000,yes,False,b'',b'',"b'Worst jokes ever, best father of all time. Happy Father\xe2\x80\x99s Day from Sprint :red_heart_selector:'",2362,7.966,205,71,,,
CBocgmTBgSA,sprint,2020-06-19 21:36:09.000000,yes,False,"b'getthanked,tmobiletuesdays'",b'',"b'#GetThanked every week with free stuff and great deals, just for being a Sprint customer. Download the #TMobileTuesdays app to get started today! Link to download the app in bio.'",3740,39.166,285,57,,,
CBk4UU7BavW,sprint,2020-06-18 12:22:32.000000,yes,False,"b'getthanked,tmobiletuesdays'",b'',"b'#GetThanked every week with free stuff and great deals, just for being a Sprint customer. Download the #TMobileTuesdays app to get started today! Link to download the app in bio.'",7421,7.0,638,101,,,
CA74s3ShlO3,sprint,2020-06-02 14:16:07.000000,no,False,b'blackouttuesday',b'',b'#blackouttuesday',0,0,1058,362,,,
CA0z1keB5ho,sprint,2020-05-30 20:18:56.000000,no,False,b'',b'',"b'Racism, hatred, inequality must have no place in our world. Every person has the right to feel safe, seen and heard.'",0,0,967,177,,,
CAs8dNpJC77,sprint,2020-05-27 19:00:25.000000,yes,False,b'',b'',b'Sprint has joined the T-Mobile family and that means a supercharged network for you!',6944,15.0,451,173,,,
CAsg-BOlVLY,sprint,2020-05-27 15:00:10.000000,no,False,b'mysprintrewards',b'circlek',b'Hey Sprint customers! Quench your thirst with a FREE large Polar Pop from @CircleK with #MySprintRewards',0,0,262,69,,,
CAoAmNsAYNU,sprint,2020-05-25 21:00:22.000000,yes,False,b'memorialday',b'',"b'Each day we give thanks for our brave men and women in the armed forces, and today we remember those who have sacrificed for our country. #MemorialDay'",2355,8.0,261,52,,,
CAnokbZjC9Y,sprint,2020-05-25 17:30:24.000000,yes,False,b'memorialday',b'',b'We are grateful for the service and sacrifice of our heroes. #MemorialDay',1734,7.966,264,15,,,
CAnQikLjcby,sprint,2020-05-25 14:00:26.000000,yes,False,b'memorialday',b'',b'This #MemorialDay take a moment to remember and give thanks for those who made the ultimate sacrifice to protect our freedom.',3440,8.0,462,43,,,
CAfiJC2ldyA,sprint,2020-05-22 14:00:20.000000,yes,False,b'',b'tmobile',b'Sprint has joined the @TMobile family and that means a supercharged network for you!',2491,15.0,213,66,,,
