shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIOwZOBgPZc,stanleyblackdecker,2020-11-30 21:49:08.000000,yes,False,"b'forthosewhomaketheworld,togetherwearemore'",b'',"b'From DEWALT wedding cakes to CRAFTSMAN tattoos, our customers find unique ways to share their passion for our brands. That\xe2\x80\x99s why Rusty Walters, our Marketing Technology director, works to ensure our customers experiences are top-notch at every turn. Link in bio to watch the full story. #ForThoseWhoMaketheWorld #TogetherWeAreMore'",315,60.013,37,2,,,
CIDvRUnJW4J,stanleyblackdecker,2020-11-26 15:07:36.000000,yes,False,"b'forthosewhomaketheworld,togetherwearemore,forceforgood'",b'',b'Giving thanks this week and every week for those who are a force for good in this world. #ForThoseWhoMakeTheWorld #TogetherWeAreMore #ForceForGood',339,12.039,52,0,,,
CH0QhFFpb3a,stanleyblackdecker,2020-11-20 14:50:56.000000,yes,False,"b'forthosewhomaketheworld,togetherwearemore'",b'',"b""Personal growth is just as important as growing professionally. That's why Eric, one of our program managers, makes time to step outside of his comfort zone and encourages others to follow his lead. #ForThoseWhoMakeTheWorld #TogetherWeAreMore""",308,49.886,38,0,,,
CHk8j3VAXiw,stanleyblackdecker,2020-11-14 16:07:06.000000,no,False,"b'diwali,forthosewhomaketheworld,togetherwearemore'",b'',"b""Happy #Diwali! Our Asian Heritage employee resource group is bringing employees together to learn more about Indian culture through virtual classes. From cooking classes to Diya decorating, there's something for everyone! #ForThoseWhoMakeTheWorld #togetherwearemore""",0,0,65,2,,,
CHgD0JCpeZX,stanleyblackdecker,2020-11-12 18:34:41.000000,yes,False,"b'equaleverywhere,forthosewhomaketheworld,togetherwearemore'",b'',"b'""Be proud of who you are and pursue what matters to you."" Learn what #EqualEverywhere means to Anne, Director of Indirect Sourcing at Stanley Black & Decker. #ForThoseWhoMakeTheWorld #togetherwearemore'",303,57.433,37,0,,,
CHdbxbChpYv,stanleyblackdecker,2020-11-11 18:05:56.000000,no,False,"b'forthosewhomaketheworld,togetherwearemore,veteransday'",b'wreathsacross',"b'Honoring those who serve \xe2\x80\x93 for the third year, our Veteran\xe2\x80\x99s & Allies employee resource group is partnering with @WreathsAcross to thank active military members and remember with gratitude those who have served. In addition to employees volunteering their time, we will be providing a 200% match of all employee charitable contributions through end of year.  #ForThoseWhoMakeTheWorld #TogetherWeAreMore #VeteransDay'",0,0,82,2,,,
CG-HdAsJ6O8,stanleyblackdecker,2020-10-30 14:11:53.000000,no,False,"b'forthosewhomaketheworld,empowermakers,makermonth,makerproud'",b'gomake48',"b'Season 4 of @gomake48 is now available! The nationwide, invention-competition docuseries is back with a brand-new season on Access Public Television and PBS. Check your local listings and tune in for the exciting 48-hour battle! Link in bio. #ForThoseWhoMakeTheWorld #EmpowerMakers #MakerMonth #makerproud'",0,0,45,3,,,
CG7s_9jpR_H,stanleyblackdecker,2020-10-29 15:42:55.000000,yes,False,"b'forthosewhomaketheworld,togetherwearemore'",b'',"b'Being a mom of two daughters and a successful tools product manager, Cindy knows how important - and sometimes challenging - it is to find balance. As a chair of our Working Parents Network, she has an extended family to lean on at work. Learn more > https://bit.ly/31QS7nu #ForThoseWhoMakeTheWorld #TogetherWeAreMore'",271,43.906,51,1,,,
CG0Kg8cJRHW,stanleyblackdecker,2020-10-26 17:26:13.000000,no,False,"b'makermonth,forthosewhomaketheworld,empowermakers'",b'',"b""Only 32% of high school students reported trade school education was encouraged as a potential opportunity. During #MakerMonth, we're highlighting the importance of developing skilled professionals in the trades. Take a look at these inspirational tradespeople and learn more. Link in bio. #ForThoseWhoMakeTheWorld #EmpowerMakers""",0,0,69,6,,,
CGiNi1YJSaY,stanleyblackdecker,2020-10-19 18:06:22.000000,no,False,"b'forthosewhomaketheworld,empowermakers,makerproud'",b'',b'Where can the trades lead you? See how these makers turned their passions into a variety of purpose-driven careers. Link in bio. #ForThoseWhoMakeTheWorld #EmpowerMakers #MakerProud',0,0,129,7,,,
CGYC6XCpLxB,stanleyblackdecker,2020-10-15 19:24:02.000000,yes,False,"b'forthosewhomaketheworld,togetherwearemore'",b'',b'Qadira is one of our data insights gurus whose passion also extends to her personal purpose: helping others in her local community. Link in bio to watch the full story. #ForThoseWhoMaketheWorld #togetherwearemore',246,57.35,35,1,,,
CGTEkfBF5U5,stanleyblackdecker,2020-10-13 21:00:29.000000,yes,False,"b'forthosewhomaketheworld,teamcraftsman'","b'cmnhospitals,acehardware,joegibbsracing'","b""For the last 14 years, the Racing for a Miracle program has supported @cmnhospitals with the help of the @acehardware Foundation and @JoeGibbsRacing. We couldn't create this experience for the kids without our wonderful partners' support. Check out these unforgettable moments! Learn more about the cause. Link in bio. #ForThoseWhoMakeTheWorld #teamcraftsman""",155,124.433,30,0,,,
