shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIDvJuNldud,swisscom,2020-11-26 15:06:22.000000,no,False,"b'jbl,jblgo2,instamusic,switzerland,geneva'",b'jblaudio',b'Take your music with you - wherever you go. :musical_notes:\n\n@jblaudio #jbl #jblgo2 #instamusic #switzerland #geneva',0,0,305,3,,"b'Geneva, Switzerland'",46.2 6.15
CH8FPHJFNLf,swisscom,2020-11-23 15:45:25.000000,no,False,"b'cablemanagement,hardware,networktesting,cableporn'",b'',b'Catch a glimpse of our test laboratory :rainbow: The hardware is used for testing the mobile phone coverage. #cablemanagement #hardware #networktesting #cableporn',0,0,366,9,,b'Bern',46.947962 7.44745
CHhvmOVFuod,swisscom,2020-11-13 10:16:05.000000,no,False,"b'pumpkincarving,spookyseason,logoart'",b'',"b""Happy Friday the 13th! We're still celebrating the spooky season. :jack-o-lantern:\n\nSwipe to the right to see it at night. \n\n#pumpkincarving #spookyseason #logoart""",0,0,478,5,,b'Switzerland',46.798562 8.231973
CHc_YwlFbTa,swisscom,2020-11-11 13:57:51.000000,no,False,"b'opporeno4z,opporeno4pro,smartphonephotography'",b'opposwitzerland',b'Our apprentice Silas is looking for colours on this cloudy day while testing the new smartphones by @opposwitzerland :fallen_leaf: \n\n#opporeno4z #opporeno4pro #smartphonephotography',0,0,462,24,,b'Bern',46.947962 7.44745
CHH32VHF0Tm,swisscom,2020-11-03 09:07:56.000000,no,False,"b'jassfederal,onlinelocal,distancejass'",b'',"b'Would you rather stay at home, but still miss playing Jass with your friends at your local? On the new Jass F\xc3\xa9d\xc3\xa9ral platform, you and your friends can get together via video to enjoy a round of Jass, chat and hatch the perfect strategy. \n\n#jassfederal #onlinelocal #distancejass\n\njassfederal.ch'",0,0,267,10,,,
CGrnZaalyHw,swisscom,2020-10-23 09:45:26.000000,no,False,"b'digitaldetox,innerpeace,metime'",b'',b'Let a smile be your umbrella on a rainy day :umbrella_with_rain_drops::smiling_face_with_smiling_eyes:\n#digitaldetox #innerpeace #metime',0,0,379,8,,b'Switzerland',46.798562 8.231973
CGhisyLFXj4,swisscom,2020-10-19 11:51:59.000000,no,False,"b'swissski,ski,skiracing,switzerland,worldcup'","b'swissskiteam,wendyholdener'",b'Our ski athletes are back at it again :blue_heart: What a great performance of @swissskiteam! Swisscom has been supporting our ski athletes as main sponsor since 2001.\nBy the way: Join @wendyholdener and watch the ski races on Swisscom blue TV.\n\n#swissski #ski #skiracing #switzerland #worldcup',0,0,2723,5,,,
CGAXICXF88N,swisscom,2020-10-06 14:35:55.000000,no,False,"b'galaxynote20,samsung,characterdrawing,digitalart'","b'palefox.drawings,samsungswitzerland'",b'You never know when inspiration might strike. Sketch on the go with the new\n#GalaxyNote20\xc2\xa0Ultra 5G\xc2\xa0:artist_palette:\n\n@palefox.drawings @samsungswitzerland\xc2\xa0 #samsung #characterdrawing #digitalart',0,0,648,6,,b'Bern',46.947962 7.44745
CFfFVZPlEHp,swisscom,2020-09-23 16:25:31.000000,no,False,b'entertainment',"b'guelsha,swisscom.blueentertainment,swisscom.bluesport'","b'Blue is here\xc2\xa0:blue_heart:...but first let me take a selfie (@guelsha ).\n\nBlue is our new entertainment experience that brings together Swisscom TV, Teleclub and Kitag Cinemas.\n\n@swisscom.blueentertainment\n@swisscom.bluesport\n#entertainment'",0,0,621,8,,,
CE_NDQ0F3Pq,swisscom,2020-09-11 07:17:14.000000,no,False,"b'huawei,freebuds3'",b'',"b'Sometimes, music is all you need :musical_note: Do you prefer wired or wireless headphones?\n#Huawei #freebuds3'",0,0,829,6,,"b'Z\xc3\xbcrich, Switzerland'",47.3846 8.5316
CE1p5J1FFOH,swisscom,2020-09-07 14:16:52.000000,no,False,"b'selfiehotel,tiktok,iloveswitzerland'",b'imsamiloft',b'You might know our apprentice Sami @imsamiloft from our TikTok account :thinking_face:\n\n#selfiehotel #tiktok #iloveswitzerland',0,0,815,7,,b'25hours Hotel Langstrasse',47.3803690059 8.5285932359
CDeKWP-FvBe,swisscom,2020-08-04 14:47:17.000000,no,False,"b'jbl,music,relax,switzerland'",b'justin.egli',"b'Swisscom apprentice Justin @justin.egli can work from anywhere, as long as he has his laptop, calming music and a coffee right next to him :hot_beverage:\n#jbl #music #relax #switzerland'",0,0,1656,2,,"b'Z\xc3\xbcrich, Switzerland'",47.3846 8.5316
