shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYkx78ADt1,target,2020-12-04 17:19:47.000000,no,False,b'',b'',"b""Baking spirits bright. :red_heart_selector: Sweeten a friend's holiday by gifting thoughtfully-wrapped, festive surprises.""",0,0,14177,149,,,
CIWVyrZgoiD,target,2020-12-03 20:30:41.000000,yes,False,"b'targetpjdance,targetpjdance'","b'bdash_2,therealmaryjblige,target'","b'Put on your matching pjs and do the #TargetPJDance at home, with fam or roomies, for a chance to win a $500 Target GiftCard!\n\nHow to enter:\n\xe2\x88\x99 Learn the dance by @bdash_2 or do your own\n\xe2\x88\x99 Move to ""Real Love"" by @therealmaryjblige\n\xe2\x88\x99 Tag @target\n\xe2\x88\x99 Post to Reels using #TargetPJDance\n\nEnter by Dec. 27. 5 winners will be randomly selected. Link in bio for official rules.'",384727,29.658,27905,637,,,
CITzhukAFeK,target,2020-12-02 20:52:38.000000,yes,False,b'',b'',"b""You're Santa's favorite, we just know it.""",365229,8.971,13823,1493,,,
CIRXGNMAoMK,target,2020-12-01 22:05:32.000000,no,False,b'',b'glographics',"b""Meet @glographics, a voice continually inspiring us. We've partnered with Glo to share her perspective on ways to listen, learn and do the ongoing work of becoming an Ally to the Black community. \n\n:brown_heart:: Do your kids own Black dolls?""",0,0,62331,3019,,,
CIN6lwZA8Dz,target,2020-11-30 13:58:43.000000,no,False,b'cybermonday',b'',"b'This morning, I\xe2\x80\x99m 65% caffeine and 35% shopping adrenaline. Shop our #CyberMonday deals via link in bio.:sparkles:'",0,0,37323,361,,,
CILRQfLgNHZ,target,2020-11-29 13:19:14.000000,yes,False,b'',b'',"b'Cyber Monday deals start today! Save on kitchen appliances, electronics, clothing & more. Sunday & Monday only, at Target.com.'",59996,10.038,3136,107,,,
CID14_cAuCV,target,2020-11-26 16:05:15.000000,no,False,b'',b'',b'Thinking of you. :red_heart_selector:',0,0,9026,114,,,
CIBVI_hAxVP,target,2020-11-25 16:40:35.000000,no,False,b'',b'',b'Nobody puts gravy in the corner!',0,0,38753,910,,,
CH_ZNZ2A1w1,target,2020-11-24 22:37:40.000000,no,False,b'',b'em_henderson',"b'Greens, golds and glitter, oh my! Tap the link in bio to discover more affordable, festive finds. :sparkles: @em_henderson'",0,0,37717,170,,,
CH8onwYATPh,target,2020-11-23 20:54:37.000000,no,False,b'alwaystakingcare',b'',"b""We're making the shopping experience even safer and easier for our team and guests this holiday season. :red_heart: Take a look at our latest safety measures and our contact-free same-day pickup & delivery services via link in bio. #AlwaysTakingCare""",0,0,35900,224,,,
CH2_mlXAuU6,target,2020-11-21 16:19:59.000000,no,False,b'',b'alysonsorrentinoart',b'Stay cozy. :sparkles: \n\nSlippers via link in bio. :camera:: @alysonsorrentinoart',0,0,4119,49,,,
CH0dANJAd4l,target,2020-11-20 16:39:10.000000,no,False,b'',b'',b'Meow.',0,0,177671,1899,,,
CHyeCZfg4qF,target,2020-11-19 22:09:44.000000,no,False,b'goodandgather',b'',"b'Granola, our fave pie topping twist. :pie: Choose your fighter: Pumpkin Spice or Apple Streusel? #GoodandGather'",0,0,5717,87,,,
CHvw5MBgIsj,target,2020-11-18 20:56:46.000000,no,False,b'',b'',b'*Posts while eating a croissant*',0,0,118498,1680,,,
CHtTGPAgFEL,target,2020-11-17 21:57:56.000000,no,False,b'',b'',"b'A touch of merry and a dash of bright. With a few festive swaps, any space can be holiday ready. :sparkles:'",0,0,61079,250,,,
CHk_Hpmgx24,target,2020-11-14 16:29:46.000000,yes,False,b'',b'',"b'\xe2\x80\x9cI\xe2\x80\x99m super blessed to have the team that I have. We continue to adapt each and every day\xe2\x80\x9d Meet Vianna, a leader in Temecula, California and learn what \xe2\x80\x9cAlways Taking Care\xe2\x80\x9d means for her and her team.'",101449,29.991,6156,188,,,
CHgXOpcB7W2,target,2020-11-12 21:24:20.000000,yes,False,b'',b'',"b""And yes, you can say it's us. :face_blowing_a_kiss:""",173506,7.969,6794,711,,,
CHdz1GagugI,target,2020-11-11 21:36:06.000000,no,False,b'goodandgather',b'hellolisalin',b'Upgrade your ramen at home with ready-to-sip broth that soothes the soul. Swipe for the ultimate noodle pull & recipe from @hellolisalin. :smiling_face_with_heart-eyes: #GoodAndGather',0,0,10465,489,,,
CHbLfq5gvMz,target,2020-11-10 21:05:10.000000,no,False,b'',b'',b'No one: \nAbsolutely no one:\nMe:',0,0,79196,1001,,,
CHYuMf0ASMK,target,2020-11-09 22:10:40.000000,no,False,b'',b'',"b"":Christmas_tree:: Decorating before Thanksgiving.\xe2\x81\xa3\n:turkey:: Decorating after Thanksgiving.\xe2\x81\xa3\nWe'll go first: :Christmas_tree::Christmas_tree::Christmas_tree::Christmas_tree::Christmas_tree:""",0,0,32872,612,,,
CHDdt-6gT9-,target,2020-11-01 16:05:25.000000,yes,False,b'letstarget',"b'jtfirstman,keke'","b'@jtfirstman impressions: Target edition. Head to the link in our bio to watch the full episode with Jordan and @keke tie-dyeing, clacking, and working the runway. #LetsTarget'",56728,48.011,2312,228,,,
CHBL7Xqg2nl,target,2020-10-31 18:48:42.000000,no,False,b'',b'target',b'Happy Halloween! Did we see you on Boo Avenue? Share your Halloween looks by tagging @target! :ghost: :jack-o-lantern:',0,0,8979,207,,,
CG-o9-YgH-S,target,2020-10-30 19:06:03.000000,yes,False,b'',b'',"b""Howard grad, artist, and one of Target's HBCU Design Challenge Winners. The design challenge was created to recognize rising art students and empower their imaginations. Winning designs like Aisha's will be featured in our 2021 Black History Month collection, launching in January! https://tgt.biz/uuttr""",34598,137.419,2192,45,,,
CG8MGl1AMln,target,2020-10-29 20:14:01.000000,no,False,"b'nationalcatday,targetpets'",b'',"b""If I fits, you know I'm going to sits. Happy #NationalCatDay! Tag #TargetPets so we can share your photos of your furry friends! :smiling_cat_face_with_heart-eyes:""",0,0,9122,135,,,
