shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIOPZhLFscJ,tcl_usa,2020-11-30 17:00:35.000000,no,False,b'enjoytcl',b'',b'More exciting updates added to your TCL Roku TV! Apple AirPlay and HomeKit are now available on 4K TCL Roku TVs. #EnjoyTCL',0,0,215,12,,,
CIGhGaDlmT-,tcl_usa,2020-11-27 17:01:20.000000,no,False,"b'blackfriday,enjoytcl'",b'',"b""In-store or online... who's shopping all the #blackfriday deals today?! #EnjoyTCL :wrapped_gift: :television:""",0,0,325,22,,,
CIDwKRrFthr,tcl_usa,2020-11-26 15:15:13.000000,no,False,"b'thanksgiving,enjoytcl'",b'',b'What will you be watching this #Thanksgiving day? :turkey: :television: #EnjoyTCL',0,0,152,4,,,
CH85vA-B-rY,tcl_usa,2020-11-23 23:24:09.000000,no,False,b'tcltip',b'',"b""Did you know you can set your TCL Roku TV to turn on to a specific input. #TCLTip \nHere's how: :backhand_index_pointing_right:""",0,0,61,10,,,
CH1ObYgl56V,tcl_usa,2020-11-20 23:51:05.000000,no,False,"b'blackopscoldwar,enjoytcl'",b'',"b""What's your weapon of choice? :fire: #BlackOpsColdWar #EnjoyTCL""",0,0,142,9,,,
CHwEfzQF4q3,tcl_usa,2020-11-18 23:48:07.000000,no,False,"b'enjoytcl,blackopscoldwar'",b'',b'Now Playing :video_game: Call of Duty: Black Ops Cold War on the 6-Series :television: with THX Certified Game Mode. Learn more about THX on our blog (link in bio) #EnjoyTCL #BlackOpsColdWar',0,0,172,3,,,
CHq9ic_lNzP,tcl_usa,2020-11-17 00:11:06.000000,no,False,"b'tclenjoy,callofduty'",b'callofduty',"b""The new Call of Duty: Black Ops Cold War has landed. Who's psyched to play on their TCL TV? The official TV of @callofduty. #TCLEnjoy #CallofDuty""",0,0,314,12,,,
CHq9ic_lNzP,tcl_usa,2020-11-17 00:11:06.000000,no,False,"b'tclenjoy,callofduty'",b'callofduty',"b""The new Call of Duty: Black Ops Cold War has landed. Who's psyched to play on their TCL TV? The official TV of @callofduty. #TCLEnjoy #CallofDuty""",0,0,314,12,,,
CHk70z2Fnp7,tcl_usa,2020-11-14 16:00:41.000000,no,False,"b'tclcares,americarecyclesday'",b'',"b'Today is America Recycles Day and we are doing our part to help people recycle their old electronics with our first ever, TCL Take-Back Tour! Visit our Sustainability page (link in bio) with an interactive map to help find the closest electronic recycling solution to you. #TCLCares #AmericaRecyclesDay https://tcl.link/xn1'",0,0,156,2,,,
CHBws_1lopi,tcl_usa,2020-11-01 00:10:05.000000,no,False,b'',b'beautyandmotherhood',b':jack-o-lantern: Happy Halloween! :ghost: What are you watching on your TCL TV tonight ? \n:camera: : @beautyandmotherhood',0,0,195,5,,,
CHBK0osF-tR,tcl_usa,2020-10-31 18:39:05.000000,no,False,b'tclcares',b'',"b'Ready for something truly scary? Over 50 million tons of e-waste is produced each year and only 17% of  that is collected and recycled. That\xe2\x80\x99s like tossing out 4,500 Eiffel Towers a year. Visit TCL\xe2\x80\x99s Sustainability page (link in bio) to learn more about our Sustainability efforts and to find the closest solution to you! #TCLCares :recycling_symbol_selector:'",0,0,143,1,,,
CG_MfEeFs0K,tcl_usa,2020-10-31 00:15:08.000000,no,False,b'enjoytcl',b'',b'5G is here with the all-new TCL 10 UW! :mobile_phone: #EnjoyTCL\n\nLink in bio for details!',0,0,166,5,,,
CG-nS0oFmBa,tcl_usa,2020-10-30 18:50:10.000000,yes,False,b'',b'',"b'Introducing the all-new TCL 10 5G UW! :mobile_phone: Advanced triple camera with dual LED flash\xe2\x80\x8b , Fluid Performance\xe2\x80\x8b and Superfast 5G\xe2\x80\x8b! :high_voltage: Click link in our bio for details.'",991,14.566,70,3,,,
CGpuDXolGZ7,tcl_usa,2020-10-22 16:05:09.000000,no,False,b'',b'',b':collision: Giveaway CLOSED:collision: TCL Takes Powerful Performance to the Next Level with the TCL 10 Pro :mobile_phone: Enter the TCL Enjoy More Mobile Giveaway.  Link in bio to enter.',0,0,310,22,,,
CFr1hQHBra5,tcl_usa,2020-09-28 15:17:27.000000,no,False,b'enjoytcl',b'',"b'Hear the difference \xe2\x80\x93 Introducing the Alto 9+, the first sound bar with TCL\xe2\x80\x99s innovative RAY\xc2\xb7DANZ:registered: technology. Featuring a uniquely placed speaker design, the result creates an incredibly immersive, ultra-wide soundstage, made for every room in your home. \n\nIdeal for 55\xe2\x80\x9d TVs and larger, the Alto 9+ is available now for $299. #EnjoyTCL'",0,0,210,20,,,
CFcUb0_hC-b,tcl_usa,2020-09-22 14:57:49.000000,yes,False,b'enjoytcl',b'giannis_an34',"b""Talented on and off the court \xe2\x80\x94 check out TCL brand ambassador, @giannis_an34's many skills in our latest commercial. :basketball: #EnjoyTCL""",7913,59.98,888,26,,,
CE7Irg6lkhn,tcl_usa,2020-09-09 17:22:08.000000,no,False,b'',b'enf_hope',"b""Hey Orange County! :speaking_head: We're excited to present @ENF_hope's Inaugural Golf4Hope Charity Golf Tourney benefiting the Ride with Emilio program! \n-\nYou'll get the chance to help hundreds of kids with cancer in the OC area, ensuring NO child misses a cancer treatment due to lack of transportation. \n-\nCan't be there & want to help? You can donate at the :link:link in our bio.""",0,0,91,0,,,
CEuQFbHlB04,tcl_usa,2020-09-04 17:16:42.000000,no,False,b'enjoytcl',"b'ashleyselleke,theeverygirl'","b""There's just something about a long weekend at home, binge-watching everything on your watchlist. :sparkles: #EnjoyTCL :camera:: @ashleyselleke via @theeverygirl""",0,0,192,7,,,
CEmoBAplf-z,tcl_usa,2020-09-01 18:11:54.000000,no,False,"b'tcltv,enjoytcl'",b'',"b""Can't decide which 2020 #TCLTV to upgrade your home theater to? See which one's the best fit for you at the link in our bio. #EnjoyTCL""",0,0,335,25,,,
CEKIb4Sh7ry,tcl_usa,2020-08-21 16:37:10.000000,no,False,b'enjoytcl',b'',"b""Spending the weekend with the new 2020 6-Series? So are we. Here's what our team's watching. :popcorn::television: #EnjoyTCL""",0,0,363,28,,,
CDwT5JaB7YD,tcl_usa,2020-08-11 15:57:01.000000,no,False,b'enjoytcl',b'',"b""Just when you thought your favorite TV couldn't get any better, say hello to the all-new Mini-LED 6-Series. Unparalleled dimension and stunning Quantum Dot Technology produce unrivaled realism, all at an affordable price. Select sizes available now :link:link in bio. #EnjoyTCL""",0,0,1032,43,,,
CDwRDLYhXNA,tcl_usa,2020-08-11 15:32:11.000000,no,False,b'enjoytcl',b'thxltd',"b""Get ready gamers, the future of game-play is here. :video_game: With @THXltd, we're defining a new standard in big-screen gaming performance as we bring you the world's first TV with THX Certified Game Mode. Available on the 2020 6-Series. #EnjoyTCL""",0,0,659,28,,,
CDwN0hvBJKQ,tcl_usa,2020-08-11 15:03:58.000000,no,False,b'enjoytcl',b'',"b'Introducing: the 2020 QLED 5-Series. Combining our Contrast Control Zone Technology and vibrant QLED color, your home theater experience just got a major upgrade. Select sizes available now :link: link in bio. #EnjoyTCL'",0,0,880,33,,,
CDmWv3glFQO,tcl_usa,2020-08-07 19:09:37.000000,no,False,b'enjoytcl',b'',b'Endless entertainment + powerful picture performance = a match made in heaven. :sparkles: #EnjoyTCL',0,0,777,13,,,
CDPhjqXFYmQ,tcl_usa,2020-07-29 22:21:32.000000,no,False,"b'enjoytcl,tclcares'",b'',"b'With the help of organizations in the Denver community, we collected over 12 tons of e-waste in under 4 hours at a first-of-its-kind drive-up recycling event. :recycling_symbol_selector: Want to make a difference from your home? See how you can help at the :link:link in our bio. #EnjoyTCL #TCLcares'",0,0,566,3,,,
CC_jLPDF_lF,tcl_usa,2020-07-23 17:27:49.000000,no,False,b'enjoytcl',b'',"b""Bring their favorite summer camp activities home, right into your living room. :sun_selector: What streaming channels are sparking your kids' imagination this season? #EnjoyTCL""",0,0,122,3,,,
CC4hVM-l_1f,tcl_usa,2020-07-20 23:57:03.000000,no,False,b'enjoytcl',b'',b':ear::television::down_arrow_selector: #EnjoyTCL',0,0,185,83,,,
CCbjjoKlowp,tcl_usa,2020-07-09 17:58:30.000000,no,False,"b'tcltv,enjoytcl'",b'',b'Making the most of our your new #TCLTV while staying at home? Make sure you have a great sound bar to match. Check the link in our bio for a few tips. :speaker_high_volume: #EnjoyTCL',0,0,274,9,,,
CCUhP2rFo71,tcl_usa,2020-07-07 00:23:38.000000,no,False,"b'tcltv,enjoytcl,hamilfilm'","b'hamiltonmusical,geno_the_chi'",b'How to watch @hamiltonmusical on your #TCLTV: Talk less. Smile more. :white_medium_star: #EnjoyTCL #HamilFilm :camera:: @geno_the_chi',0,0,298,12,,,
CCOhI96F880,tcl_usa,2020-07-04 16:27:16.000000,no,False,"b'4thofjuly,independenceday'",b'',"b""Whether you're beating the heat inside streaming or outside enjoying a classic #4thofJuly BBQ, we're wishing you a happy and safe #IndependenceDay! :United_States:""",0,0,201,7,,,
CCJpOyXFIxx,tcl_usa,2020-07-02 19:01:45.000000,no,False,"b'tcltv,enjoytcl'",b'bestbuy',"b""Scavenger Hunt time: Find which #TCLTV is on sale at @BestBuy. Here's a hint :backhand_index_pointing_up: #EnjoyTCL""",0,0,373,19,,,
CAIZYzkFhM2,tcl_usa,2020-05-13 14:21:17.000000,no,False,b'enjoytcl',b'',"b'IT\'S BACK \xe2\x80\x93 but for today only. Get your hands on the 65"" 8-Series for $999.99 and see what the world\'s first TV with mini-LED technology can do for you. Link in bio. #EnjoyTCL'",0,0,285,17,,,
B_7tTsIFV6c,tcl_usa,2020-05-08 16:05:13.000000,no,False,b'',b'',"b'Mom deserves only the best viewing experience, one you (both) will love. :blossom: Upgrade & save on the 75"" 8-Series, on sale TODAY ONLY for $1,799.99. Link in bio.'",0,0,219,12,,,
B_3aT-WBt8M,tcl_usa,2020-05-07 00:02:13.000000,no,False,"b'nationalnursesweek,tclcares,chockindness'",b'chocchildrens',"b'In honor of #NationalNursesWeek, TCL donated 10k N95 masks and 100 tablets to the heroes of @chocchildrens. Thank you to all the nurses, their care & commitment make a life saving difference everyday. #TCLcares #CHOCKindness'",0,0,233,7,,b'CHOC',33.7806799 -117.86523
B_0B5kslfwV,tcl_usa,2020-05-05 16:31:14.000000,no,False,b'',b'bestbuy',"b'Get more out of your TV with Quantum Contrast technology. TODAY ONLY \xe2\x80\x93 the 65"" 8-Series is on sale for $999.99. Shop online at @BestBuy. :television:Link in bio.'",0,0,272,11,,,
B_Yct0_lmND,tcl_usa,2020-04-24 23:26:50.000000,no,False,b'enjoytcl',b'',b'The ultimate weekend binge-watching partner. :dog_face:Having a marathon with your furry friend this weekend? Tag us and use #EnjoyTCL. :paw_prints:',0,0,691,36,,,
B_TkZ_khxo1,tcl_usa,2020-04-23 01:57:46.000000,no,False,"b'earthday,tclcares'",b'',"b'Happy #EarthDay from all of us here at TCL! Our team celebrated at home gardening, collecting e-waste from around the house, upcycling old materials, and more! :globe_showing_Americas: #TCLcares'",0,0,191,1,,,
B_OKWWblinR,tcl_usa,2020-04-20 23:33:55.000000,no,False,"b'earthday,tclcares'",b'',"b""While you're staying at home, help us celebrate this upcoming #EarthDay and collect old electronics from around your home for e-waste recycling later this year. Not only are you doing a bit of spring cleaning, you're also helping our planet. :globe_showing_Americas:#TCLcares""",0,0,324,7,,,
B_IcL7LFA4C,tcl_usa,2020-04-18 18:14:23.000000,yes,False,"b'covid19,togetherathome'","b'rokuplayer,glblctzn,who'","b'Today is the day! Support the global fight against the #COVID19 crisis and join us with @rokuplayer, @GlblCtzn, and @WHO in streaming One World: #TogetherAtHome. See how you can watch at the link in our bio.'",904,30.0,61,0,,,
B_GLRp-lmeM,tcl_usa,2020-04-17 21:08:06.000000,no,False,b'',"b'ariejr,laurenluyendyk'","b'Catching up on all your favorite shows finally? So are @ariejr and @laurenluyendyk, with the powerful performance of the 6-Series. :popcorn:'",0,0,261,8,,,
B-8T5yyFZyy,tcl_usa,2020-04-14 01:11:05.000000,no,False,b'enjoytcl',b'',"b'Multi-tasking at its finest. Bring your work-from-home video calls to life, thanks to the powerful performance and clarity on the 6-Series. How do you enjoy your TCL? #EnjoyTCL'",0,0,202,4,,,
B-zmgCAlC0L,tcl_usa,2020-04-10 16:00:25.000000,no,False,b'',"b'dld4ever,tcl_usa'","b':rabbit_face:GIVEAWAY DAY 3:rabbit_face:**CLOSED: Congratulations @dld4ever!** Last chance to hop into spring and enter our Spring Egg Hunt Sweepstakes! Want a chance to win a 55"" QLED 6-Series? :television:\nHere\'s what you need to do:\n:rabbit_face:Screenshot this image\n:rabbit_face:Find the egg\n:rabbit_face:Send us your screenshot in a DM with the egg circled\n:rabbit_face:Make sure to follow @tcl_usa and like this post to complete your entry\nToday\'s entry closes at 7:59am PT on 4/11. Winner will be chosen 4/13. For official rules, visit the link in our bio. Good luck and happy hunting! :hatching_chick:'",0,0,867,0,,,
B-uc7eHlA8z,tcl_usa,2020-04-08 16:00:36.000000,no,False,b'',b'tcl_usa',"b':rabbit_face:GIVEAWAY DAY 2:rabbit_face:**CLOSED** Finally hopping into spring and to celebrate the season, we\'re giving you a Spring Egg Hunt Sweepstakes! Want to enter for a chance to win a 55"" QLED 6-Series? :television: Here\'s how it works: :hatching_chick:We\'ll be posting 3 different pictures this week with an egg hidden in each of them. You\'ll follow the same rules below for each day. Each egg submitted = more chances to win!\n-\nWhat you need to do:\n:rabbit_face:Screenshot this image\n:rabbit_face:Find the egg\n:rabbit_face:Send us your screenshot in a DM with the egg circled\n:rabbit_face:Make sure to follow @tcl_usa and like this post to complete your entry.\nToday\'s entry closes at 7:59am PT on 4/9. Winner will be chosen 4/13. For official rules, visit the link in our bio. Good luck and happy hunting! :hatching_chick:'",0,0,908,0,,,
B-sxq4DBwyZ,tcl_usa,2020-04-08 00:24:42.000000,yes,False,"b'displaygreatness,tcl10pro,tcl10l'",b'',"b""Get ready, there's more ways to #DisplayGreatness with the powerful #TCL10Pro and versatile #TCL10L. Link in bio for all the specs.""",4520,77.606,278,26,,,
B-pT0jjFrUQ,tcl_usa,2020-04-06 16:04:48.000000,no,False,b'',b'tcl_usa',"b':rabbit_face:GIVEAWAY:rabbit_face: **CLOSED** Finally hopping into spring and to celebrate the season, we\'re giving you a Spring Egg Hunt Sweepstakes! Want to enter for a chance to win a 55"" QLED 6-Series? :television: Here\'s how it works: :hatching_chick:We\'ll be posting 3 different pictures this week with an egg hidden in each of them. You\'ll follow the same rules below for each day. Each egg submitted = more chances to win!\n-\nWhat you need to do:\n:rabbit_face:Screenshot this image\n:rabbit_face:Find the egg\n:rabbit_face:Send us your screenshot in a DM with the egg circled\n:rabbit_face:Make sure to follow @tcl_usa and like this post to complete your entry. \nToday\'s entry closes at 7:59am PT on 4/7. Winner will be chosen 4/13. For official rules, visit the link in our bio. Good luck and happy hunting! :hatching_chick:'",0,0,371,0,,,
B-hc5AYlp9i,tcl_usa,2020-04-03 14:50:07.000000,no,False,b'enjoytcl',b'heymarkl',"b"".@heymarkl's got the right idea \xe2\x80\x93 you'll find us here all weekend. :video_game:#EnjoyTCL""",0,0,371,10,,,
B-dlsXUFaKU,tcl_usa,2020-04-02 02:50:08.000000,no,False,b'enjoytcl',b'',"b""Spring's in full bloom \xe2\x80\x93 make it come to life with millions of color possibilities with QLED color technology in the 6-Series. #EnjoyTCL""",0,0,219,7,,,
B-In1eSBFmb,tcl_usa,2020-03-24 23:24:42.000000,no,False,b'',b'',b'Just curious. :television:',0,0,142,37,,,
B-F75U0lGVI,tcl_usa,2020-03-23 22:22:18.000000,no,False,b'',b'',"b'Social-distancing? Time to think inside the (black) box. :house_with_garden: A few tips on how to make your new at-home normal more productive (& a little something just for you!) over on the blog, link in bio.'",0,0,114,7,,,
B97bs2lFbcz,tcl_usa,2020-03-19 20:28:35.000000,no,False,b'',b'',"b""From the hustle and bustle of our everyday lives to finding ourselves now at home has proven to be challenging for us all. We hope you find some comfort knowing that we're here for you through every movie marathon, show binge, and gameplay. Our DMs and comments are open if you're looking for any streaming recommendations. :television::sparkles:""",0,0,247,11,,,
B9lEzTyBpND,tcl_usa,2020-03-11 04:05:09.000000,no,False,b'bachelornation',"b'ashley_iaconetti,jaredhaibon'","b""We celebrated the first part of Peter's finale with our Final Rose Viewing Party at the TCL Chinese 6 Theatres in Hollywood! To host the evening \xe2\x80\x93 our favorite #BachelorNation love story, @Ashley_Iaconetti and @JaredHaibon. :rose:""",0,0,204,5,,b'TCL Chinese Theatres',34.10202 -118.34094
B9iAhoVFPSO,tcl_usa,2020-03-09 23:30:07.000000,no,False,"b'tcltv,enjoytcl'",b'maddieperry123',"b'The most dramatic finale in history starts tonight! :rose: We know how @maddieperry123 will be enjoying it \xe2\x80\x93 on her 6-Series #TCLTV with Quantum Dot technology, of course! #EnjoyTCL'",0,0,328,9,,,
B9SoDbYFkwh,tcl_usa,2020-03-04 00:07:40.000000,no,False,b'tcltv',b'',"b'Stream smarter, not harder. Everything you need to know about getting your OTA Smart Guide set-up is on the blog at the link in our bio. :television: #TCLTV'",0,0,244,6,,,
B9IeUBglAOu,tcl_usa,2020-02-29 01:30:09.000000,no,False,b'tcltv',b'',"b""The biggest decision you'll make all week: Something new or your favorite show for the 700th time? #TCLTV""",0,0,229,8,,,
B89jwtNFlKs,tcl_usa,2020-02-24 19:46:06.000000,no,False,b'tcltv',b'citychicdecor',"b""Every piece is an excuse to make a statement. :leopard:We're loving @citychicdecor's take on her #TCLTV!""",0,0,114,5,,,
B82SrKKFJTy,tcl_usa,2020-02-22 00:02:07.000000,no,False,b'tcltv',b'',"b'Premium picture quality for you, a morning full of cartoons for them. Making weekends even better with the kids: the 6-Series. #TCLTV'",0,0,110,2,,,
B8xJbVDFWu_,tcl_usa,2020-02-20 00:05:07.000000,no,False,b'',b'',"b""Today, we're breaking down: QLED:backhand_index_pointing_down:\n:speech_balloon:AKA: Quantum Dot color technology\n:speech_balloon:What it does: Displays better, more vivid & lifelike colors. Basically, the more colors, the better the color performance and accuracy. :speech_balloon:Where you can find it: 8-Series & 6-Series""",0,0,193,5,,,
B8xJbVDFWu_,tcl_usa,2020-02-20 00:05:07.000000,no,False,b'',b'',"b""Today, we're breaking down: QLED:backhand_index_pointing_down:\n:speech_balloon:AKA: Quantum Dot color technology\n:speech_balloon:What it does: Displays better, more vivid & lifelike colors. Basically, the more colors, the better the color performance and accuracy. :speech_balloon:Where you can find it: 8-Series & 6-Series""",0,0,193,5,,,
B8rjOe3lI5f,tcl_usa,2020-02-17 19:55:06.000000,no,False,b'tcltv',b'louiethelibra',"b""Louie's kicking off Monday with style. Be more like Louie. #TCLTV :camera:: @louiethelibra""",0,0,713,28,,,
B8kPgayFy5A,tcl_usa,2020-02-14 23:48:06.000000,no,False,b'8series',b'',"b'Tall, dark, and handsome: the #8Series makes a great Valentine. :red_heart_selector:'",0,0,186,3,,,
B8fH-dWlgzM,tcl_usa,2020-02-13 00:06:08.000000,no,False,b'6series',b'',b'Love at first sight. :love_letter:#6Series',0,0,143,6,,,
B8NN4KBFMZD,tcl_usa,2020-02-06 01:11:21.000000,no,False,b'',b'',"b""Lag that's so low, your friends might *actually* have a chance beating you. :video_game:\nExperience bigger, better gaming with the QLED 6-Series.""",0,0,101,1,,,
B8AUO_Vl_Zr,tcl_usa,2020-02-01 00:56:45.000000,no,False,b'tcltv',b'',b'Clarity when it matters most. What #TCLTV will you be rocking for the big game? Make sure to tag us in your watch party pics for a chance to be featured! :television:',0,0,107,7,,,
B77F4IOlWeB,tcl_usa,2020-01-30 00:15:06.000000,no,False,b'',b'',"b""There's two types of people: Those who love the 8-Series and those who don't know it yet. :men_with_bunny_ears_selector:""",0,0,180,7,,,
B74cA0oonU_,tcl_usa,2020-01-28 23:31:16.000000,yes,False,b'',b'theellenshow',"b'""If you saw people walking to a parking structure with giant TV boxes, this is why."" -@theellenshow :red_heart_selector:'",3345,44.9,206,20,,,
B7rnn0wlmXt,tcl_usa,2020-01-24 00:02:08.000000,no,False,b'tcltv',b'',b':check_box_with_check:Mini-LED technology\n:check_box_with_check:Brilliant color morning and night\n:check_box_with_check:Dolby Vision & Atmos\nChecking all the boxes: The 8-Series. #TCLTV',0,0,203,6,,,
B7l5vk9Fl_A,tcl_usa,2020-01-21 18:45:02.000000,no,False,"b'electronicschallenge,tclcares'",b'epagov',"b""We're honored to have been presented with the @epagov\xe2\x80\x99s #ElectronicsChallenge Gold-Tier award for the second consecutive year! :recycling_symbol_selector:\n-\nUnder the #TCLcares initiative, we are committed to minimizing our footprint in local communities by providing innovative and sustainable recycling activities. Learn more about our recycling efforts at the link in our bio.""",0,0,195,7,,,
B7Zbkn-l_Dw,tcl_usa,2020-01-16 22:30:27.000000,no,False,b'ces2020',"b'topgolflasvegas,sublimewithrome'","b""We're still dreaming about our #CES2020 party at @topgolflasvegas. Thanks for an incredible night, @sublimewithrome!""",0,0,154,2,,,
B7KQeIkBlEp,tcl_usa,2020-01-11 01:04:50.000000,no,False,b'ces2020',b'',"b""And that's a wrap on #CES2020! We're honored to have received 18 awards for our home theater and personal audio products coming later this year.""",0,0,443,13,,"b'Las Vegas, Nevada'",36.1675 -115.149
B7JcE2SFCPO,tcl_usa,2020-01-10 17:27:03.000000,no,False,b'ces2020',b'',"b""Delivering an immersive cinematic experience, our unique RAY\xe2\x80\xa2DANZ technology expands the sound bar's soundstage to levels that were previously impossible. Say hello to the award-winning Alto 9+. #CES2020""",0,0,198,10,,,
