shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIXXNYlJ_sF,telstra,2020-12-04 06:01:58.000000,no,False,"b'moodygrams,streetshared,agameoftones,artofvisuals,streetphotography,streetleaks,streetdreamsmag,ig_color,instagood,shoot2kill,fatalframes,createexplore,ig,gramslayers,street_vision,urbanromantix,urbanandstreet,way2ill,inspirationcultmag,illgrammers,thecreatorclass,urban,spicollective,illest_shots,photography,streetleaks_culture,streetleaks_travel,theimaged,travel,createcommune'",b'keithbentonphotography',b'Up early or out late? \n\nRG @keithbentonphotography\n\n\xe3\x83\xbb\xe3\x83\xbb\xe3\x83\xbb\nKeeping the feed moody\n#moodygrams #streetshared #agameoftones #artofvisuals #streetphotography #streetleaks #streetdreamsmag #ig_color #instagood #shoot2kill #fatalframes #createexplore #ig #gramslayers #street_vision #urbanromantix #urbanandstreet #way2ill #inspirationcultmag #illgrammers #thecreatorclass #urban #spicollective #illest_shots #photography #streetleaks_culture #streetleaks_travel #theimaged #travel #createcommune',0,0,143,21,,,
CIUZrhNJc-H,telstra,2020-12-03 02:25:50.000000,no,False,b'onthisday',b'',b'After how long are you sending question marks :thinking_face: #onthisday',0,0,216,27,,,
CISRZoFpBOk,telstra,2020-12-02 06:35:00.000000,no,False,"b'hobart,abcmyphoto,tasmania,discovertasmania,tassie,winter,summer,snow,australia,cold,hot,love,photooftheday,greatlake'",b'abchobart',b'Frosty reception :snowflake_selector: \n\nRG @abchobart\n\n\xe3\x83\xbb\xe3\x83\xbb\xe3\x83\xbb\nDay two of summer in Tassie. :snowman_without_snow:\n~\n:camera:: Great Lake General Store\n#hobart #abcmyphoto #tasmania #discovertasmania #tassie #winter #summer #snow #australia #cold #hot #love #photooftheday #greatlake',0,0,120,13,,"b'Tasmania, Austraila'",-41.1808180817 146.3622665405
CINLguZJ1Kn,telstra,2020-11-30 07:07:20.000000,no,False,b'',b'',b'Finally shining a light on this :flashlight:',0,0,385,26,,,
CHwD8LzpF3m,telstra,2020-11-18 23:43:12.000000,no,False,b'natsiaa',b'',"b""See anything you like? Time to vote for the Telstra #NATSIAA People\xe2\x80\x99s Choice award. Explore the virtual gallery and pick your favourite artworks at natsiaa.com.au\n\nArtwork credits:\n:keycap_1: Leah Brady, 'Wanampi Tjukurpa (Piltati)'\n:keycap_2: Mabel Judi, 'Derranel & Garnkiny'""",0,0,83,30,,,
CHrnIY6pBmD,telstra,2020-11-17 06:14:30.000000,no,False,"b'sunset,telstratower,visitcanberra,mountainslie'","b'wanderlust73,visitcanberra'","b'Glow :UP!_button: \nRG @wanderlust73 \n\n\xe3\x83\xbb\xe3\x83\xbb\xe3\x83\xbb\nOh @visitcanberra you do know how to show off a stunning sunset, tonight was an absolute beauty. :orange_heart::orange_heart:\n\n#sunset #telstratower #visitcanberra #mountainslie'",0,0,149,12,,b'Ngunnawal Country',-35.1767485853 149.1140320755
CHeeDUoJFws,telstra,2020-11-12 03:46:32.000000,yes,False,b'',b'motorola_au',b'Gs: 5\n$$$: Less than you think...\n\n:backhand_index_pointing_right: 3 reasons why we love the @motorola_au moto g 5G plus',997,52.6,46,24,,,
CHMGa-TpCA2,telstra,2020-11-05 00:32:14.000000,no,False,"b'natsiaa,telstranatsiaa,indigenousart,australianart'",b'',"b'See anything you like? Time to vote for the Telstra #NATSIAA People\xe2\x80\x99s Choice award. Explore the virtual gallery and pick your favourite artworks at\xc2\xa0natsiaa.com.au\n\nArtwork credits:\nDoris Bush Nungarrayi, \xe2\x80\x98Bush Mangarri Tjuta\xe2\x80\x99\nGary Lee, \xe2\x80\x98Billiamook as Icon\xe2\x80\x99\nGinger Wikilyiri, \xe2\x80\x98Kunamata\xe2\x80\x99\nHubert Pareroultja, \xe2\x80\x98Through the veil of time\xe2\x80\x99\nJack Green, \xe2\x80\x98Ngabaya ngyirridji gunindjba\xe2\x80\x94the Devil that fiddles and digs in our country\xe2\x80\x99\n\nNote: all art photos are details.\n\n#TelstraNATSIAA #indigenousart #australianart'",0,0,98,9,,,
CG_Agn4JbFM,telstra,2020-10-30 22:30:27.000000,no,False,b'',b'mit_parn63',b'The call is coming from inside the BoOoOoOoOoOoOoth :ghost: \n\nRG: @mit_parn63 \n\xe3\x83\xbb\xe3\x83\xbb\xe3\x83\xbb\nSomeone call me :pleading_face:',0,0,321,18,,,
CG9SmUOJY7c,telstra,2020-10-30 06:30:01.000000,no,False,b'telstratower',b'arirex1',b'Shockingly good pic of our #telstratower by @arirex1 who this week took home Nature Photographer of the Year at the International Photography Awards :high_voltage::high_voltage::high_voltage:',0,0,187,12,,"b'Canberra, Australian Capital Territory'",-35.3081 149.124
CG4JDFRJZyy,telstra,2020-10-28 06:30:22.000000,no,False,"b'enduro,trailriding,motorcycles,offroad,motorcyclelife,moto,jnrmotosports,ktm,ridetassie,telstra,brapbrap'",b'jnr_moto_sports',b'Hello Moto... :telephone_receiver: RG: @jnr_moto_sports \n\xe3\x83\xbb\xe3\x83\xbb\xe3\x83\xbb\nPhone a friend and tell them lockdown is nearly over and let\xe2\x80\x99s go brappppp!\n#enduro #trailriding #motorcycles #offroad #motorcyclelife #moto #jnrmotosports #ktm #ridetassie #telstra #brapbrap',0,0,154,16,,,
CGqiENAp1ho,telstra,2020-10-22 23:42:54.000000,yes,False,b'',b'',b'POV what your new phone sees',1717,43.66,72,15,,,
CGo2SWmJKMX,telstra,2020-10-22 08:00:46.000000,yes,False,b'grandfinal',"b'wrugbyleague,sydneyroosters,corbymcgregor,brisbanebroncos'",b'and in the lead up to the @wrugbyleague #grandfinal we\xe2\x80\x99re getting to know @sydneyroosters player @corbymcgregor :rugby_football:\xe2\x80\xa8\xe2\x80\xa8Will she take home a :trophy:? We\xe2\x80\x99ll be watching as the Roosters take on the @brisbanebroncos this weekend.',893,59.986,33,4,,,
CGWz_MXpYxG,telstra,2020-10-15 07:52:53.000000,yes,False,b'',b'',b'Bye bye battery blues :waving_hand: \n3 reasons to :blue_heart: the Google Pixel 5 :backhand_index_pointing_up:',1464,48.319,50,27,,,
CGV23rGJ4es,telstra,2020-10-14 22:58:04.000000,yes,False,"b'women,sport,rugby'","b'georgia__hale,wrugbyleague'",b'This week get to know @georgia__hale from the NZ Warriors :backhand_index_pointing_up:and remember to tune in for round 3 of the @wrugbyleague this weekend when they take on the Dragons.\n\nCatch all the action live in the NRL app. \n\n#women #sport #Rugby',1093,104.5,43,5,,,
CGEwu9ep5xC,telstra,2020-10-08 07:37:49.000000,yes,False,b'hersday',"b'wrugbyleague,jessicasergis'","b""Each #HersDay in October we'll introduce you to a new player from the @wrugbyleague - you'll get to know their story and why the competition is so important to them and young female fans of the game.\n\nFirst up is @jessicasergis from the St George Illawara Dragons :dragon:""",1120,59.986,43,14,,,
CGB843_pq-4,telstra,2020-10-07 05:25:08.000000,no,False,"b'podcasts,australiannews'","b'raymondgmartin,marcfennell'","b'Legendary Australian journo @raymondgmartin joined @MarcFennell on the Hey, Guess What? podcast to talk about the biggest moments of his life and career. He spoke about growing up, covering warzones, great advice, and more. Listen to it wherever you get your podcasts :right_arrow_selector: https://tel.st/hgw \n\n#podcasts #australiannews'",0,0,77,8,,,
CF-7Xv_JXY1,telstra,2020-10-06 01:15:03.000000,yes,False,b'',b'',b'Same device. Same location. Can you spot the difference? :thinking_face:',1942,19.7,89,35,,"b'Sydney, Australia'",-33.86751 151.20797
CF6puj0J4aC,telstra,2020-10-04 09:23:14.000000,yes,False,"b'raymartin,logies,media'","b'raymondgmartin,marcfennell'","b'You may have spent years watching @raymondgmartin, but how well do you really know him? Find out what made him the man he is today on the Hey, Guess What? podcast with @marcfennell. #raymartin #logies #media'",1359,13.033,52,3,,,
