shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYYNZ5Aaj1,tescofood,2020-12-04 15:30:06.000000,no,False,b'',b'lurpakuk',"b'\xe2\x80\x98Tis the season to bake, eat and be merry\xe2\x80\xa6 which @lurpakuk festive treat takes your fancy? Head to our story to check out the recipes'",0,0,642,4,,,
CIYHDtmgrof,tescofood,2020-12-04 13:00:13.000000,no,False,b'tescoandjamie',b'jamieoliver',"b'This parsnip pasta from @Jamieoliver is a veg-packed bowl of comforting deliciousness \xe2\x80\x93 perfect any day of the week! #TescoAndJamie \n\nIngredients\n4 parsnips (500g total)\nolive oil\n50g Parmesan or vegetarian hard cheese\n15g fresh thyme\n2 leeks\n2 garlic cloves\n1 fresh red chilli\n300g tagliatelle\n\nMethod\n\n1. Preheat the oven to gas 4, 180\xc2\xb0C, fan 160\xc2\xb0C. Trim and peel the parsnips (reserving the peel), then finely slice. Toss the peel with 1 tbsp oil and a pinch of black pepper. Spread out on a baking tray, grate over 10g of the Parmesan and bake for 10 mins, or until golden and crisp.\n\n2. Meanwhile, place a large frying pan on a medium heat with 1 tsp oil and pick in the smaller thyme leaves. Fry for 1 min until crisp, then carefully remove to kitchen to drain.\n\n3. Trim, halve, wash and finely slice the leeks, peel and finely slice the garlic and finely slice the chilli. Put the pan back on a medium-low heat with 1 tbsp olive oil, and cook the leeks, garlic, chilli and remaining thyme leaves with a splash of water and the lid on for 7 mins. Add the parsnips to the pan, cover and cook for a further 7 mins, or until soft and sweet.\n\n4. Meanwhile, cook the tagliatelle to pack instructions, then drain, reserving a mugful of cooking water. Add the pasta and cooking water to the cooked veg and grate in the remaining Parmesan. Mix well over the heat until the sauce is silky and emulsified. Season, then divide between bowls and top wioth the crispy parsnip peelings and thyme leaves. Lovely with a crisp salad.'",0,0,610,11,,,
CIS-nI1AZP4,tescofood,2020-12-02 13:10:12.000000,no,False,b'',b'',b'You\xe2\x80\x99ve got the gingerbread house\xe2\x80\xa6  now what goes in the gingerbread drinks cabinet? \nHead to our \xe2\x80\x983 ways with\xe2\x80\x99 highlights for 3 delicious ways to get a little merry with gingerbread latte liqueur (like these creamy affogatos).\nDrinkaware 18+',0,0,820,27,,,
CIQ0JMyAZIN,tescofood,2020-12-01 17:00:15.000000,no,False,b'',b'',"b'A feast for 2 turtle doves.\nHead to our \xe2\x80\x98Christmas\xe2\x80\x99 highlights for some amazing Christmas recipes for 2 - including starters, mains, desserts and fantastic vegetarian options.'",0,0,698,4,,,
CIQ0JMyAZIN,tescofood,2020-12-01 17:00:15.000000,no,False,b'',b'',"b'A feast for 2 turtle doves.\nHead to our \xe2\x80\x98Christmas\xe2\x80\x99 highlights for some amazing Christmas recipes for 2 - including starters, mains, desserts and fantastic vegetarian options.'",0,0,698,4,,,
CINyk8XDKmJ,tescofood,2020-11-30 12:48:54.000000,yes,False,b'tescononaughtylist',b'',"b'Win your Big Tesco Christmas Shop on us this year. Tell us your lockdown confession in the comments below with #TescoNoNaughtyList\nTerms & Conditions below apply. \n\nUK 18+ only. Closes 23:59 02.12.20. 10 prizes of \xc2\xa3200 Tesco gift card. Skill based competition. Comment below with your lockdown confession. 10 winners selected by judging panel. Promotion features on both Instagram and Twitter with one shared prize pool. Max one entry per person per channel. \n\nFor judging criteria, and full terms and conditions go to http://tes.co/CompT-Cs. Promoter: Tesco Stores Ltd., Tesco House, Shire Park, Kestrel Way, Welwyn Garden City, AL7 1GA.By entering you understand that you are providing your information to the owner of this Instagram page and not to Instagram. This promotion is in no way sponsored, endorsed or administered by, or associated with Instagram.'",8624,19.986,584,357,,,
CILBWgxASPJ,tescofood,2020-11-29 11:00:14.000000,no,False,b'',b'',b'\xe2\x80\x98Tis the weekend to get your Christmas pudding on! Head to our \xe2\x80\x98Christmas\xe2\x80\x99 highlights for some tips and tricks to get three different festive bakes with just one jar of Christmas mincemeat.',0,0,882,23,,,
CIIcjmMsnpc,tescofood,2020-11-28 11:00:10.000000,yes,False,b'',b'',b'Today\xe2\x80\x99s Christmas shopping tip: empty your freezer now so there\xe2\x80\x99s plenty of room before the season goes full-swing! \nHead to tes.co/ChristmasPrep for tips to get on the front foot with your big Christmas shop this year.',10100,8.0,301,3,,,
CIDgs5pAlT2,tescofood,2020-11-26 13:00:14.000000,no,False,b'',b'quakeroatsuk',"b'Up your porridge game with @quakeroatsuk\xe2\x80\x99s tasty topping ideas, there\xe2\x80\x99s one for every day of the week! Visit tes.co/quaker to check out all the recipes and tell us which one\xe2\x80\x99s your favourite.'",0,0,675,22,,,
CH-aiw6s-uz,tescofood,2020-11-24 13:30:15.000000,yes,False,b'',b'',"b'In charge of Christmas planning? \n\nTry our Festive Menu Helper. With almost 250 possible menus, it has something to suit vegetarians, vegans, gluten- and dairy-free dietary requirements, as well as those who want a traditional turkey. \n\nPlan and shop in one handy app. Christmas feasting couldn\xe2\x80\x99t be more simple. Check out our Story to see it in action.'",6029,13.0,271,18,,,
