shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CHVq3S_hM3q,teslamotors,2020-11-08 17:43,no,False,,,b'20k Superchargers and counting',0,0,274429,1681,276110,,
CDh1mzbBkdg,teslamotors,2020-08-06 01:03,yes,False,,,b'Looking up in Model Y',668347,35.696,101767,2536,104303,,
CDCJ8NpB78l,teslamotors,2020-07-24 17:46,yes,False,,,b'Tesla solar is $1.49/Watt installed after incentives. The lowest cost in America. Money back guarantee if unhappy.\xc2\xa0Create your sustainable future',1524213,12.766,165704,2140,167844,,
B9XZE5zhFpY,teslamotors,2020-03-05 20:32,no,False,,,b'Art of the Roof',0,0,254514,3634,258148,,
B5ONzQOBtMc,teslamotors,2019-11-23 20:55,yes,False,,,b'I\xe2\x80\x99m gonna tell my kids this is the first pick-up',3929408,34.563,536750,16771,553521,,
B5LeHK2h4p0,teslamotors,2019-11-22 19:20,no,False,,,b'Better utility than a pick-up. More performance than a sports car.',0,0,1032558,37033,1069591,,
B5JBYIShHuv,teslamotors,2019-11-21 20:31,yes,False,,,b'Cybertruck Unveil starts at 8pm. Stay tuned for livestream.',4246360,13.543,250309,3383,253692,,
B4UEJQAhd90,teslamotors,2019-11-01 06:56,yes,False,,,"b'Garlic for vampires, silver for werewolves, Sentry Mode for ghouls and car vandals. Happy Halloween!'",1096205,28.866,121913,806,122719,,
B4D2Zn0BXj7,teslamotors,2019-10-25 23:47,no,False,,,b'Solar Roof is made up of durable glass tiles generating clean energy (and looks beautiful too). Our latest version only takes a few days to set up and is comparable to the cost of a composition shingle roof + electrical bill. Installations begin next month.',0,0,276379,2191,278570,,
B3pu1nFh09R,teslamotors,2019-10-15 20:22,yes,False,,,b'We run thousands of crash simulations to ensure our vehicles are among the safest on the road. See our Youtube video for a sneak peek of our crash lab: https://youtu.be/IoNe7QMumaM',3495045,15.876,338122,2268,340390,,
B3M02y8BUz_,teslamotors,2019-10-04 15:37,yes,False,,,"b'If you like shooting vegetables (and, uh, reclaiming your soul from the Devil) you\xe2\x80\x99re going to love Cuphead. Play the first isle as Cuphead or Mugman in the V10 update.'",1759051,53.933,160600,1464,162064,,
B3DEIHChio0,teslamotors,2019-09-30 20:19,yes,False,,,"b'Smart Summon brings us closer to a future where your car picks up you, not the other way round. \nIntroduced in our V10 update, Smart Summon is designed to allow your car to drive to you or a location of your choosing, maneuvering around and stopping for objects as necessary. Availability limited in certain markets.'",784554,49.653,98258,1289,99547,,
B27C4aRBfet,teslamotors,2019-09-27 17:11,no,False,,hub3rt,b'@hub3rt picked up his Model 3 and brought our London team a cake. \nIf there is a purer thing in this world we would like to hear about it.',0,0,194113,1044,195157,,
B24pUc0B0UP,teslamotors,2019-09-26 19:19,yes,False,,,"b'Software Version 10.0 is here, and it\xe2\x80\x99s big. It\xe2\x80\x99s rolling out to cars starting this week.'",1276674,48.053,221967,3975,225942,,
