shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CGZ8139p2-F,thomsonreuters,2020-10-16 13:06:29.000000,no,False,b'',b'',b'Shaping a better tomorrow means working together to help make critical decisions that keep communities and people safe and thriving. Double-tap if you agree.',0,0,181,12,,,
CGXXMR3JRUk,thomsonreuters,2020-10-15 12:59:01.000000,no,False,"b'beyouattr,workingattr'",b'',"b'\xe2\x80\x9cWhen the opportunity to become co-chair of our Latino Employee Network (LEN) came up, I jumped at the chance. I realized I was in a unique position to enact change, raise awareness, generate opportunities like those I had, and showcase role models to other Latinos.\n \nThroughout Hispanic Heritage Month, the Thomson Reuters Institute has been hosting a series called ""De La Unidad (De Unidade/Of Unity): Understanding issues of access for the Latinx Community"". Our first conversation centered around what does it mean to be Latino (Latina, LatinX, Hispanic) and one of the conclusions from that discussion was that, regardless of the term of preference, at the core, what matters is that sense of belonging - wanting to be part of a community. I am proud to play an active role in creating a community and fostering inclusion through LEN."" #BeYouAtTR\n \nMeet Rogelio, Director Business Development & Strategy, New York #workingattr'",0,0,393,6,,,
CFP0nCNJTrL,thomsonreuters,2020-09-17 18:10:46.000000,no,False,"b'workingattr,mentalhealth'",b'',"b'If there\xe2\x80\x99s one thing that 2020 has taught many of us, it\xe2\x80\x99s the value of having mind-space to deal with the unexpected. \n\nAnd at Thomson Reuters, we strive to place increased long-term focus on mental health and the overall health of our people #workingatTR.\n\nSo today, we announced that our associates will be given a #mentalhealth day off on October 9. This will become a permanent company holiday, taking place around the World Health Organization\xe2\x80\x99s World Mental Health Day each year.\n\nLearn more: https://www.thomsonreuters.com/en/careers/careers-blog/recognizing-a-thomson-reuters-mental-health-day-off-as-a-company-holiday.html'",0,0,415,6,,,
CEKKeo6JjoH,thomsonreuters,2020-08-21 16:55:12.000000,yes,False,b'',b'',"b""Today's new environment means smarter, more efficient ways of working are more important than ever. Double tap if you agree. Together, we can look forward to better ways of doing business by shaping tomorrow, together. See the link in our bio to learn.""",1091,14.98,102,0,,,
CDjUsVpJdG2,thomsonreuters,2020-08-06 15:10:47.000000,yes,False,"b'newnormal,returntobetter,shapingtomorrow,remoteworking,informationservices,covid19,thomsonreutersbrasil'",b'',"b""With each new change, we're learning that returning to normal isn't an option anymore. Together, we can look forward to better ways of doing business by shaping tomorrow, together. Take a look at the link in our bio to find out more.\n \n#Newnormal #ReturntoBetter #ShapingTomorrow #Remoteworking #Informationservices #Covid19 #thomsonreutersbrasil""",1298,30.025,145,1,,,
CDT8PnQpvrD,thomsonreuters,2020-07-31 15:31:39.000000,no,False,"b'shapingtomorrow,newnormal,efficiency,tax,remoteworking,taxtech,technology,covid19,thomsonreuters,techsolutions'",b'',"b'Right now, companies are facing ""existing resource challenges, skills gaps and efficiency deficits,"" on top of a rapidly changing economy, according to our 2020 Corproate Tax Departments Survey. How can companies keep up? Thomson Reuters can help. We\'re here to help you navigate towards a new normal. We have the tools and information to help address your needs with efficiency and confidence. It\'s a win-win! Check out the link in our bio to see how we\'re shaping tomorrow, together.\n \n#ShapingTomorrow, #NewNormal, #Efficiency, #Tax, #Remoteworking, #TaxTech, #Technology, #Covid19, #ThomsonReuters, #TechSolutions'",0,0,103,2,,,
CBoackbpybV,thomsonreuters,2020-06-19 21:17:35.000000,no,False,"b'juneteenth,workingattr,juneteenth'",b'',"b'We believe that now is an important time to focus on issues of racial injustice, and today is a special opportunity to do so. So, we offered our US-based employees an extra day off today to recognize and commemorate #Juneteenth, celebrated as the effective end of slavery in the US. We encourage these employees #workingatTR to use it to have a voice, to contribute to the community, celebrate their identity, or to learn and do more about addressing inequality. \nWhat are your reflections on #Juneteenth?'",0,0,379,9,,,
B_7i3lTJUCk,thomsonreuters,2020-05-08 14:33:57.000000,no,False,"b'justice,misinformation,sustainable,socialimpact,accesstojustice,sustainability,diversityandinclusion,csr,corporatecitizenship,workingattr'",b'',"b""We're proud to share our commitment to the principles that are deeply embedded in our DNA \xe2\x80\x94 from expanding access to #justice, to stemming the flow of #misinformation, to working for a more #sustainable planet. \nRead more in our 2019 Social Impact Report, linked in our bio.\n\n#socialimpact #accesstojustice #sustainability #diversityandinclusion #CSR #corporatecitizenship #workingattr""",0,0,265,4,,,
B_StIjkFkkg,thomsonreuters,2020-04-22 17:54:47.000000,no,False,"b'earthday2020,emissions,earthday,workingattr'",b'',"b""Today, on #EarthDay2020, we're excited to announce that we'll work to achieve net-zero #emissions by 2050 or sooner.\n\nThe new targets align to worldwide efforts to limit global temperature rise to 1.5\xc2\xb0C above pre-industrial levels, the most ambitious aim of the Science Based Targets initiative. #EarthDay #WorkingAtTr""",0,0,266,3,,,
B_P0ZbbpXdG,thomsonreuters,2020-04-21 15:03:39.000000,yes,False,b'covid19',"b'reuters,reuters_pr'","b'ICYMI: @reuters will supply government bodies and health authorities around the world with free, embeddable #COVID19 tracker graphics to help them illustrate the impact of the virus on their communities. Read more on the @reuters_pr blog: https://www.reuters.com/article/rpb-covid19tracker/reuters-offers-free-covid-19-tracker-graphics-to-government-bodies-and-health-authorities-worldwide-idUSKBN21Y2MW'",1853,13.866,134,0,,,
