shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CHdv7rWFsDk,tiaa,2020-11-11 21:02,yes,False,"veterans,veteransday",centuryhousing,"b'We have invested over $25 million in @CenturyHousing\xe2\x80\x99s offering \xe2\x80\x93 an organization that supports housing needs for more than 2,000 #veterans \xe2\x80\x93 providing value and creating impact for our clients and the communities we serve. #veteransday'",250,15.0,34,0,34,,
CFkebgJjLtp,tiaa,2020-09-25 18:41,no,False,hispanicheritagemonth,juniorachievementofchicago,"b'As part of #HispanicHeritageMonth, we joined together virtually to create Spanish/English flashcards to donate to @juniorachievementofchicago which supports student learning in our local community.'",0,0,56,1,57,,
CFcLKoiA87I,tiaa,2020-09-22 13:18,no,False,,feedingamerica,"b'Our employees and their families are adopting a novel approach to help people struggling with hunger during the crisis. Every hour of physical activity funds a donation towards providing 50 meals for @FeedingAmerica, in total more than 500,000 meals have been donated.'",0,0,92,1,93,,
CFAGjOZAAn2,tiaa,2020-09-11 15:39,no,False,911day,911day,b'We are proud to support the mission of @911day to make the world a better place in remembrance of those lost on 9/11. #911day',0,0,88,0,88,,
CDlqd03Hvnk,tiaa,2020-08-07 12:42,no,False,"financialliteracy,diversity",,"b""No matter where students are learning, the TIAA Bank Money Matters and TIAA 306-African American History digital programs continue to provide students in-school and at-home access to educational content on life's most critical topics like #FinancialLiteracy and #Diversity.""",0,0,52,1,53,,
CDKDwHbAUmf,tiaa,2020-07-27 19:24,no,False,wegivegoods,,"b'To help make a difference for students and teachers in our local communities impacted by COVID-19, we donated more than 28,000 school supplies to our nonprofit education partners as they start the school year amid much uncertainty. #WeGiveGoods'",0,0,119,1,120,,
CCBRkXxIlTZ,tiaa,2020-06-29 13:01,no,False,bethechange,innocenceproject,"b'TIAA hosted a virtual Race Against Racism to raise awareness around inequality and unfair treatment. More than 1,000 people joined together to ride, run, or walk with someone of a different race in support of the @innocenceproject. #BeTheChange'",0,0,165,1,166,,
CB1NXgpH5CX,tiaa,2020-06-24 20:33,no,False,pridemonth,ericcervini,"b'As we reflect on our #PrideMonth of influence and impact, we were proud to host a virtual celebration featuring @ericcervini, author of NYT bestseller The Deviant\xe2\x80\x99s War, to celebrate the diversity of our associates and the difference that makes to our company and our clients.'",0,0,174,5,179,,
CAqYgS8gj7H,tiaa,2020-05-26 19:07,no,False,,rumc_si,"b'To support dedicated frontline staff @rumc_si, we donated hand sanitizer and snacks to help them soldier forward as they continue to help us all.'",0,0,174,2,176,,
B_nc9JQn2kd,tiaa,2020-04-30 19:17,yes,False,,,b'Thank you to the university staff for providing the support faculty need to reach their students despite the challenges. Your ongoing commitment is making a difference.',401,8.0,33,0,33,,
B_nNgVdglkY,tiaa,2020-04-30 17:02,yes,False,,,b'Thank you to the healthcare employees for providing the support medical professionals need during their ongoing fight to protect us. Your teamwork is inspiring.',316,8.0,39,3,42,,
B_iZZrzBYel,tiaa,2020-04-28 20:10,no,False,earthmonth2020,,"b'As part of our Earth Month celebration TIAA held virtual education events, including a Recycle Right session with Mecklenburg County Government and a build your own bee hotel demonstration to help Save the Bees. #EarthMonth2020'",0,0,54,2,56,,
B_iZZrzBYel,tiaa,2020-04-28 20:10,no,False,earthmonth2020,,"b'As part of our Earth Month celebration TIAA held virtual education events, including a Recycle Right session with Mecklenburg County Government and a build your own bee hotel demonstration to help Save the Bees. #EarthMonth2020'",0,0,54,2,56,,
B_U-PgRAik9,tiaa,2020-04-23 15:02,no,False,"tiaaproudparent,takeourdaughtersandsonstowork",,"b'In recognition of National Take Our Daughters and Sons to Work Day, TIAA employees invited their kids to join them on camera for virtual meetings to learn how we serve our clients. #TIAAProudParent #TakeOurDaughtersAndSonsToWork'",0,0,88,0,88,,
B_Us-GKghWq,tiaa,2020-04-23 12:31,no,False,,,"b'One of our employees, Miranda Griffin, is part of a sewing group supplying masks to healthcare workers, first responders and schools in the Dallas-Fort Worth metro area. We\xe2\x80\x99re proud of our employees who find creative ways to make a difference.'",0,0,89,0,89,,
B_STaSyFgw6,tiaa,2020-04-22 14:10,no,False,,jeffersonhealth,"b'To support the dedicated medical staff @jeffersonhealth, TIAA donated hand sanitizers to help them as they continue to help us all.'",0,0,75,0,75,,
B_SJ_dYl4YV,tiaa,2020-04-22 12:47,no,False,earthday50,earthdayinitiative,"b'TIAA is proud to celebrate the 50th anniversary of Earth Day today and all year long through community projects and educational initiatives in partnership with EarthShare and @earthdayinitiative. This year, our employees celebrated virtually by sharing garden photos. #EarthDay50'",0,0,57,0,57,,
B_Pun7kDMmg,tiaa,2020-04-21 14:10,no,False,,cuanschutz,"b'To support dedicated healthcare workers on the front-line, we delivered pizza, chips and fruit to our clients who are making a difference @cuanschutz. We are committed to helping them as they continue to help us all.'",0,0,73,0,73,,
B_FuVTPDmse,tiaa,2020-04-17 16:55,no,False,,tiaabank,"b'Kudos to Babacar Ba, a Jacksonville, Fla. based @TIAABank associate, and his wife Souadou, who donated 300 disposable masks to Howard University Hospital. Souadou, a fashion business owner and Howard University alumnus, used her contacts and business partners in China to get the critical masks. We\xe2\x80\x99re proud to have such generous associates.'",0,0,107,2,109,,
B-7VXaUDp0e,tiaa,2020-04-13 16:04,no,False,,foodbank4nyc,"b'To help those concerned about going hungry, we delivered more than 6,500 lbs. of food to the Food Bank For New York City (@foodbank4nyc). We are committed to helping those in need in this difficult time.'",0,0,53,0,53,,
B-0ritLo7zl,tiaa,2020-04-11 02:03,yes,False,,,"b'Thank you to the healthcare professionals, teachers, professors and researchers for your dedication during this challenging time. We\xe2\x80\x99re proud to serve the people serving others.'",333,30.633,44,0,44,,
B-xn6Z2Hlu0,tiaa,2020-04-09 21:34,yes,False,,,b'Thank you to all the teachers for finding different ways to reach your students. We appreciate you and your non-stop creativity.',182,8.0,26,0,26,,
B-xfJ_jFn17,tiaa,2020-04-09 20:17,yes,False,,,b'Thank you to all the scientists who are searching for answers to keep us all safe. We appreciate you and your tireless persistence.',247,8.0,36,0,36,,
B-xX0ACnVfh,tiaa,2020-04-09 19:13,no,False,,"mountsinainyc,nyulangone,suny,sloankettering,official_tbhc,maimonidesmedcenter,directrelief","b'To support dedicated doctors, nurses and medical staff on the front-line helping us all, TIAA\xe2\x80\x99s employees raised funds to donate thousands of protective masks and medical supplies. To those we serve who serve all of us, we thank you @mountsinainyc, @nyulangone, @suny Downstate Medical Center, @sloankettering Cancer Center, @official_tbhc and @maimonidesmedcenter. @directrelief'",0,0,90,2,92,,
B-xR9AWlTlz,tiaa,2020-04-09 18:22,yes,False,,,b'Thank you to all the professors continuing to find ways to reach students despite the challenges. We appreciate you and your non-stop dedication.',191,8.0,31,0,31,,
