shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CH64XaIgale,tmobile,2020-11-23 04:40:29.000000,yes,False,b'amaswithus',b'justinbieber',"b""@justinbieber's return to the AMAs stage got us like :raising_hands::raising_hands::raising_hands:\n\nMissed it? We got you! Check out Justin's :fire:  performance\xe2\x80\x94featuring T-Mobile powered drones making their AMAs debut! #AMAsWithUs""",70393,312.233,8844,417,,,
CH6zWt-AYgn,tmobile,2020-11-23 03:50:20.000000,yes,False,b'amaswithus',"b'daviddobrik,justinbieber'","b""Who better to document the full AMAs experience than @daviddobrik? :camera_with_flash:  He's hitting the red carpet and even bringing @justinbieber along :winking_face: #AMAsWithUs to check it out!""",533320,42.2,35822,306,,,
CHs39HsBFnx,tmobile,2020-11-17 18:01:02.000000,yes,False,b'',b'',b'Are you stuck paying for bloated bundles just because you want live news and sports? TVision Live TV gives you both without the bloat for just $40/mo!',9076,48.333,625,259,,,
CHdGhtPpL2j,tmobile,2020-11-11 15:00:18.000000,yes,False,b'veteransday',b'',"b'Today we celebrate and honor all military veterans that have served in the U.S. Armed Forces. We are proud to support veterans and their families with our recruiting programs, employee networks and the T-Mobile Magenta Military rate plan. #VeteransDay'",10257,6.0,1165,138,,,
CHYKvZ7FTGI,tmobile,2020-11-09 17:01:03.000000,yes,False,"b'tvision,endthecablenightmare'",b'',"b'There\xe2\x80\x99s a reason people love TV, but hate their TV providers. It\xe2\x80\x99s time to cut the cord on annual contracts and exploding plans and turn on #TVision. #EndTheCableNightmare'",8647,30.033,514,103,,,
CHDkW-pn0Jl,tmobile,2020-11-01 17:00:53.000000,yes,False,b'',b'',b'37% of people would rather get a root canal than deal with their cable provider. That\xe2\x80\x99s why we\xe2\x80\x99re doing for TV what we did for wireless. TVision is here.',10527,30.033,672,130,,,
CHBHK8_lcTf,tmobile,2020-10-31 18:07:18.000000,yes,False,b'',b'',"b""We're LIT this Halloween! With 5G, of course. :smirking_face:""",10440,4.2,1153,61,,,
CGr3DCBHT8j,tmobile,2020-10-23 12:02:11.000000,no,False,b'',b'',"b""iPhone 12 Pro is available today. This is the moment our 5G network was built for. Experience the latest iPhone on America's largest 5G network.""",0,0,2985,489,,,
CGnkKsZhy_T,tmobile,2020-10-21 20:00:15.000000,no,False,b'',b'',"b'Turbocharge your stories :fire: with the new OnePlus 8T+ 5G now featuring Warp Charge 65, a 120Hz fluid display, and an amazing Quad Camera\xe2\x80\x94all on America\xe2\x80\x99s largest 5G network. Available online and in stores on 10/23.'",0,0,892,240,,,
CGIgWDbnTU-,tmobile,2020-10-09 18:30:46.000000,yes,False,b'seguimosunidos',b'',"b'Whether she\xe2\x80\x99s celebrating the Latino community on her radio show or making people feel at home at her T-Mobile store, Laura Ram\xc3\xadrez-Drain lets her Latina heart shine through in everything she does :sparkles: #SeguimosUnidos'",7849,57.1,459,147,,,
