shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYgMFYgy_q,toysruscanada,2020-12-04 16:39:47.000000,yes,False,b'',"b'toysruscanada,toysruscanada,toysruscanada,toysruscanada,toysruscanada,toysruscanada'","b"":wrapped_gift: Our third Holiday Gift *GIVEAWAY* is an MGA bundle! :wrapped_gift:\n \nEntry is easy:\n1. Follow @toysruscanada\n2. Like this photo\n3. Tag a friend! (1 entry per account).\nNo purchase necessary. Contest closes on Dec 7 (10:00 a.m. ET). Open only to residents of Canada (age of majority) with a valid Instagram Account.\xe2\x80\xafThis giveaway is not sponsored, endorsed or administered, or associated with Instagram. Entry is defined as following all of the above steps outlined. ONE winner will be randomly selected & announced via\xe2\x80\xaf@toysruscanada\xe2\x80\x99s Instagram account using the Story function. Winner will have 1 business day to respond with a Direct Message to\xe2\x80\xaf@toysruscanada\xe2\x80\xafto claim their prize. Skill-testing question required. Odds depend on number of eligible entries received. Rules & Regs: Link in Bio.\xe2\x80\xafGood luck!\n--\n:wrapped_gift: Notre troisi\xc3\xa8me * PRIX * du concours des cadeaux des F\xc3\xaates est un ensemble MGA! :wrapped_gift:\nLa participation est simple :\n1. Suivez @toysruscanada\n2. Aimez cette publication\n3. Identifiez un ami! (1 participation par compte).\nAucun achat requis. Le concours se termine le 7 d\xc3\xa9cembre 2020 \xc3\xa0 10 h (HE). Ce concours est ouvert aux r\xc3\xa9sidents du Canada seulement ayant atteint l'\xc3\xa2ge de la majorit\xc3\xa9 et ayant un compte Instagram valide.Ce concours n'est aucunement commandit\xc3\xa9, appuy\xc3\xa9, ni administr\xc3\xa9 par Instagram. La participation est d\xc3\xa9finie comme le suivi de toutes les \xc3\xa9tapes d\xc3\xa9crites ci-dessus. Un (1) gagnant sera s\xc3\xa9lectionn\xc3\xa9 au hasard et annonc\xc3\xa9 via le compte Instagram de @toysruscanada \xc3\xa0 l'aide de la fonction Story. Le gagnant aura 1 jour ouvrable pour r\xc3\xa9pondre par message direct \xc3\xa0 @toysruscanada pour r\xc3\xa9clamer son prix. La r\xc3\xa9ponse correcte \xc3\xa0 une question r\xc3\xa9glementaire est requise. Les chances de gagner d\xc3\xa9pendent du nombre de participations admissibles re\xc3\xa7ues. R\xc3\xa8glements : voir le lien dans la bio.Bonne chance!""",6377,6.0,1386,1993,,,
CITz1gegfvg,toysruscanada,2020-12-02 20:55:09.000000,no,False,"b'giftgiving,holidayshopping,cadeaux,magasinagedesf\xc3\xaates'",b'',"b""Got a preschooler to shop for? We've got you covered. Pair a book with one of their fav themed toys and you'll win the gift giving game this year!\n--\nVous magasinez pour un pr\xc3\xa9scolaire? On a tout ce qu'il vous faut! Combinez un livre \xc3\xa0 l'un de leurs jouets sur leur th\xc3\xa8me pr\xc3\xa9f\xc3\xa9r\xc3\xa9 et vous remporterez le jeu de cadeaux cette ann\xc3\xa9e!\n \n#GiftGiving #HolidayShopping #Cadeaux #MagasinageDesF\xc3\xaates""",0,0,150,11,,,
CIN_qU7AhwK,toysruscanada,2020-11-30 14:43:18.000000,yes,False,b'',b'',"b"":party_popper:TODAY ONLY:party_popper: Shop BOGO 50% off Cyber Monday deals on top brands \xe2\x80\x93 the toys kids REALLY want this season! :alien_monster::wrapped_gift: And get \xe2\x80\x98em FAST with easy and free Curbside Pick-up.\n--\n:party_popper:AUJOURD'HUI SEULEMENT:party_popper: Magasinez les aubaines Achetez-en 1 et obtenez le 2e \xc3\xa0 50% de rabais du Cyberlundi sur de grandes marques de jouets pour les enfants veulent VRAIMENT cette saison! :alien_monster::wrapped_gift: Et obtenez-les RAPIDEMENT gr\xc3\xa2ce au ramassage facile et gratuit \xc3\xa0 l'ext\xc3\xa9rieur du magasin.""",1974,6.033,124,11,,,
CIDxk8sAwS3,toysruscanada,2020-11-26 15:27:50.000000,yes,False,b'',b'',"b""Black FriYAY! is finally here!\n\nCheck out BIG Black FriYAY deals: save up to 50% on huge brands kids really want! :raising_hands: And get it all fast with free + easy Curbside Pick-up.\n--\nLe Vendredi fou est enfin l\xc3\xa0! D\xc3\xa9couvrez les GRANDES offres du Vendredi fou: \xc3\xa9conomisez jusqu'\xc3\xa0 50% sur les grandes marques que les enfants veulent vraiment! :star-struck: Et obtenez le tout rapidement avec le ramassage gratuit et facile \xc3\xa0 l'ext\xc3\xa9rieur du magasin.""",2200,6.033,140,19,,,
CH_GCzaARdG,toysruscanada,2020-11-24 19:52:21.000000,yes,False,"b'curbsidepickup,toysruskid,toysruscanada,holidayshopping,holidayshoppingmadeeasy,playallday'",b'',b'We\xe2\x80\x99re here to help! :blue_heart:\n\xe2\x80\x94\nNous sommes l\xc3\xa0 pour vous aider! :blue_heart:\n\n#CurbsidePickUp #ToysRUsKid #ToysRUsCanada #HolidayShopping #HolidayShoppingMadeEasy #PlayAllDay',1460,10.105,129,14,,,
CH25AP4A6kn,toysruscanada,2020-11-21 15:22:48.000000,yes,False,"b'thechild,hasbro,babyyoda,themadalorean,holidaywonder,giftgiving,letsplaycanada,lenfant,hasbro,b\xc3\xa9b\xc3\xa9yoda,themadalorian,merveilledesf\xc3\xaates,cadeaux,aujeucanada'",b'',"b'Find great gifts you will.\nShop this adorable Baby Yoda, and more, in our Big Book of Wonders!\n--\nDes cadeaux parfaits, trouverez vous. Magasinez cet adorable b\xc3\xa9b\xc3\xa9 Yoda et plus encore dans notre Grand livre des merveilles des F\xc3\xaates!\n \n#TheChild #Hasbro #BabyYoda #TheMadalorean #HolidayWonder #GiftGiving #LetsPlayCanada\n#LEnfant #Hasbro #B\xc3\xa9b\xc3\xa9Yoda #TheMadalorian #MerveilleDesF\xc3\xaates #Cadeaux #AuJeuCanada'",1921,21.148,148,7,,,
CH0RenEggh6,toysruscanada,2020-11-20 14:59:53.000000,yes,False,b'',"b'hasbro,toysruscanada,toysruscanada,toysruscanada,hasbro,toysruscanada,toysruscanada,toysruscanada'","b"":wrapped_gift: Our second Holiday Gift *GIVEAWAY* is a @hasbro bundle! :wrapped_gift:\n \nEntry is easy:\n1. Follow @toysruscanada\n2. Like this photo\n3. Tag a friend! (1 entry per account).\n \nNo purchase necessary. Contest closes on Nov 23 (10:00 a.m. ET). Open only to residents of Canada (age of majority) with a valid Instagram Account.\xe2\x80\xafThis giveaway is not sponsored, endorsed or administered, or associated with Instagram. Entry is defined as following all of the above steps outlined. ONE winner will be randomly selected & announced via\xe2\x80\xaf@toysruscanada\xe2\x80\x99s Instagram account using the Story function. Winner will have 1 business day to respond with a Direct Message to\xe2\x80\xaf@toysruscanada\xe2\x80\xafto claim their prize. Skill-testing question required. Odds depend on number of eligible entries received. Rules & Regs: Link in Bio.\xe2\x80\xafGood luck!\n--\n:wrapped_gift: Notre deuxie\xcc\x80me *CADEAU* pour des Fe\xcc\x82tes est un ensemble @hasbro ! :wrapped_gift:\n \nLa participation est simple:\n1. Suivez @toysruscanada\n2. Aimez cette photo\n3. Identifiez un ami! (1 participation par compte.)\n \n \nAucun achat ne\xcc\x81cessaire. Le concours se termine le 23 novembre (10 h HE). Ce concours est ouvert aux re\xcc\x81sidents du Canada seulement ayant atteint l'a\xcc\x82ge de la majorite\xcc\x81 et ayant un compte Instagram valide. Ce concours n'est aucunement commandite\xcc\x81, appuye\xcc\x81, ni administre\xcc\x81 par Instagram. La participation est de\xcc\x81finie comme le suivi de toutes les e\xcc\x81tapes de\xcc\x81crites ci-dessus. Un (1) gagnant sera se\xcc\x81lectionne\xcc\x81 au hasard et annonce\xcc\x81 via le compte Instagram de @toysruscanada a\xcc\x80 l'aide de la fonction Story. Le gagnant aura 1 jour ouvrable pour re\xcc\x81pondre par message direct a\xcc\x80 @toysruscanada pour re\xcc\x81clamer son prix. La re\xcc\x81ponse correcte a\xcc\x80 une question re\xcc\x81glementaire est requise. Les chances de gagner de\xcc\x81pendent du nombre de participations admissibles rec\xcc\xa7ues. Re\xcc\x80glements : voir le lien dans la bio. Bonne chance!""",10146,6.0,2443,3821,,,
CHtXkhlA9GY,toysruscanada,2020-11-17 22:37:01.000000,no,False,"b'giftgiving,holidayshopping,lego,letsplaycanada,cadeaux,magasinagedesfe,aujeucanada'",b'',"b""Complete any gift with a book to match! Here are this weeks gift ideas, inspired by LEGO!\n--\nAjoutez la touche finale a\xcc\x80 n'importe quel cadeau avec un livre assorti! Voici les ide\xcc\x81es-cadeaux de cette semaine, inspire\xcc\x81es de LEGO!\n \n#GiftGiving #HolidayShopping #LEGO #LetsPlayCanada  #Cadeaux #MagasinageDesFe\xcc\x82tes #AuJeuCanada""",0,0,147,8,,,
CHkzuG3giJk,toysruscanada,2020-11-14 14:50:06.000000,yes,False,"b'holidaywonder,holidaygifts,lego,merveillesdesf\xc3\xaates,cadeauxdesf\xc3\xaatess,lego'",b'',b'Brows top LEGO gift ideas in The Big Book of Holiday Wonders. #HolidayWonder #HolidayGifts #LEGO\n--\nParcourez les meilleures id\xc3\xa9es-cadeaux LEGO:registered: dans notre Grand Livre des merveilles des F\xc3\xaates. #MerveillesDesF\xc3\xaates #CadeauxDesF\xc3\xaatess #LEGO',1565,21.148,120,5,,,
CHi2SNZgS1l,toysruscanada,2020-11-13 20:33:45.000000,no,False,b'',b'',"b""Leaving the house isn\xe2\x80\x99t always easy or advisable these days, but that doesn\xe2\x80\x99t need to cramp your shopping style! We\xe2\x80\x99re teaming up with DoorDash to get the fun stuff on your holiday list into your hands FAST \xe2\x80\x93 and until Nov. 25 this speedy service is FREE! :automobile: :dashing_away:\n--\nQuitter la maison n\xe2\x80\x99est pas toujours facile ou souhaitable de nos jours, mais cela n\xe2\x80\x99a pas \xc3\xa0 entraver votre magasinage! Nous faisons \xc3\xa9quipe avec DoorDash pour mettre entre vos mains les articles amusants de votre liste de magasinage des F\xc3\xaates RAPIDEMENT \xe2\x80\x93 et jusqu'au 25 novembre, ce service rapide est GRATUIT! :automobile: :dashing_away:""",0,0,158,14,,,
