shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIY6yNYFuuD,tractorsupply,2020-12-04 20:32:07.000000,yes,False,b'',b'',b'It\xe2\x80\x99s that time of year again! We want you to show us your TSC Wish List! Visit our store and snap a photo of yourself with an item you\xe2\x80\x99d like to find under your Christmas tree. Upload the photo to TractorSupply.com/PhotoContest. We\xe2\x80\x99ll select winners throughout December to receive a special gift!',4931,10.0,502,21,,,
CIWabqSJfed,tractorsupply,2020-12-03 21:10:53.000000,no,False,b'',"b'schleichusa,mitchelwuphotography'",b'Let your holiday imaginations shine with help from @SchleichUSA! We\xe2\x80\x99ve partnered with Schleich to give 5 lucky winners a prize pack. The Grand Prize winner will receive $500 worth of Schleich toys and playsets! Visit TractorSupply.com/Schleich to view the rules and enter your photo! Please note that only entries submitted at the link will be officially entered.\n:camera_with_flash:: @mitchelwuphotography',0,0,896,28,,,
CIRMRGzBOgN,tractorsupply,2020-12-01 20:31:03.000000,no,False,b'lifeouthere',b'high_cotton_cottage',"b'If you\xe2\x80\x99re looking for a rustic feel for your Christmas tree this year, try using our galvanized buckets! Set your tree stand into the bucket for a touch of #LifeOutHere in your home. \n\n:camera_with_flash:: @high_cotton_cottage'",0,0,1706,9,,,
CIOkFCsDpdP,tractorsupply,2020-11-30 20:01:23.000000,no,False,b'',"b'meghannchapman,sonshinespinachfarm'","b'No matter how hard you try to appreciate them equally, we all know you have that one favorite chicken. :grinning_face: \n\n:camera_with_flash:: @meghannchapman\n:chicken:: @sonshinespinachfarm'",0,0,1616,12,,,
CIOkFCsDpdP,tractorsupply,2020-11-30 20:01:23.000000,no,False,b'',"b'meghannchapman,sonshinespinachfarm'","b'No matter how hard you try to appreciate them equally, we all know you have that one favorite chicken. :grinning_face: \n\n:camera_with_flash:: @meghannchapman\n:chicken:: @sonshinespinachfarm'",0,0,1616,12,,,
CILr7CqAzc2,tractorsupply,2020-11-29 17:12:12.000000,no,False,b'',b'homegrownhansens',"b'Find what you love and keep on doing it. @homegrownhansens\xe2\x80\x99 grandpa may be 103, but he doesn\xe2\x80\x99t let that stop him from putting in a good day\xe2\x80\x99s hard work.'",0,0,1523,13,,,
CIJJ_YgALZw,tractorsupply,2020-11-28 17:37:16.000000,no,False,b'lifeouthere',b'pinevalleyacres',b'Take a minute to admire the #LifeOutHere views whenever you can. \n\n:camera_with_flash:: @pinevalleyacres',0,0,2701,13,,,
CIGFfvjAuSU,tractorsupply,2020-11-27 13:00:15.000000,no,False,b'',b'',"b'Whether you\xe2\x80\x99re an early bird or just browsing, we\xe2\x80\x99ve got Black Friday deals for you! Save on 1000s of items for people on your gift list, your pets, and even for you! Shop in stores, online at TractorSupply.com, or use our new mobile app!'",0,0,977,2,,,
CIDub5FgAlH,tractorsupply,2020-11-26 15:00:15.000000,no,False,b'',b'',"b'This Thanksgiving, we\xe2\x80\x99re thankful for many things, including you. Our stores are closed today, but you can shop our Black Friday deals online at TractorSupply.com or use our new mobile app for convenient browsing and easy checkout. We\xe2\x80\x99ll see you at 6 am tomorrow morning!'",0,0,1000,10,,,
CIBXtcEgPGN,tractorsupply,2020-11-25 17:03:06.000000,yes,False,b'',b'',"b'Give a gift card, get a gift card for yourself in return! Buy a $50 gift card promotion pack and score a $10 gift card bonus! Learn more at TractorSupply.com/GiftCard.'",2618,5.133,483,1,,,
