shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIXwOIQgAEL,turkishairlines,2020-12-04 09:40:41.000000,yes,False,"b'turkishairlines,tu'",b'',b':airplane_selector:\nSkiing season is about to begin!\n\nSnowboarding in the crystalline snow of Sar\xc4\xb1kam\xc4\xb1s\xcc\xa7 which has the powder crystals as in the Alps or skiing on the magnificent slopes of Palando\xcc\x88ken? Which one would you choose?\n\nKayak sezonu yaklas\xcc\xa7\xc4\xb1yor!\n\nSar\xc4\xb1kam\xc4\xb1s\xcc\xa7\xe2\x80\x99\xc4\xb1n kristal karlar\xc4\xb1nda snowboard mu yoksa Palando\xcc\x88ken\xe2\x80\x99in muhtes\xcc\xa7em pistlerinde kayak m\xc4\xb1? \n\n#TurkishAirlines #Tu\xcc\x88rkHavaYollar\xc4\xb1',50378,15.033,9244,123,,,
CIVjT1PAzpH,turkishairlines,2020-12-03 13:12:01.000000,yes,False,"b'3aral\xc4\xb1kd\xc3\xbcnyaengellilerg\xc3\xbcn\xc3\xbc,turkishairlines,t\xc3\xbcrkhavayollar\xc4\xb1'",b'',"b'Every day, we rise to the skies with the pride of having a big family.\n\nNew horizons are ahead of us with those who break barriers!\n\nHave a happy International Day of Persons with Disabilities.\n\nBiz her g\xc3\xbcn, b\xc3\xbcy\xc3\xbck bir aileye sahip olman\xc4\xb1n gururuyla y\xc3\xbckseliyoruz.\n\nEngelleri a\xc5\x9fanlarla, ufuklar\xc4\xb1 a\xc5\x9f\xc4\xb1yoruz!\n\n#3Aral\xc4\xb1kD\xc3\xbcnyaEngellilerG\xc3\xbcn\xc3\xbc kutlu olsun.\n\n#TurkishAirlines #T\xc3\xbcrkHavaYollar\xc4\xb1'",97159,88.666,11669,162,,,
CIP3d4rglTi,turkishairlines,2020-12-01 08:09:54.000000,no,False,"b'turkishairlines,t\xc3\xbcrkhavayollar\xc4\xb1'",b'',b':airplane_selector:\nOur wings are always open to explore different places!\n\nWhich city did you discover with us the last time?\n\nBamba\xc5\x9fka yerler ke\xc5\x9ffetmek i\xc3\xa7in kanatlar\xc4\xb1m\xc4\xb1z daima a\xc3\xa7\xc4\xb1k!\n\nBizimle en son hangi \xc5\x9fehri ke\xc5\x9ffettiniz?\n\n#TurkishAirlines #T\xc3\xbcrkHavaYollar\xc4\xb1',0,0,28296,541,,,
CIFs94Pgc1b,turkishairlines,2020-11-27 09:26:34.000000,yes,False,"b'turkishairlines,t\xc3\xbcrkhavayollar\xc4\xb1'",b'',"b':airplane_selector:\nPeaceful and vitalizing vibe of the winter is upon us in the land of four seasons, called Turkey.\n\n4 mevsimi ya\xc5\x9fayan T\xc3\xbcrkiye\xe2\x80\x99de k\xc4\xb1\xc5\x9f\xc4\xb1n huzurlu ve canland\xc4\xb1r\xc4\xb1c\xc4\xb1 enerjisini hissetmeye \xc3\xa7ok az kald\xc4\xb1. :snowflake_selector:\n\n#TurkishAirlines #T\xc3\xbcrkHavaYollar\xc4\xb1'",56482,15.033,10141,150,,,
CIDp4xWgUMS,turkishairlines,2020-11-26 14:20:22.000000,no,False,"b'turkishairlines,t\xc3\xbcrkhavayollar\xc4\xb1'",b'',"b':airplane_selector:\nMardin, once the capital of so many civilizations, was built in the fertile Mesopotamian plain thousands of years ago. \n\nWhen you reach the city, you can discover the magnificent architecture of Deyrulzafaran Monastery from the Assyrian era or visit the symbol of the city, Great Mosque of Mardin.\n\nHead to stories to explore the mystic atmosphere of the epic city. \n\nMezopotamya\xe2\x80\x99n\xc4\xb1n verimli topraklar\xc4\xb1 i\xc3\xa7ine kurulmu\xc5\x9f, farkl\xc4\xb1 medeniyetlere binlerce y\xc4\xb1l ev sahipli\xc4\x9fi yapm\xc4\xb1\xc5\x9f Mardin mistik atmosferiyle ziyaret\xc3\xa7ilerini b\xc3\xbcy\xc3\xbcl\xc3\xbcyor.\n\n\xc5\x9eehre ula\xc5\x9ft\xc4\xb1\xc4\x9f\xc4\xb1n\xc4\xb1zda S\xc3\xbcryaniler\xe2\x80\x99den kalma Deyrulzafaran Manast\xc4\xb1r\xc4\xb1\xe2\x80\x99n\xc4\xb1n muhte\xc5\x9fem mimarisini ke\xc5\x9ffedebilir ya da \xc5\x9fehrin sembol\xc3\xbc Mardin Ulu Camii\xe2\x80\x99yi ziyaret edebilirsiniz.\n\nDaha fazlas\xc4\xb1 i\xc3\xa7in hikayelere g\xc3\xb6z at\xc4\xb1n.\n\n#TurkishAirlines #T\xc3\xbcrkHavaYollar\xc4\xb1'",0,0,19999,225,,,
CH-Fc5_AivN,turkishairlines,2020-11-24 10:26:55.000000,yes,False,"b'happyteachersday,\xc3\xb6\xc4\x9fretmenlerg\xc3\xbcn\xc3\xbc,turkishairlines,t\xc3\xbcrkhavayollar\xc4\xb1'",b'',b':airplane_selector:\nWe thank all our teachers from the bottom of our hearts!\n\n#HappyTeachersDay\n\nT\xc3\xbcm \xc3\xb6\xc4\x9fretmenlerimize en i\xc3\xa7ten te\xc5\x9fekk\xc3\xbcrlerimizle! \n\n#\xc3\x96\xc4\x9fretmenlerG\xc3\xbcn\xc3\xbc\xc2\xa0kutlu olsun.\n\n#TurkishAirlines #T\xc3\xbcrkHavaYollar\xc4\xb1',47608,35.353,9009,257,,,
CHxKzs8AifM,turkishairlines,2020-11-19 10:03:17.000000,yes,False,"b'turkishairlines,tu'",b'',"b':airplane_selector:\nFall inspires the new year with its yellowing leaves, reddening sun and breathtaking scenery. :maple_leaf:\n\nSararan yapraklar, k\xc4\xb1z\xc4\xb1llas\xcc\xa7an gu\xcc\x88nes\xcc\xa7 ve nefes kesen manzaralar\xc4\xb1yla sonbahar, yeni y\xc4\xb1la ilham veriyor. :maple_leaf::airplane_selector:\n\n#TurkishAirlines #Tu\xcc\x88rkHavaYollar\xc4\xb1'",38768,15.033,8541,317,,,
CHsGSrJAthQ,turkishairlines,2020-11-17 10:46:47.000000,no,False,"b'turkishairlines,t\xc3\xbcrkhavayollar\xc4\xb1'",b'',b':airplane_selector:\nWhich destination would you want to travel with us right this moment? Share with us in the comments!\n\nBizimle \xc5\x9fu an hangi destinasyona do\xc4\x9fru seyahat etmek isterdiniz? Yorumlarda bizimle payla\xc5\x9f\xc4\xb1n!\n\n#TurkishAirlines #T\xc3\xbcrkHavaYollar\xc4\xb1',0,0,30094,1025,,,
CHm1PuMAqmy,turkishairlines,2020-11-15 09:41:38.000000,no,False,"b'turkishairlines,t\xc3\xbcrkhavayollar\xc4\xb1'",b'',"b':airplane_selector:\nYou can find the opportunity to relax with autumn journeys away from the crowd, pace and noise!\n\nCheck out the stories to get information about different autumn routes that have recently attracted attention in Turkey.\n\nKalabal\xc4\xb1ktan, h\xc4\xb1zdan ve g\xc3\xbcr\xc3\xbclt\xc3\xbcden uzak sonbahar yolculuklar\xc4\xb1yla dinlenme f\xc4\xb1rsat\xc4\xb1 bulabilirsiniz!\n\n\xc3\x9clkemizde son d\xc3\xb6nemde ilgi \xc3\xa7eken farkl\xc4\xb1 sonbahar rotalar\xc4\xb1 hakk\xc4\xb1nda bilgi almak i\xc3\xa7in hikayelere g\xc3\xb6z at\xc4\xb1n.\n\n#TurkishAirlines #T\xc3\xbcrkHavaYollar\xc4\xb1'",0,0,19518,267,,,
CHiNoYsg_CT,turkishairlines,2020-11-13 14:38:31.000000,no,False,"b'turkishairlines,t\xc3\xbcrkhavayollar\xc4\xb1'",b'',"b"":airplane_selector:\nFrom Fethiye to Antalya, from Artvin to Mersin, we\xe2\x80\x99ve researched the most wonderful trekking routes available in Turkey where you can explore the natural beauties.\n\nVisit our website from bio now to get information about routes you wonder.\n\nFethiye\xe2\x80\x99den Antalya\xe2\x80\x99ya, Artvin\xe2\x80\x99den Mersin\xe2\x80\x99e T\xc3\xbcrkiye'nin do\xc4\x9fal g\xc3\xbczelliklerini ad\xc4\xb1m ad\xc4\xb1m gezebilece\xc4\x9finiz en iyi trekking rotalar\xc4\xb1n\xc4\xb1 sizin i\xc3\xa7in ara\xc5\x9ft\xc4\xb1rd\xc4\xb1k.\n\nMerak etti\xc4\x9finiz rotalar hakk\xc4\xb1nda bilgi almak i\xc3\xa7in \xc5\x9fimdi bio\xe2\x80\x99dan web sitemizi ziyaret edin.\n\n#TurkishAirlines #T\xc3\xbcrkHavaYollar\xc4\xb1""",0,0,15609,140,,,
