shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYaaj6qK7A,unilever,2020-12-04 15:49:39.000000,yes,False,"b'uniquelyunilever,usesciencenotanimals'",b'',"b'We believe next-generation science and technology are the best way to assess safety. Not animal testing. \n\n\xe2\x80\x9cThe recent European Chemicals Agency proposals have us really worried,\xe2\x80\x9d says Julia Fentem, who oversees product safety at Unilever. \n\nJulia shares more, and explains why Unilever is speaking out against new animal testing, in this short film. \n\nClick on the link in our bio to read an open letter we\xe2\x80\x99ve signed, speaking out against the proposals. \n\n#UniquelyUnilever \n\n#UseScienceNotAnimals'",1785,99.333,210,7,,,
CIWALhanl7i,unilever,2020-12-03 17:22:52.000000,yes,False,"b'moveyourway,idpd'",b'',"b'Here\xe2\x80\x99s a goal worth shooting for! \n\nAs part of its new #MoveYourWay campaign Rexona is working to represent people of all skills and abilities enjoying sport in diverse, equitable & inclusive ways.  #IDPD'",1368,55.0,150,6,,,
CISjX0tKaQk,unilever,2020-12-02 09:12:02.000000,no,False,"b'endanimaltesting,crueltyfreeforever,usesciencenotanimals'",b'eu_echa',"b'We support a global ban on animal testing for cosmetics. \n\nAssessing the safety of ingredients can and should be done using new science and technology instead. \n\nSo we\xe2\x80\x99re speaking out against calls from @EU_ECHA for new tests on animals. \n\nAnd we\xe2\x80\x99re doing so alongside many brands, companies and animal protection organisations. \n\nUse science. Not animals. \n\nWe\xe2\x80\x99ve signed an open letter to the European Commission, Parliament and Council. Click on the link in our bio to read it\n\n#EndAnimalTesting #CrueltyFreeForever #UseScienceNotAnimals'",0,0,265343,172,,,
CIHbDj-CzdX,unilever,2020-11-28 01:27:43.000000,no,False,"b'foodrevolution,uniquelyunilever'",b'vegetarianbutcher',b':party_popper:We\xe2\x80\x99re celebrating!\n\nSince The Vegetarian Butcher became part of the Unilever family it has: \n:raised_fist:  Campaigned for the right to call a burger a burger \xe2\x80\x93 even if it is plant-based\n:globe_showing_Europe-Africa: Launched in Asia and Latin America\n:smiling_face_with_sunglasses: Been voted Marketing Transformer of the Year\n\nAnd that\xe2\x80\x99s just the highlights! Happy anniversary @vegetarianbutcher.\n#FoodRevolution #UniquelyUnilever\n\nClick the link in our bio for more.',0,0,1183,23,,,
CH-oruGHQmz,unilever,2020-11-24 15:39:53.000000,yes,False,b'covid19',b'',"b'We recently made a breakthrough discovery, thanks to our research partner Microbac Laboratories. New tests confirm that one of our mouthwash products containing CPC Technology could prove helpful in reducing the spread of #Covid19. \n\nDr Alison Green from our oral care team talks about this game-changing technology and how 30 seconds of rinsing can deactivate the virus. \n\nRemember to continue practising other preventative measures too, such as social distancing, handwashing with soap and wearing a face mask, as recommended by health authorities. \n\nClick on the link in our bio to learn more about CPC Technology.'",2545,91.866,276,6,,,
CH7s4WgC_yb,unilever,2020-11-23 12:12:57.000000,yes,False,b'',b'',"b'Our Lynx team in the UK has partnered with Complex UK and SocialFixt to create a new series exploring racial microaggressions: The Race Card. \n\nTurning the accusation of \xe2\x80\x98playing the race card\xe2\x80\x99 on its head, the three-part series aims to raise awareness of and address racial microaggressions. \n\nThe series is part of Lynx\xe2\x80\x99s commitment to racial equality. They are making it their responsibility to do more to help advance the social equality agenda and make diversity a point of celebration instead of division. \n\nClick the link in our bio to watch the full series.'",5106,60.066,563,10,,,
CH0V55bMXFG,unilever,2020-11-20 15:37:09.000000,no,False,b'',b'',"b'Encouraging preliminary lab test results from our research partner Microbac Laboratories confirm that one of our mouthwash products could prove helpful when it comes to preventing the spread of Covid-19.\n\n:microbe: It\xe2\x80\x99s thanks to a widely used antimicrobial ingredient called CPC*. \n\n:petri_dish: After 30 seconds of rinsing it\xe2\x80\x99s effective in reducing the viral load of SARS-CoV-2, the virus that causes Covid-19, by 99.9%. \n\n:face_with_medical_mask: Together with mask-wearing, social distancing and handwashing with soap, it\xe2\x80\x99s another potential preventative measure.\n\n*Our CPC Technology mouthwashes are not available in the US or Canada\n\nClick the link in our bio to learn about this breakthrough discovery. '",0,0,871,28,,,
CHxvr2Ai-OT,unilever,2020-11-19 15:24:42.000000,no,False,"b'healthyplanetforall,vegan,vegetarian,foodsystems'",b'',"b""As one of the world\xe2\x80\x99s largest food companies, we\xe2\x80\xafmust help transform\xe2\x80\xafthe world\xe2\x80\x99s broken food system into one that works for everyone.\xe2\x80\xafWe\xe2\x80\x99re going to do this by:\xe2\x80\xaf \n\n:blue_circle:Growing our plant-based alternatives into a\xe2\x80\xaf\xe2\x82\xac1 billion\xe2\x80\xafbusiness\xe2\x80\xaf \n:blue_circle:Doubling the number of products that deliver positive nutrition by 2025\xe2\x80\xaf \n:blue_circle:Halving food waste from factory to shelf by 2025\xe2\x80\xaf \n:blue_circle:Lowering calories, salt and sugar across all our products\xe2\x80\xaf \n\nIt's\xe2\x80\xafour mission to ensure everyone, everywhere has access to healthy food that doesn\xe2\x80\x99t cost the earth.\xe2\x80\xaf \n\nClick the link in our bio to see our plan for the future of food. \n\n#HealthyPlanetForAll #Vegan\xe2\x80\xaf#Vegetarian #foodsystems""",0,0,75891,208,,,
CHxJBrWielq,unilever,2020-11-19 09:47:09.000000,yes,False,"b'worldtoiletday,sanitationunblocked,unstoppable'",b'',"b'Here are 3 stats that might change your thinking on sanitation this #WorldToiletDay\n\n:small_blue_diamond:1 in 3 schoolchildren around the world don\xe2\x80\x99t have access to a clean, safe toilet. \n:small_blue_diamond:1 in 4 teenage girls in South Asia miss school each month because they can\xe2\x80\x99t access a toilet to manage their period.\n:small_blue_diamond:1 in 10 teachers in the UK say children avoid eating and drinking so they don\xe2\x80\x99t have to use the school facilities. \n\nDomestos is working to change that and has so far improved access to sanitation for more than 28 million people by helping them get access to cleaner, safer toilets in their communities and schools.\n\nCheck the link in our bio to discover more about what Domestos is doing.\n\n#SanitationUnblocked #Unstoppable'",1533,25.4,184,0,,,
CHuO2-DiqzI,unilever,2020-11-18 06:40:35.000000,yes,False,"b'healthyplanetforall,foodsystems'",b'',"b'The world\xe2\x80\x99s food system is broken. There\xe2\x80\x99s too much inequality, waste and disregard for the natural world we all depend on. That\xe2\x80\x99s where our Future Foods initiative comes in. We\xe2\x80\x99re committed to: \n\nCultivating a planet-based revolution. Halving food waste. Making nutritious foods affordable. Using sustainable ingredients. \n\nWe\xe2\x80\x99re changing our perspective on food with our Future Foods initiative. And it\xe2\x80\x99s our mission to help everyone, everywhere, access healthy food that doesn\xe2\x80\x99t cost the earth. \n\n#HealthyPlanetForAll #foodsystems'",3940380,60.0,59652,283,,,
