shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIXDETEDPi0,uniqlo,2020-12-04 03:05:57.000000,no,False,"b'uniqlo,lifewear,holidayseason,souffle'",b'',"b'Planning for a joyful holiday season in a soft, souffle yarn knitted coat.\n#UNIQLO #LifeWear #holidayseason #souffle'",0,0,10886,18,,,
CIVGPTRj859,uniqlo,2020-12-03 08:55:54.000000,yes,False,"b'uniqloteamsweden,uniqlosustainability,idpd'","b'tobiasjonsson1996,uniqlo_ambassadors'","b'This International Day of Persons with Disabilities, we are highlighting the incredible athletes of #UniqloTeamSweden, our first team brand ambassador formed by top Swedish athletes.\nTobias Jonsson (@tobiasjonsson1996) shared his thoughts on how we can create an inclusive future through sports. #uniqlosustainability #idpd @uniqlo_ambassadors'",19918,86.841,1357,2,,,
CIUdEq9jc0g,uniqlo,2020-12-03 02:55:57.000000,yes,False,"b'uniqloteamsweden,uniqlosustainability,idpd'","b'acahlquist,uniqlo_ambassadors'","b'This International Day of Persons with Disabilities, we are highlighting the incredible athletes of #UniqloTeamSweden, our first team brand ambassador formed by top Swedish athletes.\nAnna-Carin Ahlquist (@acahlquist) shared her thoughts on how we can create an inclusive future through sports. #uniqlosustainability #idpd @uniqlo_ambassadors'",20046,100.0,1414,7,,,
CIT6BKADG7n,uniqlo,2020-12-02 21:49:39.000000,yes,False,"b'uniqloteamsweden,uniqlosustainability,idpd'","b'linawatz,uniqlo_ambassadors'","b'This International Day of Persons with Disabilities, we are highlighting the incredible athletes of #UniqloTeamSweden, our first team brand ambassador formed by top Swedish athletes.\nLina Watz (@linawatz) shared her thoughts on how we can create an inclusive future through sports. #uniqlosustainability #idpd @uniqlo_ambassadors'",20176,100.0,1356,1,,,
CISlV-dj6dv,uniqlo,2020-12-02 09:29:16.000000,no,False,"b'uniqlowarmlayers,uniqlo,lifewear,fleecejacket'",b'',"b'Warm, comfy and cuddle-ready. Explore our fleece collection to find perfect items for the whole family.\n\n#UNIQLOWarmLayers #UNIQLO #LifeWear #fleecejacket'",0,0,12859,32,,,
CIRrFM6D8U3,uniqlo,2020-12-02 01:00:10.000000,no,False,b'rfcapisback',b'uniqlo_ambassadors',b'Roger Federer got his logo back and we\xe2\x80\x99re celebrating with a line of RF Caps. 8 unique colorways at a price every fan will appreciate. Will become available on December 8. Post your excitement for this news with #RFcapisback\n\nFind more from the URL on @uniqlo_ambassadors profile.',0,0,6200,97,,,
CIPLx7WjLjN,uniqlo,2020-12-01 01:48:10.000000,no,False,"b'uniqlo,lifewear,fleece,familytime,winterwardrobe'",b'',b'Warm up this winter in fluffy fleece for both kids and parents.\n#UNIQLO #LifeWear #Fleece #familytime #winterwardrobe',0,0,8245,14,,,
CIMmL2qjF_a,uniqlo,2020-11-30 01:41:11.000000,no,False,"b'uniqlo,lifewear,winterouter,holidayseason,winterfashion'",b'',b'Ready to step out into any weather with a down parka and my favorite person.\n#UNIQLO #LifeWear #winterouter #holidayseason #winterfashion',0,0,6238,1,,,
CIKLQSrjPSL,uniqlo,2020-11-29 03:07:22.000000,no,False,"b'whatwillyouwearfor,tomorrow'",b'',"b'""What will you wear for tomorrow?""\n\nZhang Jun, a Kunqu Opera performer, answers the question above by mentioning how his profession changed over the past few months.\n\n""When we are re-interpreting some new dramas, we can let more people see it directly and quickly over the internet.""\n\n#whatwillyouwearfor #tomorrow'",0,0,3364,8,,,
CIHlpVvo0--,uniqlo,2020-11-28 03:00:20.000000,no,False,"b'uniqlo,lifewear,holiday,loungewear'",b'',b'Cozy up in the house in soft and smooth knit fabrics in your favorite colors.\n#UNIQLO #LifeWear #Holiday #Loungewear',0,0,12911,9,,,
